identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A052,AL,44.707376,8.41681,12.0,-22966.0,-15364.0
PF02/0001/A052,AL,44.704262,8.425289,12.0,-23313.5,-14693.0
PF03/0001/A052,AL,44.700333,8.41912,52.0,-23748.976,-15182.867
PF01/0002/A052,AL,44.69737,8.413096,50.0,-24077.0,-15661.0
PF02/0002/A052,AL,44.69522,8.412247,50.0,-24315.837,-15728.898
PF03/0002/A052,AL,44.70021,8.406149,50.0,-23760.145,-16210.749
PF04/0002/A052,AL,44.699346,8.429578,52.0,-23860.55,-14354.298
PF01/0003/A052,AL,44.702927,8.434588,54.0,-23463.482,-13956.419
PF02/0003/A052,AL,44.70727,8.43601,54.0,-22981.163,-13842.709
PF03/0003/A052,AL,44.705028,8.440059,52.0,-23230.935,-13522.43
PF04/0003/A052,AL,44.698854,8.440554,54.0,-23917.058,-13484.59
PF06/0003/A052,AL,44.701667,8.439398,7.0,-23604.32,-13575.58
PF07/0003/A052,AL,44.708106,8.431018,54.0,-22887.375,-14238.024
PF08/0003/A052,AL,44.707296,8.439165,52.0,-22978.819,-13592.729
PF09/0003/A052,AL,44.705122,8.437646,52.0,-23220.151,-13713.59
PF01/0004/A052,AL,44.704591,8.441561,52.0,-23279.787,-13403.46
PF04/0004/A052,AL,44.705253,8.450108,52.0,-23207.603,-12726.04
PF05/0004/A052,AL,44.696007,8.442894,52.0,-24233.829,-13299.841
PF06/0004/A052,AL,44.699877,8.4432,54.0,-23803.892,-13274.708
PF08/0004/A052,AL,44.697107,8.447128,52.0,-24112.31,-12963.998
PF10/0004/A052,AL,44.699017,8.451438,52.0,-23900.722,-12621.997
PF11/0004/A052,AL,44.702842,8.45226,52.0,-23475.877,-12556.084
PF12/0004/A052,AL,44.70252,8.443861,52.0,-23510.326,-13221.705
PF13/0004/A052,AL,44.705458,8.444275,50.0,-23183.889,-13188.216
PF01/0005/A052,AL,44.699961,8.459653,50.0,-23797.063,-11970.8
PF02/0005/A052,AL,44.698561,8.462455,54.0,-23952.982,-11749.053
PF04/0005/A052,AL,44.704778,8.454483,52.0,-23261.067,-12379.454
PF05/0005/A052,AL,44.699544,8.465035,52.0,-23844.182,-11544.365
PF06/0005/A052,AL,44.702444,8.456986,52.0,-23520.788,-12181.654
PF07/0005/A052,AL,44.701159,8.466007,52.0,-23664.836,-11467.005
PF03/0006/A052,AL,44.695843,8.462631,54.0,-24255.096,-11735.648
PF05/0006/A052,AL,44.690826,8.46643,54.0,-24812.999,-11435.528
PF07/0006/A052,AL,44.69933,8.455721,52.0,-23866.568,-12282.554
PF08/0006/A052,AL,44.697522,8.459062,52.0,-24067.986,-12018.104
PF09/0006/A052,AL,44.694326,8.466748,54.0,-24424.248,-11409.647
PF10/0006/A052,AL,44.694226,8.45764,54.0,-24433.948,-12131.486
PF11/0006/A052,AL,44.695121,8.452745,52.0,-24333.777,-12519.305
PF12/0006/A052,AL,44.697434,8.451687,52.0,-24076.662,-12602.632
PF13/0006/A052,AL,44.692574,8.467238,54.0,-24618.929,-11371.185
PF02/0007/A052,AL,44.693616,8.470268,54.0,-24503.612,-11130.839
PF03/0007/A052,AL,44.695731,8.468413,54.0,-24268.349,-11277.43
PF04/0007/A052,AL,44.696723,8.476461,52.0,-24159.175,-10639.402
PF05/0007/A052,AL,44.696493,8.471815,52.0,-24184.064,-11007.607
PF06/0007/A052,AL,44.699292,8.471715,52.0,-23873.045,-11015.061
PF07/0007/A052,AL,44.695126,8.477948,52.0,-24336.835,-10521.823
PF01/0008/A052,AL,44.699105,8.48636,52.0,-23895.699,-9854.452
PF04/0008/A052,AL,44.697534,8.483443,52.0,-24069.977,-10085.947
PF06/0008/A052,AL,44.693682,8.48317,52.0,-24497.941,-10108.212
PF07/0008/A052,AL,44.69339,8.479023,52.0,-24529.851,-10436.988
PF08/0008/A052,AL,44.700079,8.479811,52.0,-23786.678,-10373.341
PF09/0008/A052,AL,44.701649,8.487741,52.0,-23613.254,-9744.616
PF10/0008/A052,AL,44.691896,8.484356,12.0,-24696.5,-10014.5
PF12/0008/A052,AL,44.697296,8.488126,52.0,-24096.909,-9714.81
PF13/0008/A052,AL,44.693326,8.485602,12.0,-24537.8,-9915.55
PF14/0008/A052,AL,44.695775,8.481002,52.0,-24265.108,-10279.649
PF15/0008/A052,AL,44.701901,8.483755,52.0,-23584.797,-10060.408
PF16/0008/A052,AL,44.693702,8.487403,12.0,-24496.243,-9772.716
PF01/0009/A052,AL,44.706617,8.454131,52.0,-23056.702,-12407.001
PF02/0009/A052,AL,44.690677,8.496849,52.0,-24833.43,-9024.575
PF03/0009/A052,AL,44.699704,8.489862,52.0,-23829.564,-9576.825
PF05/0009/A052,AL,44.694709,8.499799,52.0,-24385.697,-8790.151
PF06/0009/A052,AL,44.696033,8.496287,52.0,-24238.207,-9068.258
PF08/0009/A052,AL,44.6901,8.492767,52.0,-24897.095,-9348.196
PF09/0009/A052,AL,44.691801,8.500541,52.0,-24708.949,-8731.718
PF10/0009/A052,AL,44.689889,8.500426,52.0,-24921.356,-8741.18
PF11/0009/A052,AL,44.688034,8.500322,52.0,-25127.438,-8749.692
PF12/0009/A052,AL,44.688261,8.489333,52.0,-25101.07,-9620.646
PF13/0009/A052,AL,44.692236,8.489559,52.0,-24659.334,-9602.082
PF14/0009/A052,AL,44.698072,8.492988,12.0,-24011.3,-9329.35
PF01/0013/A052,AL,44.689655,8.431688,54.0,-24937.756,-14189.494
PF02/0013/A052,AL,44.686238,8.432924,52.0,-25317.56,-14092.349
PF03/0013/A052,AL,44.68447,8.438933,54.0,-25515.036,-13616.438
PF05/0013/A052,AL,44.682235,8.438033,54.0,-25763.287,-13688.309
PF06/0013/A052,AL,44.681597,8.433499,52.0,-25833.415,-14047.885
PF08/0013/A052,AL,44.691407,8.435043,52.0,-24743.579,-13923.105
PF10/0013/A052,AL,44.687075,8.436409,50.0,-25225.177,-13815.915
PF11/0013/A052,AL,44.683918,8.434091,50.0,-25575.542,-14000.355
PF12/0013/A052,AL,44.69519,8.436377,52.0,-24323.462,-13816.523
PF13/0013/A052,AL,44.691836,8.429327,52.0,-24694.922,-14376.055
PF01/0014/A052,AL,44.694237,8.447786,52.0,-24431.306,-12912.532
PF02/0014/A052,AL,44.690776,8.445193,52.0,-24815.449,-13118.807
PF03/0014/A052,AL,44.690411,8.4484,52.0,-24856.528,-12864.686
PF05/0014/A052,AL,44.686417,8.441999,52.0,-25299.257,-13372.943
PF06/0014/A052,AL,44.6846,8.445393,52.0,-25501.702,-13104.305
PF08/0014/A052,AL,44.689396,8.451425,52.0,-24969.76,-12625.159
PF09/0014/A052,AL,44.686028,8.451728,52.0,-25344.026,-12601.846
PF11/0014/A052,AL,44.686312,8.449128,52.0,-25312.035,-12807.889
PF13/0014/A052,AL,44.68315,8.448963,52.0,-25663.316,-12821.673
