identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF03/0001/A092,AN,43.568311,13.339437,50.0,4825280.899,2385909.209
PF05/0001/A092,AN,43.561115,13.346696,12.0,4824469.96,2386479.48
PF04/0002/A092,AN,43.556638,13.360227,50.0,4823951.088,2387562.558
PF06/0002/A092,AN,43.56445,13.364271,50.0,4824812.351,2387906.274
PF08/0002/A092,AN,43.556062,13.357237,12.0,4823891.97,2387319.78
PF09/0002/A092,AN,43.563244,13.360484,50.0,4824684.401,2387597.762
PF10/0002/A092,AN,43.567389,13.365936,12.0,4825136.05,2388047.13
PF11/0002/A092,AN,43.555735,13.353532,50.0,4823861.58,2387019.761
PF02/0003/A092,AN,43.574425,13.371718,12.0,4825908.37,2388529.44
PF03/0003/A092,AN,43.570599,13.371886,50.0,4825483.218,2388534.649
PF04/0003/A092,AN,43.56377,13.371066,50.0,4824725.999,2388453.557
PF07/0003/A092,AN,43.567466,13.372828,50.0,4825133.751,2388603.883
PF08/0003/A092,AN,43.575086,13.366988,50.0,4825989.292,2388148.941
PF09/0003/A092,AN,43.56854,13.369936,12.0,4825257.55,2388372.73
PF01/0004/A092,AN,43.56667,13.378627,12.0,4825036.17,2389070.47
PF02/0004/A092,AN,43.568278,13.392121,8.0,4825193.55,2390163.7
PF04/0004/A092,AN,43.571409,13.391138,50.0,4825542.797,2390091.07
PF05/0004/A092,AN,43.571094,13.382735,50.0,4825521.009,2389411.818
PF06/0004/A092,AN,43.566158,13.387781,50.0,4824964.956,2389808.675
PF01/0005/A092,AN,43.558766,13.324491,50.0,4824245.0,2384680.88
PF02/0005/A092,AN,43.558899,13.329264,12.0,4824252.08,2385066.66
PF03/0005/A092,AN,43.560275,13.322186,12.0,4824416.38,2384498.08
PF05/0005/A092,AN,43.563662,13.327284,50.0,4824784.274,2384917.417
PF06/0005/A092,AN,43.566238,13.331173,50.0,4825064.04,2385237.243
PF01/0006/A092,AN,43.554673,13.333552,12.0,4823775.69,2385403.57
PF02/0006/A092,AN,43.556725,13.33155,12.0,4824006.94,2385246.42
PF03/0006/A092,AN,43.558732,13.340413,12.0,4824215.47,2385966.75
PF05/0006/A092,AN,43.562227,13.334354,12.0,4824613.39,2385485.15
PF06/0006/A092,AN,43.565402,13.337362,12.0,4824961.14,2385735.2
PF07/0006/A092,AN,43.566784,13.33482,50.0,4825118.738,2385532.997
PF08/0006/A092,AN,43.562617,13.340007,12.0,4824647.65,2385942.57
PF01/0007/A092,AN,43.560049,13.344176,8.0,4824355.68,2386273.64
PF04/0007/A092,AN,43.563673,13.342645,12.0,4824760.6,2386158.0
