identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A094,AO,45.178094,8.452258,12.0,12021.619,11295.962
PF01/0004/A094,AO,45.190087,8.537287,52.0,13369.779,17974.805
PF02/0004/A094,AO,45.191467,8.539964,52.0,13523.683,18184.735
PF01/0005/A094,AO,45.16583,8.531829,1.0,10673.036,17553.429
PF02/0005/A094,AO,45.162391,8.530158,10.0,10290.519,17423.11
PF01/0006/A094,AO,45.150332,8.508814,8.0,8946.12,15748.47
PF02/0006/A094,AO,45.14921,8.509281,52.0,8821.55,15785.49
PF03/0006/A094,AO,45.151613,8.510295,52.0,9088.81,15864.55
PF04/0006/A094,AO,45.151035,8.506922,52.0,9023.86,15599.51
PF05/0006/A094,AO,45.165041,8.527432,10.0,10584.402,17207.988
PF06/0006/A094,AO,45.147886,8.506132,12.0,8673.768,15538.284
PF01/0009/A094,AO,45.14427,8.49015,12.0,8269.059,14282.412
PF02/0011/A094,AO,45.133684,8.493325,52.0,7093.245,14534.815
PF03/0011/A094,AO,45.135659,8.491041,52.0,7312.284,14354.647
PF04/0011/A094,AO,45.130617,8.490234,52.0,6751.908,14292.471
PF05/0011/A094,AO,45.137942,8.490262,12.0,7565.927,14292.86
PF06/0011/A094,AO,45.143178,8.485029,12.0,8146.809,13880.028
PF01/0012/A094,AO,45.127607,8.463053,52.0,6412.99,12155.125
PF02/0012/A094,AO,45.131075,8.465998,52.0,6798.77,12385.967
PF03/0012/A094,AO,45.122287,8.461555,10.0,5821.572,12038.403
PF01/0013/A094,AO,45.124042,8.478674,52.0,6019.289,13384.706
PF02/0013/A094,AO,45.103754,8.477091,52.0,3764.559,13264.9
PF03/0013/A094,AO,45.123999,8.489933,52.0,6016.438,14270.393
PF04/0013/A094,AO,45.124264,8.486684,52.0,6045.292,14014.758
PF05/0013/A094,AO,45.122013,8.486224,52.0,5795.139,13979.141
PF01/0014/A094,AO,45.12565,8.495918,52.0,6201.039,14740.792
PF02/0014/A094,AO,45.12156,8.500291,12.0,5747.324,15085.912
PF02/0015/A094,AO,45.112389,8.504538,8.0,4728.97,15422.51
PF03/0015/A094,AO,45.119894,8.505028,52.0,5563.119,15459.023
