identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A044,AP,44.253557,12.257961,8.0,-30808.42,40317.57
PF01/0002/A044,AP,44.253131,12.271947,52.0,-30848.784,41434.676
PF01/0003/A044,AP,44.252631,12.237391,8.0,-30921.14,38675.53
PF01/0004/A044,AP,44.243772,12.25484,20.0,-31897.068,40074.949
PF01/0005/A044,AP,44.245231,12.267417,8.0,-31728.74,41078.41
PF02/0005/A044,AP,44.249602,12.268353,12.0,-31242.6,41150.1
PF01/0006/A044,AP,44.251457,12.269698,52.0,-31035.828,41256.253
PF01/0007/A044,AP,44.243104,12.282612,52.0,-31957.379,42293.433
PF50/0007/A044,AP,44.350924,12.720696,20.0,-19658.926,77139.722
PF08/0008/A044,AP,44.219578,12.290533,11.0,-34567.1,42943.2
PF01/0009/A044,AP,44.241628,12.260576,20.0,-32132.467,40534.569
PF02/0009/A044,AP,44.244874,12.261569,20.0,-31771.37,40611.639
PF03/0009/A044,AP,44.236917,12.255026,10.0,-32658.6,40094.5
PF50/0009/A044,AP,44.349822,12.739766,21.0,-19763.259,78661.365
PF01/0010/A044,AP,44.240417,12.265592,10.0,-32264.5,40936.0
PF02/0010/A044,AP,44.237407,12.263703,10.0,-32599.9,40787.2
PF50/0010/A044,AP,44.374675,12.704088,21.0,-17035.554,75785.118
PF01/0012/A044,AP,44.236264,12.295046,52.0,-32710.85,43291.525
PF02/0012/A044,AP,44.232874,12.288167,52.0,-33091.044,42744.556
PF04/0012/A044,AP,44.233215,12.290397,10.0,-33052.1,42922.4
PF01/0014/A044,AP,44.235071,12.219317,6.0,-32880.47,37243.34
PF01/0017/A044,AP,44.224968,12.247182,8.0,-33989.95,39475.9
PF02/0017/A044,AP,44.224765,12.225984,52.0,-34022.471,37782.501
PF01/0018/A044,AP,44.229292,12.261209,10.0,-33502.7,40593.6
PF02/0018/A044,AP,44.22541,12.256257,12.0,-33936.54,40200.64
PF01/0019/A044,AP,44.230267,12.266861,52.0,-33391.643,41044.422
PF02/0019/A044,AP,44.228226,12.267645,52.0,-33617.998,41108.462
PF03/0019/A044,AP,44.229911,12.264503,52.0,-33432.37,40856.272
PF04/0019/A044,AP,44.231484,12.262888,10.0,-33258.4,40726.2
PF50/0019/A044,AP,44.327881,12.734369,20.0,-22206.263,78260.345
PF01/0020/A044,AP,44.226927,12.269852,54.0,-33761.167,41285.663
PF01/0021/A044,AP,44.23142,12.278616,8.0,-33257.57,41982.65
PF01/0022/A044,AP,44.232428,12.290953,52.0,-33139.194,42967.417
PF02/0022/A044,AP,44.22936,12.29229,8.0,-33479.31,43076.41
PF03/0022/A044,AP,44.228163,12.28799,52.0,-33614.62,42733.822
PF04/0022/A044,AP,44.225313,12.285829,10.0,-33932.4,42563.2
PF05/0022/A044,AP,44.226859,12.292387,10.0,-33757.2,43086.0
PF06/0022/A044,AP,44.231329,12.294433,52.0,-33259.46,43246.203
PF07/0022/A044,AP,44.22538,12.285852,52.0,-33924.932,42565.002
PF04/0023/A044,AP,44.239452,12.318651,10.0,-32343.9,45174.6
PF05/0023/A044,AP,44.237532,12.319294,52.0,-32556.863,45227.378
PF06/0023/A044,AP,44.237441,12.319229,11.0,-32567.1,45222.3
PF07/0023/A044,AP,44.230491,12.318567,52.0,-33339.607,45174.703
PF09/0023/A044,AP,44.232767,12.320286,10.0,-33085.8,45310.3
PF09/0023/A044,AP,44.320663,12.715417,20.0,-23026.042,76758.343
PF12/0023/A044,AP,44.230814,12.323493,12.0,-33301.0,45568.0
PF01/0024/A044,AP,44.226767,12.330511,52.0,-33746.757,46131.796
PF02/0024/A044,AP,44.227938,12.327625,52.0,-33618.174,45900.327
PF03/0024/A044,AP,44.224882,12.319293,10.0,-33962.4,45237.0
PF03/0025/A044,AP,44.232663,12.331601,52.0,-33091.001,46214.242
PF07/0025/A044,AP,44.23389,12.327151,10.0,-32957.2,45857.8
PF08/0025/A044,AP,44.2338,12.326944,52.0,-32967.327,45841.316
PF09/0025/A044,AP,44.230847,12.328612,52.0,-33294.407,45976.895
PF10/0025/A044,AP,44.229312,12.331379,52.0,-33463.489,46199.107
PF11/0025/A044,AP,44.242258,12.325007,10.0,-32028.7,45680.1
PF01/0026/A044,AP,44.233393,12.335104,52.0,-33007.915,46493.504
PF04/0026/A044,AP,44.23305,12.343086,52.0,-33041.466,47131.307
PF05/0026/A044,AP,44.232882,12.347437,52.0,-33057.686,47478.993
PF06/0026/A044,AP,44.231548,12.340895,52.0,-33209.634,46957.548
PF09/0026/A044,AP,44.229117,12.338707,52.0,-33480.935,46784.673
PF11/0026/A044,AP,44.229552,12.339873,10.0,-33432.0,46877.5
PF14/0026/A044,AP,44.231574,12.340851,52.0,-33206.796,46954.018
PF15/0026/A044,AP,44.228768,12.34215,10.0,-33517.8,47060.0
PF01/0027/A044,AP,44.218961,12.213842,8.0,-34672.94,36816.06
PF02/0027/A044,AP,44.220148,12.225047,52.0,-34535.882,37710.583
PF03/0027/A044,AP,44.221316,12.225377,52.0,-34405.976,37736.2
PF04/0027/A044,AP,44.225545,12.224255,12.0,-33936.661,37643.889
