identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF08/0001/A018,AQ,42.203366,13.659026,70.0,-5776.754,17801.775
PF14/0001/A018,AQ,42.200774,13.655152,21.0,-6065.464,17482.553
PF15/0001/A018,AQ,42.199752,13.666301,21.0,-6176.552,18403.547
PF01/0009/A018,AQ,42.195518,13.696464,70.0,-6639.893,20895.827
PF07/0009/A018,AQ,42.193257,13.697299,20.0,-6890.8,20965.556
PF05/0011/A018,AQ,42.200364,13.668885,21.0,-6108.016,18616.782
PF02/0012/A018,AQ,42.197951,13.66786,70.0,-6376.229,18532.825
PF07/0012/A018,AQ,42.19673,13.661215,21.0,-6513.304,17984.426
PF08/0013/A018,AQ,42.192488,13.689746,21.0,-6978.033,20341.934
PF05/0015/A018,AQ,42.1904,13.701357,12.0,-7207.054,21301.667
PF08/0015/A018,AQ,42.194428,13.700288,12.0,-6760.0,21212.0
PF09/0015/A018,AQ,42.187022,13.700956,21.0,-7582.364,21269.611
PF09/0020/A018,AQ,42.179222,13.717705,21.0,-8444.379,22655.866
PF09/0024/A018,AQ,42.173079,13.718756,20.0,-9126.342,22744.883
PF03/0025/A018,AQ,42.176259,13.718665,70.0,-8773.205,22736.19
PF06/0025/A018,AQ,42.179782,13.721507,20.0,-8381.166,22969.69
PF02/0029/A018,AQ,42.175771,13.733469,21.0,-8823.32,23959.36
PF01/0030/A018,AQ,42.176596,13.72215,70.0,-8734.843,23024.017
PF03/0030/A018,AQ,42.172524,13.72643,21.0,-9185.93,23379.063
PF04/0031/A018,AQ,42.165488,13.73184,21.0,-9965.876,23828.689
PF01/0033/A018,AQ,42.172638,13.741206,21.0,-9169.141,24599.722
PF01/0001/A100,AQ,42.119771,13.58059,8.0,-15074.58,11339.7
PF02/0001/A100,AQ,42.109254,13.586229,8.0,-16241.89,11807.92
PF01/0003/A100,AQ,42.095338,13.582164,6.0,-17787.94,11474.26
PF02/0003/A100,AQ,42.088602,13.580926,8.0,-18536.25,11373.09
PF01/0004/A100,AQ,42.088294,13.602606,8.0,-18567.31,13166.62
PF01/0005/A100,AQ,42.080341,13.559207,50.0,-19456.41,9577.613
PF02/0005/A100,AQ,42.08138,13.564037,50.0,-19340.486,9977.032
PF03/0005/A100,AQ,42.085878,13.560345,52.0,-18841.299,9670.903
PF04/0005/A100,AQ,42.083361,13.561608,52.0,-19120.74,9775.791
PF06/0005/A100,AQ,42.083845,13.558003,70.0,-19067.357,9477.425
PF07/0005/A100,AQ,42.078845,13.554446,70.0,-19623.082,9183.901
PF08/0005/A100,AQ,42.084845,13.562785,52.0,-18955.808,9872.951
PF09/0005/A100,AQ,42.08465,13.560254,52.0,-18977.695,9663.587
PF11/0005/A100,AQ,42.084398,13.56869,12.0,-19004.715,10361.503
PF01/0006/A100,AQ,42.083918,13.580845,50.0,-19056.522,11367.214
PF02/0006/A100,AQ,42.088407,13.584568,52.0,-18557.357,11674.379
PF03/0006/A100,AQ,42.085766,13.578243,50.0,-18851.58,11151.63
PF01/0007/A100,AQ,42.085916,13.588215,52.0,-18833.522,11976.572
PF02/0007/A100,AQ,42.08524,13.58459,50.0,-18909.095,11676.809
PF01/0008/A100,AQ,42.084626,13.591729,52.0,-18976.361,12267.507
PF01/0009/A100,AQ,42.071821,13.562843,6.0,-20402.24,9879.75
PF02/0009/A100,AQ,42.072594,13.554669,8.0,-20317.32,9203.22
PF03/0009/A100,AQ,42.071971,13.562607,9.0,-20385.56,9860.2
PF04/0009/A100,AQ,42.075614,13.551052,56.0,-19982.246,8903.541
PF05/0009/A100,AQ,42.072789,13.552472,70.0,-20295.898,9021.429
PF06/0009/A100,AQ,42.07598,13.554064,54.0,-19941.32,9152.718
PF07/0009/A100,AQ,42.078786,13.561753,50.0,-19628.764,9788.469
PF09/0009/A100,AQ,42.071769,13.559382,12.0,-20408.345,9593.391
PF10/0009/A100,AQ,42.074336,13.562793,12.0,-20122.906,9875.228
PF11/0009/A100,AQ,42.071281,13.567365,12.0,-20461.652,10253.994
PF12/0009/A100,AQ,42.077604,13.558089,70.0,-19760.471,9485.514
PF13/0009/A100,AQ,42.079536,13.56719,12.0,-19544.84,10238.2
PF01/0010/A100,AQ,42.0831,13.575158,50.0,-19148.026,10896.847
PF01/0011/A100,AQ,42.083592,13.587954,50.0,-19091.745,11955.388
PF02/0011/A100,AQ,42.081432,13.582897,52.0,-19332.247,11537.403
PF03/0011/A100,AQ,42.078394,13.583252,52.0,-19669.656,11567.292
PF04/0011/A100,AQ,42.076157,13.586888,12.0,-19917.608,11868.563
PF01/0012/A100,AQ,42.078841,13.592801,70.0,-19618.65,12357.328
PF02/0012/A100,AQ,42.079953,13.590652,8.0,-19495.43,12179.34
PF05/0012/A100,AQ,42.080183,13.588295,50.0,-19470.233,11984.22
PF06/0012/A100,AQ,42.080686,13.593005,70.0,-19413.778,12373.874
PF07/0012/A100,AQ,42.082076,13.59188,70.0,-19259.523,12280.502
PF08/0012/A100,AQ,42.081732,13.590695,50.0,-19297.901,12182.503
PF10/0012/A100,AQ,42.083248,13.590004,52.0,-19129.623,12125.03
PF13/0012/A100,AQ,42.083162,13.58996,50.0,-19139.125,12121.446
PF14/0012/A100,AQ,42.078603,13.588097,52.0,-19645.74,11968.178
PF15/0012/A100,AQ,42.078677,13.590497,70.0,-19637.242,12166.758
PF03/0013/A100,AQ,42.081879,13.593215,52.0,-19281.223,12390.952
PF05/0013/A100,AQ,42.080146,13.595812,54.0,-19473.347,12606.162
