identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0002/A291,AR,43.605674,11.955714,10.0,32198.3,50359.7
PF02/0002/A291,AR,43.607117,11.958885,10.0,32360.5,50614.5
PF03/0002/A291,AR,43.602543,11.960242,10.0,31853.2,50727.9
PF01/0005/A291,AR,43.589977,11.964497,10.0,30459.8,51082.0
PF02/0005/A291,AR,43.591956,11.963937,52.0,30679.402,51035.115
PF03/0005/A291,AR,43.592273,11.966583,52.0,30716.188,51248.465
PF04/0005/A291,AR,43.589198,11.971946,52.0,30377.961,51684.115
PF05/0005/A291,AR,43.593509,11.973103,52.0,30857.513,51773.853
PF06/0005/A291,AR,43.591546,11.974907,52.0,30640.59,51921.189
PF01/0006/A291,AR,43.59367,11.980473,10.0,30880.1,52368.8
PF02/0006/A291,AR,43.586528,11.980412,12.0,30086.65,52370.0
PF01/0007/A291,AR,43.585996,11.995437,8.0,30037.11,53583.77
PF02/0007/A291,AR,43.297245,11.741232,20.0,-2172.603,33214.246
PF04/0007/A291,AR,43.588072,11.991239,52.0,30265.042,53242.977
PF01/0008/A291,AR,43.592603,12.005638,52.0,30777.667,54401.515
PF02/0008/A291,AR,43.589798,11.999869,52.0,30462.278,53938.237
PF03/0008/A291,AR,43.587819,12.006557,10.0,30246.788,54480.018
PF04/0008/A291,AR,43.586379,12.002683,52.0,30084.354,54168.554
PF05/0008/A291,AR,43.300584,11.746913,21.0,-1799.368,33673.33
PF06/0008/A291,AR,43.585492,11.999979,10.0,29984.0,53951.0
PF01/0010/A291,AR,43.581726,12.035893,52.0,29589.616,56854.554
PF02/0010/A291,AR,43.584627,12.034971,52.0,29911.219,56777.426
PF01/0011/A291,AR,43.596912,12.028769,52.0,31271.784,56265.159
PF01/0012/A291,AR,43.587325,12.045043,52.0,30217.851,57588.173
PF02/0012/A291,AR,43.579263,12.037755,8.0,29317.21,57007.27
PF03/0012/A291,AR,43.582779,12.044106,52.0,29712.219,57516.837
PF01/0013/A291,AR,43.591362,12.053076,52.0,30672.027,58232.885
PF02/0013/A291,AR,43.589989,12.047859,52.0,30515.76,57812.977
PF01/0014/A291,AR,43.581652,11.968851,52.0,29537.73,51440.626
PF01/0015/A291,AR,43.578342,11.976341,52.0,29174.619,52048.323
PF02/0015/A291,AR,43.576427,11.978408,52.0,28963.148,52216.958
PF03/0015/A291,AR,43.577989,11.978774,52.0,29136.968,52245.121
PF04/0015/A291,AR,43.580486,11.980907,12.0,29415.65,52415.25
PF01/0016/A291,AR,43.585774,11.987029,52.0,30007.011,52904.979
PF02/0016/A291,AR,43.579217,11.989407,52.0,29280.118,53102.786
PF03/0016/A291,AR,43.584582,11.988979,12.0,29875.8,53063.5
PF04/0016/A291,AR,43.577429,11.988595,4.0,29081.0,53038.8
PF05/0016/A291,AR,43.58245,11.984262,4.0,29636.0,52684.5
PF01/0017/A291,AR,43.583344,11.997063,52.0,29743.485,53717.426
PF02/0017/A291,AR,43.578514,12.00649,52.0,29213.021,54483.05
PF03/0017/A291,AR,43.585225,11.991637,52.0,29949.033,53277.558
PF04/0017/A291,AR,43.583914,11.993459,52.0,29804.464,53425.853
PF01/0018/A291,AR,43.57841,12.028489,52.0,29216.133,56259.777
PF01/0019/A291,AR,43.575086,12.033317,52.0,28850.185,56652.809
PF02/0019/A291,AR,43.575448,12.035706,52.0,28892.057,56845.382
PF03/0019/A291,AR,43.572564,12.0344,52.0,28570.796,56742.567
PF04/0019/A291,AR,43.572826,12.029675,52.0,28596.698,56360.728
PF05/0019/A291,AR,43.571722,12.036457,12.0,28478.6,56909.5
PF01/0020/A291,AR,43.576805,12.035518,52.0,29042.672,56828.947
PF02/0020/A291,AR,43.573955,12.050883,52.0,28736.654,58072.581
PF03/0020/A291,AR,43.5758,12.042164,52.0,28935.547,57366.589
PF04/0020/A291,AR,43.576395,12.038634,52.0,28999.267,57080.993
PF05/0020/A291,AR,43.57718,12.055068,52.0,29097.827,58407.416
PF06/0020/A291,AR,43.577825,12.043603,52.0,29161.505,57480.88
PF07/0020/A291,AR,43.574068,12.037523,12.0,28740.0,56993.4
PF01/0021/A291,AR,43.574296,12.062966,52.0,28783.036,59048.098
PF02/0021/A291,AR,43.572241,12.055412,52.0,28549.453,58440.028
PF01/0023/A291,AR,43.566709,11.983834,52.0,27887.067,52663.662
PF01/0024/A291,AR,43.566983,11.988908,12.0,27920.65,53073.25
PF16/0024/A291,AR,43.25276,11.820649,21.0,-7079.657,39686.668
PF01/0026/A291,AR,43.576636,12.009821,52.0,29006.643,54753.742
PF01/0027/A291,AR,43.574412,12.014974,52.0,28762.997,55171.927
PF01/0028/A291,AR,43.568672,12.036566,52.0,28139.892,56921.22
PF02/0028/A291,AR,43.563934,12.034068,52.0,27611.753,56723.873
PF03/0028/A291,AR,43.564386,12.02629,52.0,27656.692,56095.141
PF04/0028/A291,AR,43.566931,12.029235,52.0,27941.46,56330.712
PF05/0028/A291,AR,43.565828,12.040094,52.0,27826.33,57208.874
PF06/0028/A291,AR,43.569694,12.034659,52.0,28252.07,56766.243
PF07/0028/A291,AR,43.569879,12.025081,52.0,28266.163,55992.435
PF08/0028/A291,AR,43.565434,12.037981,52.0,27781.071,57038.56
PF09/0028/A291,AR,43.567556,12.028009,4.0,28010.112,56231.054
PF01/0029/A291,AR,43.57063,12.041007,52.0,28360.43,57278.079
PF02/0029/A291,AR,43.573063,12.038929,52.0,28629.27,57107.942
PF03/0029/A291,AR,43.570574,12.038326,52.0,28352.384,57061.569
PF04/0029/A291,AR,43.569126,12.052728,52.0,28201.495,58226.208
PF05/0029/A291,AR,43.567295,12.051744,52.0,27997.416,58148.472
