identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF03/0001/A072,AT,44.804127,8.235233,52.0,-12165.204,-29702.062
PF56/0001/A072,AT,44.801461,8.230712,21.0,-12459.808,-30061.044
PF18/0002/A072,AT,44.805807,8.24514,52.0,-11982.083,-28917.523
PF63/0002/A072,AT,44.798586,8.246128,21.0,-12784.781,-28842.969
PF01/0003/A072,AT,44.800059,8.262175,52.0,-12626.664,-27572.767
PF26/0003/A072,AT,44.79942,8.259072,52.0,-12696.616,-27818.582
PF70/0003/A072,AT,44.795997,8.257352,21.0,-13076.418,-27956.247
PF09/0004/A072,AT,44.80215,8.264677,52.0,-12395.251,-27373.819
PF10/0004/A072,AT,44.80031,8.271621,52.0,-12601.935,-26825.37
PF12/0004/A072,AT,44.793027,8.267923,21.0,-13410.054,-27121.295
PF05/0005/A072,AT,44.787151,8.220219,52.0,-14045.89,-30898.798
PF57/0005/A072,AT,44.792732,8.226275,52.0,-13428.082,-30416.686
PF58/0005/A072,AT,44.796917,8.229272,21.0,-12964.129,-30177.348
PF02/0006/A072,AT,44.787013,8.247794,52.0,-14071.347,-28716.91
PF11/0006/A072,AT,44.792696,8.241602,21.0,-13437.709,-29203.972
PF03/0007/A072,AT,44.790244,8.24944,52.0,-13712.873,-28585.051
PF05/0007/A072,AT,44.793633,8.247403,52.0,-13335.651,-28744.556
PF06/0007/A072,AT,44.792385,8.250499,21.0,-13475.431,-28500.193
PF65/0008/A072,AT,44.793562,8.257067,21.0,-13346.917,-27979.978
PF03/0009/A072,AT,44.781598,8.256271,52.0,-14675.957,-28048.776
PF21/0009/A072,AT,44.787617,8.264554,21.0,-14010.016,-27390.447
PF02/0010/A072,AT,44.784081,8.219079,52.0,-14386.618,-30990.661
PF56/0010/A072,AT,44.779027,8.220653,21.0,-14948.746,-30868.794
PF01/0011/A072,AT,44.781837,8.252877,52.0,-14648.22,-28317.196
PF55/0011/A072,AT,44.778133,8.239492,21.0,-15055.082,-29378.343
PF56/0011/A072,AT,44.782602,8.247313,21.0,-14561.362,-28757.172
PF04/0012/A072,AT,44.773847,8.225518,52.0,-15526.224,-30486.474
PF52/0012/A072,AT,44.778618,8.229544,21.0,-14997.538,-30165.384
PF08/0013/A072,AT,44.778483,8.235522,21.0,-15014.743,-29692.305
PF05/0014/A072,AT,44.777767,8.255222,52.0,-15101.326,-28133.665
PF06/0014/A072,AT,44.778473,8.250888,52.0,-15021.358,-28476.272
PF62/0014/A072,AT,44.774958,8.257061,21.0,-15414.119,-27989.471
PF03/0015/A072,AT,44.777318,8.266944,52.0,-15155.216,-27206.165
PF52/0015/A072,AT,44.780322,8.259746,21.0,-14818.951,-27774.363
PF01/0001/A173,AT,45.094157,7.967451,52.0,20195.162,-50629.049
PF02/0001/A173,AT,45.093715,7.975904,52.0,20140.825,-49964.142
PF03/0001/A173,AT,45.089109,7.96358,52.0,19636.651,-50938.2
PF04/0001/A173,AT,45.096307,7.966499,52.0,20434.695,-50702.053
PF05/0001/A173,AT,45.10003,7.967875,52.0,20847.528,-50590.487
PF01/0002/A173,AT,45.080234,7.96121,52.0,18652.028,-51132.68
PF03/0002/A173,AT,45.083576,7.954613,52.0,19027.595,-51649.005
PF04/0002/A173,AT,45.079957,7.956716,52.0,18624.032,-51486.686
PF05/0002/A173,AT,45.083328,7.962189,52.0,18995.13,-51052.822
PF52/0002/A173,AT,45.078627,7.964158,52.0,18471.604,-50902.032
PF01/0003/A173,AT,45.084054,7.968891,52.0,19071.66,-50524.62
PF02/0003/A173,AT,45.081387,7.964091,52.0,18778.277,-50904.837
PF03/0003/A173,AT,45.08704,7.963478,52.0,19406.87,-50948.087
PF02/0004/A173,AT,45.091878,7.980583,52.0,19933.784,-49597.433
PF04/0004/A173,AT,45.088875,7.978309,10.0,19601.5,-49779.0
PF05/0004/A173,AT,45.08937,7.983072,52.0,19653.602,-49403.697
PF11/0004/A173,AT,45.082525,7.977974,52.0,18896.108,-49810.938
PF12/0004/A173,AT,45.084119,7.984306,52.0,19069.383,-49311.115
PF17/0004/A173,AT,45.084054,7.980426,52.0,19064.522,-49616.552
PF18/0004/A173,AT,45.093351,7.983146,52.0,20095.943,-49394.456
PF04/0005/A173,AT,45.076545,7.972186,10.0,18235.2,-50271.8
PF53/0005/A173,AT,45.078521,7.969204,52.0,18456.569,-50504.798
PF02/0006/A173,AT,45.082632,7.987081,52.0,18902.406,-49093.882
PF51/0006/A173,AT,45.080832,7.981073,12.0,18706.1,-49568.4
PF56/0006/A173,AT,45.07909,7.98551,20.0,18509.84,-49220.643
PF02/0007/A173,AT,45.074563,7.95151,52.0,18028.044,-51901.429
PF03/0007/A173,AT,45.076612,7.960229,52.0,18250.177,-51213.12
PF04/0007/A173,AT,45.073416,7.959317,52.0,17895.57,-51287.768
PF05/0007/A173,AT,45.076434,7.964357,52.0,18227.788,-50888.285
PF09/0007/A173,AT,45.075944,7.967834,52.0,18171.153,-50614.945
PF15/0007/A173,AT,45.072133,7.967804,52.0,17747.626,-50620.688
PF18/0007/A173,AT,45.077478,7.967291,52.0,18341.886,-50656.352
PF20/0007/A173,AT,45.073166,7.968309,52.0,17862.154,-50579.978
PF50/0007/A173,AT,45.072075,7.954349,52.0,17749.665,-51680.142
PF69/0007/A173,AT,45.072056,7.962613,52.0,17742.328,-51029.465
PF71/0007/A173,AT,45.074478,7.966028,52.0,18009.296,-50758.434
PF06/0008/A173,AT,45.075839,7.968997,52.0,18158.681,-50523.531
PF10/0008/A173,AT,45.073695,7.975875,52.0,17916.23,-49983.881
PF17/0008/A173,AT,45.075211,7.977026,52.0,18083.944,-49891.921
PF52/0008/A173,AT,45.080232,7.974583,52.0,18643.417,-50079.897
PF01/0009/A173,AT,45.071922,7.980972,52.0,17716.088,-49584.039
PF03/0009/A173,AT,45.068624,7.983381,8.0,17348.08,-49397.21
PF04/0009/A173,AT,45.0678,7.987346,52.0,17254.137,-49085.726
PF05/0009/A173,AT,45.074245,7.979332,52.0,17975.224,-49711.203
PF06/0009/A173,AT,45.075752,7.989564,52.0,18136.414,-48904.305
PF07/0009/A173,AT,45.070248,7.991904,52.0,17523.369,-48724.769
PF99/0009/A173,AT,45.077062,7.990501,52.0,18281.369,-48829.426
PF01/0010/A173,AT,45.068428,7.994588,52.0,17319.538,-48514.971
PF02/0010/A173,AT,45.072969,7.994454,52.0,17824.191,-48521.67
PF03/0010/A173,AT,45.07058,8.002321,52.0,17554.045,-47904.237
PF05/0001/A300,AT,44.91289,8.316143,21.0,-106.241,-23257.867
PF17/0003/A300,AT,44.903872,8.320024,52.0,-1109.367,-22954.989
PF36/0003/A300,AT,44.908893,8.315972,21.0,-550.271,-23272.988
PF37/0003/A300,AT,44.899886,8.318033,21.0,-1551.702,-23113.851
PF05/0004/A300,AT,44.899769,8.32932,21.0,-1567.857,-22222.495
