identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A101A,AV,40.926206,13.916099,52.0,5138.608,-11254.408
PF05/0001/A101A,AV,40.932158,13.920663,52.0,5794.64,-10861.926
PF06/0001/A101A,AV,40.930201,13.923469,52.0,5574.523,-10628.318
PF07/0001/A101A,AV,40.927394,13.921258,52.0,5265.128,-10818.374
PF09/0001/A101A,AV,40.926437,13.925886,52.0,5154.07,-10430.004
PF11/0001/A101A,AV,40.931772,13.917699,10.0,5754.919,-11112.017
PF12/0001/A101A,AV,40.929778,13.914944,10.0,5536.39,-11346.68
PF14/0001/A101A,AV,40.929922,13.920538,12.0,5546.517,-10875.515
PF15/0001/A101A,AV,40.927428,13.928614,21.0,5261.284,-10198.932
PF02/0002/A101A,AV,40.922118,13.91,52.0,4691.167,-11773.556
PF03/0002/A101A,AV,40.925008,13.912312,52.0,5009.586,-11574.883
PF10/0002/A101A,AV,40.926774,13.928383,52.0,5188.924,-10219.327
PF15/0002/A101A,AV,40.924351,13.929644,52.0,4918.618,-10116.425
PF20/0002/A101A,AV,40.921926,13.915872,52.0,4663.765,-11279.379
PF22/0002/A101A,AV,40.923269,13.927049,52.0,4801.253,-10336.369
PF23/0002/A101A,AV,40.918514,13.922779,52.0,4277.831,-10702.472
PF25/0002/A101A,AV,40.920708,13.927012,10.0,4517.0,-10343.0
PF28/0002/A101A,AV,40.923553,13.924413,12.0,4835.5,-10558.0
PF29/0002/A101A,AV,40.919949,13.920596,12.0,4439.302,-10884.306
PF30/0002/A101A,AV,40.921132,13.922673,20.0,4568.494,-10707.794
PF03/0003/A101A,AV,40.927484,13.93285,52.0,5263.134,-9842.211
PF04/0003/A101A,AV,40.924839,13.932188,21.0,4970.251,-9901.569
PF06/0004/A101A,AV,40.925348,13.935916,52.0,5022.92,-9586.93
PF08/0004/A101A,AV,40.924421,13.940429,12.0,4915.332,-9208.248
PF09/0004/A101A,AV,40.922489,13.935496,52.0,4705.938,-9626.144
PF12/0004/A101A,AV,40.922569,13.941748,52.0,4708.396,-9099.621
PF13/0004/A101A,AV,40.924716,13.943899,52.0,4944.638,-8915.609
PF16/0004/A101A,AV,40.920142,13.940954,12.0,4439.795,-9169.72
PF17/0004/A101A,AV,40.930452,13.936077,12.0,5589.39,-9566.482
PF19/0004/A101A,AV,40.926639,13.937635,20.0,5164.424,-9440.473
PF20/0004/A101A,AV,40.927956,13.935456,12.0,5312.863,-9622.2
PF02/0005/A101A,AV,40.920624,13.929578,52.0,4504.976,-10127.001
PF16/0005/A101A,AV,40.91481,13.940218,52.0,3848.68,-9238.897
PF18/0005/A101A,AV,40.921645,13.931993,52.0,4615.814,-9922.278
PF20/0005/A101A,AV,40.919935,13.933006,12.0,4424.981,-9839.291
PF21/0005/A101A,AV,40.915852,13.938065,18.0,3966.57,-9418.85
PF24/0005/A101A,AV,40.916587,13.932723,21.0,4053.583,-9867.649
PF25/0005/A101A,AV,40.917843,13.936883,10.0,4188.7,-9515.7
PF02/0006/A101A,AV,40.916449,13.910166,52.0,4061.667,-11767.449
PF04/0006/A101A,AV,40.920567,13.913056,52.0,4515.804,-11518.403
PF15/0006/A101A,AV,40.915722,13.927878,52.0,3962.56,-10276.86
PF19/0006/A101A,AV,40.91972,13.916308,52.0,4418.425,-11245.715
PF22/0006/A101A,AV,40.918165,13.913608,12.0,4248.588,-11475.192
PF23/0006/A101A,AV,40.918496,13.909543,10.0,4289.6,-11817.076
PF25/0006/A101A,AV,40.915587,13.920854,12.0,3954.825,-10868.557
PF26/0006/A101A,AV,40.913318,13.927213,10.0,3696.323,-10336.175
PF27/0006/A101A,AV,40.915922,13.915293,21.0,3997.86,-11336.429
PF01/0007/A101A,AV,40.915356,13.90739,52.0,3943.27,-12002.688
PF04/0007/A101A,AV,40.910737,13.908273,52.0,3429.543,-11934.736
PF05/0007/A101A,AV,40.908277,13.911109,52.0,3153.559,-11699.274
PF06/0007/A101A,AV,40.910787,13.911784,52.0,3431.39,-11638.994
PF07/0007/A101A,AV,40.912955,13.91235,12.0,3671.54,-11588.3
PF09/0007/A101A,AV,40.912215,13.9151,52.0,3586.495,-11357.785
PF10/0007/A101A,AV,40.910463,13.91679,52.0,3390.191,-11217.831
PF12/0007/A101A,AV,40.912771,13.918754,52.0,3644.423,-11049.235
PF21/0007/A101A,AV,40.909696,13.923198,21.0,3298.465,-10679.204
PF01/0008/A101A,AV,40.913598,13.92972,52.0,3724.857,-10124.657
PF05/0008/A101A,AV,40.907899,13.930592,12.0,3091.316,-10058.966
PF07/0008/A101A,AV,40.911811,13.932328,52.0,3523.848,-9907.439
PF20/0008/A101A,AV,40.913197,13.934471,20.0,3675.482,-9725.02
PF09/0009/A101A,AV,40.903289,13.925125,52.0,2585.125,-10525.674
PF10/0009/A101A,AV,40.881102,14.050409,10.0,0.0,0.0
PF19/0009/A101A,AV,40.905266,13.926628,52.0,2803.05,-10396.397
PF24/0009/A101A,AV,40.901893,13.929234,12.0,2425.992,-10181.482
PF26/0009/A101A,AV,40.905731,13.918689,20.0,2862.939,-11064.433
PF02/0001/A101B,AV,40.937978,13.922463,52.0,6438.843,-10702.423
PF05/0001/A101B,AV,40.942493,13.927446,52.0,6934.94,-10276.759
PF07/0001/A101B,AV,40.940578,13.929022,52.0,6720.685,-10146.745
PF09/0001/A101B,AV,40.937678,13.926143,52.0,6401.79,-10393.012
PF11/0001/A101B,AV,40.938215,13.929519,52.0,6457.908,-10108.063
PF12/0001/A101B,AV,40.941647,13.933997,52.0,6834.258,-9726.511
PF16/0001/A101B,AV,40.93472,13.931658,52.0,6067.669,-9932.751
PF21/0001/A101B,AV,40.939347,13.924074,10.0,6589.148,-10564.942
PF22/0001/A101B,AV,40.939779,13.934112,12.0,6626.79,-9719.31
PF23/0001/A101B,AV,40.936552,13.932578,20.0,6270.16,-9852.806
PF24/0001/A101B,AV,40.94391,13.930308,12.0,7089.324,-10033.913
PF05/0002/A101B,AV,40.934454,13.928858,52.0,6041.085,-10168.827
PF06/0002/A101B,AV,40.932386,13.926688,52.0,5813.746,-10354.346
PF09/0002/A101B,AV,40.932743,13.931681,52.0,5848.214,-9933.471
PF12/0002/A101B,AV,40.934035,13.93717,52.0,5985.947,-9469.618
PF13/0002/A101B,AV,40.933054,13.924107,52.0,5890.551,-10570.712
PF15/0002/A101B,AV,40.929635,13.928104,52.0,5506.833,-10238.899
PF16/0002/A101B,AV,40.935275,13.923181,12.0,6138.103,-10645.688
PF18/0002/A101B,AV,40.930639,13.933637,21.0,5612.623,-9771.685
PF19/0002/A101B,AV,40.930094,13.930678,12.0,5555.124,-10021.576
PF01/0001/A228,AV,41.059572,13.879508,52.0,19983.036,-14145.301
PF02/0001/A228,AV,41.060494,13.882171,52.0,20082.528,-13920.248
PF03/0001/A228,AV,41.059302,13.88538,52.0,19946.749,-13652.23
PF04/0001/A228,AV,40.881102,14.050409,10.0,0.0,0.0
PF05/0001/A228,AV,40.881102,14.050409,10.0,0.0,0.0
PF06/0001/A228,AV,41.056793,13.882346,52.0,19671.412,-13910.756
PF07/0001/A228,AV,41.057057,13.883787,52.0,19699.255,-13789.281
PF09/0001/A228,AV,41.055847,13.888898,52.0,19559.364,-13361.561
PF10/0001/A228,AV,41.056472,13.892758,52.0,19624.628,-13036.264
PF13/0001/A228,AV,41.053479,13.888331,52.0,19297.112,-13412.523
PF14/0001/A228,AV,41.051407,13.887595,52.0,19067.921,-13477.341
PF16/0001/A228,AV,41.0539,13.886349,52.0,19345.996,-13578.463
PF17/0001/A228,AV,41.055639,13.885081,12.0,19540.442,-13682.614
PF04/0002/A228,AV,41.048324,13.880528,52.0,18733.202,-14075.599
PF05/0002/A228,AV,41.047554,13.883272,52.0,18644.822,-13846.102
PF06/0002/A228,AV,41.049323,13.88472,52.0,18839.599,-13721.918
PF07/0002/A228,AV,41.048375,13.887214,52.0,18731.707,-13513.668
PF11/0002/A228,AV,41.046192,13.879103,52.0,18498.113,-14198.46
PF12/0002/A228,AV,41.044335,13.879763,52.0,18291.252,-14145.563
PF15/0002/A228,AV,41.043094,13.869721,52.0,18164.357,-14991.383
PF17/0002/A228,AV,40.881102,14.050409,10.0,0.0,0.0
PF19/0002/A228,AV,41.04262,13.878813,52.0,18101.862,-14227.865
PF21/0002/A228,AV,41.040737,13.869992,52.0,17902.383,-14972.022
PF22/0002/A228,AV,41.040454,13.87264,52.0,17868.123,-14749.887
PF24/0002/A228,AV,41.04407,13.87195,52.0,18270.228,-14802.625
PF25/0002/A228,AV,41.046105,13.884631,52.0,18482.443,-13733.907
PF26/0002/A228,AV,41.043409,13.877363,52.0,18191.005,-14348.632
PF27/0002/A228,AV,41.043832,13.885717,12.0,18228.95,-13645.85
PF28/0002/A228,AV,41.050228,13.888477,12.0,18936.098,-13404.9
PF29/0002/A228,AV,41.042964,13.872509,12.0,18146.86,-14757.27
PF30/0002/A228,AV,41.043155,13.883699,12.0,18156.0,-13816.5
PF31/0002/A228,AV,41.047503,13.874088,12.0,18649.0,-14618.0
PF32/0002/A228,AV,41.046376,13.871376,12.0,18526.831,-14847.569
PF02/0003/A228,AV,41.046054,13.887189,52.0,18474.048,-13518.994
PF03/0003/A228,AV,41.045282,13.89127,52.0,18383.99,-13177.145
PF06/0003/A228,AV,41.046064,13.888627,52.0,18473.62,-13398.186
PF07/0003/A228,AV,41.043833,13.889197,12.0,18225.36,-13353.38
PF08/0003/A228,AV,41.046483,13.890292,10.0,18518.33,-13257.65
PF09/0003/A228,AV,41.047797,13.889472,12.0,18665.08,-13324.64
PF02/0004/A228,AV,41.051779,13.893343,52.0,19103.011,-12993.732
PF03/0004/A228,AV,41.053836,13.894731,52.0,19329.976,-12874.221
PF04/0004/A228,AV,41.052846,13.899145,52.0,19215.286,-12504.675
PF06/0004/A228,AV,41.053879,13.89844,52.0,19330.751,-12562.436
PF07/0004/A228,AV,41.052195,13.902183,52.0,19139.786,-12250.245
PF08/0004/A228,AV,41.050884,13.890846,52.0,19006.321,-13204.803
PF09/0004/A228,AV,41.04917,13.891635,52.0,18815.207,-13140.928
PF10/0004/A228,AV,41.049838,13.8952,52.0,18885.634,-12840.428
PF11/0004/A228,AV,41.053937,13.897,52.0,19338.717,-12683.392
PF15/0004/A228,AV,41.046569,13.899106,52.0,18518.476,-12516.704
PF17/0004/A228,AV,41.045511,13.894389,52.0,18406.052,-12914.645
PF18/0004/A228,AV,41.049511,13.901564,52.0,18842.5,-12306.0
PF20/0004/A228,AV,41.052122,13.899497,12.0,19134.578,-12476.084
PF21/0004/A228,AV,41.048178,13.893854,12.0,18702.68,-12955.85
PF22/0004/A228,AV,41.048581,13.898093,12.0,18742.912,-12599.0
PF24/0004/A228,AV,41.045213,13.89998,12.0,18367.077,-12445.136
PF25/0004/A228,AV,41.05086,13.89001,12.0,19004.542,-13275.101
PF26/0004/A228,AV,41.053672,13.891976,12.0,19314.606,-13105.922
