identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A048,BA,41.128239,16.663546,8.0,-77.96,-12289.9
PF03/0001/A048,BA,41.131999,16.667243,50.0,339.066,-11978.785
PF04/0001/A048,BA,41.128378,16.668049,52.0,-63.118,-11911.793
PF05/0001/A048,BA,41.124497,16.661759,50.0,-493.177,-12440.601
PF09/0001/A048,BA,41.12822,16.663591,50.0,-80.028,-12286.095
PF10/0001/A048,BA,41.119734,16.664102,50.0,-1022.462,-12244.739
PF11/0001/A048,BA,41.125159,16.666565,52.0,-420.355,-12036.932
PF01/0002/A048,BA,41.126503,16.695809,8.0,-274.77,-9581.29
PF02/0002/A048,BA,41.133172,16.69838,52.0,465.486,-9364.465
PF03/0002/A048,BA,41.130027,16.696951,50.0,116.429,-9484.858
PF04/0002/A048,BA,41.12849,16.700938,50.0,-54.715,-9150.363
PF05/0002/A048,BA,41.130922,16.701814,50.0,215.345,-9076.464
PF06/0002/A048,BA,41.128102,16.692178,50.0,-96.847,-9885.879
PF07/0002/A048,BA,41.126477,16.695962,50.0,-277.658,-9568.404
PF08/0002/A048,BA,41.126131,16.702919,12.0,-316.8,-8984.35
PF02/0003/A048,BA,41.133341,16.706407,50.0,483.401,-8690.53
PF03/0003/A048,BA,41.124872,16.706028,50.0,-456.987,-8723.424
PF05/0003/A048,BA,41.131003,16.708346,12.0,223.62,-8528.0
PF01/0004/A048,BA,41.120879,16.713448,8.0,-901.07,-8100.89
PF03/0004/A048,BA,41.132556,16.716837,52.0,395.337,-7814.928
PF06/0004/A048,BA,41.119588,16.714641,70.0,-1044.511,-8000.877
PF07/0004/A048,BA,41.123202,16.714034,70.0,-643.205,-8051.389
PF08/0004/A048,BA,41.125706,16.714391,70.0,-365.139,-8021.154
PF09/0004/A048,BA,41.126251,16.717023,70.0,-304.867,-7800.077
PF10/0004/A048,BA,41.128028,16.714932,12.0,-107.34,-7975.4
PF11/0004/A048,BA,41.135796,16.713263,12.0,755.35,-8114.6
PF01/0005/A048,BA,41.12789,16.734349,8.0,-124.22,-6345.16
PF03/0005/A048,BA,41.131309,16.734447,52.0,255.412,-6336.633
PF04/0005/A048,BA,41.129396,16.73627,50.0,42.807,-6183.721
PF05/0005/A048,BA,41.139086,16.733936,50.0,1119.007,-6378.712
PF06/0005/A048,BA,41.138651,16.742694,50.0,1070.103,-5643.558
PF07/0005/A048,BA,41.124904,16.743095,50.0,-456.476,-5611.103
PF08/0005/A048,BA,41.123621,16.741036,50.0,-598.766,-5784.043
PF09/0005/A048,BA,41.127804,16.734262,70.0,-133.779,-6352.428
PF10/0005/A048,BA,41.132918,16.736764,50.0,433.878,-6141.898
