identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0901/A057,BG,45.748543,9.967403,52.0,5066584.866,1575276.021
PF03/0901/A057,BG,45.744617,9.964455,12.0,5066146.0,1575052.0
PF04/0901/A057,BG,45.745112,9.968678,50.0,5066204.894,1575379.817
PF01/0903/A057,BG,45.743597,9.961674,12.0,5066030.0,1574837.0
PF02/0903/A057,BG,45.742757,9.956526,52.0,5065931.848,1574437.638
PF03/0903/A057,BG,45.739522,9.965356,52.0,5065580.685,1575128.941
PF04/0903/A057,BG,45.738535,9.966129,52.0,5065471.841,1575190.389
PF05/0903/A057,BG,45.740545,9.956592,52.0,5065686.241,1574445.766
PF06/0903/A057,BG,45.742738,9.952774,10.0,5065926.32,1574145.79
PF07/0903/A057,BG,45.737448,9.958599,12.0,5065344.0,1574606.0
PF01/0904/A057,BG,45.7425,9.967734,50.0,5065913.802,1575309.91
PF02/0904/A057,BG,45.736653,9.969678,12.0,5065266.0,1575469.0
PF01/0906/A057,BG,45.73478,9.954081,52.0,5065043.349,1574258.066
PF03/0906/A057,BG,45.733073,9.955406,8.0,5064854.9,1574363.4
PF01/0907/A057,BG,45.717606,9.947783,50.0,5063129.492,1573790.608
PF02/0908/A057,BG,45.718814,9.952937,50.0,5063268.417,1574190.158
PF01/0909/A057,BG,45.707788,9.930207,52.0,5062022.618,1572435.408
PF02/0909/A057,BG,45.71239,9.933874,50.0,5062537.265,1572714.912
PF01/0910/A057,BG,45.713928,9.936102,52.0,5062710.083,1572886.31
PF02/0910/A057,BG,45.711674,9.935353,52.0,5062458.963,1572830.961
PF03/0910/A057,BG,45.712922,9.942597,52.0,5062604.284,1573393.12
PF04/0910/A057,BG,45.713417,9.939607,52.0,5062656.508,1573159.777
PF05/0910/A057,BG,45.715084,9.939805,50.0,5062841.98,1573173.015
PF06/0910/A057,BG,45.715974,9.942915,52.0,5062943.665,1573413.933
PF07/0910/A057,BG,45.714354,9.947139,50.0,5062767.605,1573744.803
PF08/0910/A057,BG,45.710683,9.945098,52.0,5062357.866,1573590.705
PF09/0910/A057,BG,45.715047,9.94505,52.0,5062842.587,1573581.302
PF01/0912/A057,BG,45.709104,9.975617,50.0,5062210.907,1575968.366
PF02/0912/A057,BG,45.709444,9.974976,10.0,5062248.0,1575918.0
PF02/0914/A057,BG,45.703361,9.9298,52.0,5061530.389,1572409.451
PF03/0914/A057,BG,45.707317,9.931054,12.0,5061971.001,1572502.001
PF01/0915/A057,BG,45.699934,9.942986,52.0,5061161.664,1573440.432
PF02/0915/A057,BG,45.700681,9.940008,52.0,5061241.924,1573207.598
PF03/0915/A057,BG,45.703151,9.935189,50.0,5061511.949,1572829.236
PF04/0915/A057,BG,45.706154,9.946566,52.0,5061856.008,1573710.988
PF05/0915/A057,BG,45.707197,9.941059,52.0,5061966.842,1573280.908
PF06/0915/A057,BG,45.707055,9.937773,50.0,5061948.015,1573025.323
PF07/0915/A057,BG,45.698787,9.940579,52.0,5061032.033,1573254.505
PF08/0915/A057,BG,45.701569,9.937719,50.0,5061338.427,1573028.237
PF02/0916/A057,BG,45.706708,9.958986,12.0,5061929.0,1574677.0
PF03/0916/A057,BG,45.706327,9.964236,52.0,5061891.569,1575086.226
PF04/0916/A057,BG,45.702649,9.95708,12.0,5061476.26,1574534.08
PF05/0916/A057,BG,45.704394,9.967117,50.0,5061679.587,1575313.094
PF06/0916/A057,BG,45.698083,9.957657,12.0,5060969.5,1574585.0
PF01/0917/A057,BG,45.707281,9.979422,12.0,5062012.0,1576267.0
PF02/0917/A057,BG,45.706907,9.971487,50.0,5061962.926,1575649.854
PF03/0917/A057,BG,45.705318,9.969054,50.0,5061784.023,1575462.567
PF04/0917/A057,BG,45.702785,9.970226,50.0,5061503.674,1575557.244
PF05/0917/A057,BG,45.698989,9.968141,12.0,5061080.0,1575400.0
PF01/0918/A057,BG,45.707565,9.992402,10.0,5062056.0,1577277.0
PF01/0920/A057,BG,45.697648,9.942577,52.0,5060907.226,1573411.552
PF03/0920/A057,BG,45.695959,9.944727,52.0,5060721.621,1573581.196
PF04/0920/A057,BG,45.69226,9.937613,52.0,5060304.157,1573032.112
PF05/0920/A057,BG,45.691788,9.944597,52.0,5060258.103,1573576.519
PF06/0920/A057,BG,45.68956,9.944829,52.0,5060010.738,1573597.472
PF08/0920/A057,BG,45.693914,9.942496,52.0,5060492.369,1573410.18
PF09/0920/A057,BG,45.691497,9.950533,52.0,5060231.191,1574039.089
PF11/0920/A057,BG,45.696727,9.936719,52.0,5060799.567,1572956.731
PF12/0920/A057,BG,45.692209,9.941489,12.0,5060302.0,1573334.0
PF13/0920/A057,BG,45.69059,9.940744,50.0,5060121.435,1573278.071
PF14/0920/A057,BG,45.691272,9.934789,52.0,5060191.781,1572813.511
PF15/0920/A057,BG,45.695905,9.949489,10.0,5060720.0,1573952.0
PF02/0921/A057,BG,45.694031,9.950185,52.0,5060512.393,1574008.688
PF03/0921/A057,BG,45.693689,9.954268,50.0,5060478.197,1574326.993
PF05/0921/A057,BG,45.697176,9.960043,52.0,5060871.0,1574772.0
PF06/0921/A057,BG,45.697787,9.956971,12.0,5060936.0,1574532.0
PF08/0921/A057,BG,45.69079,9.951297,12.0,5060153.413,1574099.484
PF09/0921/A057,BG,45.698731,9.950629,12.0,5061035.001,1574037.001
PF01/0923/A057,BG,45.687333,9.947048,50.0,5059765.41,1573773.199
PF02/0923/A057,BG,45.681172,9.947525,52.0,5059081.326,1573818.478
PF04/0923/A057,BG,45.684292,9.948895,50.0,5059429.239,1573921.06
PF02/0924/A057,BG,45.689055,9.952764,12.0,5059962.0,1574216.0
PF01/0932/A057,BG,45.702277,9.941319,52.0,5061420.442,1573307.554
PF02/0932/A057,BG,45.703675,9.939382,50.0,5061574.012,1573154.963
PF01/0902/A058,BG,45.749871,9.968017,10.0,5066733.0,1575322.0
PF03/0902/A058,BG,45.748576,9.971003,10.0,5066592.0,1575556.0
PF01/0904/A058,BG,45.743836,9.977582,52.0,5066071.6,1576074.148
PF02/0904/A058,BG,45.741523,9.980149,12.0,5065817.0,1576277.0
PF03/0904/A058,BG,45.746225,9.97442,12.0,5066334.0,1575825.0
