identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A107,BI,45.72149,8.886332,50.0,32023.675,-2700.945
PF02/0001/A107,BI,45.721288,8.886249,50.0,32001.178,-2707.437
PF03/0001/A107,BI,45.721365,8.886121,50.0,32009.808,-2717.368
PF01/0002/A107,BI,45.695663,8.91098,7.0,29152.9,-782.66
PF02/0002/A107,BI,45.692661,8.914559,54.0,28819.207,-503.935
PF03/0002/A107,BI,45.695608,8.916017,54.0,29146.764,-390.412
PF04/0002/A107,BI,45.700897,8.915404,12.0,29734.474,-438.135
PF05/0002/A107,BI,45.696454,8.913236,12.0,29240.755,-607.001
PF06/0002/A107,BI,45.697097,8.915294,12.0,29312.205,-446.669
PF01/0003/A107,BI,45.686461,8.926218,7.0,28130.14,404.06
PF03/0003/A107,BI,45.695602,8.916022,10.0,29146.0,-390.0
PF01/0005/A107,BI,45.6821,8.93244,54.0,27645.622,888.788
PF03/0005/A107,BI,45.683549,8.931157,52.0,27806.65,788.857
PF04/0005/A107,BI,45.68378,8.930112,52.0,27832.25,707.42
PF05/0005/A107,BI,45.688136,8.929074,52.0,28316.345,626.531
PF01/0006/A107,BI,45.68199,8.936285,52.0,27633.396,1188.323
PF02/0006/A107,BI,45.682918,8.93515,52.0,27736.557,1099.857
PF03/0006/A107,BI,45.683615,8.93691,52.0,27814.018,1236.96
PF04/0006/A107,BI,45.684004,8.936205,52.0,27857.195,1182.04
PF01/0008/A107,BI,45.68679,8.949577,52.0,28167.112,2223.523
PF02/0008/A107,BI,45.685779,8.949551,52.0,28054.803,2221.537
PF03/0008/A107,BI,45.685356,8.950657,52.0,28007.834,2307.726
PF04/0008/A107,BI,45.68499,8.949566,52.0,27967.108,2222.761
PF05/0008/A107,BI,45.682349,8.948494,52.0,27673.51,2139.367
PF07/0008/A107,BI,45.449753,8.859633,21.0,1826.533,-4802.393
PF01/0009/A107,BI,45.684513,8.951165,52.0,27914.08,2347.283
PF02/0009/A107,BI,45.683805,8.952331,52.0,27835.464,2438.174
PF03/0009/A107,BI,45.682403,8.955116,52.0,27679.76,2655.14
PF04/0009/A107,BI,45.68198,8.953362,52.0,27632.701,2518.532
PF05/0009/A107,BI,45.684321,8.955889,52.0,27892.989,2715.27
PF99/0009/A107,BI,45.684964,8.953057,50.0,27964.252,2494.63
PF01/0010/A107,BI,45.681503,8.935481,8.0,27579.24,1125.67
PF01/0011/A107,BI,45.680728,8.9387,52.0,27493.197,1376.492
PF02/0011/A107,BI,45.679109,8.941485,52.0,27313.34,1593.465
PF01/0012/A107,BI,45.681017,8.949511,52.0,27525.609,2218.586
