identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A083,BL,45.874101,11.727658,8.0,43598.26,-46062.65
PF01/0002/A083,BL,45.842652,11.719366,8.0,40107.95,-46732.68
PF02/0002/A083,BL,45.840249,11.704376,8.0,39849.78,-47899.08
PF03/0002/A083,BL,45.842263,11.718942,10.0,40065.0,-46766.0
PF04/0002/A083,BL,45.846265,11.718538,10.0,40510.0,-46794.0
PF05/0002/A083,BL,45.852506,11.711034,12.0,41208.0,-47371.5
PF01/0003/A083,BL,45.850305,11.735843,12.0,40949.0,-45446.7
PF02/0004/A083,BL,45.83942,11.731366,70.0,39741.791,-45803.301
PF03/0004/A083,BL,45.839802,11.734788,70.0,39782.294,-45537.154
PF04/0004/A083,BL,45.837662,11.732524,70.0,39545.759,-45714.799
PF05/0004/A083,BL,45.841558,11.735287,52.0,39977.147,-45497.011
PF06/0004/A083,BL,45.843229,11.738562,50.0,40161.052,-45241.236
PF07/0004/A083,BL,45.843634,11.741346,50.0,40204.528,-45024.679
PF08/0004/A083,BL,45.841299,11.738734,10.0,39946.5,-45229.5
PF09/0004/A083,BL,45.840785,11.746693,52.0,39884.843,-44611.683
PF10/0004/A083,BL,45.838281,11.746062,52.0,39606.878,-44662.704
PF11/0004/A083,BL,45.843565,11.735914,12.0,40199.85,-45446.7
PF12/0004/A083,BL,45.843235,11.732031,12.0,40165.4,-45748.5
PF01/0005/A083,BL,45.835072,11.712799,8.0,39269.4,-47249.22
PF01/0006/A083,BL,45.83624,11.717649,70.0,39396.336,-46871.476
PF02/0006/A083,BL,45.837465,11.719568,70.0,39531.394,-46721.339
PF03/0006/A083,BL,45.834998,11.719744,70.0,39257.07,-46709.785
PF04/0006/A083,BL,45.832183,11.721248,52.0,38943.409,-46595.261
PF05/0006/A083,BL,45.831012,11.723155,52.0,38812.145,-46448.103
PF01/0007/A083,BL,45.828842,11.728201,8.0,38568.05,-46057.91
PF02/0007/A083,BL,45.838573,11.728577,52.0,39649.35,-46020.637
PF03/0007/A083,BL,45.833577,11.730151,52.0,39093.185,-45902.499
PF04/0007/A083,BL,45.832126,11.729076,10.0,38932.5,-45987.2
PF05/0007/A083,BL,45.833798,11.734186,52.0,39115.414,-45588.846
PF01/0008/A083,BL,45.836844,11.73466,52.0,39453.628,-45549.583
PF02/0008/A083,BL,45.837446,11.739544,8.0,39517.78,-45169.67
PF03/0008/A083,BL,45.831167,11.742105,52.0,38818.558,-44975.769
PF04/0008/A083,BL,45.836723,11.739426,52.0,39437.5,-45179.408
PF05/0008/A083,BL,45.839354,11.736304,70.0,39731.705,-45419.766
PF01/0009/A083,BL,45.823513,11.684787,8.0,38001.78,-49435.44
PF04/0009/A083,BL,45.826379,11.68452,70.0,38320.466,-49453.621
