identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A110,BN,40.256462,15.174804,52.0,-64808.772,24774.21
PF02/0001/A110,BN,40.256478,15.172566,52.0,-64807.616,24583.851
PF03/0001/A110,BN,40.258735,15.174792,52.0,-64556.332,24772.366
PF05/0001/A110,BN,40.260573,15.17313,52.0,-64352.747,24630.345
PF06/0001/A110,BN,40.259469,15.167481,52.0,-64476.887,24150.246
PF08/0001/A110,BN,40.262455,15.17141,52.0,-64144.304,24483.39
PF09/0001/A110,BN,40.2609,15.171189,52.0,-64317.036,24465.14
PF10/0001/A110,BN,40.261139,15.166967,52.0,-64291.624,24105.956
PF11/0001/A110,BN,40.254029,15.175434,52.0,-65078.656,24828.747
PF12/0001/A110,BN,40.261096,15.174833,52.0,-64294.238,24775.029
PF13/0001/A110,BN,40.26218,15.173224,52.0,-64174.302,24637.801
PF14/0001/A110,BN,40.255665,15.167422,52.0,-64899.217,24146.596
PF15/0001/A110,BN,40.25815,15.17271,52.0,-64621.953,24595.513
PF16/0001/A110,BN,40.26083,15.166952,52.0,-64325.951,24104.78
PF17/0001/A110,BN,40.255593,15.170206,52.0,-64906.535,24383.439
PF18/0001/A110,BN,40.254853,15.172433,52.0,-64988.015,24573.177
PF19/0001/A110,BN,40.256833,15.170408,52.0,-64768.77,24400.18
PF01/0002/A110,BN,40.260412,15.19125,52.0,-64365.485,26171.645
PF02/0002/A110,BN,40.259713,15.194158,12.0,-64442.2,26419.3
PF04/0002/A110,BN,40.2594,15.187928,52.0,-64478.755,25889.508
PF07/0002/A110,BN,40.256597,15.195281,10.0,-64787.8,26516.0
PF08/0002/A110,BN,40.255741,15.194822,52.0,-64882.967,26477.3
PF09/0002/A110,BN,40.256736,15.192705,52.0,-64773.125,26296.835
PF10/0002/A110,BN,40.257192,15.188053,52.0,-64723.901,25900.981
PF11/0002/A110,BN,40.255639,15.187015,52.0,-64896.611,25813.237
PF12/0002/A110,BN,40.256504,15.184458,52.0,-64801.375,25595.431
PF14/0002/A110,BN,40.254552,15.1846,52.0,-65018.058,25608.282
