identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A324,BO,44.614531,11.23111,10.0,4942570.05,1677051.99
PF02/0001/A324,BO,44.613013,11.223372,12.0,4942384.7,1676442.65
PF03/0001/A324,BO,44.612709,11.231109,52.0,4942367.651,1677057.489
PF04/0001/A324,BO,44.609445,11.2262,52.0,4941994.425,1676677.796
PF05/0001/A324,BO,44.608662,11.220924,50.0,4941896.057,1676261.536
PF01/0002/A324,BO,44.605747,11.209865,52.0,4941548.347,1675392.796
PF02/0002/A324,BO,44.605395,11.212821,54.0,4941515.669,1675628.378
PF03/0002/A324,BO,44.601306,11.215819,8.0,4941067.89,1675878.64
PF04/0002/A324,BO,44.601132,11.206211,52.0,4941027.851,1675116.636
PF01/0003/A324,BO,44.605726,11.216511,50.0,4941560.384,1675920.246
PF02/0003/A324,BO,44.604187,11.213971,54.0,4941383.982,1675723.309
PF04/0003/A324,BO,44.602868,11.221162,8.0,4941252.93,1676297.95
PF05/0003/A324,BO,44.600365,11.215725,50.0,4940963.155,1675874.037
PF06/0003/A324,BO,44.598579,11.217476,50.0,4940768.543,1676018.397
PF03/0004/A324,BO,44.595603,11.220534,8.0,4940444.58,1676270.12
PF05/0004/A324,BO,44.595993,11.225724,50.0,4940499.071,1676680.835
PF01/0005/A324,BO,44.597475,11.204051,52.0,4940616.979,1674956.225
PF02/0005/A324,BO,44.592977,11.208097,10.0,4940126.06,1675290.83
PF03/0005/A324,BO,44.591889,11.203,52.0,4939994.216,1674889.543
PF01/0006/A324,BO,44.59668,11.212295,8.0,4940546.47,1675612.88
PF02/0006/A324,BO,44.59265,11.210952,54.0,4940095.856,1675518.459
PF03/0006/A324,BO,44.589745,11.210417,8.0,4939772.06,1675484.75
PF04/0006/A324,BO,44.589045,11.206212,52.0,4939685.205,1675153.02
PF05/0006/A324,BO,44.584633,11.206702,52.0,4939196.199,1675205.175
PF01/0007/A324,BO,44.593024,11.222169,52.0,4940161.561,1676407.694
PF02/0007/A324,BO,44.592404,11.214432,52.0,4940076.085,1675795.398
PF03/0007/A324,BO,44.588927,11.219422,50.0,4939700.542,1676202.014
PF05/0007/A324,BO,44.586048,11.215246,52.0,4939371.791,1675879.167
PF01/0008/A324,BO,44.588094,11.225981,50.0,4939622.185,1676725.148
PF02/0008/A324,BO,44.586709,11.222365,54.0,4939460.534,1676442.343
PF03/0008/A324,BO,44.582101,11.219482,8.0,4938942.4,1676227.43
PF04/0008/A324,BO,44.577847,11.216105,54.0,4938462.581,1675972.123
PF01/0009/A324,BO,44.588888,11.19469,52.0,4939643.164,1674238.921
PF02/0009/A324,BO,44.586787,11.201398,52.0,4939424.042,1674777.665
PF04/0009/A324,BO,44.5847,11.192776,52.0,4939173.834,1674099.499
PF05/0009/A324,BO,44.583615,11.197215,56.0,4939062.809,1674455.129
PF01/0010/A324,BO,44.582941,11.217641,52.0,4939031.752,1676078.702
PF02/0010/A324,BO,44.582184,11.213216,50.0,4938938.138,1675729.72
PF03/0010/A324,BO,44.581297,11.203127,8.0,4938818.0,1674931.4
PF04/0010/A324,BO,44.581218,11.197285,52.0,4938796.715,1674467.843
PF05/0010/A324,BO,44.581004,11.207562,56.0,4938794.964,1675284.356
PF07/0010/A324,BO,44.578897,11.211135,12.0,4938568.535,1675574.344
PF01/0011/A324,BO,44.584337,11.189531,52.0,4939126.596,1673842.995
PF02/0011/A324,BO,44.581474,11.185208,52.0,4938799.391,1673508.314
PF03/0011/A324,BO,44.58001,11.188057,50.0,4938642.804,1673738.81
PF04/0011/A324,BO,44.577741,11.188494,52.0,4938391.699,1673780.275
PF05/0011/A324,BO,44.578051,11.182945,50.0,4938414.365,1673338.782
PF06/0011/A324,BO,44.57616,11.186483,52.0,4938211.759,1673625.305
PF01/0012/A324,BO,44.580444,11.197328,52.0,4938710.749,1674473.55
PF02/0012/A324,BO,44.578897,11.19944,8.0,4938543.42,1674645.92
PF03/0012/A324,BO,44.577528,11.193767,52.0,4938379.224,1674199.585
PF04/0012/A324,BO,44.575344,11.197659,50.0,4938144.995,1674515.112
PF06/0012/A324,BO,44.573942,11.190689,50.0,4937974.304,1673965.921
PF07/0012/A324,BO,44.571794,11.192056,50.0,4937738.691,1674080.825
PF02/0013/A324,BO,44.575344,11.203173,8.0,4938156.82,1674952.88
PF03/0013/A324,BO,44.574345,11.207568,50.0,4938055.181,1675304.888
PF04/0013/A324,BO,44.573648,11.200475,50.0,4937962.624,1674743.768
PF06/0013/A324,BO,44.577462,11.20325,50.0,4938392.183,1674952.699
PF01/0014/A324,BO,44.572182,11.211711,52.0,4937823.849,1675640.314
PF02/0014/A324,BO,44.569741,11.208612,52.0,4937546.079,1675401.625
PF03/0014/A324,BO,44.568844,11.213808,52.0,4937457.571,1675816.89
PF02/0015/A324,BO,44.565346,11.212216,54.0,4937065.545,1675701.04
PF03/0015/A324,BO,44.563528,11.211977,54.0,4936863.097,1675687.505
PF01/0016/A324,BO,44.588878,11.152296,50.0,4939552.39,1670873.754
PF02/0016/A324,BO,44.587558,11.155829,52.0,4939413.127,1671158.026
PF04/0016/A324,BO,44.58501,11.162149,52.0,4939143.392,1671667.26
PF05/0016/A324,BO,44.582473,11.159349,50.0,4938855.67,1671452.462
PF06/0016/A324,BO,44.582773,11.152719,52.0,4938875.09,1670925.212
PF08/0016/A324,BO,44.587965,11.154311,50.0,4939455.167,1671036.398
PF02/0017/A324,BO,44.580952,11.143263,8.0,4938653.09,1670179.83
PF02/0018/A324,BO,44.580015,11.155699,50.0,4938574.983,1671169.853
PF03/0018/A324,BO,44.57889,11.153256,50.0,4938444.89,1670979.256
PF04/0018/A324,BO,44.579575,11.147909,52.0,4938509.841,1670552.72
PF05/0018/A324,BO,44.578525,11.150259,52.0,4938398.048,1670742.33
PF06/0018/A324,BO,44.575832,11.150744,54.0,4938099.909,1670788.726
PF07/0018/A324,BO,44.578917,11.144433,52.0,4938429.445,1670278.69
PF08/0018/A324,BO,44.575405,11.145357,54.0,4938041.264,1670362.273
PF09/0018/A324,BO,44.573423,11.149523,54.0,4937829.77,1670698.814
PF10/0018/A324,BO,44.577207,11.142135,52.0,4938234.723,1670101.215
PF01/0019/A324,BO,44.575281,11.166206,56.0,4938071.227,1672017.961
PF02/0019/A324,BO,44.572676,11.160544,56.0,4937769.884,1671576.148
PF03/0019/A324,BO,44.570287,11.166959,56.0,4937518.021,1672092.546
PF01/0020/A324,BO,44.577571,11.180629,50.0,4938356.091,1673156.347
