identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/B180,BR,41.52261,16.435332,52.0,37777.369,-32233.455
PF04/0001/B180,BR,41.517528,16.438112,52.0,37216.959,-31992.077
PF05/0001/B180,BR,41.534412,16.444916,50.0,39101.006,-31455.651
PF05/0001/B180,BR,41.342477,16.598943,20.0,18017.651,-18212.583
PF06/0001/B180,BR,41.529646,16.434599,52.0,38557.536,-32307.58
PF07/0001/B180,BR,41.525346,16.428939,52.0,38072.297,-32771.891
PF09/0001/B180,BR,41.532344,16.440948,50.0,38865.915,-31782.911
PF10/0001/B180,BR,41.526279,16.435347,50.0,38184.723,-32238.927
PF11/0001/B180,BR,41.534141,16.42679,52.0,39045.748,-32967.285
PF13/0001/B180,BR,41.533315,16.426641,52.0,38953.929,-32978.256
PF14/0001/B180,BR,41.523625,16.438264,52.0,37894.057,-31990.675
PF15/0001/B180,BR,41.520516,16.434999,50.0,37544.449,-32257.404
PF16/0001/B180,BR,41.532565,16.434567,50.0,38881.589,-32315.606
PF17/0001/B180,BR,41.520063,16.43813,52.0,37498.408,-31995.286
PF18/0001/B180,BR,41.524698,16.426231,50.0,37996.548,-32996.667
PF19/0001/B180,BR,41.529736,16.426277,12.0,38556.0,-33002.0
PF20/0001/B180,BR,41.53072,16.430419,10.0,38671.0,-32658.3
PF21/0001/B180,BR,41.534399,16.444903,10.0,39099.58,-31456.77
PF02/0002/B180,BR,41.515703,16.448362,10.0,37028.673,-31133.39
PF03/0002/B180,BR,41.530666,16.452749,50.0,38696.048,-30795.266
PF05/0002/B180,BR,41.525553,16.467548,52.0,38149.254,-29550.971
PF07/0002/B180,BR,41.52747,16.45878,50.0,38349.68,-30286.091
PF09/0002/B180,BR,41.519932,16.442541,12.0,37490.0,-31627.0
PF10/0002/B180,BR,41.523463,16.462158,50.0,37909.524,-29996.687
PF11/0002/B180,BR,41.526307,16.444809,12.0,38201.006,-31449.552
PF12/0002/B180,BR,40.704519,17.80718,50.0,4509753.671,2757165.567
