identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A034,BS,45.314113,10.408539,52.0,5018829.641,1610435.816
PF02/0001/A034,BS,45.320561,10.400561,12.0,5019535.0,1609798.0
PF50/0001/A034,BS,45.32171,10.405342,15.0,5019669.18,1610170.51
PF51/0001/A034,BS,45.318846,10.399858,15.0,5019343.61,1609746.18
PF01/0002/A034,BS,45.31767,10.415123,8.0,5019233.81,1610944.95
PF02/0002/A034,BS,45.321951,10.41108,52.0,5019703.874,1610619.709
PF04/0002/A034,BS,45.32004,10.416143,52.0,5019498.537,1611020.249
PF40/0002/A034,BS,45.321488,10.412689,14.0,5019654.59,1610746.74
PF50/0002/A034,BS,45.316832,10.412301,15.0,5019136.83,1610725.37
PF01/0003/A034,BS,45.307083,10.42341,54.0,5018069.063,1611615.259
PF02/0003/A034,BS,45.309019,10.422128,52.0,5018282.399,1611510.966
PF06/0003/A034,BS,45.311108,10.424913,52.0,5018518.366,1611725.135
PF07/0003/A034,BS,45.314366,10.422322,52.0,5018876.655,1611515.648
PF50/0003/A034,BS,45.320554,10.423493,15.0,5019565.79,1611595.36
PF51/0003/A034,BS,45.313563,10.430316,15.0,5018798.54,1612143.9
PF52/0003/A034,BS,45.308495,10.421429,15.0,5018223.25,1611457.21
PF01/0004/A034,BS,45.315862,10.398172,8.0,5019009.72,1609619.8
PF03/0004/A034,BS,45.307608,10.398362,52.0,5018093.082,1609650.621
PF04/0004/A034,BS,45.315895,10.39822,10.0,5019013.5,1609623.5
PF05/0004/A034,BS,45.306232,10.392733,12.0,5017932.5,1609212.0
PF06/0004/A034,BS,45.302687,10.390733,12.0,5017536.0,1609062.0
PF50/0004/A034,BS,45.309283,10.399031,15.0,5018280.05,1609699.8
PF01/0005/A034,BS,45.309047,10.407219,56.0,5018264.986,1610342.127
PF02/0005/A034,BS,45.311306,10.406622,56.0,5018515.102,1610290.981
PF03/0005/A034,BS,45.308046,10.407829,60.0,5018154.633,1610391.942
PF40/0005/A034,BS,45.309138,10.405794,14.0,5018273.14,1610230.29
PF01/0006/A034,BS,45.310125,10.411565,52.0,5018390.748,1610680.766
PF03/0006/A034,BS,45.309393,10.409167,56.0,5018306.089,1610494.203
PF04/0006/A034,BS,45.308121,10.412382,52.0,5018169.249,1610748.662
PF05/0006/A034,BS,45.307305,10.4099,6.0,5018075.12,1610555.73
PF40/0006/A034,BS,45.308793,10.412589,14.0,5018244.13,1610763.64
PF50/0006/A034,BS,45.312043,10.411833,15.0,5018604.2,1610698.04
PF01/0007/A034,BS,45.309674,10.41715,52.0,5018348.263,1611119.468
PF02/0008/A034,BS,45.307277,10.408222,78.0,5018069.707,1610424.242
PF03/0008/A034,BS,45.305861,10.409422,66.0,5017914.103,1610521.009
PF05/0008/A034,BS,45.305594,10.407733,64.0,5017882.114,1610389.188
PF06/0008/A034,BS,45.302251,10.404846,50.0,5017506.782,1610169.282
PF07/0008/A034,BS,45.307128,10.404658,12.0,5018048.25,1610145.15
PF40/0008/A034,BS,45.304345,10.406407,14.0,5017741.53,1610287.6
PF01/0009/A034,BS,45.303104,10.415836,60.0,5017616.557,1611029.254
PF02/0009/A034,BS,45.304663,10.416116,62.0,5017790.181,1611048.131
PF03/0009/A034,BS,45.305833,10.411634,60.0,5017913.98,1610694.507
PF04/0009/A034,BS,45.306714,10.418712,54.0,5018021.645,1611247.691
PF07/0009/A034,BS,45.306467,10.414331,52.0,5017988.109,1610904.678
PF50/0009/A034,BS,45.306654,10.416741,15.0,5018012.27,1611093.29
PF01/0010/A034,BS,45.298069,10.390691,52.0,5017022.922,1609067.513
PF02/0010/A034,BS,45.303308,10.39587,10.0,5017612.0,1609463.5
PF03/0010/A034,BS,45.29578,10.392116,52.0,5016770.57,1609183.684
PF50/0010/A034,BS,45.300199,10.396875,15.0,5017267.88,1609548.34
PF51/0010/A034,BS,45.293391,10.396303,15.0,5016510.82,1609516.53
PF01/0011/A034,BS,45.294045,10.404309,52.0,5016594.35,1610143.065
PF03/0011/A034,BS,45.296322,10.405269,52.0,5016848.611,1610213.931
PF04/0011/A034,BS,45.300087,10.399445,10.0,5017259.0,1609750.0
PF05/0011/A034,BS,45.290266,10.402939,50.0,5016172.659,1610042.975
PF06/0011/A034,BS,45.292303,10.395969,12.0,5016389.5,1609492.5
PF50/0011/A034,BS,45.299517,10.401663,15.0,5017198.65,1609925.01
