identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF07/0051/A359,CA,38.578146,8.961592,20.0,-69011.986,-15343.666
PF01/0106/A359,CA,38.916053,8.488927,50.0,-31319.382,-56259.687
PF02/0106/A359,CA,38.913411,8.485328,50.0,-31610.375,-56573.915
PF03/0106/A359,CA,38.914014,8.49131,50.0,-31547.102,-56054.7
PF04/0106/A359,CA,38.909965,8.48677,52.0,-31993.801,-56451.588
PF06/0106/A359,CA,38.91126,8.482127,12.0,-31847.123,-56853.241
PF01/0107/A359,CA,38.92127,8.502689,50.0,-30748.665,-55062.323
PF02/0107/A359,CA,38.91786,8.505268,52.0,-31128.704,-54841.277
PF03/0107/A359,CA,38.915958,8.495642,50.0,-31334.033,-55677.499
PF04/0107/A359,CA,38.917067,8.498695,52.0,-31212.721,-55411.884
PF01/0108/A359,CA,38.919887,8.508677,50.0,-30905.732,-54544.111
PF02/0108/A359,CA,38.918903,8.511563,52.0,-31016.658,-54294.593
PF03/0108/A359,CA,38.916597,8.508299,50.0,-31270.752,-54579.448
PF04/0108/A359,CA,38.916083,8.517055,52.0,-31332.996,-53820.538
PF05/0108/A359,CA,38.92169,8.511886,50.0,-30707.494,-54264.506
PF06/0108/A359,CA,38.916906,8.524913,12.0,-31246.264,-53138.505
PF07/0108/A359,CA,38.919231,8.52261,12.0,-30986.776,-53336.491
PF03/0109/A359,CA,38.905346,8.498408,52.0,-32513.675,-55445.883
PF04/0109/A359,CA,38.909385,8.501439,52.0,-32067.196,-55179.84
PF05/0109/A359,CA,38.905757,8.503516,52.0,-32471.084,-55002.587
PF11/0109/A359,CA,38.912304,8.504271,12.0,-31744.825,-54931.991
PF12/0109/A359,CA,38.910266,8.495857,12.0,-31966.0,-55663.3
PF13/0109/A359,CA,38.91322,8.496722,12.0,-31638.58,-55585.93
PF14/0109/A359,CA,38.914283,8.507089,12.0,-31526.9,-54686.16
PF15/0109/A359,CA,38.911195,8.498307,12.0,-31864.289,-55450.102
PF16/0109/A359,CA,38.91246,8.493308,12.0,-31720.819,-55882.652
PF17/0109/A359,CA,38.906925,8.506439,12.0,-32343.25,-54748.12
PF01/0110/A359,CA,38.910175,8.511976,52.0,-31985.766,-54265.468
PF02/0110/A359,CA,38.909761,8.519422,4.0,-32036.09,-53620.0
PF04/0110/A359,CA,38.913075,8.513941,52.0,-31665.011,-54092.834
PF05/0110/A359,CA,38.909772,8.516222,52.0,-32032.986,-53897.561
PF06/0110/A359,CA,38.907599,8.51098,52.0,-32271.18,-54353.769
PF07/0110/A359,CA,38.913864,8.510273,52.0,-31575.296,-54410.359
PF08/0110/A359,CA,38.915655,8.5126,50.0,-31377.867,-54207.176
PF09/0110/A359,CA,39.71148,8.501564,12.0,4395859.739,1457304.973
PF11/0110/A359,CA,38.906278,8.528424,12.0,-32428.057,-52841.953
PF12/0110/A359,CA,38.908463,8.526913,12.0,-32184.565,-52971.385
PF13/0110/A359,CA,39.712786,8.495589,12.0,4396007.644,1456793.692
PF14/0110/A359,CA,38.907384,8.515762,12.0,-32297.856,-53939.269
PF15/0110/A359,CA,39.714494,8.491485,12.0,4396199.137,1456442.945
PF06/0111/A359,CA,38.90541,8.488686,52.0,-32500.553,-56289.025
PF09/0111/A359,CA,38.904483,8.485171,52.0,-32601.298,-56594.614
PF10/0111/A359,CA,38.903378,8.487953,52.0,-32725.747,-56354.169
