identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A050,CB,42.080632,17.66143,56.0,26509.976,40139.865
PF02/0001/A050,CB,42.080215,17.662039,9.0,26463.96,40190.44
PF03/0001/A050,CB,42.079834,17.66133,9.0,26421.3,40132.04
PF05/0001/A050,CB,42.083717,17.657054,56.0,26850.587,39775.893
PF01/0002/A050,CB,42.078611,17.667975,8.0,26288.63,40682.59
PF09/0002/A050,CB,42.084067,17.66276,56.0,26892.208,40247.719
PF01/0003/A050,CB,42.076295,17.676421,9.0,26035.49,41382.94
PF02/0003/A050,CB,42.078166,17.678323,54.0,26244.172,41539.094
PF01/0004/A050,CB,42.073711,17.648246,8.0,25735.2,39053.32
PF01/0005/A050,CB,42.072294,17.665961,9.0,25586.07,40520.0
PF02/0005/A050,CB,42.069629,17.667337,9.0,25290.75,40635.6
PF03/0005/A050,CB,42.074099,17.671984,9.0,25789.51,41017.25
PF02/0006/A050,CB,42.070872,17.659889,9.0,25425.3,40018.45
PF03/0006/A050,CB,42.067088,17.655768,9.0,25003.11,39679.82
PF04/0006/A050,CB,42.063799,17.652306,9.0,24636.25,39395.38
PF05/0006/A050,CB,42.065311,17.654357,56.0,24805.15,39564.136
PF01/0007/A050,CB,42.067215,17.658538,10.0,25018.5,39909.0
PF03/0007/A050,CB,42.067011,17.663081,10.0,24998.0,40285.0
PF04/0007/A050,CB,42.068264,17.664854,10.0,25138.0,40431.0
PF05/0007/A050,CB,42.066701,17.667755,10.0,24965.8,40672.0
PF06/0007/A050,CB,42.067972,17.669982,10.0,25108.0,40855.5
PF07/0007/A050,CB,42.068821,17.670166,56.0,25202.369,40870.137
PF08/0007/A050,CB,42.066249,17.671673,10.0,24917.5,40996.5
PF11/0007/A050,CB,42.065609,17.663583,10.0,24842.5,40327.5
PF12/0007/A050,CB,42.066121,17.665877,10.0,24900.5,40517.0
PF13/0007/A050,CB,42.065654,17.668719,10.0,24850.0,40752.5
PF14/0007/A050,CB,42.064427,17.660787,10.0,24710.0,40096.8
PF15/0007/A050,CB,42.064308,17.66341,10.0,24698.0,40314.0
PF16/0007/A050,CB,42.064686,17.666585,10.0,24741.5,40576.5
PF17/0007/A050,CB,42.063976,17.668543,10.0,24663.5,40739.0
PF18/0007/A050,CB,42.064445,17.67155,10.0,24717.0,40987.5
PF19/0007/A050,CB,42.063392,17.659809,10.0,24594.5,40016.5
PF20/0007/A050,CB,42.062203,17.661902,10.0,24463.5,40190.5
PF21/0007/A050,CB,42.062336,17.664465,10.0,24479.5,40402.5
PF22/0007/A050,CB,42.062578,17.666968,10.0,24507.5,40609.5
PF23/0007/A050,CB,42.062602,17.669717,10.0,24511.5,40837.0
PF24/0007/A050,CB,42.062766,17.672395,10.0,24531.0,41058.5
PF25/0007/A050,CB,42.061614,17.670205,10.0,24402.0,40878.0
PF26/0007/A050,CB,42.061681,17.672387,9.0,24410.45,41058.58
PF01/0008/A050,CB,42.072958,17.67358,10.0,25663.5,41150.0
PF02/0008/A050,CB,42.073349,17.675789,10.0,25708.0,41332.5
PF03/0008/A050,CB,42.073869,17.677654,54.0,25766.675,41486.559
PF04/0008/A050,CB,42.074074,17.680198,54.0,25790.653,41696.847
PF05/0008/A050,CB,42.071794,17.674096,10.0,25534.5,41193.5
PF06/0008/A050,CB,42.072134,17.676812,10.0,25573.5,41418.0
PF07/0008/A050,CB,42.072189,17.680668,10.0,25581.5,41737.0
PF08/0008/A050,CB,42.070685,17.674408,10.0,25411.5,41220.0
PF09/0008/A050,CB,42.071197,17.676328,10.0,25469.3,41378.5
PF10/0008/A050,CB,42.070863,17.678162,10.0,25433.0,41530.5
PF11/0008/A050,CB,42.070881,17.681093,10.0,25436.5,41773.0
PF12/0008/A050,CB,42.069158,17.671553,10.0,25240.5,40984.7
PF13/0008/A050,CB,42.069218,17.674795,10.0,25248.7,41253.0
PF14/0008/A050,CB,42.069486,17.67739,10.0,25279.7,41467.5
PF15/0008/A050,CB,42.069054,17.681326,10.0,25233.7,41793.5
PF16/0008/A050,CB,42.068369,17.672831,10.0,25153.5,41091.0
PF17/0008/A050,CB,42.067307,17.675932,10.0,25037.0,41348.3
PF18/0008/A050,CB,42.067978,17.677994,10.0,25112.5,41518.5
PF19/0008/A050,CB,42.068227,17.679696,8.0,25141.02,41659.17
PF20/0008/A050,CB,42.067171,17.681299,10.0,25024.5,41792.5
PF21/0008/A050,CB,42.066151,17.673599,10.0,24907.5,41156.0
PF22/0008/A050,CB,42.066057,17.675484,10.0,24898.0,41312.0
PF23/0008/A050,CB,42.066779,17.679235,10.0,24980.0,41622.0
PF24/0008/A050,CB,42.064548,17.673605,10.0,24729.5,41157.5
PF25/0008/A050,CB,42.065477,17.678349,10.0,24835.0,41549.5
PF26/0008/A050,CB,42.065609,17.681178,10.0,24851.0,41783.5
PF27/0008/A050,CB,42.064313,17.67686,10.0,24705.0,41427.0
PF29/0008/A050,CB,42.063388,17.673828,10.0,24600.7,41176.7
PF30/0008/A050,CB,42.064729,17.678073,9.0,24751.74,41527.15
PF01/0009/A050,CB,42.05063,17.648426,9.0,23171.89,39082.34
PF02/0009/A050,CB,42.053525,17.648504,9.0,23493.5,39087.0
PF03/0009/A050,CB,42.054217,17.649215,9.0,23570.6,39145.465
PF01/0010/A050,CB,42.063844,17.653417,56.0,24641.825,39487.258
PF02/0010/A050,CB,42.063619,17.655019,10.0,24617.5,39620.0
PF03/0010/A050,CB,42.063086,17.657504,10.0,24559.5,39826.0
PF04/0010/A050,CB,42.062666,17.658969,10.0,24513.5,39947.5
PF06/0010/A050,CB,42.061937,17.654535,10.0,24430.5,39581.0
PF07/0010/A050,CB,42.061891,17.656945,10.0,24426.5,39780.5
PF08/0010/A050,CB,42.061329,17.660977,10.0,24366.0,40114.5
PF09/0010/A050,CB,42.061732,17.651158,56.0,24406.123,39301.597
PF10/0010/A050,CB,42.060887,17.654845,10.0,24314.0,39607.3
PF11/0010/A050,CB,42.060583,17.658676,10.0,24282.0,39924.5
PF12/0010/A050,CB,42.059903,17.650977,10.0,24203.0,39287.8
PF13/0010/A050,CB,42.059188,17.652956,10.0,24124.5,39452.0
PF14/0010/A050,CB,42.059287,17.657349,10.0,24137.5,39815.5
PF15/0010/A050,CB,42.059387,17.659373,10.0,24149.5,39983.0
PF16/0010/A050,CB,42.058094,17.655123,10.0,24004.0,39632.0
PF17/0010/A050,CB,42.057894,17.657737,10.0,23983.0,39848.5
PF18/0010/A050,CB,42.058004,17.661689,10.0,23997.0,40175.5
PF19/0010/A050,CB,42.056851,17.649477,10.0,23863.3,39165.5
PF20/0010/A050,CB,42.056777,17.651452,10.0,23856.0,39329.0
PF21/0010/A050,CB,42.057178,17.653152,10.0,23901.3,39469.5
PF22/0010/A050,CB,42.056346,17.656583,10.0,23810.5,39754.0
PF23/0010/A050,CB,42.05682,17.659402,10.0,23864.5,39987.0
PF24/0010/A050,CB,42.056042,17.660542,56.0,23778.584,40081.825
PF25/0010/A050,CB,42.055282,17.649288,10.0,23689.0,39150.8
PF26/0010/A050,CB,42.054504,17.653616,10.0,23604.5,39509.5
PF27/0010/A050,CB,42.055125,17.655849,10.0,23674.5,39694.0
PF28/0010/A050,CB,42.054964,17.657636,12.0,23657.5,39842.0
PF29/0010/A050,CB,42.054173,17.652042,10.0,23567.0,39379.5
PF30/0010/A050,CB,42.053301,17.653685,10.0,23471.0,39516.0
PF32/0010/A050,CB,42.053451,17.658477,10.0,23489.8,39912.5
PF33/0010/A050,CB,42.052203,17.652245,10.0,23348.3,39397.5
PF34/0010/A050,CB,42.052388,17.655765,10.0,23370.5,39688.7
PF35/0010/A050,CB,42.050735,17.650565,10.0,23184.5,39259.3
PF36/0010/A050,CB,42.05105,17.653811,10.0,23221.0,39527.8
PF37/0010/A050,CB,42.050042,17.64957,58.0,23107.118,39177.408
PF38/0010/A050,CB,42.055326,17.649259,8.0,23693.81,39148.44
PF39/0010/A050,CB,42.049418,17.65307,9.0,23039.387,39467.527
PF40/0010/A050,CB,42.051594,17.656366,9.0,23282.591,39738.976
PF01/0011/A050,CB,42.061539,17.666365,10.0,24391.8,40560.3
PF05/0011/A050,CB,42.059636,17.66117,10.0,24178.0,40131.5
PF06/0011/A050,CB,42.059444,17.663464,10.0,24157.8,40321.5
PF10/0011/A050,CB,42.057669,17.663154,10.0,23960.5,40297.0
PF11/0011/A050,CB,42.058065,17.664704,54.0,24005.24,40425.05
PF12/0011/A050,CB,42.056288,17.665407,54.0,23808.154,40484.305
PF14/0011/A050,CB,42.05636,17.663975,56.0,23815.456,40365.787
PF15/0011/A050,CB,42.055324,17.66325,56.0,23700.08,40306.422
PF16/0011/A050,CB,42.055468,17.664181,56.0,23716.59,40383.357
PF18/0011/A050,CB,42.058015,17.661689,54.0,23998.24,40175.498
PF25/0011/A050,CB,42.061463,17.666694,9.0,24383.5,40587.53
PF26/0011/A050,CB,42.057847,17.662939,9.0,23980.2,40279.05
PF27/0011/A050,CB,42.055238,17.664284,9.0,23691.01,40392.06
PF28/0011/A050,CB,42.056149,17.665568,9.0,23792.81,40497.77
PF29/0011/A050,CB,42.057062,17.662013,54.0,23892.519,40202.906
PF01/0012/A050,CB,42.06169,17.676548,56.0,24413.502,41402.884
PF02/0012/A050,CB,42.061626,17.674426,54.0,24405.333,41227.332
PF03/0012/A050,CB,42.060111,17.675201,10.0,24237.5,41292.5
PF04/0012/A050,CB,42.060496,17.670908,56.0,24278.202,40936.954
PF05/0012/A050,CB,42.059576,17.673059,12.0,24177.0,41115.5
PF06/0012/A050,CB,42.056675,17.673343,56.0,23854.981,41140.91
PF07/0012/A050,CB,42.059637,17.667425,70.0,24181.07,40649.176
PF08/0012/A050,CB,42.05872,17.667324,54.0,24079.195,40641.436
PF09/0012/A050,CB,42.058082,17.666005,56.0,24007.706,40532.694
PF10/0012/A050,CB,42.057115,17.666945,56.0,23900.771,40611.095
PF13/0012/A050,CB,42.055776,17.665976,56.0,23751.585,40531.747
PF14/0012/A050,CB,42.055936,17.668718,56.0,23770.716,40758.624
PF15/0012/A050,CB,42.055884,17.671517,56.0,23766.245,40990.269
PF16/0012/A050,CB,42.054839,17.670066,56.0,23649.466,40870.835
PF17/0012/A050,CB,42.054004,17.671063,9.0,23557.17,40953.95
PF18/0012/A050,CB,42.053751,17.672379,56.0,23529.707,41062.998
PF19/0012/A050,CB,42.054985,17.674441,54.0,23667.752,41232.887
PF20/0012/A050,CB,42.055004,17.676684,10.0,23671.0,41418.5
PF21/0012/A050,CB,42.05375,17.67633,10.0,23531.5,41390.0
PF22/0012/A050,CB,42.05438,17.667483,56.0,23597.274,40657.342
PF23/0012/A050,CB,42.052811,17.667398,10.0,23423.0,40651.3
PF24/0012/A050,CB,42.051901,17.670782,10.0,23323.5,40932.0
PF25/0012/A050,CB,42.051808,17.675527,10.0,23315.5,41324.8
PF26/0012/A050,CB,42.049913,17.667861,12.0,23101.3,40691.5
PF27/0012/A050,CB,42.049496,17.671953,10.0,23057.0,41030.5
PF28/0012/A050,CB,42.060515,17.66984,56.0,24279.71,40848.482
PF29/0012/A050,CB,42.06054,17.670827,9.0,24283.05,40930.2
PF30/0012/A050,CB,42.048908,17.671754,9.0,22991.55,41014.4
PF31/0012/A050,CB,42.057785,17.670821,12.0,23977.0,40931.5
PF01/0013/A050,CB,42.062555,17.67734,60.0,24509.891,41467.905
PF02/0013/A050,CB,42.061453,17.676804,56.0,24387.254,41424.294
PF03/0013/A050,CB,42.060978,17.678873,10.0,24335.5,41595.8
PF04/0013/A050,CB,42.06118,17.682983,10.0,24360.0,41935.8
PF05/0013/A050,CB,42.060708,17.686014,10.0,24309.0,42187.0
PF06/0013/A050,CB,42.059658,17.676533,10.0,24187.8,41403.0
PF07/0013/A050,CB,42.059226,17.678922,10.0,24141.0,41601.0
PF08/0013/A050,CB,42.059812,17.681808,10.0,24207.5,41839.5
PF09/0013/A050,CB,42.058086,17.676077,10.0,24013.0,41366.3
PF11/0013/A050,CB,42.057661,17.679207,8.0,23967.32,41625.61
PF12/0013/A050,CB,42.058018,17.684332,10.0,24009.5,42049.5
PF13/0013/A050,CB,42.058958,17.688725,10.0,24116.0,42412.5
PF14/0013/A050,CB,42.057592,17.687143,10.0,23963.5,42282.5
PF15/0013/A050,CB,42.057108,17.690227,10.0,23911.3,42538.0
PF16/0013/A050,CB,42.056414,17.676459,10.0,23827.5,41399.0
PF17/0013/A050,CB,42.056396,17.679564,10.0,23827.0,41656.0
PF18/0013/A050,CB,42.056244,17.681986,10.0,23811.3,41856.5
PF19/0013/A050,CB,42.055944,17.686067,10.0,23780.0,42194.5
PF20/0013/A050,CB,42.055458,17.677638,54.0,23721.873,41497.189
PF21/0013/A050,CB,42.055039,17.682119,10.0,23677.5,41868.3
PF22/0013/A050,CB,42.05508,17.684838,56.0,23683.44,42093.354
PF23/0013/A050,CB,42.054741,17.686383,56.0,23646.474,42221.486
PF24/0013/A050,CB,42.056067,17.685118,9.0,23793.14,42115.88
PF25/0013/A050,CB,42.055114,17.677625,9.0,23683.68,41496.36
PF01/0014/A050,CB,42.054591,17.664949,10.0,23619.5,40447.5
PF02/0014/A050,CB,42.05342,17.662566,10.0,23488.3,40251.0
PF03/0014/A050,CB,42.05407,17.660358,10.0,23559.5,40067.8
PF04/0014/A050,CB,42.051183,17.661365,10.0,23239.3,40153.0
PF05/0014/A050,CB,42.052671,17.663625,56.0,23405.595,40339.098
PF06/0014/A050,CB,42.052452,17.660411,10.0,23379.8,40073.2
PF07/0014/A050,CB,42.053325,17.666135,10.0,23479.5,40546.5
PF08/0014/A050,CB,42.052004,17.664567,10.0,23332.0,40417.5
PF09/0014/A050,CB,42.050605,17.662937,10.0,23175.8,40283.5
PF10/0014/A050,CB,42.049913,17.663995,10.0,23099.5,40371.5
PF11/0014/A050,CB,42.051527,17.658033,10.0,23276.0,39877.0
PF12/0014/A050,CB,42.049797,17.659971,56.0,23084.737,40038.503
PF13/0014/A050,CB,42.049453,17.662143,10.0,23047.5,40218.5
PF14/0014/A050,CB,42.050253,17.655958,10.0,23133.5,39706.0
PF15/0014/A050,CB,42.049399,17.657815,10.0,23039.5,39860.3
PF16/0014/A050,CB,42.048855,17.658659,10.0,22979.5,39930.5
PF17/0014/A050,CB,42.049105,17.654835,10.0,23005.5,39613.8
PF18/0014/A050,CB,42.048487,17.656349,10.0,22937.5,39739.5
PF19/0014/A050,CB,42.047737,17.658211,56.0,22855.129,39894.1
PF20/0014/A050,CB,42.047834,17.653125,10.0,22863.5,39473.0
PF21/0014/A050,CB,42.046602,17.654837,10.0,22727.5,39615.5
PF22/0014/A050,CB,42.045703,17.657745,9.0,22629.02,39856.76
PF23/0014/A050,CB,42.045647,17.66113,10.0,22624.3,40137.0
PF24/0014/A050,CB,42.044282,17.660479,10.0,22472.5,40084.0
PF26/0014/A050,CB,42.048249,17.659711,7.0,22912.66,40017.94
PF27/0014/A050,CB,42.053271,17.663109,9.0,23471.98,40296.07
PF28/0014/A050,CB,42.047407,17.663039,9.0,22820.72,40293.92
PF29/0014/A050,CB,42.048586,17.660741,9.0,22950.6,40102.99
PF30/0014/A050,CB,42.048023,17.653165,9.0,22884.525,39476.2
PF01/0015/A050,CB,42.053823,17.680118,10.0,23541.5,41703.5
PF02/0015/A050,CB,42.053163,17.682861,10.0,23469.5,41931.0
PF03/0015/A050,CB,42.052473,17.678059,10.0,23390.5,41534.0
PF04/0015/A050,CB,42.051877,17.681434,10.0,23326.0,41813.7
PF05/0015/A050,CB,42.051736,17.666268,10.0,23303.0,40558.5
PF06/0015/A050,CB,42.050842,17.674187,10.0,23207.5,41214.5
PF07/0015/A050,CB,42.051089,17.676001,56.0,23235.871,41364.548
PF08/0015/A050,CB,42.050973,17.679262,10.0,23224.5,41634.5
PF09/0015/A050,CB,42.050967,17.683584,10.0,23226.0,41992.3
PF10/0015/A050,CB,42.050604,17.665065,52.0,23176.713,40459.669
PF11/0015/A050,CB,42.050248,17.666728,10.0,23138.0,40597.5
PF12/0015/A050,CB,42.049986,17.675862,10.0,23113.3,41353.7
PF13/0015/A050,CB,42.050009,17.678886,10.0,23117.3,41604.0
PF14/0015/A050,CB,42.050431,17.681637,10.0,23165.5,41831.5
PF16/0015/A050,CB,42.048969,17.668838,10.0,22997.0,40773.0
PF19/0015/A050,CB,42.04886,17.681148,10.0,22990.8,41792.0
PF20/0015/A050,CB,42.048272,17.663523,10.0,22917.0,40333.5
PF21/0015/A050,CB,42.048049,17.667243,10.0,22894.0,40641.5
PF22/0015/A050,CB,42.047308,17.670895,10.0,22813.5,40944.3
PF23/0015/A050,CB,42.0477,17.674733,58.0,22858.786,41261.758
PF24/0015/A050,CB,42.048252,17.677426,10.0,22921.5,41484.3
PF25/0015/A050,CB,42.047224,17.679894,10.0,22808.5,41689.3
PF26/0015/A050,CB,42.047091,17.682463,10.0,22795.0,41902.0
PF28/0015/A050,CB,42.046644,17.668355,10.0,22738.5,40734.5
PF29/0015/A050,CB,42.045773,17.672293,10.0,22643.7,41061.0
PF30/0015/A050,CB,42.046389,17.675517,9.0,22713.62,41327.51
PF31/0015/A050,CB,42.046088,17.678233,10.0,22681.5,41552.5
