identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A106,CE,41.100941,14.170688,10.0,24302.0,10366.0
PF02/0001/A106,CE,41.099028,14.169063,50.0,24090.956,10227.507
PF06/0001/A106,CE,41.100277,14.178219,50.0,24222.372,10997.681
PF08/0001/A106,CE,41.096528,14.174579,50.0,23809.006,10688.107
PF10/0001/A106,CE,41.097388,14.179344,50.0,23900.743,11089.184
PF15/0001/A106,CE,41.094819,14.179857,50.0,23615.119,11129.578
PF16/0001/A106,CE,41.101999,14.175406,50.0,24415.749,10763.296
PF17/0001/A106,CE,41.095772,14.183449,50.0,23718.138,11432.211
PF02/0002/A106,CE,41.101197,14.182677,10.0,24321.0,11373.0
PF03/0002/A106,CE,41.101249,14.19,10.0,24321.0,11988.0
PF04/0002/A106,CE,41.10095,14.193611,10.0,24285.0,12291.0
PF05/0002/A106,CE,41.100379,14.179055,10.0,24233.0,11068.0
PF06/0002/A106,CE,41.100285,14.183498,10.0,24219.0,11441.0
PF07/0002/A106,CE,41.100144,14.187882,10.0,24200.0,11809.0
PF08/0002/A106,CE,41.098841,14.189612,10.0,24054.0,11953.0
PF09/0002/A106,CE,41.098316,14.184141,10.0,24000.0,11493.0
PF14/0002/A106,CE,41.093518,14.185488,50.0,23466.3,11601.116
PF15/0002/A106,CE,41.096904,14.186993,12.0,23841.0,11731.0
PF01/0003/A106,CE,41.096134,14.16495,10.0,23773.0,9879.0
PF03/0003/A106,CE,41.095963,14.171186,10.0,23749.0,10402.5
PF08/0003/A106,CE,41.094221,14.173261,10.0,23554.0,10575.0
PF11/0003/A106,CE,41.092307,14.171664,50.0,23342.776,10438.863
PF12/0003/A106,CE,41.090526,14.16099,50.0,23153.668,9540.46
PF13/0003/A106,CE,41.091968,14.173681,50.0,23303.507,10607.891
PF16/0003/A106,CE,41.089895,14.172054,50.0,23074.723,10469.003
PF19/0003/A106,CE,41.091767,14.176013,50.0,23279.329,10803.502
PF20/0003/A106,CE,41.08855,14.169823,50.0,22927.197,10280.227
PF21/0003/A106,CE,41.093734,14.167388,50.0,23504.612,10081.178
PF22/0003/A106,CE,41.092771,14.161978,50.0,23402.034,9625.783
PF01/0005/A106,CE,41.098276,14.193138,10.0,23988.5,12248.5
PF02/0005/A106,CE,41.097601,14.195724,10.0,23911.5,12465.0
PF03/0005/A106,CE,41.095241,14.191973,10.0,23652.5,12147.5
PF04/0005/A106,CE,40.930464,14.067391,20.0,5464.423,1489.279
PF07/0005/A106,CE,41.092455,14.187716,50.0,23346.513,11787.137
PF11/0005/A106,CE,41.089943,14.189793,70.0,23066.044,11959.006
PF01/0006/A106,CE,41.096995,14.19859,10.0,23842.0,12705.0
PF02/0006/A106,CE,41.089792,14.204356,10.0,23038.0,13182.0
PF05/0006/A106,CE,41.090992,14.200698,12.0,23174.0,12876.0
PF06/0006/A106,CE,41.091994,14.197287,50.0,23287.845,12590.522
PF07/0006/A106,CE,41.087628,14.20143,12.0,22800.0,12934.0
PF01/0007/A106,CE,41.087838,14.159874,50.0,22856.138,9443.845
PF02/0007/A106,CE,41.087739,14.157567,10.0,22847.0,9250.0
PF06/0007/A106,CE,41.084988,14.155853,10.0,22543.0,9103.0
PF08/0007/A106,CE,41.083149,14.155573,10.0,22339.0,9077.5
PF09/0007/A106,CE,41.081033,14.151341,50.0,22107.629,8719.791
PF10/0007/A106,CE,41.084031,14.158255,50.0,22434.823,9303.808
PF11/0007/A106,CE,41.08531,14.16164,12.0,22574.0,9589.5
PF12/0007/A106,CE,41.081984,14.154028,50.0,22211.0,8946.5
PF13/0007/A106,CE,41.08557,14.153122,50.0,22609.765,8874.259
PF01/0008/A106,CE,41.086848,14.170087,50.0,22737.977,10300.64
PF11/0008/A106,CE,41.077611,14.170264,50.0,21712.374,10305.683
PF12/0008/A106,CE,41.077083,14.161634,50.0,21660.685,9580.204
PF13/0008/A106,CE,41.072187,14.172202,50.0,21108.747,10462.822
PF14/0008/A106,CE,41.075342,14.163392,10.0,21466.0,9726.0
PF18/0008/A106,CE,41.072465,14.161572,50.0,21148.15,9570.027
PF19/0008/A106,CE,41.076421,14.167205,50.0,21582.733,10047.495
PF22/0008/A106,CE,41.081495,14.164399,50.0,22148.266,9817.124
PF23/0008/A106,CE,41.079472,14.167927,50.0,21920.922,10111.383
PF24/0008/A106,CE,41.085748,14.164891,12.0,22620.0,9863.0
PF25/0008/A106,CE,41.072871,14.165471,12.0,21190.0,9898.0
PF26/0008/A106,CE,41.082007,14.171511,50.0,22199.408,10415.069
PF01/0009/A106,CE,41.086203,14.174795,50.0,22662.607,10695.412
PF02/0009/A106,CE,41.084144,14.172716,50.0,22435.728,10518.564
PF04/0009/A106,CE,41.084184,14.18083,50.0,22433.655,11200.187
PF06/0009/A106,CE,41.082329,14.179216,50.0,22229.014,11062.664
PF07/0009/A106,CE,41.08221,14.182462,50.0,22213.281,11335.192
PF09/0009/A106,CE,41.080366,14.180274,50.0,22010.319,11149.494
PF11/0009/A106,CE,41.07831,14.178659,50.0,21783.324,11011.701
PF14/0009/A106,CE,41.078011,14.18408,50.0,21745.9,11466.766
PF16/0009/A106,CE,41.075231,14.071337,10.0,21532.0,1992.5
PF20/0009/A106,CE,41.07293,14.17498,10.0,21189.0,10697.0
PF23/0009/A106,CE,41.07455,14.173119,50.0,21370.293,10542.328
PF24/0009/A106,CE,41.075835,14.179096,50.0,21508.166,11045.805
PF25/0009/A106,CE,41.084056,14.177763,50.0,22421.977,10942.419
PF26/0009/A106,CE,41.082764,14.174717,50.0,22280.89,10685.184
PF27/0009/A106,CE,41.076759,14.173967,10.0,21614.88,10615.85
PF03/0010/A106,CE,41.084865,14.192685,50.0,22500.002,12196.685
PF05/0010/A106,CE,41.08478,14.185216,50.0,22496.368,11569.23
PF06/0010/A106,CE,41.083048,14.185645,50.0,22303.781,11603.452
PF08/0010/A106,CE,41.083597,14.191164,50.0,22360.41,12067.567
PF09/0010/A106,CE,41.083652,14.194812,50.0,22363.706,12374.045
PF11/0010/A106,CE,41.081532,14.184956,10.0,22136.0,11544.0
PF14/0010/A106,CE,41.081357,14.19105,50.0,22111.844,12055.708
PF18/0010/A106,CE,41.082913,14.200874,50.0,22276.953,12882.48
PF19/0010/A106,CE,41.081721,14.198775,50.0,22146.271,12705.005
PF20/0010/A106,CE,41.08515,14.189636,50.0,22534.019,11940.88
PF01/0011/A106,CE,41.09009,14.195712,50.0,23077.687,12456.24
PF05/0011/A106,CE,41.086614,14.197171,50.0,22690.686,12575.252
PF08/0011/A106,CE,41.087857,14.19478,50.0,22830.585,12375.717
