identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A235,CH,42.731401,13.568567,9.0,52857.28,10245.54
PF02/0001/A235,CH,42.724433,13.563618,56.0,52082.689,9841.347
PF03/0001/A235,CH,42.725851,13.56862,54.0,52240.841,10250.755
PF04/0001/A235,CH,42.728056,13.566541,54.0,52485.49,10080.13
PF01/0002/A235,CH,42.726002,13.572073,9.0,52258.08,10533.51
PF07/0002/A235,CH,42.730569,13.57476,54.0,52765.671,10752.749
PF08/0002/A235,CH,42.732133,13.57169,54.0,52938.972,10501.123
PF09/0002/A235,CH,42.728499,13.569842,52.0,52535.076,10350.426
PF10/0002/A235,CH,42.728399,13.573641,52.0,52524.458,10661.521
PF02/0003/A235,CH,42.719198,13.524702,54.0,51497.502,6654.875
PF03/0003/A235,CH,42.721362,13.526159,54.0,51737.942,6774.029
PF07/0003/A235,CH,42.718769,13.531217,54.0,51450.346,7188.56
PF08/0003/A235,CH,42.724431,13.53132,54.0,52079.314,7196.353
PF13/0003/A235,CH,42.721604,13.521918,54.0,51764.546,6426.682
PF14/0003/A235,CH,42.72367,13.524254,52.0,51994.148,6617.727
PF15/0003/A235,CH,42.721033,13.530843,54.0,51701.84,7157.674
PF16/0003/A235,CH,42.719133,13.528299,54.0,51490.518,6949.511
PF17/0003/A235,CH,42.723104,13.528017,54.0,51931.612,6925.972
PF18/0003/A235,CH,42.718865,13.521659,12.0,51460.217,6405.718
PF02/0005/A235,CH,42.723623,13.541423,54.0,51990.459,8023.819
PF03/0005/A235,CH,42.7251,13.543455,54.0,52154.676,8190.05
PF04/0005/A235,CH,42.722954,13.538725,54.0,51915.877,7802.941
PF05/0005/A235,CH,42.725422,13.539477,54.0,52190.081,7864.204
PF01/0006/A235,CH,42.724395,13.545341,10.0,52076.5,8344.6
PF03/0006/A235,CH,42.725935,13.547521,54.0,52247.805,8522.932
PF08/0006/A235,CH,42.725235,13.550928,54.0,52170.41,8802.024
PF09/0006/A235,CH,42.723648,13.545959,70.0,51993.612,8395.29
PF10/0006/A235,CH,42.723086,13.549841,70.0,51931.556,8713.251
PF11/0006/A235,CH,42.724179,13.544167,54.0,52052.403,8248.476
PF01/0007/A235,CH,42.723643,13.569506,9.0,51995.73,10323.7
PF02/0007/A235,CH,42.724826,13.569111,9.0,52127.02,10291.1
PF03/0007/A235,CH,42.725219,13.559509,54.0,52169.579,9504.737
PF04/0007/A235,CH,42.722737,13.556043,56.0,51893.541,9221.224
PF05/0007/A235,CH,42.720725,13.561644,56.0,51670.605,9680.245
PF06/0007/A235,CH,42.722923,13.559743,56.0,51914.606,9524.212
PF08/0007/A235,CH,42.722113,13.564313,56.0,51825.1,9898.623
PF09/0007/A235,CH,42.723341,13.566911,9.0,51961.83,10111.22
PF11/0007/A235,CH,42.720658,13.558208,54.0,51662.852,9398.848
PF01/0008/A235,CH,42.718719,13.536311,54.0,51445.196,7605.755
PF02/0008/A235,CH,42.720698,13.533961,54.0,51664.861,7413.041
PF05/0008/A235,CH,42.716969,13.533597,54.0,51250.567,7383.664
PF06/0008/A235,CH,42.715891,13.536688,54.0,51131.181,7636.979
PF01/0009/A235,CH,42.718881,13.541394,70.0,51463.733,8022.029
PF03/0009/A235,CH,42.721035,13.537604,70.0,51702.607,7711.354
PF05/0009/A235,CH,42.721547,13.540955,54.0,51759.757,7985.759
PF08/0009/A235,CH,42.721682,13.544971,70.0,51775.162,8314.657
PF02/0010/A235,CH,42.7186,13.544949,70.0,51432.879,8313.254
PF04/0010/A235,CH,42.71834,13.539052,70.0,51403.41,7830.316
PF05/0010/A235,CH,42.716548,13.542828,54.0,51204.746,8139.813
PF09/0010/A235,CH,42.715986,13.539969,12.0,51142.011,7905.717
PF07/0011/A235,CH,42.715721,13.550301,54.0,51113.537,8752.009
PF09/0011/A235,CH,42.720407,13.548806,54.0,51633.957,8628.902
PF12/0011/A235,CH,42.716486,13.546909,54.0,51198.258,8474.099
PF13/0011/A235,CH,42.719541,13.551006,54.0,51537.985,8809.192
