identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A049,CL,38.294553,13.069059,50.0,18259.956,-8862.602
PF03/0001/A049,CL,38.297242,13.0735,50.0,18550.246,-8467.899
PF04/0001/A049,CL,38.296736,13.067928,50.0,18504.276,-8956.382
PF06/0001/A049,CL,38.296323,13.064968,50.0,18463.848,-9216.283
PF07/0001/A049,CL,38.298774,13.069078,10.0,18728.334,-8851.102
PF01/0002/A049,CL,38.300823,13.079983,6.0,18935.94,-7892.73
PF02/0002/A049,CL,38.295708,13.078947,50.0,18370.131,-7995.128
PF06/0002/A049,CL,38.294801,13.082422,50.0,18263.196,-7693.312
PF09/0002/A049,CL,38.298454,13.07919,12.0,18674.5,-7967.5
PF13/0002/A049,CL,38.296708,13.077613,12.0,18483.6,-8109.5
PF20/0002/A049,CL,38.295608,13.080441,12.0,18356.3,-7864.7
PF01/0003/A049,CL,38.289097,13.058452,6.0,17673.88,-9802.95
PF02/0003/A049,CL,38.293815,13.061432,50.0,18192.081,-9531.326
PF04/0003/A049,CL,38.28439,13.064945,50.0,17139.717,-9245.951
PF05/0003/A049,CL,38.292894,13.065304,50.0,18082.789,-9194.85
PF07/0003/A049,CL,38.288097,13.065213,50.0,17550.582,-9213.892
PF08/0003/A049,CL,38.28548,13.061373,10.0,17267.215,-9555.926
PF09/0003/A049,CL,38.282081,13.067439,10.0,16878.85,-9033.2
PF10/0003/A049,CL,38.287922,13.062004,10.0,17537.0,-9495.0
PF01/0004/A049,CL,38.287195,13.070749,6.0,17440.38,-8731.82
PF03/0004/A049,CL,38.285988,13.067547,50.0,17312.24,-9014.641
PF04/0004/A049,CL,38.288624,13.073508,50.0,17593.869,-8487.201
PF06/0004/A049,CL,38.294112,13.075494,50.0,18199.363,-8300.768
PF07/0004/A049,CL,38.284553,13.07575,50.0,17137.996,-8300.46
PF08/0004/A049,CL,38.290102,13.078399,10.0,17749.0,-8056.0
PF28/0004/A049,CL,38.286844,13.072581,12.0,17398.1,-8572.4
PF34/0004/A049,CL,38.285583,13.071508,12.0,17260.1,-8669.1
PF35/0004/A049,CL,38.292192,13.074244,10.0,17988.512,-8414.58
PF36/0004/A049,CL,38.286989,13.069667,10.0,17419.5,-8826.9
PF38/0004/A049,CL,38.289045,13.068102,10.0,17650.5,-8959.0
PF41/0004/A049,CL,38.286451,13.077116,10.0,17346.177,-8176.601
PF01/0005/A049,CL,38.286506,13.088149,50.0,17332.286,-7211.454
PF02/0005/A049,CL,38.290052,13.090514,50.0,17721.499,-6996.449
PF03/0005/A049,CL,38.289946,13.086845,50.0,17716.415,-7317.615
PF05/0005/A049,CL,38.286639,13.0787,50.0,17364.104,-8037.646
PF06/0005/A049,CL,38.287408,13.081026,50.0,17445.283,-7832.39
PF07/0005/A049,CL,38.29211,13.080053,50.0,17968.888,-7906.676
PF10/0005/A049,CL,38.293037,13.085845,50.0,18061.265,-7397.972
PF11/0005/A049,CL,38.287308,13.086424,50.0,17424.388,-7360.43
PF12/0005/A049,CL,38.289563,13.084273,12.0,17678.5,-7543.4
PF13/0005/A049,CL,38.294238,13.082996,12.0,18199.7,-7644.4
PF02/0006/A049,CL,38.288307,13.098589,50.0,17513.324,-6294.123
PF06/0006/A049,CL,38.287364,13.096147,50.0,17412.995,-6509.926
PF09/0006/A049,CL,38.292275,13.089957,50.0,17969.184,-7040.019
PF10/0006/A049,CL,38.297031,13.092182,50.0,18493.005,-6834.536
PF11/0006/A049,CL,38.29409,13.096371,4.0,18159.05,-6474.931
PF12/0006/A049,CL,38.293115,13.093067,50.0,18056.833,-6766.102
PF15/0006/A049,CL,38.291343,13.092678,50.0,17860.91,-6804.241
PF16/0006/A049,CL,38.290668,13.09554,50.0,17780.77,-6555.441
PF28/0006/A049,CL,38.290305,13.098767,50.0,17734.678,-6274.052
PF29/0006/A049,CL,38.289234,13.097677,12.0,17617.8,-6371.8
PF30/0006/A049,CL,38.289109,13.096557,10.0,17606.0,-6470.0
PF31/0006/A049,CL,38.288187,13.093929,10.0,17508.321,-6701.987
PF32/0006/A049,CL,38.296847,13.086946,10.0,18482.096,-7292.894
PF05/0007/A049,CL,38.296321,13.099094,50.0,18401.778,-6231.704
PF06/0007/A049,CL,38.298821,13.101365,50.0,18675.124,-6027.339
PF08/0007/A049,CL,38.291871,13.104001,50.0,17899.143,-5812.686
PF10/0007/A049,CL,38.29371,13.103393,50.0,18104.225,-5861.649
PF11/0007/A049,CL,38.298439,13.110206,50.0,18616.888,-5255.014
PF12/0007/A049,CL,38.295529,13.105672,50.0,18302.035,-5658.173
PF13/0007/A049,CL,38.293183,13.100474,50.0,18051.077,-6118.159
PF14/0007/A049,CL,38.291101,13.099095,50.0,17822.508,-6243.534
PF21/0007/A049,CL,38.289489,13.101662,10.0,17638.933,-6022.679
PF22/0007/A049,CL,38.29839,13.105417,10.0,18620.0,-5674.0
PF24/0007/A049,CL,38.295103,13.102996,12.0,18259.54,-5893.23
PF25/0007/A049,CL,38.287871,13.104964,12.0,17453.5,-5737.5
PF26/0007/A049,CL,38.292452,13.109183,10.0,17954.24,-5358.09
PF27/0007/A049,CL,38.29536,13.108151,10.0,18278.804,-5441.812
PF28/0007/A049,CL,38.293495,13.102973,10.0,18081.127,-5898.853
PF29/0007/A049,CL,38.29106,13.108749,10.0,17800.639,-5399.273
PF31/0007/A049,CL,38.287204,13.103643,10.0,17381.822,-5854.607
PF32/0007/A049,CL,38.288346,13.104103,10.0,17507.682,-5811.763
PF34/0007/A049,CL,38.296824,13.101972,10.0,18452.422,-5978.869
PF01/0008/A049,CL,38.283708,13.084051,50.0,17029.121,-7576.334
PF02/0008/A049,CL,38.282189,13.083194,50.0,16862.135,-7654.738
PF03/0008/A049,CL,38.278475,13.072162,50.0,16470.053,-8628.411
PF04/0008/A049,CL,38.285139,13.079659,10.0,17195.994,-7957.153
PF05/0008/A049,CL,38.280931,13.070758,10.0,16745.148,-8745.557
PF06/0008/A049,CL,38.280466,13.08038,10.0,16676.0,-7904.855
PF07/0008/A049,CL,38.28174,13.080905,10.0,16816.49,-7855.993
PF01/0009/A049,CL,38.285707,13.096109,4.0,17229.27,-6516.96
PF02/0009/A049,CL,38.279274,13.093789,6.0,16519.5,-6734.64
PF04/0009/A049,CL,38.284892,13.092001,50.0,17146.203,-6878.183
PF05/0009/A049,CL,38.281767,13.095088,50.0,16793.837,-6615.318
PF06/0009/A049,CL,38.283044,13.086675,50.0,16950.763,-7348.279
PF10/0009/A049,CL,38.282608,13.098337,50.0,16881.275,-6329.202
PF11/0009/A049,CL,38.283464,13.090341,50.0,16990.694,-7026.673
PF12/0009/A049,CL,38.285139,13.086785,50.0,17183.054,-7333.861
PF13/0009/A049,CL,38.280035,13.100657,50.0,16591.533,-6132.086
PF14/0009/A049,CL,38.27933,13.090977,50.0,16530.76,-6980.539
PF17/0009/A049,CL,38.285809,13.0892,10.0,17252.988,-7121.113
PF18/0009/A049,CL,38.286205,13.095037,10.0,17286.393,-6609.669
PF37/0009/A049,CL,38.284907,13.089464,50.0,17152.486,-7100.116
PF38/0009/A049,CL,38.284771,13.090851,50.0,17134.809,-6979.095
PF39/0009/A049,CL,38.284875,13.094203,10.0,17140.34,-6685.662
PF40/0009/A049,CL,38.277098,13.096037,10.0,16274.0,-6543.0
PF41/0009/A049,CL,38.279786,13.094182,10.0,16575.623,-6699.137
PF42/0009/A049,CL,38.285721,13.094489,10.0,17233.697,-6658.699
PF44/0009/A049,CL,38.283956,13.095267,10.0,17036.448,-6594.631
PF45/0009/A049,CL,38.285551,13.099316,10.0,17206.163,-6236.802
PF46/0009/A049,CL,38.28219,13.08751,10.0,16854.406,-7277.213
PF47/0009/A049,CL,38.284684,13.093145,10.0,17121.081,-6778.62
PF48/0009/A049,CL,38.285616,13.093069,10.0,17224.562,-6783.139
PF01/0010/A049,CL,38.279569,13.087001,50.0,16564.513,-7327.784
PF02/0010/A049,CL,38.276788,13.082543,50.0,16263.979,-7724.11
PF03/0010/A049,CL,38.277433,13.087394,50.0,16326.749,-7298.281
PF04/0010/A049,CL,38.274247,13.078134,10.0,15989.958,-8115.739
PF01/0011/A049,CL,38.271839,13.082612,10.0,15714.59,-7729.473
PF02/0011/A049,CL,38.273771,13.085002,10.0,15924.66,-7515.952
PF03/0011/A049,CL,38.274116,13.090477,10.0,15953.084,-7036.189
PF04/0012/A049,CL,38.276706,13.096892,10.0,16228.94,-6469.06
PF05/0012/A049,CL,38.273992,13.096212,50.0,15928.913,-6534.803
PF03/0013/A049,CL,38.271962,13.10666,10.0,15684.93,-5625.368
PF04/0013/A049,CL,38.275703,13.104481,10.0,16104.0,-5807.5
PF02/0014/A049,CL,38.269472,13.088571,50.0,15441.106,-7213.576
PF03/0014/A049,CL,38.265162,13.079243,10.0,14979.7,-8039.67
PF04/0014/A049,CL,38.265432,13.08499,10.0,14999.222,-7536.135
PF01/0015/A049,CL,38.263725,13.094866,10.0,14792.0,-6676.0
PF01/0016/A049,CL,38.262916,13.091822,6.0,14707.69,-6944.17
PF02/0016/A049,CL,38.257308,13.094771,10.0,14080.0,-6699.0
PF03/0016/A049,CL,38.260727,13.101161,10.0,14448.0,-6132.0
PF01/0017/A049,CL,38.259569,13.085363,10.0,14347.9,-7517.0
PF02/0017/A049,CL,38.256739,13.08842,50.0,14028.338,-7255.969
PF03/0017/A049,CL,38.25533,13.094501,50.0,13861.021,-6727.086
PF04/0017/A049,CL,38.254566,13.091648,50.0,13781.426,-6978.504
PF05/0017/A049,CL,38.254675,13.084109,50.0,13807.14,-7637.98
PF06/0017/A049,CL,38.25678,13.084575,50.0,14039.86,-7592.37
PF04/0001/A957,CL,38.212572,13.163726,12.0,8993.55,-763.641
PF05/0001/A957,CL,38.205551,13.161796,20.0,8217.761,-948.094
PF01/0002/A957,CL,38.208708,13.164854,50.0,8562.717,-673.353
PF08/0002/A957,CL,38.205634,13.171676,20.0,8209.833,-82.725
PF02/0003/A957,CL,38.199426,13.161378,52.0,7538.729,-998.22
PF03/0003/A957,CL,38.195548,13.163783,50.0,7104.147,-796.056
PF07/0003/A957,CL,38.197606,13.166455,20.0,7327.915,-557.605
PF05/0004/A957,CL,38.200622,13.168589,50.0,7658.891,-364.102
PF06/0004/A957,CL,38.203267,13.173061,50.0,7944.779,33.305
PF07/0004/A957,CL,38.193204,13.168699,50.0,6835.551,-370.73
PF10/0004/A957,CL,38.194652,13.176331,10.0,6983.014,300.846
PF12/0004/A957,CL,38.197211,13.171479,20.0,7275.402,-118.463
PF04/0005/A957,CL,38.19292,13.182062,4.0,6780.951,799.009
PF07/0005/A957,CL,38.190182,13.178034,12.0,6484.053,440.235
PF08/0005/A957,CL,38.197437,13.180809,20.0,7284.426,699.153
PF03/0006/A957,CL,38.18761,13.177788,4.0,6199.072,413.091
PF05/0006/A957,CL,38.186893,13.173724,50.0,6126.525,55.575
PF15/0006/A957,CL,38.185244,13.179462,50.0,5933.651,554.568
PF22/0006/A957,CL,38.182819,13.173897,12.0,5674.1,61.815
PF23/0006/A957,CL,38.190989,13.171463,10.0,6585.0,-133.5
PF24/0006/A957,CL,38.185454,13.177722,20.0,5959.954,402.656
PF01/0007/A957,CL,38.185574,13.18493,50.0,5960.869,1034.243
PF02/0007/A957,CL,38.190268,13.17837,20.0,6493.045,469.855
PF04/0008/A957,CL,38.186908,13.205475,50.0,6073.796,2836.596
PF05/0008/A957,CL,38.187893,13.200627,50.0,6191.392,2414.112
PF10/0008/A957,CL,38.182702,13.201195,20.0,5614.362,2452.691
PF01/0009/A957,CL,38.181086,13.170487,6.0,5487.67,-240.67
PF02/0009/A957,CL,38.182952,13.16789,50.0,5699.246,-464.012
PF08/0009/A957,CL,38.176915,13.169274,20.0,5026.962,-356.03
PF01/0010/A957,CL,38.183632,13.177658,50.0,5757.844,393.045
PF06/0010/A957,CL,38.181977,13.183446,12.0,5564.288,896.395
PF07/0010/A957,CL,38.179741,13.180928,20.0,5320.446,671.016
PF07/0011/A957,CL,38.175714,13.193472,12.0,4852.076,1761.094
PF08/0011/A957,CL,38.179288,13.186466,20.0,5260.678,1155.126
PF02/0012/A957,CL,38.174976,13.16562,50.0,4818.108,-680.364
