identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A016,CN,45.285945,8.407102,5.0,24001.13,7732.36
PF01/0002/A016,CN,45.1663,8.601007,7.0,10742.67,22991.25
PF01/0004/A016,CN,45.291979,8.465404,7.0,24678.93,12304.55
PF01/0006/A016,CN,45.319697,8.470763,2.0,27759.9,12718.7
PF02/0006/A016,CN,45.30408,8.493099,7.0,26028.28,14473.77
PF01/0007/A016,CN,45.30408,8.493099,7.0,26028.28,14473.77
PF02/0007/A016,CN,45.294486,8.491744,5.0,24961.89,14369.89
PF03/0007/A016,CN,45.27935,8.504571,7.0,23282.29,15380.03
PF04/0007/A016,CN,45.306682,8.500546,12.0,26318.778,15057.045
PF01/0008/A016,CN,45.298423,8.529784,7.0,25406.84,17352.27
PF01/0009/A016,CN,45.278393,8.544417,7.0,23184.27,18506.35
PF02/0009/A016,CN,45.280176,8.523059,12.0,23377.75,16830.25
PF03/0009/A016,CN,45.279709,8.519247,12.0,23325.1,16531.3
PF04/0009/A016,CN,45.275332,8.529412,12.0,22840.8,17330.1
PF01/0013/A016,CN,45.261905,8.545021,52.0,21352.25,18559.15
PF01/0014/A016,CN,45.258547,8.539529,52.0,20977.823,18129.248
PF02/0014/A016,CN,45.259231,8.546514,52.0,21055.377,18677.152
PF01/0016/A016,CN,45.268337,8.533525,7.0,22064.39,17654.97
PF02/0017/A016,CN,45.259293,8.504974,5.0,21053.48,15417.09
PF01/0019/A016,CN,45.294486,8.491744,5.0,24961.89,14369.89
PF02/0019/A016,CN,45.276617,8.479661,7.0,22974.08,13426.44
PF01/0020/A016,CN,45.278722,8.469787,52.0,23206.421,12651.286
PF01/0021/A016,CN,45.282391,8.466046,52.0,23613.518,12356.985
PF02/0021/A016,CN,45.279522,8.461856,52.0,23294.081,12028.879
PF03/0021/A016,CN,45.276305,8.462062,12.0,22936.64,12045.71
PF04/0021/A016,CN,45.27835,8.459737,12.0,23163.6,11862.9
PF05/0021/A016,CN,45.276623,8.459653,12.0,22971.6,11856.65
PF01/0022/A016,CN,45.276817,8.445455,7.0,22991.25,10742.67
PF02/0022/A016,CN,45.260478,8.414952,7.0,21171.97,8351.89
PF01/0023/A016,CN,45.260478,8.414952,7.0,21171.97,8351.89
PF02/0023/A016,CN,45.258312,8.447839,7.0,20935.15,10933.28
PF03/0023/A016,CN,45.246199,8.430782,5.0,19586.92,9596.64
PF01/0024/A016,CN,45.246199,8.430782,5.0,19586.92,9596.64
PF02/0024/A016,CN,45.233514,8.439825,7.0,18178.41,10308.83
PF03/0024/A016,CN,45.243316,8.465817,7.0,19271.32,12347.44
PF04/0024/A016,CN,45.238921,8.446498,12.0,18780.2,10831.75
PF05/0024/A016,CN,45.240062,8.449593,12.0,18907.4,11074.5
PF06/0024/A016,CN,45.237452,8.448933,12.0,18617.3,11023.2
PF01/0025/A016,CN,45.258312,8.447839,7.0,20935.15,10933.28
PF02/0025/A016,CN,45.243316,8.465817,7.0,19271.32,12347.44
PF03/0025/A016,CN,45.26931,8.462258,52.0,22159.396,12062.565
PF04/0025/A016,CN,45.267752,8.461631,52.0,21986.122,12013.698
PF05/0025/A016,CN,45.269699,8.45963,52.0,22202.242,11856.258
PF01/0026/A016,CN,45.266965,8.47626,7.0,21900.95,13161.83
PF01/0027/A016,CN,45.251724,8.480606,70.0,20208.025,13506.494
PF02/0027/A016,CN,45.255015,8.473447,52.0,20572.602,12943.759
PF04/0027/A016,CN,45.2538,8.475656,70.0,20437.922,13117.432
PF05/0027/A016,CN,45.256739,8.475975,12.0,20764.53,13141.79
PF01/0028/A016,CN,45.259293,8.504974,5.0,21053.48,15417.09
PF01/0029/A016,CN,45.243181,8.496046,7.0,19261.42,14720.55
PF01/0030/A016,CN,45.259293,8.504974,5.0,21053.48,15417.09
PF01/0031/A016,CN,45.260815,8.531192,7.0,21227.97,17474.24
PF02/0031/A016,CN,45.254466,8.527519,52.0,20521.664,17187.914
PF03/0031/A016,CN,45.260613,8.526159,52.0,21204.43,17079.329
PF04/0031/A016,CN,45.258463,8.522508,52.0,20964.756,16793.407
PF01/0034/A016,CN,45.247551,8.551109,52.0,19758.5,19041.726
PF02/0034/A016,CN,45.245823,8.552756,52.0,19566.939,19171.565
PF03/0034/A016,CN,45.247666,8.55345,52.0,19771.826,19225.442
PF01/0035/A016,CN,45.234231,8.561601,7.0,18280.89,19869.93
PF03/0035/A016,CN,45.237346,8.568796,54.0,18628.83,20433.776
PF01/0036/A016,CN,45.232795,8.572604,54.0,18124.056,20734.334
PF02/0036/A016,CN,45.226573,8.562738,54.0,17430.206,19961.927
PF04/0036/A016,CN,45.232126,8.567426,54.0,18048.476,20328.068
PF05/0036/A016,CN,45.227998,8.564063,52.0,17588.841,20065.433
PF06/0036/A016,CN,45.228259,8.561527,54.0,17617.221,19866.195
PF07/0036/A016,CN,45.229683,8.566111,54.0,17776.673,20225.632
PF08/0036/A016,CN,45.232239,8.56261,12.0,18059.736,19949.894
PF01/0037/A016,CN,45.232617,8.549124,54.0,18098.577,18890.826
PF02/0037/A016,CN,45.228279,8.558907,54.0,17618.823,19660.464
PF03/0037/A016,CN,45.22664,8.559401,54.0,17436.784,19699.851
PF04/0037/A016,CN,45.229732,8.557413,54.0,17779.943,19542.648
PF05/0037/A016,CN,45.230512,8.550646,54.0,17864.966,19011.011
PF06/0037/A016,CN,45.232122,8.555324,10.0,18045.0,19377.8
PF07/0037/A016,CN,45.230566,8.559693,54.0,17873.146,19721.371
PF01/0038/A016,CN,45.237354,8.540137,7.0,18622.93,18183.7
PF03/0038/A016,CN,45.231976,8.546307,56.0,18026.687,18669.897
PF04/0038/A016,CN,45.232973,8.543789,52.0,18136.824,18471.863
PF05/0038/A016,CN,45.231591,8.54199,52.0,17982.859,18331.005
PF06/0038/A016,CN,45.230222,8.547389,52.0,17831.962,18755.399
PF07/0038/A016,CN,45.230751,8.544153,56.0,17890.057,18501.116
PF08/0038/A016,CN,45.2335,8.546184,56.0,18196.03,18659.704
PF01/0039/A016,CN,45.235814,8.542291,52.0,18452.233,18353.343
PF02/0039/A016,CN,45.24235,8.54622,12.0,19179.48,18659.68
PF01/0040/A016,CN,45.239032,8.532231,56.0,18807.644,17562.441
PF02/0040/A016,CN,45.243141,8.536922,10.0,19265.2,17929.5
PF04/0040/A016,CN,45.240886,8.535043,56.0,19014.266,17782.687
PF06/0040/A016,CN,45.241165,8.53954,54.0,19046.228,18135.592
PF01/0041/A016,CN,45.244828,8.527721,56.0,19450.728,17206.644
PF02/0041/A016,CN,45.242971,8.525434,56.0,19243.897,17027.71
PF03/0041/A016,CN,45.243413,8.532051,56.0,19294.354,17547.032
PF01/0042/A016,CN,45.238296,8.527954,7.0,18724.88,17226.89
PF02/0042/A016,CN,45.238235,8.5278,56.0,18718.127,17214.827
PF03/0042/A016,CN,45.236163,8.52831,52.0,18487.884,17255.497
PF04/0042/A016,CN,45.234165,8.530779,56.0,18266.396,17449.967
PF06/0042/A016,CN,45.23318,8.533015,56.0,18157.494,17625.834
PF07/0042/A016,CN,45.233079,8.539967,52.0,18147.829,18171.691
PF09/0042/A016,CN,45.23108,8.537862,52.0,17925.196,18007.054
PF10/0042/A016,CN,45.236519,8.534909,56.0,18528.883,17773.504
PF11/0042/A016,CN,45.235847,8.536898,54.0,18454.701,17929.896
PF12/0042/A016,CN,45.236342,8.531437,56.0,18508.52,17500.951
PF13/0042/A016,CN,45.232699,8.536102,52.0,18104.648,17868.343
PF14/0042/A016,CN,45.234902,8.538256,52.0,18349.97,18036.782
PF01/0043/A016,CN,45.233024,8.521642,52.0,18137.761,16732.897
PF02/0043/A016,CN,45.236029,8.521554,52.0,18471.574,16725.132
PF03/0043/A016,CN,45.234525,8.519158,52.0,18304.009,16537.405
PF04/0043/A016,CN,45.233169,8.516845,52.0,18152.893,16356.209
PF05/0043/A016,CN,45.229355,8.515514,52.0,17728.707,16252.78
PF06/0043/A016,CN,45.230991,8.514424,52.0,17910.366,16166.745
PF07/0043/A016,CN,45.234097,8.511875,12.0,18254.97,15965.71
PF01/0044/A016,CN,45.235084,8.496625,52.0,18361.721,14768.12
PF01/0046/A016,CN,45.236702,8.491583,7.0,18540.64,14371.82
