identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0905/A143A,CO,45.827012,9.169142,52.0,5074862.359,1513165.941
PF02/0905/A143A,CO,45.826572,9.172708,12.0,5074814.0,1513443.0
PF03/0905/A143A,CO,45.823945,9.173528,52.0,5074522.243,1513507.395
PF01/0906/A143A,CO,45.824942,9.185376,10.0,5074635.131,1514427.418
PF02/0906/A143A,CO,45.827488,9.188691,10.0,5074918.648,1514684.285
PF01/0908/A143A,CO,45.821622,9.185964,42.0,5074266.384,1514473.991
PF02/0908/A143A,CO,45.816736,9.187903,42.0,5073723.833,1514625.915
PF03/0908/A143A,CO,45.575191,9.600227,42.0,5047045.402,1546860.002
PF04/0908/A143A,CO,45.814633,9.187048,42.0,5073490.0,1514560.0
PF01/0909/A143A,CO,45.827279,9.511389,42.0,5075005.153,1539749.671
PF02/0909/A143A,CO,45.810747,9.180008,12.0,5073057.01,1514014.04
PF03/0909/A143A,CO,45.807434,9.175186,12.0,5072688.108,1513640.14
PF04/0909/A143A,CO,45.805711,9.176315,12.0,5072496.899,1513728.334
PF02/0910/A143A,CO,45.805359,9.190475,42.0,5072460.27,1514828.712
PF03/0910/A143A,CO,45.805934,9.18369,42.0,5072522.992,1514301.297
PF04/0910/A143A,CO,45.5795,9.595021,42.0,5047521.07,1546450.281
PF05/0910/A143A,CO,45.576728,9.596641,42.0,5047214.089,1546578.943
PF06/0910/A143A,CO,45.574379,9.595078,42.0,5046952.197,1546458.881
PF07/0910/A143A,CO,45.807018,9.186831,12.0,5072643.987,1514545.109
PF08/0910/A143A,CO,45.809485,9.189233,12.0,5072918.44,1514731.12
PF01/0911/A143A,CO,45.800327,9.182594,52.0,5071899.785,1514217.576
PF02/0911/A143A,CO,45.799803,9.178415,42.0,5071840.84,1513892.972
PF03/0911/A143A,CO,45.797281,9.177552,42.0,5071560.502,1513826.532
PF04/0911/A143A,CO,45.798441,9.176163,52.0,5071689.142,1513718.299
PF05/0911/A143A,CO,45.80078,9.177114,42.0,5071949.127,1513791.599
PF06/0911/A143A,CO,45.796695,9.166963,42.0,5071493.586,1513003.707
PF07/0911/A143A,CO,45.80317,9.178774,12.0,5072215.0,1513920.0
PF01/0912/A143A,CO,45.803036,9.192262,42.0,5072202.543,1514968.185
PF02/0912/A143A,CO,45.799536,9.185942,42.0,5071812.479,1514477.98
PF03/0912/A143A,CO,45.801246,9.19022,42.0,5072003.304,1514809.965
PF04/0912/A143A,CO,45.79915,9.191758,42.0,5071770.686,1514930.057
PF05/0912/A143A,CO,45.799708,9.192753,52.0,5071832.88,1515007.22
PF07/0912/A143A,CO,45.800346,9.187443,42.0,5071902.783,1514594.431
PF08/0912/A143A,CO,45.801936,9.187606,42.0,5072079.497,1514606.626
PF09/0912/A143A,CO,45.801375,9.183432,42.0,5072016.373,1514282.456
PF10/0912/A143A,CO,45.799962,9.186317,42.0,5071859.863,1514507.008
PF12/0912/A143A,CO,45.803493,9.184568,52.0,5072251.869,1514370.184
PF13/0912/A143A,CO,45.803287,9.18224,52.0,5072228.631,1514189.314
PF14/0912/A143A,CO,45.799064,9.18292,42.0,5071759.528,1514243.264
PF15/0912/A143A,CO,45.79783,9.187277,42.0,5071623.193,1514582.191
PF16/0912/A143A,CO,45.796606,9.187876,42.0,5071487.263,1514629.011
PF17/0912/A143A,CO,45.797405,9.184847,42.0,5071575.559,1514393.433
PF18/0912/A143A,CO,45.796377,9.191175,52.0,5071462.437,1514885.475
PF19/0912/A143A,CO,45.79922,9.189678,12.0,5071778.083,1514768.403
PF20/0912/A143A,CO,45.800297,9.181214,12.0,5071896.154,1514110.342
PF02/0913/A143A,CO,45.788634,9.177512,12.0,5070599.792,1513825.564
PF01/0914/A143A,CO,45.798128,9.182138,52.0,5071655.334,1514182.739
PF02/0914/A143A,CO,45.794997,9.184577,42.0,5071307.978,1514373.031
PF03/0914/A143A,CO,45.793849,9.186554,52.0,5071180.698,1514527.005
PF04/0914/A143A,CO,45.792078,9.184881,42.0,5070983.712,1514397.427
PF06/0914/A143A,CO,45.790144,9.183876,42.0,5070768.634,1514319.77
PF07/0914/A143A,CO,45.791361,9.181484,42.0,5070903.464,1514133.619
PF08/0914/A143A,CO,45.786541,9.184161,42.0,5070368.411,1514342.855
PF09/0914/A143A,CO,45.792697,9.179496,42.0,5071051.448,1513978.738
PF10/0914/A143A,CO,45.794646,9.188127,42.0,5071269.606,1514649.044
PF11/0914/A143A,CO,45.788765,9.184786,8.0,5070615.55,1514390.87
PF01/0916/A143A,CO,45.785511,9.182564,42.0,5070253.593,1514218.974
PF02/0916/A143A,CO,45.785023,9.178942,42.0,5070198.829,1513937.556
PF01/0901/A143B,CO,45.798906,9.19421,42.0,5071743.967,1515120.68
PF02/0901/A143B,CO,45.797225,9.192549,42.0,5071556.973,1514992.063
PF03/0901/A143B,CO,45.795769,9.192293,42.0,5071395.16,1514972.504
PF04/0901/A143B,CO,45.795246,9.195029,42.0,5071337.52,1515185.315
PF01/0902/A143B,CO,45.797925,9.199129,42.0,5071635.919,1515503.18
PF01/0903/A143B,CO,45.793779,9.189819,42.0,5071173.616,1514780.809
PF02/0903/A143B,CO,45.153302,8.999649,12.0,5000000.0,1500000.0
PF03/0903/A143B,CO,45.793222,9.193465,52.0,5071112.37,1515064.285
PF04/0903/A143B,CO,45.791355,9.194963,42.0,5070905.203,1515181.195
PF05/0903/A143B,CO,45.788608,9.194269,42.0,5070599.848,1515128.0
PF01/0904/A143B,CO,45.790381,9.19739,42.0,5070797.422,1515370.131
PF02/0904/A143B,CO,45.793468,9.199495,20.0,5071140.845,1515532.862
PF03/0904/A143B,CO,45.793596,9.197077,52.0,5071154.586,1515344.952
PF04/0904/A143B,CO,45.79004,9.200137,42.0,5070760.136,1515583.756
PF05/0904/A143B,CO,45.7895,9.203671,10.0,5070700.821,1515858.559
PF08/0904/A143B,CO,45.786856,9.200943,52.0,5070406.509,1515647.282
PF09/0904/A143B,CO,45.788238,9.203471,42.0,5070560.578,1515843.373
PF10/0904/A143B,CO,45.79019,9.207238,42.0,5070778.192,1516135.621
PF11/0904/A143B,CO,45.788439,9.20896,12.0,5070584.0,1516270.0
PF12/0904/A143B,CO,45.787604,9.202923,12.0,5070490.0,1515801.0
PF01/0902/A143C,CO,45.817326,9.190886,12.0,5073790.0,1514857.5
PF02/0902/A143C,CO,45.815136,9.192538,42.0,5073546.924,1514986.355
PF01/0903/A143C,CO,45.809149,9.201193,50.0,5072883.376,1515660.5
PF02/0903/A143C,CO,45.811948,9.198033,12.0,5073193.789,1515414.158
PF01/0904/A143C,CO,45.806224,9.193503,52.0,5072556.961,1515063.754
PF03/0904/A143C,CO,45.806916,9.195733,42.0,5072634.232,1515236.858
PF04/0904/A143C,CO,45.805376,9.195405,42.0,5072463.137,1515211.797
PF05/0904/A143C,CO,45.803894,9.194375,42.0,5072298.231,1515132.139
PF06/0904/A143C,CO,45.801042,9.195219,42.0,5071981.55,1515198.48
PF08/0904/A143C,CO,45.807651,9.196059,12.0,5072716.0,1515262.0
PF09/0904/A143C,CO,45.810225,9.192391,12.0,5073001.26,1514976.26
PF01/0905/A143C,CO,45.808996,9.198236,42.0,5072865.877,1515430.734
PF02/0905/A143C,CO,45.810182,9.199617,12.0,5072997.847,1515537.754
PF03/0905/A143C,CO,45.806198,9.197819,42.0,5072554.927,1515399.126
PF04/0905/A143C,CO,45.805265,9.198857,52.0,5072451.39,1515480.055
PF05/0905/A143C,CO,45.808268,9.202063,42.0,5072785.681,1515728.342
PF06/0905/A143C,CO,45.802818,9.197797,42.0,5072179.332,1515398.363
PF08/0905/A143C,CO,45.809789,9.196815,12.0,5072953.662,1515320.176
PF01/0906/A143C,CO,45.806417,9.209355,52.0,5072581.497,1516295.49
PF01/0907/A153A,CO,45.80742,9.170279,42.0,5072685.702,1513258.876
PF02/0907/A153A,CO,45.805097,9.165898,42.0,5072426.979,1512918.979
PF02/0908/A153A,CO,45.799639,9.172148,42.0,5071821.581,1513405.986
PF03/0908/A153A,CO,45.153302,8.999649,10.0,5000000.0,1500000.0
PF04/0908/A153A,CO,45.801159,9.16623,12.0,5071989.416,1512945.741
PF06/0908/A153A,CO,45.797554,9.174964,52.0,5071590.382,1513625.336
PF07/0908/A153A,CO,45.795876,9.171421,42.0,5071403.325,1513350.334
PF08/0908/A153A,CO,45.796148,9.174785,42.0,5071434.147,1513611.726
PF09/0908/A153A,CO,45.794542,9.17415,42.0,5071255.552,1513562.789
PF10/0908/A153A,CO,45.794188,9.17205,42.0,5071215.861,1513399.651
PF11/0908/A153A,CO,45.793792,9.168463,52.0,5071171.257,1513120.998
PF12/0908/A153A,CO,45.794303,9.165444,42.0,5071227.53,1512886.185
PF14/0908/A153A,CO,45.796627,9.163243,42.0,5071485.425,1512714.596
PF15/0908/A153A,CO,45.799796,9.168602,42.0,5071838.352,1513130.389
PF16/0908/A153A,CO,45.801121,9.17054,52.0,5071985.983,1513280.687
PF17/0908/A153A,CO,45.800059,9.164383,10.0,5071866.989,1512802.472
PF18/0908/A153A,CO,45.802371,9.165846,10.0,5072124.079,1512915.629
PF19/0908/A153A,CO,45.796796,9.169553,12.0,5071505.239,1513205.0
PF01/0910/A153A,CO,45.791849,9.175402,42.0,5070956.615,1513660.773
PF02/0910/A153A,CO,45.791839,9.171601,42.0,5070954.829,1513365.345
PF03/0910/A153A,CO,45.790183,9.169707,42.0,5070770.556,1513218.515
PF04/0910/A153A,CO,45.787878,9.170243,42.0,5070514.522,1513260.673
PF05/0910/A153A,CO,45.79066,9.173705,52.0,5070824.199,1513529.134
PF07/0910/A153A,CO,45.79029,9.166866,52.0,5070781.968,1512997.622
PF09/0910/A153A,CO,45.792956,9.162043,42.0,5071077.428,1512622.178
PF10/0910/A153A,CO,45.790005,9.162261,52.0,5070749.495,1512639.772
PF11/0910/A153A,CO,45.788462,9.160359,52.0,5070577.851,1512492.327
PF13/0910/A153A,CO,45.786034,9.162881,42.0,5070308.488,1512688.844
PF14/0910/A153A,CO,45.788034,9.174221,42.0,5070532.493,1513569.893
PF15/0910/A153A,CO,45.78507,9.168834,42.0,5070202.329,1513151.852
PF16/0910/A153A,CO,45.787718,9.174759,42.0,5070497.444,1513611.796
PF17/0910/A153A,CO,45.791771,9.168215,12.0,5070946.735,1513102.187
PF18/0910/A153A,CO,45.791476,9.162688,12.0,5070913.06,1512672.66
PF01/0903/A153B,CO,45.797226,9.161832,42.0,5071551.735,1512604.838
PF02/0903/A153B,CO,45.797347,9.155453,42.0,5071564.192,1512109.045
PF03/0903/A153B,CO,45.799098,9.155592,42.0,5071758.767,1512119.51
PF04/0903/A153B,CO,45.799683,9.156228,42.0,5071823.835,1512168.791
PF05/0903/A153B,CO,45.796812,9.158502,42.0,5071505.273,1512346.143
PF06/0903/A153B,CO,45.153302,8.999649,12.0,5000000.0,1500000.0
PF07/0903/A153B,CO,45.800521,9.16081,12.0,5071917.743,1512524.659
PF02/0905/A153B,CO,45.795938,9.157543,52.0,5071407.973,1512271.82
PF04/0905/A153B,CO,45.794932,9.155069,52.0,5071295.881,1512079.724
PF05/0905/A153B,CO,45.794642,9.153709,42.0,5071263.45,1511974.067
PF07/0905/A153B,CO,45.792665,9.157268,42.0,5071044.261,1512251.135
PF08/0905/A153B,CO,45.793238,9.159586,52.0,5071108.316,1512431.169
PF09/0905/A153B,CO,45.790643,9.158561,42.0,5070819.871,1512352.104
PF11/0905/A153B,CO,45.791505,9.153393,42.0,5070914.864,1511950.161
PF12/0905/A153B,CO,45.791086,9.155544,52.0,5070868.645,1512117.467
PF13/0905/A153B,CO,45.790675,9.149944,42.0,5070822.16,1511682.338
PF14/0905/A153B,CO,45.790586,9.150088,42.0,5070812.298,1511693.491
PF15/0905/A153B,CO,45.795234,9.160069,10.0,5071330.2,1512468.24
PF16/0905/A153B,CO,45.79656,9.153812,12.0,5071476.51,1511981.677
PF01/0906/A153B,CO,45.788034,9.156043,42.0,5070529.564,1512156.94
PF02/0906/A153B,CO,45.786996,9.153991,42.0,5070413.955,1511997.648
PF31/0001/A164,CO,45.807559,8.938469,7.0,5072689.02,1495246.84
PF32/0001/A164,CO,45.80805,8.939887,10.0,5072743.48,1495357.04
PF33/0001/A164,CO,45.806596,8.939911,10.0,5072581.93,1495358.8
