identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A039,CR,45.201465,9.893005,54.0,5005738.143,1570164.266
PF04/0001/A039,CR,45.195964,9.890479,54.0,5005124.768,1569972.578
PF05/0001/A039,CR,45.193407,9.898846,70.0,5004847.956,1570632.948
PF06/0001/A039,CR,45.192851,9.89245,20.0,5004780.678,1570131.276
PF07/0002/A039,CR,45.186827,9.883799,12.0,5004104.0,1569459.0
PF09/0002/A039,CR,45.18757,9.889405,20.0,5004191.364,1569898.554
PF11/0003/A039,CR,45.183995,9.886916,8.0,5003791.98,1569707.34
PF17/0003/A039,CR,45.185396,9.886313,54.0,5003947.204,1569658.272
PF18/0003/A039,CR,45.181371,9.887156,20.0,5003500.763,1569729.368
PF06/0004/A039,CR,45.183627,9.889966,20.0,5003753.816,1569947.457
PF07/0005/A039,CR,45.180794,9.883214,54.0,5003433.254,1569420.418
PF09/0005/A039,CR,45.171057,9.879815,62.0,5002348.586,1569165.108
PF10/0005/A039,CR,45.175534,9.886346,54.0,5002851.55,1569672.857
PF11/0005/A039,CR,45.179661,9.886342,54.0,5003310.083,1569667.515
PF14/0005/A039,CR,45.173455,9.882912,20.0,5002617.709,1569405.549
PF04/0006/A039,CR,45.174437,9.894254,20.0,5002736.606,1570295.576
PF10/0007/A039,CR,45.170458,9.87375,54.0,5002276.909,1568689.255
PF13/0007/A039,CR,45.166784,9.886457,20.0,5001879.559,1569692.249
PF02/0008/A039,CR,45.171453,9.8899,54.0,5002401.327,1569957.091
PF11/0008/A039,CR,45.166087,9.890219,54.0,5001805.407,1569988.782
PF15/0008/A039,CR,45.169507,9.890439,54.0,5002185.511,1570001.879
PF16/0008/A039,CR,45.167976,9.889741,20.0,5002014.818,1569948.871
PF02/0009/A039,CR,45.167532,9.897011,54.0,5001971.907,1570520.783
PF04/0009/A039,CR,45.166526,9.894248,54.0,5001857.715,1570304.886
PF05/0009/A039,CR,45.165916,9.896104,54.0,5001791.496,1570451.45
PF09/0009/A039,CR,45.164599,9.894286,60.0,5001643.646,1570310.251
PF11/0009/A039,CR,45.163199,9.886182,54.0,5001481.076,1569674.986
PF13/0009/A039,CR,45.169006,9.891154,54.0,5002130.536,1570058.649
PF15/0009/A039,CR,45.170637,9.89689,54.0,5002316.677,1570507.454
PF16/0009/A039,CR,45.167296,9.890868,60.0,5001940.341,1570038.251
PF18/0009/A039,CR,45.165708,9.905228,20.0,5001776.384,1571168.755
PF01/0010/A039,CR,45.162066,9.891084,54.0,5001359.445,1570061.657
PF02/0010/A039,CR,45.154064,9.892428,54.0,5000471.661,1570177.126
PF04/0010/A039,CR,45.161056,9.889194,20.0,5001245.588,1569914.347
PF05/0010/A039,CR,45.159342,9.895144,20.0,5001060.342,1570384.099
PF02/0011/A039,CR,45.147132,9.897631,54.0,4999706.17,1570594.61
PF04/0011/A039,CR,45.150085,9.895594,54.0,5000032.404,1570430.867
PF05/0011/A039,CR,45.15803,9.895535,20.0,5000914.93,1570416.446
PF06/0011/A039,CR,45.157024,9.899392,20.0,5000806.539,1570720.849
PF04/0001/A076,CR,45.44899,9.542582,54.0,5032992.521,1542456.952
PF05/0001/A076,CR,45.453979,9.53967,54.0,5033545.244,1542225.506
PF06/0001/A076,CR,45.451097,9.542577,54.0,5033226.586,1542454.988
PF07/0001/A076,CR,45.448792,9.545732,54.0,5032972.174,1542703.465
PF01/0002/A076,CR,45.460301,9.553503,10.0,5034255.0,1543302.3
PF02/0002/A076,CR,45.456219,9.55578,54.0,5033802.632,1543483.489
PF03/0002/A076,CR,45.45551,9.557558,54.0,5033724.886,1543623.07
PF05/0002/A076,CR,45.453929,9.550815,54.0,5033545.611,1543097.023
PF06/0002/A076,CR,45.454813,9.553623,54.0,5033645.366,1543315.863
PF07/0002/A076,CR,45.453119,9.554037,54.0,5033457.378,1543349.577
PF08/0002/A076,CR,45.451557,9.554047,54.0,5033283.79,1543351.565
PF09/0002/A076,CR,45.450022,9.555632,54.0,5033114.166,1543476.643
PF10/0002/A076,CR,45.448521,9.558389,70.0,5032948.859,1543693.419
PF11/0002/A076,CR,45.447517,9.54942,60.0,5032832.437,1542992.761
PF12/0002/A076,CR,45.446868,9.551425,52.0,5032761.466,1543150.084
PF14/0002/A076,CR,45.446975,9.556394,54.0,5032776.014,1543538.592
PF18/0002/A076,CR,45.453331,9.548093,54.0,5033477.661,1542884.598
PF19/0002/A076,CR,45.450096,9.551842,54.0,5033120.289,1543180.205
PF20/0002/A076,CR,45.447796,9.553248,54.0,5032865.479,1543291.898
PF01/0003/A076,CR,45.460307,9.562391,54.0,5034260.429,1543997.188
PF02/0003/A076,CR,45.45806,9.558575,54.0,5034008.777,1543700.591
PF03/0003/A076,CR,45.456839,9.559327,54.0,5033873.455,1543760.295
PF04/0003/A076,CR,45.457312,9.566506,54.0,5033929.982,1544321.29
PF05/0003/A076,CR,45.458891,9.568629,54.0,5034106.594,1544486.008
PF06/0003/A076,CR,45.455628,9.558694,54.0,5033738.605,1543711.739
PF16/0003/A076,CR,45.450103,9.563305,54.0,5033127.31,1544076.568
PF17/0003/A076,CR,45.453956,9.558122,54.0,5033552.548,1543668.369
PF18/0003/A076,CR,45.455518,9.565855,54.0,5033730.277,1544271.743
PF19/0003/A076,CR,45.447471,9.563632,60.0,5032835.037,1544104.192
PF01/0004/A076,CR,45.459781,9.570047,8.0,5034206.24,1544596.15
PF03/0004/A076,CR,45.460198,9.575384,54.0,5034255.468,1545013.142
PF04/0004/A076,CR,45.453844,9.571163,54.0,5033547.196,1544688.089
PF05/0004/A076,CR,45.452122,9.578782,54.0,5033360.201,1545285.234
PF06/0004/A076,CR,45.44914,9.57894,12.0,5033029.0,1545300.0
PF07/0004/A076,CR,45.456314,9.572764,54.0,5033822.578,1544811.317
PF01/0005/A076,CR,45.449094,9.536093,54.0,5033000.609,1541949.439
PF03/0005/A076,CR,45.441242,9.535228,54.0,5032127.858,1541887.642
PF04/0005/A076,CR,45.434819,9.527481,54.0,5031410.226,1541286.417
PF05/0005/A076,CR,45.438235,9.531933,54.0,5031792.029,1541632.086
PF01/0006/A076,CR,45.435477,9.5411,54.0,5031490.405,1542351.166
PF02/0006/A076,CR,45.440583,9.545248,52.0,5032059.918,1542671.796
PF05/0007/A076,CR,45.445852,9.560271,54.0,5032653.319,1543842.605
PF07/0007/A076,CR,45.444682,9.556995,6.0,5032521.55,1543587.33
PF08/0007/A076,CR,45.444725,9.552774,60.0,5032524.102,1543257.175
PF11/0007/A076,CR,45.442942,9.556578,54.0,5032328.061,1543556.105
PF12/0007/A076,CR,45.442397,9.55523,56.0,5032266.749,1543451.072
PF14/0007/A076,CR,45.446303,9.556674,54.0,5032701.527,1543560.989
PF01/0008/A076,CR,45.445091,9.558456,70.0,5032567.787,1543701.258
PF03/0008/A076,CR,45.444368,9.559507,54.0,5032488.028,1543784.008
PF06/0008/A076,CR,45.4437,9.55919,56.0,5032413.708,1543759.729
PF08/0008/A076,CR,45.442812,9.559669,54.0,5032315.246,1543797.875
PF10/0008/A076,CR,45.441983,9.556284,54.0,5032221.317,1543533.843
PF14/0008/A076,CR,45.440226,9.556338,54.0,5032026.205,1543539.423
PF15/0008/A076,CR,45.439611,9.557082,52.0,5031958.32,1543598.016
PF16/0008/A076,CR,45.442389,9.554593,54.0,5032265.526,1543401.218
PF17/0008/A076,CR,45.441122,9.554563,54.0,5032124.813,1543399.911
PF20/0008/A076,CR,45.443104,9.557446,54.0,5032346.491,1543623.859
PF21/0008/A076,CR,45.44471,9.560575,54.0,5032526.613,1543867.261
PF02/0009/A076,CR,45.443475,9.549317,60.0,5032383.377,1542987.799
PF03/0009/A076,CR,45.440006,9.5513,54.0,5031999.056,1543145.537
PF04/0009/A076,CR,45.440216,9.556206,54.0,5032025.027,1543529.054
PF06/0009/A076,CR,45.43916,9.554865,10.0,5031907.0,1543425.0
PF07/0009/A076,CR,45.437973,9.557608,54.0,5031776.549,1543640.469
PF08/0009/A076,CR,45.436648,9.555997,10.0,5031628.5,1543515.5
PF10/0009/A076,CR,45.434245,9.550999,54.0,5031358.847,1543126.37
PF11/0009/A076,CR,45.43529,9.55296,54.0,5031475.953,1543278.927
PF12/0009/A076,CR,45.432253,9.552784,10.0,5031138.5,1543267.5
PF13/0009/A076,CR,45.430892,9.55292,54.0,5030987.328,1543279.174
PF17/0009/A076,CR,45.442448,9.55254,54.0,5032270.978,1543240.654
PF01/0010/A076,CR,45.446474,9.561462,60.0,5032723.06,1543935.311
PF03/0010/A076,CR,45.447856,9.567063,54.0,5032879.686,1544372.259
PF06/0010/A076,CR,45.444365,9.567926,54.0,5032492.381,1544442.473
PF09/0010/A076,CR,45.438658,9.57203,60.0,5031860.647,1544767.919
PF12/0010/A076,CR,45.439137,9.565788,60.0,5031910.407,1544279.37
PF13/0010/A076,CR,45.433814,9.574929,10.0,5031324.0,1544998.5
PF17/0010/A076,CR,45.445278,9.563098,60.0,5032591.164,1544064.146
PF18/0010/A076,CR,45.443632,9.562127,54.0,5032407.696,1543989.539
PF19/0010/A076,CR,45.441557,9.560089,54.0,5032176.09,1543831.727
PF20/0010/A076,CR,45.44165,9.560718,54.0,5032186.762,1543880.815
PF21/0010/A076,CR,45.436445,9.564985,60.0,5031610.886,1544218.662
PF22/0010/A076,CR,45.441241,9.565064,60.0,5032143.706,1544221.065
PF02/0011/A076,CR,45.438806,9.575797,54.0,5031879.164,1545062.434
PF03/0011/A076,CR,45.442668,9.571848,54.0,5032305.969,1544750.539
PF04/0011/A076,CR,45.440002,9.572682,54.0,5032010.314,1544817.853
PF06/0011/A076,CR,45.44895,9.573986,54.0,5033005.107,1544912.724
PF07/0011/A076,CR,45.442065,9.576062,54.0,5032241.395,1545080.545
PF08/0011/A076,CR,45.440819,9.578294,54.0,5032104.157,1545256.129
PF01/0012/A076,CR,45.430004,9.576621,8.0,5030901.72,1545133.86
PF03/0012/A076,CR,45.434019,9.565362,12.0,5031341.5,1544250.0
PF04/0012/A076,CR,45.430265,9.566857,54.0,5030925.291,1544369.849
PF05/0012/A076,CR,45.430547,9.571097,54.0,5030958.974,1544701.345
PF06/0012/A076,CR,45.42769,9.578676,54.0,5030645.735,1545296.463
PF07/0012/A076,CR,45.431331,9.579464,54.0,5031050.791,1545355.193
PF08/0012/A076,CR,45.427818,9.567793,12.0,5030654.0,1544445.0
PF02/0013/A076,CR,45.427166,9.572559,54.0,5030584.202,1544818.387
PF03/0013/A076,CR,45.427172,9.58198,54.0,5030590.14,1545555.335
PF04/0013/A076,CR,45.424512,9.582974,60.0,5030295.146,1545635.235
PF05/0013/A076,CR,45.420142,9.582587,54.0,5029809.465,1545608.479
PF06/0013/A076,CR,45.424912,9.567886,54.0,5030331.131,1544454.614
PF04/0001/A299,CR,45.267808,9.867473,54.0,5013086.58,1568079.752
PF06/0001/A299,CR,45.265884,9.869079,54.0,5012874.132,1568208.082
PF07/0001/A299,CR,45.270687,9.869546,20.0,5013408.159,1568238.946
