identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0007/A041,CS,39.49628,15.950312,52.0,4372287.0,2601720.5
PF03/0007/A041,CS,39.493042,15.952282,52.0,4371929.45,2601893.71
PF06/0007/A041,CS,39.491207,15.952505,12.0,4371726.0,2601915.0
PF08/0007/A041,CS,39.494745,15.951212,12.0,4372117.42,2601799.73
PF02/0008/A041,CS,39.485822,15.956711,52.0,4371132.18,2602283.07
PF14/0008/A041,CS,39.488928,15.95416,12.0,4371474.5,2602060.0
PF03/0017/A041,CS,39.480808,15.958719,52.0,4370577.48,2602461.71
PF04/0017/A041,CS,39.477402,15.96086,52.0,4370201.48,2602649.86
PF05/0017/A041,CS,39.476022,15.961904,52.0,4370049.23,2602741.3
PF05/0024/A041,CS,39.472629,15.966464,52.0,4369676.82,2603137.5
PF06/0024/A041,CS,39.470941,15.96872,12.0,4369491.64,2603333.57
PF06/0001/A253,CS,39.149106,16.06587,52.0,4333867.77,2612111.28
PF15/0001/A253,CS,39.139399,16.066754,12.0,4332791.34,2612200.27
PF17/0001/A253,CS,39.141315,16.066608,12.0,4333003.802,2612185.168
PF18/0001/A253,CS,39.145,16.066281,10.0,4333412.41,2612152.15
PF07/0005/A253,CS,39.126951,16.070766,52.0,4331413.97,2612563.34
PF10/0005/A253,CS,39.134527,16.068638,10.0,4332252.51,2612369.52
PF11/0005/A253,CS,39.131542,16.068798,12.0,4331921.453,2612387.213
PF12/0005/A253,CS,39.128016,16.069812,12.0,4331531.2,2612479.5
PF10/0014/A253,CS,39.120187,16.073964,6.0,4330666.56,2612848.64
PF11/0018/A253,CS,39.112256,16.077062,52.0,4329789.575,2613126.915
PF12/0018/A253,CS,39.109809,16.077658,10.0,4329518.566,2613181.657
PF16/0018/A253,CS,39.116866,16.074795,12.0,4330298.794,2612924.855
PF05/0021/A253,CS,39.105665,16.078715,52.0,4329059.82,2613278.48
PF06/0024/A253,CS,39.099356,16.080041,52.0,4328360.99,2613401.48
PF11/0024/A253,CS,39.09529,16.081395,12.0,4327911.1,2613523.96
PF08/0027/A253,CS,39.093868,16.083963,10.0,4327755.91,2613747.88
PF10/0031/A253,CS,39.080412,16.086761,12.0,4326265.499,2614007.743
PF11/0031/A253,CS,39.075596,16.086985,12.0,4325731.3,2614033.5
PF52/0033/A253,CS,39.066443,16.090747,12.0,4324719.34,2614371.11
PF01/0036/A253,CS,39.05939,16.093064,52.0,4323939.0,2614581.0
PF14/0036/A253,CS,39.051213,16.095376,52.0,4323034.0,2614792.0
PF05/0029/A263,CS,39.955899,16.626063,52.0,4424133.49,2658902.58
PF08/0029/A263,CS,39.958315,16.627101,12.0,4424403.25,2658986.39
PF10/0029/A263,CS,39.961312,16.627906,12.0,4424737.2,2659049.04
PF03/0043/A263,CS,39.942005,16.612221,52.0,4422569.82,2657748.07
PF05/0043/A263,CS,39.938317,16.609778,52.0,4422156.68,2657546.72
PF10/0043/A263,CS,39.944073,16.613877,12.0,4422801.972,2657885.35
PF03/0058/A263,CS,39.935282,16.607237,52.0,4421815.88,2657335.61
PF08/0058/A263,CS,39.931543,16.604214,12.0,4421396.19,2657084.83
PF04/0059/A263,CS,39.927248,16.597733,12.0,4420909.5,2656539.5
PF03/0068/A263,CS,39.916486,16.587115,12.0,4419698.8,2655653.36
PF04/0068/A263,CS,39.921033,16.592617,12.0,4420211.869,2656114.61
PF03/0069/A263,CS,39.908147,16.578727,52.0,4418760.46,2654952.77
PF04/0069/A263,CS,39.91341,16.584581,12.0,4419353.5,2655442.8
PF02/0004/A762,CS,39.183283,16.063732,52.0,4337658.5,2611882.0
PF05/0014/A762,CS,39.175737,16.06359,52.0,4336820.94,2611879.54
PF01/0018/A762,CS,39.171891,16.064171,52.0,4336394.67,2611934.81
PF01/0034/A762,CS,39.167764,16.064132,52.0,4335936.67,2611936.76
PF02/0034/A762,CS,39.164274,16.064658,52.0,4335549.8,2611986.75
PF06/0034/A762,CS,39.156954,16.064841,52.0,4334737.66,2612012.14
PF07/0001/A773,CS,39.66689,15.832465,52.0,4391122.16,2591411.933
PF11/0001/A773,CS,39.665964,15.832261,12.0,4391019.23,2591395.4
PF01/0004/A773,CS,39.655763,15.835934,52.0,4389890.0,2591721.0
PF07/0004/A773,CS,39.659634,15.834998,12.0,4390318.909,2591636.712
PF05/0007/A773,CS,39.648905,15.83922,12.0,4389131.5,2592010.0
PF06/0011/A773,CS,39.643325,15.840284,52.0,4388513.02,2592107.08
PF08/0017/A773,CS,39.632163,15.843907,52.0,4387277.02,2592429.59
PF09/0017/A773,CS,39.635973,15.842636,52.0,4387698.86,2592316.53
PF06/0022/A773,CS,39.621964,15.847854,52.0,4386148.3,2592779.02
PF10/0022/A773,CS,39.627698,15.844494,12.0,4386781.98,2592484.66
PF01/0028/A773,CS,39.621421,15.850449,52.0,4386090.12,2593002.34
PF07/0036/A773,CS,39.609917,15.855625,10.0,4384817.5,2593458.76
PF08/0036/A773,CS,39.613635,15.852828,10.0,4385227.889,2593214.729
PF09/0042/A773,CS,39.609386,15.8555,52.0,4384758.55,2593448.55
PF13/0042/A773,CS,39.604544,15.857129,12.0,4384222.5,2593593.5
PF07/0045/A773,CS,39.599209,15.859119,12.0,4383632.0,2593770.0
PF08/0045/A773,CS,39.597156,15.860176,12.0,4383405.0,2593863.0
PF03/0011/A973,CS,39.576553,15.866925,52.0,4381123.92,2594464.47
PF07/0014/A973,CS,39.572119,15.86913,12.0,4380633.607,2594658.677
PF07/0031/A973,CS,39.561195,15.87232,52.0,4379423.88,2594944.39
PF09/0031/A973,CS,39.558045,15.87315,12.0,4379074.92,2595019.12
PF10/0031/A973,CS,39.562468,15.871355,12.0,4379564.272,2594860.116
PF03/0042/A973,CS,39.553773,15.874873,10.0,4378602.18,2595171.75
PF05/0043/A973,CS,39.54868,15.879642,52.0,4378041.0,2595587.0
PF06/0049/A973,CS,39.542335,15.887045,12.0,4377343.0,2596230.0
PF04/0001/B424,CS,39.5864,16.817574,52.0,4383435.5,2676094.5
PF05/0001/B424,CS,39.581223,16.819704,6.0,4382864.69,2676289.05
PF06/0001/B424,CS,39.583904,16.819005,52.0,4383161.0,2676223.0
PF16/0001/B424,CS,39.581594,16.820097,12.0,4382906.5,2676322.0
PF02/0002/B424,CS,39.573394,16.822205,52.0,4382000.0,2676521.5
PF05/0002/B424,CS,39.577299,16.82112,52.0,4382431.5,2676419.5
PF07/0002/B424,CS,39.570946,16.823892,12.0,4381731.19,2676671.92
PF08/0012/B424,CS,39.563497,16.830349,52.0,4380915.73,2677243.4
PF03/0001/B774,CS,39.516653,16.912772,52.0,4375863.554,2684434.959
PF06/0001/B774,CS,39.51543,16.916123,10.0,4375734.0,2684726.0
PF07/0001/B774,CS,39.517624,16.912031,10.0,4375970.0,2684369.0
PF08/0004/B774,CS,39.51357,16.922438,52.0,4375539.12,2685273.3
PF12/0004/B774,CS,39.510897,16.929435,10.0,4375255.27,2685881.19
PF13/0004/B774,CS,39.512503,16.925989,12.0,4375427.159,2685581.071
PF03/0005/B774,CS,39.505667,16.938928,6.0,4374692.29,2686709.91
PF04/0005/B774,CS,39.508519,16.934425,52.0,4375000.54,2686315.93
PF01/0006/B774,CS,39.504768,16.939839,52.0,4374594.17,2686790.35
PF05/0006/B774,CS,39.506818,16.94229,12.0,4374826.306,2686996.162
PF06/0006/B774,CS,39.50141,16.943942,12.0,4374229.129,2687151.178
PF02/0007/B774,CS,39.499903,16.946346,52.0,4374066.26,2687361.54
PF05/0007/B774,CS,39.498993,16.949513,10.0,4373971.17,2687636.04
PF07/0008/B774,CS,39.497722,16.952978,52.0,4373836.6,2687937.09
PF08/0008/B774,CS,39.496768,16.956476,12.0,4373737.158,2688240.173
PF06/0014/B774,CS,39.495568,16.957557,10.0,4373606.0,2688336.0
PF08/0014/B774,CS,39.495385,16.960358,10.0,4373590.98,2688577.33
PF06/0015/B774,CS,39.492771,16.968575,52.0,4373316.24,2689290.28
PF08/0015/B774,CS,39.491755,16.971897,52.0,4373209.75,2689578.46
PF13/0015/B774,CS,39.493899,16.966131,12.0,4373436.87,2689077.414
PF10/0016/B774,CS,39.491455,16.975507,52.0,4373183.16,2689889.67
PF18/0016/B774,CS,39.490875,16.979165,12.0,4373125.7,2690205.67
PF19/0016/B774,CS,39.490243,16.975698,12.0,4373049.0,2689909.0
PF03/0017/B774,CS,39.489861,16.986228,12.0,4373026.52,2690815.58
PF02/0018/B774,CS,39.487884,16.999646,52.0,4372832.596,2691974.45
PF04/0018/B774,CS,39.48451,17.006967,12.0,4372472.14,2692612.44
PF06/0018/B774,CS,39.486619,17.011903,12.0,4372715.688,2693031.764
PF07/0020/B774,CS,39.483426,17.022103,52.0,4372381.0,2693917.0
PF10/0020/B774,CS,39.486275,17.014774,12.0,4372683.0,2693279.5
PF13/0027/B903,CS,39.828216,16.5027,12.0,4409776.22,2648603.13
PF05/0036/B903,CS,39.815317,16.495131,12.0,4408333.67,2647979.28
PF04/0038/B903,CS,39.805924,16.491027,12.0,4407285.282,2647645.316
PF05/0038/B903,CS,39.803865,16.490577,12.0,4407056.07,2647610.66
PF10/0042/B903,CS,39.794025,16.487156,12.0,4405958.98,2647335.88
