identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A025,CT,38.06914,13.198184,12.0,-6982.68,1944.228
PF02/0001/A025,CT,38.067605,13.195988,52.0,-7149.31,1748.21
PF16/0001/A025,CT,38.071638,13.198386,52.0,-6705.767,1967.341
PF19/0001/A025,CT,38.070295,13.197419,32.0,-6853.158,1879.589
PF20/0001/A025,CT,38.073679,13.198277,32.0,-6479.065,1962.129
PF21/0001/A025,CT,38.073417,13.20007,32.0,-6511.241,2118.837
PF22/0001/A025,CT,38.072412,13.200118,32.0,-6622.899,2120.87
PF23/0001/A025,CT,38.068717,13.200018,52.0,-7032.681,2104.155
PF24/0001/A025,CT,38.067869,13.197721,52.0,-7122.875,1900.857
PF25/0001/A025,CT,38.068644,13.19523,12.0,-7032.68,1683.97
PF26/0001/A025,CT,38.070671,13.199972,10.0,-6815.75,2104.4
PF27/0001/A025,CT,38.070391,13.19599,20.0,-6840.081,1754.386
PF04/0002/A025,CT,38.070349,13.202614,32.0,-6856.024,2335.4
PF07/0002/A025,CT,38.067033,13.205424,32.0,-7228.796,2574.83
PF08/0002/A025,CT,38.065357,13.203594,52.0,-7411.607,2410.702
PF09/0002/A025,CT,38.067852,13.201487,20.0,-7131.199,2231.208
PF11/0003/A025,CT,38.065111,13.197287,52.0,-7428.212,1856.875
PF14/0003/A025,CT,38.066603,13.199089,32.0,-7265.734,2018.159
PF15/0003/A025,CT,38.065703,13.194089,52.0,-7357.099,1577.583
PF16/0003/A025,CT,38.063062,13.19538,52.0,-7652.328,1685.106
PF18/0003/A025,CT,38.063668,13.19695,12.0,-7587.74,1824.15
PF19/0003/A025,CT,38.061144,13.194732,20.0,-7864.044,1624.154
PF10/0004/A025,CT,38.064576,13.201376,32.0,-7494.56,2214.399
PF18/0004/A025,CT,38.063342,13.201839,54.0,-7632.294,2252.436
PF20/0004/A025,CT,38.065732,13.200742,52.0,-7365.181,2161.286
PF21/0004/A025,CT,38.063551,13.198747,12.0,-7603.78,1981.57
PF22/0004/A025,CT,38.062539,13.203588,20.0,-7724.363,2404.101
PF07/0005/A025,CT,38.058209,13.203247,52.0,-8204.24,2364.907
PF09/0005/A025,CT,38.064038,13.202548,42.0,-7556.214,2316.145
PF26/0005/A025,CT,38.055619,13.199592,52.0,-8485.476,2038.687
PF27/0005/A025,CT,38.057763,13.196427,52.0,-8242.223,1765.551
PF28/0005/A025,CT,38.05787,13.200009,52.0,-8236.393,2080.064
PF31/0005/A025,CT,38.059963,13.204018,32.0,-8010.977,2436.369
PF32/0005/A025,CT,38.061289,13.207013,52.0,-7868.915,2701.954
PF33/0005/A025,CT,38.058671,13.206757,32.0,-8158.956,2673.848
PF34/0005/A025,CT,38.055263,13.197057,32.0,-8520.703,1815.428
PF35/0005/A025,CT,38.06141,13.201241,32.0,-7845.681,2195.771
PF36/0005/A025,CT,38.061117,13.197732,52.0,-7872.165,1887.306
PF37/0005/A025,CT,38.056555,13.203853,32.0,-8388.81,2414.555
PF38/0005/A025,CT,38.06279,13.19943,52.0,-7689.412,2039.843
PF40/0005/A025,CT,38.059381,13.19985,20.0,-8068.497,2069.391
PF01/0001/A026,CT,38.204824,13.315825,6.0,7880.6,12537.96
PF02/0001/A026,CT,38.204725,13.315615,54.0,7869.936,12519.323
PF05/0001/A026,CT,38.20387,13.317771,54.0,7771.673,12706.413
PF06/0001/A026,CT,38.199845,13.319285,32.0,7322.566,12830.906
PF07/0001/A026,CT,38.203617,13.321143,32.0,7738.22,13001.198
PF08/0001/A026,CT,38.20519,13.324106,50.0,7908.102,13263.783
PF09/0001/A026,CT,38.202672,13.314975,32.0,7643.1,12459.2
PF10/0001/A026,CT,38.207585,13.322665,10.0,8176.134,13142.422
PF14/0001/A026,CT,38.208371,13.315997,52.0,8273.873,12560.163
PF20/0001/A026,CT,38.202371,13.32027,32.0,7601.353,12922.2
PF23/0001/A026,CT,38.20529,13.319927,32.0,7925.817,12898.091
PF24/0001/A026,CT,38.207453,13.313922,52.0,8175.32,12376.613
PF26/0001/A026,CT,38.209752,13.313487,52.0,8431.223,12343.15
PF27/0001/A026,CT,38.204428,13.315431,32.0,7837.267,12502.628
PF29/0001/A026,CT,38.207035,13.316185,32.0,8125.314,12573.907
PF30/0001/A026,CT,37.573467,15.166802,10.0,4158502.04,2534731.83
PF31/0001/A026,CT,37.57425,15.168918,10.0,4158589.3,2534918.6
PF52/0001/A026,CT,37.568948,15.164172,52.0,4158000.318,2534500.52
PF53/0001/A026,CT,37.571547,15.165243,52.0,4158288.783,2534594.526
PF54/0001/A026,CT,38.203505,13.317648,52.0,7731.267,12694.888
PF05/0002/A026,CT,38.193324,13.314495,32.0,6606.513,12398.253
PF06/0002/A026,CT,38.198214,13.317687,32.0,7144.051,12687.666
PF12/0002/A026,CT,38.199285,13.316542,32.0,7264.776,12589.51
PF14/0002/A026,CT,38.195795,13.314435,32.0,6880.885,12397.973
PF17/0002/A026,CT,38.195749,13.315848,32.0,6873.485,12521.623
PF20/0002/A026,CT,38.192341,13.308263,52.0,6507.354,11850.482
PF21/0002/A026,CT,38.19567,13.308114,52.0,6877.02,11844.158
PF23/0002/A026,CT,38.190423,13.309631,32.0,6292.413,11966.369
PF24/0002/A026,CT,38.197347,13.309592,50.0,7060.809,11977.016
PF25/0002/A026,CT,38.195546,13.311966,52.0,6857.13,12181.221
PF26/0002/A026,CT,38.191401,13.312274,32.0,6396.715,12199.843
PF27/0002/A026,CT,38.200875,13.316332,32.0,7441.561,12574.348
PF28/0002/A026,CT,38.198743,13.313426,50.0,7209.569,12315.546
PF30/0002/A026,CT,37.560664,15.156811,52.0,4157080.112,2533851.998
PF31/0002/A026,CT,38.19833,13.317408,32.0,7157.377,12663.438
PF32/0002/A026,CT,37.562524,15.159075,52.0,4157286.719,2534051.576
PF33/0002/A026,CT,37.564927,15.160484,52.0,4157553.618,2534175.539
PF34/0002/A026,CT,37.559663,15.154208,52.0,4156968.582,2533622.275
PF35/0002/A026,CT,38.198083,13.319311,32.0,7127.001,12829.606
PF36/0002/A026,CT,37.566731,15.164201,12.0,4157754.297,2534503.495
PF03/0003/A026,CT,38.195642,13.317518,32.0,6859.001,12667.716
PF07/0003/A026,CT,38.193437,13.315806,32.0,6616.947,12513.287
PF08/0003/A026,CT,38.194394,13.317602,32.0,6720.345,12672.537
PF09/0003/A026,CT,38.192556,13.315869,32.0,6519.072,12517.011
PF11/0003/A026,CT,38.196537,13.316974,32.0,6959.149,12621.868
PF13/0003/A026,CT,38.190776,13.316275,32.0,6320.992,12549.001
PF14/0003/A026,CT,37.563535,15.162184,52.0,4157399.398,2534325.995
PF15/0003/A026,CT,37.561251,15.160937,52.0,4157145.797,2534216.295
PF16/0003/A026,CT,37.561327,15.163809,52.0,4157154.653,2534469.926
PF17/0003/A026,CT,37.560491,15.160914,52.0,4157061.445,2534214.365
PF18/0003/A026,CT,37.560663,15.158949,12.0,4157080.292,2534040.776
PF19/0003/A026,CT,37.56549,15.16261,32.0,4157616.366,2534363.25
PF01/0004/A026,CT,38.191976,13.321969,10.0,6445.1,13050.09
PF02/0004/A026,CT,38.192372,13.321684,32.0,6489.497,13025.957
PF01/0005/A026,CT,38.191845,13.290246,32.0,6481.272,10271.534
PF03/0005/A026,CT,38.191982,13.27649,32.0,6518.868,9067.066
PF05/0005/A026,CT,38.194242,13.279959,32.0,6764.042,9375.507
PF06/0005/A026,CT,38.192884,13.281747,32.0,6610.34,9529.351
PF07/0005/A026,CT,38.192933,13.276914,32.0,6623.633,9106.164
PF08/0005/A026,CT,38.193262,13.286809,52.0,6644.168,9973.415
PF09/0005/A026,CT,38.195603,13.278414,32.0,6917.489,9243.043
PF12/0005/A026,CT,38.190287,13.290641,32.0,6307.738,10302.969
PF13/0005/A026,CT,38.187687,13.287004,50.0,6025.142,9979.052
PF15/0005/A026,CT,38.188267,13.279392,32.0,6101.861,9313.543
PF16/0005/A026,CT,38.190129,13.281558,52.0,6304.938,9507.103
PF17/0005/A026,CT,38.190142,13.285188,52.0,6300.518,9825.066
PF19/0005/A026,CT,38.188405,13.284352,52.0,6109.109,9748.235
PF21/0005/A026,CT,38.192716,13.279769,32.0,6594.973,9355.717
PF22/0005/A026,CT,38.193728,13.280027,32.0,6706.855,9380.446
PF23/0005/A026,CT,38.192106,13.28327,52.0,6521.523,9661.147
PF31/0005/A026,CT,38.192653,13.27981,32.0,6587.903,9359.217
PF32/0005/A026,CT,38.189855,13.293289,52.0,6255.599,10533.968
PF33/0005/A026,CT,38.192334,13.28505,52.0,6543.938,9817.506
PF34/0005/A026,CT,38.189257,13.290942,52.0,6192.968,10327.183
PF35/0005/A026,CT,38.194202,13.28958,12.0,6744.0,10218.0
PF36/0005/A026,CT,38.19085,13.280372,12.0,6386.96,9404.7
PF37/0005/A026,CT,38.191494,13.281399,12.0,6456.68,9496.0
PF38/0005/A026,CT,38.190737,13.281551,12.0,6372.5,9507.78
PF39/0005/A026,CT,38.18922,13.276364,12.0,6212.49,9050.28
PF01/0006/A026,CT,38.191988,13.298493,52.0,6483.841,10994.136
PF02/0006/A026,CT,38.18734,13.296246,52.0,5971.685,10787.806
PF08/0006/A026,CT,38.189134,13.301034,32.0,6163.072,11210.809
PF11/0006/A026,CT,38.18763,13.298983,32.0,5999.449,11028.155
PF12/0006/A026,CT,38.187061,13.292654,32.0,5946.505,10472.679
PF14/0006/A026,CT,38.187766,13.30127,32.0,6010.943,11228.728
PF15/0006/A026,CT,38.196679,13.296556,32.0,7007.596,10834.058
PF16/0006/A026,CT,38.193566,13.29881,32.0,6658.475,11025.068
PF17/0006/A026,CT,38.189723,13.294925,32.0,6238.242,10676.974
PF18/0006/A026,CT,38.191813,13.29839,52.0,6464.631,10984.683
PF20/0006/A026,CT,38.194609,13.291987,52.0,6785.273,10429.657
PF21/0006/A026,CT,38.19424,13.295066,12.0,6739.286,10698.544
PF01/0007/A026,CT,38.197216,13.297353,32.0,7065.908,10904.912
PF02/0007/A026,CT,38.195375,13.299578,32.0,6857.958,11096.038
PF05/0007/A026,CT,38.193644,13.303479,52.0,6659.602,11434.159
PF06/0007/A026,CT,38.193654,13.305239,32.0,6657.91,11588.297
PF10/0007/A026,CT,38.189768,13.306678,32.0,6224.429,11706.405
PF11/0007/A026,CT,38.189662,13.308368,32.0,6209.918,11854.257
PF12/0007/A026,CT,38.188747,13.305163,52.0,6113.484,11571.705
PF14/0007/A026,CT,38.189975,13.304299,32.0,6251.207,11498.496
PF15/0007/A026,CT,38.198196,13.299362,32.0,7171.418,11082.874
PF16/0007/A026,CT,38.187703,13.30507,32.0,5997.862,11561.455
PF17/0007/A026,CT,38.192515,13.307699,32.0,6527.598,11801.408
PF19/0007/A026,CT,38.195175,13.299181,52.0,6836.47,11060.819
PF20/0007/A026,CT,37.557064,15.149513,10.0,4156679.6,2533208.0
PF02/0008/A026,CT,38.184815,13.303669,32.0,5679.578,11432.838
PF03/0008/A026,CT,38.18304,13.303019,32.0,5483.619,11372.317
PF05/0008/A026,CT,38.185997,13.300853,32.0,5815.224,11188.576
PF06/0008/A026,CT,38.186331,13.302304,32.0,5850.015,11316.37
PF07/0008/A026,CT,38.186332,13.303704,52.0,5847.827,11438.977
PF08/0008/A026,CT,38.187025,13.302344,52.0,5926.919,11321.272
PF10/0008/A026,CT,38.185587,13.302088,32.0,5767.811,11295.977
PF11/0008/A026,CT,38.188285,13.303932,52.0,6064.242,11462.935
PF12/0008/A026,CT,37.554208,15.148108,12.0,4156362.588,2533084.392
PF13/0008/A026,CT,37.555716,15.148188,12.0,4156529.871,2533091.218
PF14/0008/A026,CT,37.552436,15.147438,12.0,4156165.89,2533025.55
PF03/0009/A026,CT,38.174651,13.280422,32.0,4589.215,9375.736
PF04/0009/A026,CT,38.174053,13.279003,32.0,4525.171,9250.177
PF06/0009/A026,CT,38.1859,13.283973,32.0,5831.715,9709.934
PF14/0009/A026,CT,38.176967,13.275223,32.0,4854.645,8925.081
PF21/0009/A026,CT,38.176795,13.284134,32.0,4821.054,9705.297
PF22/0009/A026,CT,38.185264,13.279352,32.0,5768.682,9303.854
PF23/0009/A026,CT,38.186723,13.27731,52.0,5933.862,9128.06
PF24/0009/A026,CT,38.186838,13.282153,50.0,5938.826,9552.472
PF25/0009/A026,CT,38.184961,13.279841,50.0,5734.231,9346.078
PF31/0009/A026,CT,38.175384,13.276065,32.0,4677.672,8995.579
PF33/0009/A026,CT,38.184321,13.282994,50.0,5658.064,9620.931
PF34/0009/A026,CT,38.181071,13.281707,12.0,5299.5,9501.5
PF35/0009/A026,CT,38.177658,13.277314,12.0,4927.96,9109.67
PF36/0009/A026,CT,38.181864,13.283909,12.0,5384.0,9696.0
PF04/0010/A026,CT,38.180142,13.288672,32.0,5185.159,10109.734
PF06/0010/A026,CT,38.181579,13.287618,52.0,5346.319,10020.357
PF07/0010/A026,CT,38.179245,13.283007,50.0,5094.825,9611.612
PF09/0010/A026,CT,38.18245,13.285527,52.0,5446.342,9838.969
PF10/0010/A026,CT,38.183469,13.288675,32.0,5554.375,10116.74
PF11/0010/A026,CT,38.179238,13.294737,50.0,5075.085,10639.139
PF13/0010/A026,CT,38.181926,13.294395,50.0,5373.916,10614.642
PF18/0010/A026,CT,38.180461,13.286876,32.0,5223.509,9953.06
PF19/0010/A026,CT,38.184188,13.298408,12.0,5618.44,10970.75
PF22/0010/A026,CT,38.184622,13.301443,42.0,5661.707,11237.457
PF24/0010/A026,CT,38.179218,13.298628,50.0,5066.575,10979.884
PF25/0010/A026,CT,38.182657,13.301961,50.0,5442.837,11278.856
PF28/0010/A026,CT,38.186153,13.300254,42.0,5833.567,11136.449
PF29/0010/A026,CT,37.549025,15.144664,50.0,4155787.01,2532781.15
PF32/0010/A026,CT,38.184491,13.286031,52.0,5672.105,9887.301
PF33/0010/A026,CT,38.186889,13.29836,32.0,5918.292,10972.033
PF34/0010/A026,CT,38.183464,13.292969,52.0,5546.835,10492.841
PF35/0010/A026,CT,38.182554,13.297083,52.0,5439.285,10851.401
PF36/0010/A026,CT,38.18073,13.301444,52.0,5229.891,11229.621
PF37/0010/A026,CT,37.548676,15.142995,12.0,4155748.08,2532633.73
PF38/0010/A026,CT,37.550107,15.145755,12.0,4155907.268,2532877.335
PF39/0010/A026,CT,38.185423,13.290972,12.0,5767.45,10322.0
PF40/0010/A026,CT,38.180691,13.297977,52.0,5231.045,10925.865
PF41/0010/A026,CT,38.181798,13.29995,12.0,5350.7,11101.0
PF01/0011/A026,CT,38.175304,13.285211,32.0,4653.837,9796.571
PF08/0011/A026,CT,38.176661,13.293918,32.0,4790.453,10562.103
PF09/0011/A026,CT,38.176855,13.294668,32.0,4810.697,10628.204
