identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A155,CZ,38.899286,16.483468,6.0,-7350.81,14650.33
PF02/0001/A155,CZ,38.898671,16.481411,12.0,-7421.953,14473.072
PF03/0001/A155,CZ,38.907438,16.476321,12.0,-6456.206,14015.895
PF01/0002/A155,CZ,38.893024,16.524454,6.0,-7987.22,18216.37
PF02/0002/A155,CZ,38.897677,16.530378,50.0,-7462.174,18721.501
PF03/0002/A155,CZ,38.89354,16.532053,50.0,-7918.886,18874.44
PF04/0002/A155,CZ,38.895597,16.53381,11.0,-7688.0,19023.0
PF09/0002/A155,CZ,38.895713,16.522146,12.0,-7692.108,18011.151
PF10/0002/A155,CZ,38.883338,16.522686,12.0,-9064.71,18080.96
PF11/0002/A155,CZ,38.883711,16.528573,12.0,-9014.72,18590.87
PF12/0002/A155,CZ,38.887973,16.509379,12.0,-8569.508,16918.195
PF13/0002/A155,CZ,38.890121,16.51363,12.0,-8324.996,17282.936
PF01/0003/A155,CZ,38.880484,16.472815,50.0,-9452.399,13760.119
PF02/0003/A155,CZ,38.879967,16.475012,50.0,-9506.702,13951.623
PF03/0003/A155,CZ,38.885176,16.469707,50.0,-8936.039,13482.144
PF04/0003/A155,CZ,38.885552,16.473297,50.0,-8889.338,13792.898
PF05/0003/A155,CZ,38.878095,16.473664,50.0,-9716.311,13838.034
PF06/0003/A155,CZ,38.876,16.476262,50.0,-9945.185,14067.179
PF07/0003/A155,CZ,38.880204,16.482319,50.0,-9470.134,14585.104
PF08/0003/A155,CZ,38.878296,16.478156,50.0,-9687.741,14227.368
PF09/0003/A155,CZ,38.874242,16.481326,50.0,-10133.152,14509.661
PF10/0003/A155,CZ,38.874341,16.477548,50.0,-10127.488,14181.772
PF11/0003/A155,CZ,38.86765,16.485677,50.0,-10858.614,14899.014
PF12/0003/A155,CZ,38.882023,16.474372,50.0,-9279.452,13892.411
PF13/0003/A155,CZ,38.887585,16.476155,12.0,-8659.668,14037.103
PF01/0004/A155,CZ,38.876779,16.493639,6.0,-9834.27,15573.25
PF02/0004/A155,CZ,38.889388,16.49744,12.0,-8429.5,15880.0
PF03/0004/A155,CZ,38.886326,16.493824,12.0,-8774.5,15572.0
PF04/0004/A155,CZ,38.889834,16.489857,12.0,-8390.8,15221.5
PF05/0004/A155,CZ,38.893906,16.494315,12.0,-7932.487,15600.818
PF06/0004/A155,CZ,38.873413,16.499383,12.0,-10199.646,16077.706
PF01/0005/A155,CZ,38.885936,16.496814,12.0,-8813.535,15831.983
PF01/0006/A155,CZ,38.870495,16.479999,50.0,-10550.865,14401.336
PF02/0006/A155,CZ,38.872485,16.47621,50.0,-10335.328,14068.973
PF03/0006/A155,CZ,38.85925,16.480097,10.0,-11798.7,14430.0
PF01/0007/A155,CZ,38.862363,16.48865,6.0,-11441.16,15166.56
PF02/0007/A155,CZ,38.866961,16.491814,12.0,-10926.366,15432.734
PF03/0007/A155,CZ,38.863277,16.49637,12.0,-11328.773,15834.768
PF01/0008/A155,CZ,38.852277,16.487102,50.0,-12562.688,15050.486
PF02/0008/A155,CZ,38.850442,16.486779,50.0,-12766.745,15025.791
PF03/0008/A155,CZ,38.851413,16.483683,50.0,-12663.395,14755.281
PF04/0008/A155,CZ,38.854637,16.482741,50.0,-12306.874,14667.808
PF05/0008/A155,CZ,38.853535,16.479553,50.0,-12433.709,14393.087
PF01/0009/A155,CZ,38.854199,16.488372,50.0,-12347.594,15157.181
PF03/0009/A155,CZ,38.853865,16.49213,12.0,-12379.3,15483.9
PF04/0009/A155,CZ,38.853944,16.497113,12.0,-12363.45,15916.22
PF01/0010/A155,CZ,38.85189,16.499062,50.0,-12588.677,16089.03
PF01/0011/A155,CZ,38.846643,16.488529,50.0,-13185.892,15184.526
PF02/0011/A155,CZ,38.967533,16.315793,10.0,0.0,0.0
PF03/0011/A155,CZ,38.851181,16.489639,50.0,-12680.766,15272.625
PF06/0011/A155,CZ,38.848882,16.489119,6.0,-12936.6,15231.61
PF07/0011/A155,CZ,38.844275,16.49087,50.0,-13445.357,15391.972
PF01/0012/A155,CZ,38.845498,16.490725,50.0,-13309.88,15377.181
PF02/0012/A155,CZ,38.843004,16.494155,50.0,-13581.85,15679.361
PF03/0012/A155,CZ,38.840491,16.494178,50.0,-13860.659,15685.936
PF04/0012/A155,CZ,38.849139,16.491828,50.0,-12904.236,15466.293
PF05/0012/A155,CZ,38.851444,16.492662,50.0,-12647.238,15534.48
PF06/0012/A155,CZ,38.85047,16.495467,50.0,-12751.346,15779.655
PF07/0012/A155,CZ,38.849474,16.499306,50.0,-12856.394,16114.595
PF04/0013/A155,CZ,38.846813,16.484818,50.0,-13172.285,14862.147
PF05/0013/A155,CZ,38.843963,16.486252,50.0,-13486.595,14991.75
PF06/0013/A155,CZ,38.844889,16.482288,50.0,-13389.399,14646.035
PF07/0013/A155,CZ,38.848865,16.483235,50.0,-12946.838,14721.023
PF08/0013/A155,CZ,38.841545,16.48359,50.0,-13758.622,14765.023
PF09/0013/A155,CZ,38.847747,16.480372,50.0,-13074.852,14474.572
PF01/0014/A155,CZ,38.838153,16.486965,6.0,-14130.35,15064.09
PF02/0014/A155,CZ,38.838708,16.496257,50.0,-14055.556,15869.627
PF03/0014/A155,CZ,38.841528,16.488679,50.0,-13753.345,15206.722
PF04/0014/A155,CZ,38.83648,16.489965,50.0,-14311.799,15327.49
PF05/0014/A155,CZ,38.838828,16.489635,50.0,-14051.611,15294.587
PF06/0014/A155,CZ,38.837608,16.492767,50.0,-14182.586,15568.691
PF07/0014/A155,CZ,38.837689,16.49448,50.0,-14171.134,15717.225
PF01/0015/A155,CZ,38.832199,16.48586,50.0,-14792.617,14978.93
PF02/0015/A155,CZ,38.833936,16.483842,50.0,-14602.78,14800.651
PF03/0015/A155,CZ,38.831215,16.482137,52.0,-14907.119,14657.486
PF04/0015/A155,CZ,38.832443,16.48937,50.0,-14760.62,15283.127
PF05/0015/A155,CZ,38.828626,16.485561,50.0,-15189.567,14959.427
PF02/0016/A155,CZ,38.829183,16.491271,50.0,-15119.71,15454.066
PF03/0016/A155,CZ,38.824801,16.496774,50.0,-15598.196,15939.77
PF04/0016/A155,CZ,38.827,16.494916,50.0,-15356.76,15774.469
PF02/0017/A155,CZ,38.824994,16.490383,50.0,-15585.907,15384.615
PF03/0017/A155,CZ,38.822725,16.49423,50.0,-15832.258,15722.666
PF04/0017/A155,CZ,38.82138,16.489361,50.0,-15988.367,15302.378
PF01/0018/A155,CZ,38.816196,16.503475,10.0,-16543.68,16537.18
PF02/0018/A155,CZ,38.817434,16.501026,10.0,-16409.78,16322.31
PF01/0050/A155,CZ,38.336584,16.0604,50.0,-70305.342,-21317.235
PF03/0050/A155,CZ,38.362888,16.020319,50.0,-67425.988,-24852.531
PF04/0050/A155,CZ,38.885766,16.346496,6.0,-9035.49,2794.035
PF06/0050/A155,CZ,38.345126,16.040654,50.0,-69377.105,-23053.659
PF10/0050/A155,CZ,38.339453,16.050499,50.0,-69996.921,-22186.212
PF11/0050/A155,CZ,38.350706,15.879149,50.0,-68904.627,-37173.293
PF12/0050/A155,CZ,38.342341,16.046798,50.0,-69680.065,-22513.279
PF13/0050/A155,CZ,38.986119,16.411386,50.0,2186.642,8250.003
PF14/0050/A155,CZ,38.986941,16.40486,50.0,2269.122,7683.35
PF15/0050/A155,CZ,39.052366,16.652324,50.0,9889.991,28985.838
PF16/0050/A155,CZ,39.049628,16.652608,50.0,9586.607,29015.893
PF17/0050/A155,CZ,38.339271,16.053408,50.0,-70014.166,-21931.733
PF18/0050/A155,CZ,38.359025,16.024103,50.0,-67850.964,-24517.16
PF19/0050/A155,CZ,38.897305,16.310027,50.0,-7800.965,-387.569
PF20/0050/A155,CZ,38.893693,16.311345,50.0,-8200.075,-267.522
PF21/0050/A155,CZ,39.023608,16.668397,50.0,6723.73,30435.298
PF22/0050/A155,CZ,39.040132,16.662632,50.0,8548.541,29902.68
PF23/0050/A155,CZ,39.041052,16.65959,50.0,8645.824,29637.463
PF24/0050/A155,CZ,38.30412,16.269943,50.0,-73676.742,-2953.605
PF25/0050/A155,CZ,38.299789,16.274315,50.0,-74152.114,-2564.655
PF26/0050/A155,CZ,38.971696,16.431597,50.0,613.309,10025.743
PF27/0050/A155,CZ,39.034988,16.664151,50.0,7980.06,30044.576
PF28/0050/A155,CZ,38.363729,15.910847,50.0,-67432.69,-34417.744
PF29/0050/A155,CZ,38.36309,15.918379,50.0,-67497.129,-33758.972
PF30/0050/A155,CZ,38.354037,15.85344,50.0,-68556.065,-39423.205
PF31/0050/A155,CZ,38.348174,15.889614,50.0,-69176.856,-36256.175
PF32/0050/A155,CZ,38.35021,15.893426,50.0,-68947.714,-35925.208
PF33/0050/A155,CZ,38.293386,16.456684,50.0,-74627.131,13394.004
PF34/0050/A155,CZ,38.934054,16.192356,50.0,-3862.552,-10645.681
PF35/0050/A155,CZ,38.930821,16.197483,50.0,-4215.525,-10196.553
PF36/0050/A155,CZ,39.048981,16.649161,50.0,9509.419,28718.888
PF37/0050/A155,CZ,39.052364,16.652317,10.0,9889.772,28985.243
PF38/0050/A155,CZ,39.049619,16.652615,10.0,9585.636,29016.525
PF39/0050/A155,CZ,38.928337,16.116124,50.0,-4580.599,-17245.464
PF40/0050/A155,CZ,38.886125,16.342897,50.0,-9000.214,2481.25
