identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A070,EN,37.687791,14.491449,52.0,-8418.95,-43616.259
PF08/0001/A070,EN,37.679014,14.489092,52.0,-9391.92,-43829.325
PF09/0001/A070,EN,37.679856,14.492892,52.0,-9300.248,-43493.641
PF10/0001/A070,EN,37.678129,14.491192,20.0,-9491.132,-43644.592
PF09/0002/A070,EN,37.675263,14.500128,20.0,-9813.242,-42858.056
PF01/0003/A070,EN,37.666186,14.500344,20.0,-10820.697,-42844.222
PF03/0004/A070,EN,37.668715,14.514819,20.0,-10546.62,-41565.895
PF05/0005/A070,EN,37.675435,14.524073,62.0,-9804.87,-40745.887
PF08/0005/A070,EN,37.669413,14.520917,52.0,-10471.807,-41027.596
PF09/0005/A070,EN,37.672769,14.523486,62.0,-10100.521,-40799.057
PF12/0005/A070,EN,37.669268,14.517544,20.0,-10486.445,-41325.177
PF09/0006/A070,EN,37.66818,14.527317,64.0,-10611.454,-40463.664
PF17/0006/A070,EN,37.663356,14.526584,52.0,-11146.453,-40530.964
PF19/0006/A070,EN,37.662396,14.522752,52.0,-11251.374,-40869.539
PF23/0006/A070,EN,37.660822,14.520948,56.0,-11425.204,-41029.578
PF31/0006/A070,EN,37.657831,14.520124,56.0,-11756.813,-41103.887
PF32/0006/A070,EN,37.659925,14.522654,52.0,-11525.537,-40879.537
PF35/0006/A070,EN,37.657592,14.523943,52.0,-11785.079,-40767.059
PF36/0006/A070,EN,37.663632,14.523954,20.0,-11114.684,-40762.834
PF06/0007/A070,EN,37.672283,14.536586,64.0,-10160.011,-39643.836
PF19/0007/A070,EN,37.671112,14.539362,20.0,-10291.161,-39399.597
PF04/0008/A070,EN,37.66536,14.539339,52.0,-10929.493,-39404.59
PF08/0008/A070,EN,37.659905,14.546009,52.0,-11537.665,-38819.079
PF09/0008/A070,EN,37.662796,14.542593,20.0,-11215.402,-39118.919
PF09/0010/A070,EN,37.657107,14.548033,20.0,-11849.082,-38641.89
PF02/0012/A070,EN,37.674719,14.477279,52.0,-9862.938,-44873.814
PF08/0012/A070,EN,37.681712,14.483405,52.0,-9089.787,-44329.275
PF10/0012/A070,EN,37.664706,14.474212,52.0,-10972.738,-45150.396
PF11/0012/A070,EN,37.679202,14.486435,52.0,-9369.821,-44063.563
PF12/0012/A070,EN,37.66673,14.475844,20.0,-10748.853,-45005.199
PF08/0013/A070,EN,37.675169,14.485889,52.0,-9817.096,-44114.061
PF11/0013/A070,EN,37.674722,14.490689,20.0,-9868.934,-43690.962
PF04/0014/A070,EN,37.679074,14.497261,20.0,-9389.05,-43108.767
PF09/0015/A070,EN,37.666575,14.487996,20.0,-10771.813,-43933.335
PF07/0016/A070,EN,37.662324,14.483409,52.0,-11241.531,-44340.496
PF08/0016/A070,EN,37.666011,14.486516,52.0,-10833.709,-44064.226
PF10/0016/A070,EN,37.668465,14.479771,20.0,-10558.269,-44657.781
PF07/0018/A070,EN,37.660364,14.473947,20.0,-11454.512,-45176.426
PF03/0019/A070,EN,37.655832,14.48452,52.0,-11962.444,-44246.348
PF04/0019/A070,EN,37.654259,14.489122,52.0,-12139.208,-43841.221
PF06/0019/A070,EN,37.657512,14.480891,52.0,-11774.36,-44565.495
PF19/0019/A070,EN,37.656201,14.476467,20.0,-11917.667,-44956.588
PF04/0020/A070,EN,37.656611,14.487062,52.0,-11877.178,-44021.544
PF06/0020/A070,EN,37.654931,14.494137,52.0,-12066.934,-43398.344
PF08/0020/A070,EN,37.65663,14.490774,52.0,-11876.82,-43694.081
PF09/0020/A070,EN,37.660171,14.481692,52.0,-11479.604,-44493.274
PF14/0020/A070,EN,37.660147,14.487637,20.0,-11485.096,-43968.804
PF11/0021/A070,EN,37.663492,14.492455,20.0,-11116.078,-43541.735
PF12/0021/A070,EN,37.659917,14.49673,20.0,-11514.845,-43166.709
PF13/0021/A070,EN,37.659182,14.494977,20.0,-11595.616,-43321.724
PF01/0022/A070,EN,37.658208,14.496921,52.0,-11704.53,-43150.836
PF07/0022/A070,EN,37.655538,14.503704,52.0,-12003.997,-42553.914
PF08/0022/A070,EN,37.655156,14.497297,20.0,-12043.423,-43119.435
PF07/0023/A070,EN,37.664798,14.507907,62.0,-10978.236,-42177.846
PF18/0023/A070,EN,37.661755,14.503097,52.0,-11313.769,-42603.903
PF21/0023/A070,EN,37.660968,14.506516,62.0,-11402.637,-42302.69
PF22/0023/A070,EN,37.661168,14.512253,62.0,-11383.022,-41796.422
PF23/0023/A070,EN,37.660834,14.509081,62.0,-11418.689,-42076.487
