identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A393,FE,45.010028,11.819941,70.0,20951.659,-3752.484
PF02/0001/A393,FE,45.016877,11.821229,70.0,21716.024,-3677.465
PF03/0001/A393,FE,45.013183,11.82349,70.0,21311.964,-3485.022
PF13/0001/A393,FE,45.084264,11.851852,21.0,29286.66,-1528.495
PF01/0002/A393,FE,45.010144,11.828305,52.0,20987.604,-3093.857
PF02/0002/A393,FE,45.006286,11.821162,70.0,20539.291,-3641.783
PF03/0002/A393,FE,45.005918,11.825468,70.0,20510.279,-3300.995
PF04/0002/A393,FE,45.008144,11.815152,70.0,20729.198,-4122.595
PF05/0002/A393,FE,45.00537,11.818343,70.0,20429.853,-3860.386
PF06/0002/A393,FE,45.005621,11.830529,52.0,20491.205,-2901.032
PF07/0002/A393,FE,45.006087,11.814024,12.0,20497.598,-4203.52
PF01/0003/A393,FE,45.005109,11.834322,52.0,20444.828,-2600.053
PF02/0003/A393,FE,45.00312,11.823324,52.0,20193.514,-3459.159
PF03/0003/A393,FE,45.00061,11.831998,52.0,19938.626,-2765.738
PF04/0003/A393,FE,45.007763,11.835497,52.0,20742.828,-2517.831
PF01/0004/A393,FE,44.998016,11.822356,3.0,19623.92,-3515.68
PF02/0004/A393,FE,45.000226,11.82173,52.0,19867.697,-3573.571
PF03/0004/A393,FE,44.996766,11.822643,52.0,19485.846,-3488.204
PF04/0004/A393,FE,44.99792,11.824816,52.0,19619.941,-3321.412
PF05/0004/A393,FE,44.995366,11.821071,52.0,19326.036,-3606.661
PF06/0004/A393,FE,44.994043,11.819033,52.0,19173.382,-3762.236
PF07/0004/A393,FE,44.998432,11.821505,52.0,19667.762,-3584.311
PF08/0004/A393,FE,44.99648,11.819409,52.0,19445.151,-3742.035
PF09/0004/A393,FE,44.997293,11.820261,52.0,19537.851,-3677.98
PF02/0005/A393,FE,44.995146,11.821305,52.0,19302.209,-3587.387
PF03/0005/A393,FE,44.994968,11.824117,52.0,19290.184,-3365.058
PF04/0005/A393,FE,44.995171,11.827461,52.0,19321.839,-3102.25
PF05/0005/A393,FE,44.995518,11.83232,52.0,19373.802,-2720.618
