identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF04/0002/B357,FG,41.914453,15.728961,10.0,4640544.46,2580460.68
PF10/0002/B357,FG,41.914209,15.734525,52.0,4640521.34,2580922.33
PF01/0030/C633,FG,41.923422,15.156869,52.0,4641295.42,2533015.08
PF03/0030/C633,FG,41.92198,15.155756,54.0,4641135.11,2532923.09
PF04/0030/C633,FG,41.922671,15.161622,50.0,4641212.774,2533409.397
PF09/0030/C633,FG,41.923049,15.158717,58.0,4641254.243,2533168.404
PF10/0030/C633,FG,41.921724,15.161951,50.0,4641107.713,2533436.863
PF13/0030/C633,FG,41.923662,15.156452,52.0,4641321.98,2532980.53
PF15/0030/C633,FG,41.92302,15.162476,50.0,4641251.681,2533480.088
PF04/0002/E332,FG,41.917922,15.775594,52.0,4640963.49,2584324.5
PF21/0002/E332,FG,41.918202,15.781909,54.0,4640999.39,2584847.93
PF30/0001/E549,FG,41.908079,15.341732,52.0,4639636.4,2548350.45
PF32/0001/E549,FG,41.915256,15.340093,50.0,4640432.74,2548211.4
PF45/0001/E549,FG,41.909079,15.348241,52.0,4639749.584,2548889.876
PF46/0001/E549,FG,41.914459,15.343875,52.0,4640345.533,2548525.364
PF48/0001/E549,FG,41.917092,15.340542,12.0,4640636.72,2548247.83
PF01/0020/E549,FG,41.906008,15.351005,50.0,4639409.627,2549120.515
PF11/0020/E549,FG,41.905622,15.354093,50.0,4639367.77,2549376.79
PF03/0021/E549,FG,41.892607,9.4182,12.0,4637949.511,1534719.255
PF04/0022/E549,FG,41.898728,15.453495,52.0,4638641.16,2557625.4
PF05/0022/E549,FG,41.896298,15.44418,50.0,4638367.22,2556854.09
PF26/0022/E549,FG,41.895802,15.43702,12.0,4638309.19,2556260.48
PF27/0022/E549,FG,41.902303,15.47137,12.0,4639046.0,2559106.0
PF01/0023/E549,FG,41.903602,15.476564,12.0,4639192.6,2559536.0
PF09/0023/E549,FG,41.906482,15.490664,12.0,4639519.0,2560703.7
PF10/0023/E549,FG,41.905227,15.474141,12.0,4639372.0,2559334.0
PF13/0023/E549,FG,41.901806,15.488993,12.0,4638999.0,2560568.0
PF14/0023/E549,FG,41.899464,15.471723,12.0,4638731.0,2559137.0
