identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF00/0031/B036,FI,43.83136,11.022653,109.0,4855147.033,1662654.53
PF00/0023/D612,FI,44.004536,11.460325,234.0,4875335.886,1697272.31
PF00/0028/I684,FI,43.646682,11.334687,28.0,4835295.856,1688321.63
PF00/0004/G999,FI,43.862226,11.442539,40.0,4859486.75,1696314.17
PF00/0005/G999,FI,43.801293,11.146605,11.0,4852058.63,1672707.5
PF00/0017/D612,FI,44.013177,11.374398,143.0,4876093.588,1690355.7
PF00/0010/B036,FI,43.581513,11.327068,165.0,4828040.54,1687910.0
PF00/0013/G999,FI,43.928334,11.397292,133.0,4866722.933,1692464.83
PF00/0023/D612,FI,43.716764,11.176202,143.0,4842732.294,1675335.12
PF00/0012/I684,FI,43.767886,11.094085,145.0,4848239.87,1668576.32
PF00/0024/I684,FI,43.592464,11.338773,132.0,4829283.334,1688820.83
PF00/0002/D612,FI,43.960037,11.215079,47.0,4869835.718,1677743.2
PF00/0015/I684,FI,43.864182,11.092867,81.0,4858932.981,1668207.77
PF00/0024/D612,FI,43.949979,11.262613,33.0,4868822.04,1681587.56
PF00/0020/D612,FI,43.831759,11.183231,29.0,4855519.56,1675564.52
PF00/0032/D612,FI,43.622789,11.04465,3.0,4832024.955,1664994.7
PF00/0012/D612,FI,43.777777,11.023566,213.0,4849197.393,1662873.43
PF00/0004/I684,FI,43.694169,11.459978,119.0,4840862.208,1698270.33
PF00/0015/G999,FI,43.94346,11.258038,107.0,4868087.891,1681240.29
PF00/0004/G999,FI,43.903812,11.128376,236.0,4863407.562,1670947.94
PF00/0019/I684,FI,43.956665,11.18261,175.0,4869391.672,1675148.07
PF00/0034/I684,FI,43.716331,11.21189,97.0,4842760.345,1678211.39
PF00/0026/B036,FI,43.52633,11.146401,237.0,4821518.836,1673481.18
PF00/0002/B036,FI,43.602179,11.447078,159.0,4830614.231,1697532.09
PF00/0024/G999,FI,43.724602,11.454373,115.0,4844228.985,1697718.55
PF00/0029/B036,FI,43.590556,11.451655,119.0,4829334.164,1697939.64
PF00/0022/B036,FI,43.980348,11.457403,7.0,4872642.164,1697118.12
PF00/0009/D612,FI,43.936767,11.127934,132.0,4867067.07,1670818.04
PF00/0004/D612,FI,43.841493,11.309787,57.0,4856877.169,1685710.0
PF00/0003/B036,FI,43.548302,11.386918,180.0,4824488.953,1692848.31
