identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF05/0001/A032,FR,41.882281,12.680326,8.0,1270.14,17411.999
PF05/0003/A032,FR,41.885982,12.696062,10.0,1737.305,18700.251
PF17/0003/A032,FR,41.883342,12.696618,50.0,1446.058,18759.031
PF18/0003/A032,FR,41.881541,12.701241,50.0,1262.636,19151.278
PF21/0003/A032,FR,41.888782,12.703905,52.0,2076.366,19337.651
PF22/0003/A032,FR,41.886326,12.704713,52.0,1806.5,19416.5
PF23/0003/A032,FR,41.885802,12.700859,52.0,1734.526,19099.164
PF24/0003/A032,FR,41.889185,12.69926,52.0,2104.457,18950.223
PF25/0003/A032,FR,41.890646,12.701532,52.0,2274.835,19131.736
PF26/0003/A032,FR,41.881783,12.694107,10.0,1263.94,18558.05
PF27/0003/A032,FR,41.890536,12.696649,12.0,2245.18,18727.1
PF28/0003/A032,FR,41.876491,12.69441,12.0,677.431,18608.564
PF29/0003/A032,FR,41.879493,12.699689,12.0,1029.7,19032.3
PF05/0005/A032,FR,41.876736,12.718891,54.0,792.49,20639.226
PF06/0005/A032,FR,41.880215,12.720288,54.0,1183.83,20738.438
PF04/0006/A032,FR,41.877592,12.72826,6.0,921.32,21412.75
PF02/0007/A032,FR,41.872089,12.655302,12.0,49.341,15383.525
PF05/0008/A032,FR,41.888157,12.659946,10.0,1850.2,15692.8
PF06/0008/A032,FR,41.884584,12.659435,10.0,1451.6,15667.3
PF07/0008/A032,FR,41.883895,12.66234,10.0,1385.4,15911.7
PF08/0008/A032,FR,41.881816,12.667503,12.0,1172.8,16350.0
PF09/0008/A032,FR,41.881208,12.663474,12.0,1091.0,16018.5
PF06/0009/A032,FR,41.874248,12.670122,52.0,341.741,16603.343
PF09/0009/A032,FR,41.871995,12.669632,52.0,89.75,16573.412
PF11/0009/A032,FR,41.87432,12.666598,52.0,337.186,16310.499
PF14/0009/A032,FR,41.876234,12.668184,52.0,555.356,16433.044
PF15/0009/A032,FR,41.874664,12.661051,52.0,355.677,15848.471
PF18/0009/A032,FR,41.878248,12.666063,12.0,771.5,16247.5
PF19/0009/A032,FR,41.877244,12.663119,12.0,649.5,16007.9
PF07/0010/A032,FR,41.87916,12.689098,12.0,954.75,18154.9
PF08/0010/A032,FR,41.879069,12.692321,12.0,956.166,18422.799
PF09/0010/A032,FR,41.876051,12.676034,12.0,563.0,17085.5
PF02/0011/A032,FR,41.86957,12.661894,8.0,-207.0,15942.62
PF04/0011/A032,FR,41.865697,12.664325,52.0,-628.512,16162.807
PF05/0011/A032,FR,41.863176,12.665765,50.0,-903.329,16294.278
PF06/0011/A032,FR,41.866057,12.66773,52.0,-576.441,16443.773
PF02/0012/A032,FR,41.871621,12.675559,52.0,69.294,17067.168
PF04/0012/A032,FR,41.870017,12.671296,52.0,-123.999,16720.915
PF05/0012/A032,FR,41.868485,12.680707,8.0,-260.67,17509.42
PF09/0012/A032,FR,41.868733,12.675495,50.0,-251.62,17075.573
PF10/0012/A032,FR,41.867128,12.673334,50.0,-437.602,16903.847
PF11/0012/A032,FR,41.869297,12.666976,52.0,-219.277,16365.761
PF12/0012/A032,FR,41.865711,12.676106,50.0,-585.082,17140.697
PF13/0012/A032,FR,41.865886,12.679607,50.0,-553.196,17430.483
PF14/0012/A032,FR,41.8661,12.687576,12.0,-501.0,18091.0
PF01/0013/A032,FR,41.862226,12.662346,12.0,-1021.0,16015.0
PF02/0013/A032,FR,41.85971,12.664714,12.0,-1292.0,16223.5
PF01/0014/A032,FR,41.889991,12.65222,8.0,2026.5,15042.99
PF02/0001/A054,FR,41.736029,13.183789,52.0,-13055.506,59988.022
PF03/0001/A054,FR,41.738378,13.181724,52.0,-12802.922,59803.534
PF05/0001/A054,FR,41.738231,13.185102,12.0,-12805.6,60085.3
PF06/0001/A054,FR,41.736433,13.181231,12.0,-13021.01,59773.01
PF07/0001/A054,FR,41.736744,13.178048,12.0,-12999.319,59506.622
PF01/0002/A054,FR,41.735126,13.173786,12.0,-13196.23,59160.74
PF02/0002/A054,FR,41.731964,13.17187,12.0,-13555.1,59018.4
PF04/0003/A054,FR,41.724589,13.179583,52.0,-14343.012,59699.952
PF07/0003/A054,FR,41.726553,13.17866,52.0,-14128.65,59612.53
PF10/0003/A054,FR,41.724732,13.174575,52.0,-14347.387,59282.49
PF11/0003/A054,FR,41.734211,13.182994,8.0,-13260.65,59931.68
PF12/0003/A054,FR,41.728479,13.177147,12.0,-13920.903,59476.287
PF13/0003/A054,FR,41.726539,13.175104,12.0,-14144.613,59316.791
PF14/0003/A054,FR,41.726012,13.181679,12.0,-14176.5,59866.6
PF15/0003/A054,FR,41.729427,13.179123,12.0,-13807.55,59635.5
PF01/0004/A054,FR,41.733769,13.187712,50.0,-13290.59,60326.58
PF02/0004/A054,FR,41.731857,13.190421,50.0,-13491.878,60562.286
PF04/0004/A054,FR,41.735149,13.19164,50.0,-13121.38,60645.865
PF05/0004/A054,FR,41.737762,13.18974,12.0,-12838.85,60473.65
PF03/0005/A054,FR,41.727125,13.159975,50.0,-14140.49,58054.883
PF05/0005/A054,FR,41.72436,13.157585,72.0,-14457.184,57870.921
PF07/0005/A054,FR,41.724073,13.164741,52.0,-14460.248,58467.876
PF16/0005/A054,FR,41.720561,13.166277,52.0,-14844.145,58614.522
PF17/0005/A054,FR,41.72796,13.163826,50.0,-14032.307,58370.81
PF18/0005/A054,FR,41.730172,13.163607,50.0,-13787.51,58340.633
PF19/0005/A054,FR,41.719289,13.169181,52.0,-14973.685,58863.021
PF21/0005/A054,FR,41.724909,13.148815,12.0,-14431.536,57138.31
PF22/0005/A054,FR,41.724269,13.153932,12.0,-14482.034,57567.47
PF23/0005/A054,FR,41.722175,13.162519,12.0,-14680.06,58293.14
PF13/0006/A054,FR,41.71947,13.174053,52.0,-14933.951,59267.454
PF15/0006/A054,FR,41.719654,13.180097,52.0,-14889.078,59769.314
PF16/0006/A054,FR,41.722584,13.171471,9.0,-14598.445,59035.805
PF19/0006/A054,FR,41.720287,13.176012,52.0,-14835.218,59426.019
PF03/0007/A054,FR,41.724141,13.189424,52.0,-14352.887,60521.17
PF09/0007/A054,FR,41.72311,13.185887,52.0,-14481.734,60232.409
PF17/0007/A054,FR,41.723841,13.182575,52.0,-14413.945,59952.891
PF18/0007/A054,FR,41.720984,13.200719,52.0,-14657.651,61478.044
PF19/0007/A054,FR,41.723896,13.200386,52.0,-14335.634,61434.504
PF20/0007/A054,FR,41.726135,13.185834,12.0,-14145.98,60211.69
PF21/0007/A054,FR,41.722864,13.206942,10.0,-14423.56,61985.64
PF22/0007/A054,FR,41.721902,13.186038,12.0,-14615.3,60251.5
PF23/0007/A054,FR,41.723398,13.203399,10.0,-14378.62,61687.89
PF02/0008/A054,FR,41.714553,13.204011,52.0,-15358.507,61786.908
PF03/0008/A054,FR,41.713651,13.211973,50.0,-15426.211,62454.299
PF04/0008/A054,FR,41.719347,13.204949,50.0,-14822.198,61838.852
PF05/0008/A054,FR,41.715996,13.2059,12.0,-15190.56,61936.26
PF07/0008/A054,FR,41.717826,13.200177,70.0,-15010.591,61450.07
PF01/0009/A054,FR,41.722423,13.142248,10.0,-14734.0,56605.2
PF07/0009/A054,FR,41.717779,13.160501,52.0,-15176.352,58148.869
PF10/0009/A054,FR,41.717102,13.155555,52.0,-15271.456,57740.944
PF11/0009/A054,FR,41.715632,13.158155,52.0,-15424.254,57965.25
PF13/0009/A054,FR,41.718676,13.14996,52.0,-15119.117,57267.0
PF14/0009/A054,FR,41.71904,13.156761,72.0,-15051.399,57830.897
PF15/0009/A054,FR,41.72147,13.159282,72.0,-14771.32,58027.652
PF16/0009/A054,FR,41.719865,13.153567,72.0,-14972.634,57560.726
PF17/0009/A054,FR,41.71994,13.160795,12.0,-14935.191,58161.771
PF01/0010/A054,FR,41.718915,13.165901,52.0,-15028.467,58592.14
PF06/0010/A054,FR,41.716697,13.165728,10.0,-15275.5,58589.7
PF07/0010/A054,FR,41.715991,13.168426,10.0,-15343.0,58818.0
PF08/0010/A054,FR,41.714956,13.170734,52.0,-15448.606,59015.582
PF09/0010/A054,FR,41.714609,13.173301,10.0,-15476.84,59231.091
PF11/0010/A054,FR,41.714031,13.176547,52.0,-15527.879,59504.286
PF13/0010/A054,FR,41.717765,13.170594,52.0,-15137.226,58988.773
PF14/0010/A054,FR,41.716882,13.173304,52.0,-15224.375,59219.115
PF15/0010/A054,FR,41.71678,13.163727,52.0,-15274.318,58422.75
PF16/0010/A054,FR,41.715918,13.177322,52.0,-15315.145,59558.578
PF06/0011/A054,FR,41.718457,13.186682,52.0,-14995.269,60323.747
PF09/0011/A054,FR,41.717654,13.181363,52.0,-15106.028,59885.513
PF10/0011/A054,FR,41.71677,13.184637,42.0,-15190.955,60162.706
PF14/0011/A054,FR,41.715161,13.181941,52.0,-15380.502,59947.091
PF15/0011/A054,FR,41.713908,13.184575,10.0,-15509.0,60173.0
PF16/0011/A054,FR,41.713482,13.187748,52.0,-15543.488,60439.338
PF18/0011/A054,FR,41.713096,13.180665,10.0,-15615.0,59852.0
PF19/0011/A054,FR,41.720433,13.185136,52.0,-14782.115,60184.448
PF20/0011/A054,FR,41.721643,13.192034,52.0,-14619.727,60751.804
PF21/0011/A054,FR,41.717578,13.189555,52.0,-15081.213,60567.575
PF22/0011/A054,FR,41.71867,13.183872,42.0,-14983.062,60088.767
PF23/0011/A054,FR,41.715053,13.190182,50.0,-15359.134,60633.447
PF24/0011/A054,FR,41.719916,13.195266,52.0,-14798.407,61030.091
PF25/0011/A054,FR,41.720593,13.188906,12.0,-14749.01,60497.2
PF01/0012/A054,FR,41.715388,13.201061,52.0,-15277.783,61536.872
PF02/0012/A054,FR,41.712427,13.191002,50.0,-15647.504,60715.889
PF03/0012/A054,FR,41.713938,13.193776,50.0,-15468.347,60938.539
PF04/0012/A054,FR,41.710179,13.194731,50.0,-15882.031,61038.382
PF05/0012/A054,FR,41.712003,13.199904,50.0,-15658.45,61458.93
PF06/0012/A054,FR,41.717134,13.196406,12.0,-15102.807,61140.075
PF03/0013/A054,FR,41.706485,13.207658,52.0,-16239.62,62134.218
PF04/0013/A054,FR,41.704499,13.204388,52.0,-16473.548,61872.904
PF05/0013/A054,FR,41.704602,13.21028,52.0,-16438.136,62362.647
PF06/0013/A054,FR,41.71257,13.206626,12.0,-15568.13,62015.25
PF07/0013/A054,FR,41.71115,13.216874,12.0,-15683.967,62875.84
PF08/0013/A054,FR,41.706016,13.213843,12.0,-16266.5,62651.5
PF09/0013/A054,FR,41.712228,13.203626,12.0,-15618.322,61767.434
PF10/0013/A054,FR,41.707347,13.216964,12.0,-16106.0,62904.0
PF01/0014/A054,FR,41.721643,13.178304,8.0,-14675.37,59609.42
PF02/0014/A054,FR,41.722525,13.180189,12.0,-14569.8,59761.5
PF03/0014/A054,FR,41.721536,13.182115,52.0,-14671.873,59927.084
PF01/0001/A081,FR,41.955803,12.544186,52.0,8958.739,5775.978
PF02/0001/A081,FR,41.955161,12.548524,52.0,8902.389,6138.489
PF03/0001/A081,FR,41.95417,12.55619,52.0,8818.634,6778.516
PF04/0001/A081,FR,41.956278,12.561096,10.0,9069.7,7175.5
PF06/0001/A081,FR,41.951709,12.550012,52.0,8524.157,6277.783
PF07/0001/A081,FR,41.950484,12.554788,8.0,8404.5,6679.35
PF09/0001/A081,FR,41.953695,12.5522,52.0,8752.235,6450.002
PF10/0001/A081,FR,41.950042,12.553223,52.0,8350.089,6551.583
PF11/0001/A081,FR,41.953221,12.546696,52.0,8680.652,5995.93
PF12/0001/A081,FR,41.95341,12.543625,52.0,8691.036,5740.413
PF13/0001/A081,FR,41.957305,12.557409,52.0,9171.011,6865.095
PF14/0001/A081,FR,41.95768,12.552825,52.0,9196.946,6483.442
PF15/0001/A081,FR,41.95188,12.560126,52.0,8577.912,7115.419
