identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A388,GE,44.363552,8.618253,8.0,-1658.2,-22392.09
PF02/0001/A388,GE,44.368602,8.627116,3.0,-1100.51,-21683.33
PF03/0001/A388,GE,44.364931,8.620981,50.0,-1506.009,-22173.996
PF01/0002/A388,GE,44.356283,8.585742,8.0,-2453.07,-24986.8
PF01/0003/A388,GE,44.356299,8.601171,8.0,-2457.41,-23757.19
PF02/0003/A388,GE,44.35749,8.600021,52.0,-2324.632,-23848.186
PF03/0003/A388,GE,44.354086,8.596758,52.0,-2701.449,-24110.085
PF04/0003/A388,GE,44.354709,8.606348,52.0,-2635.913,-23345.487
PF01/0005/A388,GE,44.354261,8.632644,50.0,-2695.486,-21250.014
PF02/0005/A388,GE,44.356996,8.637073,10.0,-2393.2,-20895.66
PF01/0006/A388,GE,44.342689,8.596762,8.0,-3967.35,-24116.03
PF01/0009/A388,GE,44.348898,8.619073,8.0,-3286.25,-22334.32
PF01/0010/A388,GE,44.340681,8.627333,52.0,-4201.976,-21680.156
PF01/0011/A388,GE,44.354639,8.641753,6.0,-2656.69,-20523.81
PF02/0011/A388,GE,44.347702,8.635237,8.0,-3424.98,-21046.62
PF03/0011/A388,GE,44.343412,8.631219,52.0,-3900.077,-21369.024
PF04/0011/A388,GE,44.354656,8.641736,12.0,-2654.85,-20525.2
PF05/0011/A388,GE,44.349182,8.634427,12.0,-3260.3,-21110.4
PF01/0012/A388,GE,44.354639,8.641753,6.0,-2656.69,-20523.81
PF02/0012/A388,GE,44.340866,8.651642,70.0,-4189.931,-19742.272
PF01/0014/A388,GE,44.330363,8.607926,72.0,-5340.854,-23232.658
PF02/0014/A388,GE,44.329068,8.60524,72.0,-5483.65,-23447.487
PF03/0014/A388,GE,44.328122,8.60236,54.0,-5587.606,-23677.642
PF04/0014/A388,GE,44.332568,8.603905,72.0,-5094.336,-23552.042
PF05/0014/A388,GE,44.327494,8.599016,54.0,-5656.041,-23944.637
PF01/0015/A388,GE,44.337622,8.62482,8.0,-4540.9,-21881.97
PF02/0015/A388,GE,44.334161,8.627591,52.0,-4926.242,-21662.823
PF03/0015/A388,GE,44.333709,8.620631,54.0,-4973.963,-22217.946
PF04/0015/A388,GE,44.3312,8.62987,76.0,-5255.996,-21482.658
PF05/0015/A388,GE,44.33145,8.624038,76.0,-5226.076,-21947.515
PF01/0016/A388,GE,44.334465,8.635465,8.0,-4895.4,-21034.99
PF02/0016/A388,GE,44.340832,8.63165,56.0,-4186.79,-21335.919
PF03/0016/A388,GE,44.338972,8.63775,56.0,-4395.489,-20850.555
PF01/0017/A388,GE,44.342424,8.658538,3.0,-4019.2,-19191.8
PF03/0017/A388,GE,44.339438,8.643736,52.0,-4345.9,-20373.141
PF05/0017/A388,GE,44.340094,8.647958,70.0,-4274.5,-20036.275
PF06/0017/A388,GE,44.33559,8.644528,70.0,-4773.583,-20311.872
PF01/0018/A388,GE,44.340528,8.665146,8.0,-4231.98,-18665.92
PF03/0018/A388,GE,44.342424,8.658538,3.0,-4019.2,-19191.8
