identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF19/0001/B712A,GO,45.964522,11.709295,21.0,1587.486,-73706.107
PF09/0002/B712A,GO,45.964168,11.69681,21.0,1559.741,-74674.183
PF10/0002/B712A,GO,45.965875,11.697247,4.0,1749.0,-74638.0
PF19/0004/B712A,GO,45.96763,11.69603,21.0,1945.268,-74729.951
PF06/0005/B712A,GO,45.960357,12.68345,52.0,685.058,1792.561
PF09/0005/B712A,GO,45.955735,12.685639,52.0,171.418,1962.448
PF19/0005/B712A,GO,45.970502,11.708024,21.0,2253.216,-73796.642
PF05/0006/B712A,GO,45.966505,12.682293,12.0,1368.25,1702.73
PF19/0006/B712A,GO,45.975995,11.712053,21.0,2860.011,-73477.191
PF03/0007/B712A,GO,45.954607,12.675288,52.0,45.857,1160.113
PF19/0007/B712A,GO,45.969654,11.701226,21.0,2165.344,-74324.617
PF02/0008/B712A,GO,45.955755,12.677088,52.0,173.41,1299.567
PF19/0008/B712A,GO,45.969747,11.70397,21.0,2173.056,-74111.825
PF03/0009/B712A,GO,45.971152,11.702158,21.0,2330.943,-74250.377
PF03/0001/B712B,GO,45.95673,12.654413,52.0,281.644,-458.053
PF05/0001/B712B,GO,45.954303,12.641228,52.0,12.071,-1480.131
PF08/0001/B712B,GO,45.961735,12.651614,12.0,838.0,-675.0
PF13/0001/B712B,GO,45.977648,11.696168,21.0,3058.453,-74705.785
PF04/0002/B712B,GO,45.984432,11.705716,21.0,3803.524,-73956.962
PF01/0003/B712B,GO,45.953762,12.656248,52.0,-48.184,-315.813
PF02/0003/B712B,GO,45.951791,12.642631,52.0,-267.112,-1371.438
PF05/0003/B712B,GO,45.94903,12.64434,52.0,-574.014,-1239.072
PF09/0003/B712B,GO,45.95128,12.655666,52.0,-324.0,-361.0
PF14/0003/B712B,GO,45.974111,11.694115,21.0,2667.318,-74869.6
PF07/0001/D014A,GO,45.992336,11.66437,21.0,4721.129,-77149.049
PF09/0003/D014A,GO,45.997877,11.679357,21.0,5322.64,-75980.565
PF09/0004/D014A,GO,45.989654,11.646515,21.0,4440.602,-78535.889
PF19/0005/D014A,GO,45.992464,11.654009,21.0,4745.478,-77951.429
PF20/0005/D014A,GO,45.989917,11.658369,21.0,4458.142,-77617.276
PF21/0005/D014A,GO,45.991391,11.650381,21.0,4629.758,-78233.988
PF24/0006/D014A,GO,45.986425,11.678467,21.0,4050.699,-76065.195
PF25/0006/D014A,GO,45.98841,11.679,21.0,4270.797,-76021.245
PF15/0007/D014A,GO,45.990015,11.684428,21.0,4443.992,-75598.542
PF07/0009/D014A,GO,45.978192,11.628879,21.0,3184.208,-79918.493
PF12/0010/D014A,GO,45.984903,11.636316,21.0,3922.696,-79332.683
PF13/0010/D014A,GO,45.984331,11.647163,21.0,3848.331,-78493.165
PF09/0011/D014A,GO,45.967035,12.66754,52.0,1426.991,559.382
PF17/0011/D014A,GO,45.980261,11.652112,21.0,3391.103,-78115.533
PF18/0011/D014A,GO,45.985826,11.647504,21.0,4014.146,-78464.642
