identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A369,GR,42.91238,11.493867,50.0,-44993.046,13226.484
PF02/0001/A369,GR,42.913511,11.496131,50.0,-44867.003,13411.046
PF03/0001/A369,GR,42.909832,11.494298,50.0,-45275.926,13262.196
PF04/0001/A369,GR,42.91084,11.494189,50.0,-45164.019,13253.127
PF05/0001/A369,GR,42.909994,11.492792,50.0,-45258.213,13139.172
PF01/0002/A369,GR,42.908762,11.496431,50.0,-45394.457,13436.619
PF02/0002/A369,GR,42.909491,11.500124,50.0,-45312.918,13737.971
PF03/0002/A369,GR,42.910182,11.497928,12.0,-45236.5,13558.5
PF04/0002/A369,GR,42.911197,11.497562,12.0,-45123.8,13528.4
PF05/0002/A369,GR,42.910711,11.498521,12.0,-45177.68,13606.809
PF01/0003/A369,GR,42.906992,11.495766,50.0,-45591.2,13382.707
PF02/0003/A369,GR,42.908804,11.491189,12.0,-45390.64,13008.544
PF03/0003/A369,GR,42.907451,11.493637,12.0,-45540.571,13208.768
PF01/0004/A369,GR,42.90691,11.499462,50.0,-45599.751,13684.478
PF02/0004/A369,GR,42.90598,11.505957,50.0,-45701.96,14215.081
PF03/0004/A369,GR,42.906575,11.501018,50.0,-45636.657,13811.631
PF04/0004/A369,GR,42.905175,11.499232,50.0,-45792.476,13666.11
PF05/0004/A369,GR,42.909053,11.503476,12.0,-45361.0,14011.8
PF06/0004/A369,GR,42.907735,11.504571,12.0,-45507.2,14101.5
PF07/0004/A369,GR,42.909031,11.501783,12.0,-45363.7,13873.5
PF01/0005/A369,GR,42.900817,11.494874,50.0,-46277.265,13311.216
PF02/0005/A369,GR,42.901488,11.497711,50.0,-46202.314,13542.744
PF03/0005/A369,GR,42.904875,11.49578,50.0,-45826.306,13384.295
PF04/0005/A369,GR,42.904187,11.493245,12.0,-45903.2,13177.4
PF05/0005/A369,GR,42.902567,11.492681,12.0,-46083.26,13131.692
PF06/0005/A369,GR,42.901792,11.491485,12.0,-46169.53,13034.26
PF01/0006/A369,GR,42.90266,11.504472,50.0,-46071.005,14094.541
PF02/0006/A369,GR,42.902831,11.506717,50.0,-46051.637,14277.803
PF04/0006/A369,GR,42.900858,11.500787,10.0,-46271.8,13794.0
PF05/0006/A369,GR,42.90046,11.503546,12.0,-46315.5,14019.4
PF02/0007/A369,GR,42.897046,11.492327,50.0,-46696.556,13103.977
PF04/0007/A369,GR,42.895268,11.493578,12.0,-46893.8,13206.5
PF06/0007/A369,GR,42.900804,11.491734,12.0,-46279.135,13054.764
PF07/0007/A369,GR,42.898365,11.494777,12.0,-46549.658,13303.795
PF08/0007/A369,GR,42.894523,11.491172,12.0,-46976.978,13010.201
PF09/0007/A369,GR,42.89593,11.490023,12.0,-46820.868,12916.08
PF10/0007/A369,GR,42.893931,11.489087,12.0,-47043.057,12840.03
PF01/0008/A369,GR,42.899784,11.497028,12.0,-46391.618,13487.283
