identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF19/0002/A984A,IM,43.792788,7.694065,52.0,4849704.408,1394958.67
PF30/0002/A984A,IM,43.797766,7.696646,12.0,4850254.0,1395175.0
PF25/0003/A984A,IM,43.787502,7.688007,12.0,4849125.0,1394462.0
PF26/0003/A984A,IM,43.785777,7.685493,12.0,4848936.674,1394256.672
PF27/0003/A984A,IM,43.784869,7.680911,12.0,4848841.63,1393886.37
PF07/0006/A984A,IM,43.779834,7.656896,12.0,4848313.486,1391944.914
PF07/0007/A984A,IM,43.779568,7.659215,12.0,4848281.0,1392131.0
PF08/0007/A984A,IM,43.778073,7.663997,12.0,4848108.671,1392513.165
PF08/0008/A984A,IM,43.777348,7.667522,50.0,4848023.627,1392795.513
PF05/0009/A984A,IM,43.777351,7.673829,50.0,4848015.763,1393303.072
PF06/0009/A984A,IM,43.780275,7.677467,12.0,4848335.8,1393601.1
PF05/0004/A984B,IM,43.781815,7.650001,12.0,4848542.55,1391393.59
PF06/0004/A984B,IM,43.78112,7.653403,12.0,4848460.92,1391666.106
PF19/0016/B559,IM,43.78451,7.631025,12.0,4848866.985,1389871.547
PF29/0001/C559,IM,43.923183,8.110693,10.0,4863742.486,1428634.199
PF30/0001/C559,IM,43.921898,8.108106,12.0,4863602.0,1428425.0
PF33/0001/C559,IM,43.924081,8.113768,12.0,4863839.564,1428882.106
PF21/0003/C559,IM,43.925397,8.118702,50.0,4863981.498,1429279.81
PF22/0003/C559,IM,43.926193,8.122585,50.0,4864066.625,1429592.414
PF20/0004/C559,IM,43.932967,8.133132,50.0,4864810.052,1430446.986
PF21/0004/C559,IM,43.935905,8.132901,50.0,4865136.504,1430431.861
PF22/0004/C559,IM,43.929804,8.130807,12.0,4864460.71,1430256.695
PF23/0004/C559,IM,43.926656,8.12748,12.0,4864113.875,1429985.91
PF15/0003/C718A,IM,43.842311,7.915331,20.0,4854947.711,1412832.717
PF13/0004/C718A,IM,43.844852,7.924466,21.0,4855220.342,1413570.715
PF12/0010/C718A,IM,43.845001,7.931155,21.0,4855229.919,1414108.69
PF13/0010/C718A,IM,43.845387,7.934313,21.0,4855269.515,1414363.091
PF14/0010/C718A,IM,43.845916,7.938066,12.0,4855324.389,1414665.519
PF15/0007/D114,IM,43.848664,7.952896,12.0,4855614.4,1415861.43
PF04/0001/D297A,IM,43.909227,8.082611,12.0,4862217.13,1426362.61
PF10/0002/D297A,IM,43.915965,8.091708,12.0,4862957.36,1427101.26
PF12/0002/D297A,IM,43.912877,8.088232,12.0,4862617.437,1426818.382
PF13/0002/D297A,IM,43.914532,8.089411,12.0,4862800.308,1426915.145
PF11/0004/D297A,IM,43.905523,8.078863,12.0,4861809.0,1426057.0
PF17/0005/D297A,IM,43.899939,8.077591,12.0,4861190.0,1425948.0
PF18/0005/D297A,IM,43.903497,8.077111,50.0,4861585.618,1425913.843
PF10/0006/D297A,IM,43.89709,8.078733,12.0,4860872.51,1426036.12
PF13/0006/D297A,IM,43.897629,8.082735,12.0,4860928.8,1426358.255
PF14/0006/D297A,IM,43.892094,8.074054,12.0,4860321.823,1425654.14
PF15/0006/D297A,IM,43.894084,8.077025,12.0,4860540.208,1425895.228
PF06/0005/E290G,IM,43.8875,8.039191,12.0,4859843.5,1422848.0
PF04/0006/E290G,IM,43.886726,8.044694,12.0,4859752.5,1423289.0
PF05/0006/E290G,IM,43.883564,8.040699,10.0,4859405.0,1422964.0
PF08/0007/E290G,IM,43.887716,8.048268,12.0,4859859.089,1423577.378
PF12/0009/E290G,IM,43.888033,8.057309,12.0,4859886.0,1424304.0
PF13/0009/E290G,IM,43.888653,8.061518,12.0,4859950.969,1424642.89
PF08/0010/E290G,IM,43.889903,8.068365,10.0,4860083.63,1425194.436
PF09/0010/E290G,IM,43.887648,8.067595,10.0,4859833.797,1425129.763
PF10/0010/E290G,IM,43.891042,8.071445,12.0,4860207.327,1425443.27
PF26/0003/E290H,IM,43.867927,7.998635,12.0,4857708.247,1419563.848
PF27/0003/E290H,IM,43.866832,7.995304,12.0,4857589.886,1419294.747
PF06/0004/E290I,IM,43.864436,7.985632,52.0,4857333.26,1418514.27
PF11/0004/E290I,IM,43.865058,7.991739,52.0,4857396.36,1419005.82
PF34/0002/E290L,IM,43.88485,8.032854,52.0,4859555.157,1422335.462
PF35/0002/E290L,IM,43.885658,8.035245,10.0,4859642.603,1422528.626
PF36/0004/E290L,IM,43.885032,8.028127,52.0,4859579.837,1421955.975
PF37/0004/E290L,IM,43.881341,8.027527,52.0,4859170.496,1421902.972
PF38/0004/E290L,IM,43.881636,8.022526,12.0,4859207.985,1421501.588
PF39/0004/E290L,IM,43.87857,8.026706,12.0,4858863.411,1421833.389
PF40/0004/E290L,IM,43.879218,8.023241,12.0,4858938.722,1421555.841
PF41/0004/E290L,IM,43.877701,8.02957,12.0,4858764.243,1422062.367
PF32/0005/E290L,IM,43.86911,8.001345,12.0,4857837.016,1419783.213
PF33/0005/E290L,IM,43.870107,8.006254,12.0,4857943.0,1420179.0
PF34/0005/E290L,IM,43.871978,8.00921,12.0,4858148.0,1420419.0
PF04/0006/E290L,IM,43.877844,8.018382,50.0,4858790.681,1421163.693
PF06/0007/E290L,IM,43.874326,8.017764,50.0,4858400.547,1421109.426
PF07/0007/E290L,IM,43.872043,8.013247,56.0,4858151.387,1420743.41
PF02/0008/E290L,IM,43.876246,8.024027,50.0,4858607.908,1421615.136
PF03/0008/E290L,IM,43.874952,8.02915,12.0,4858459.254,1422024.984
PF04/0008/E290L,IM,43.876694,8.020571,50.0,4858660.923,1421338.008
PF22/0007/G164,IM,43.801368,7.710192,12.0,4850637.0,1396271.0
PF26/0007/G164,IM,43.799055,7.704209,12.0,4850387.59,1395785.7
PF05/0009/G164,IM,43.801266,7.713177,12.0,4850622.0,1396511.0
PF03/0010/G164,IM,43.800032,7.720333,10.0,4850476.02,1397084.54
PF17/0013/G164,IM,43.796455,7.73906,12.0,4850055.505,1398584.916
PF18/0013/G164,IM,43.796959,7.731941,12.0,4850120.243,1398013.106
PF22/0013/G164,IM,43.799182,7.725298,10.0,4850375.438,1397482.465
PF23/0013/G164,IM,43.798034,7.727927,12.0,4850244.678,1397691.972
PF24/0013/G164,IM,43.796048,7.734495,12.0,4850016.0,1398217.0
PF19/0002/H328,IM,43.836589,7.880727,20.0,4854349.252,1410042.351
PF36/0003/H328,IM,43.836462,7.87666,21.0,4854339.579,1409715.197
PF19/0004/H328,IM,43.834812,7.866184,21.0,4854167.811,1408870.476
PF18/0012/H763,IM,43.917177,8.094015,12.0,4863090.0,1427288.0
PF19/0012/H763,IM,43.918789,8.097478,12.0,4863266.0,1427568.0
PF20/0012/H763,IM,43.919733,8.100752,12.0,4863368.0,1427832.0
PF21/0012/H763,IM,43.920492,8.104515,12.0,4863449.0,1428135.0
PF21/0002/H957,IM,43.85626,7.969284,56.0,4856441.455,1417189.21
PF22/0002/H957,IM,43.858968,7.971252,56.0,4856740.301,1417351.128
PF23/0002/H957,IM,43.860426,7.969606,56.0,4856903.873,1417220.915
PF26/0002/H957,IM,43.858835,7.967877,56.0,4856728.906,1417079.746
PF12/0003/H957,IM,43.850311,7.957412,10.0,4855792.64,1416226.78
PF13/0003/H957,IM,43.853243,7.965808,8.0,4856109.81,1416905.68
PF32/0036/I138A,IM,43.807803,7.753791,12.0,4851298.0,1399789.0
PF33/0036/I138A,IM,43.804931,7.748091,12.0,4850985.912,1399325.75
PF30/0038/I138A,IM,43.803707,7.746466,12.0,4850852.0,1399193.0
PF34/0038/I138A,IM,43.803543,7.749301,12.0,4850830.346,1399420.714
PF38/0038/I138A,IM,43.799855,7.742482,12.0,4850429.0,1398866.0
PF40/0038/I138A,IM,43.797657,7.741741,12.0,4850185.762,1398802.68
PF05/0039/I138A,IM,43.808154,7.758719,12.0,4851331.0,1400186.0
PF06/0039/I138A,IM,43.80912,7.76397,12.0,4851432.0,1400610.0
PF07/0039/I138A,IM,43.811766,7.766328,12.0,4851723.0,1400804.0
PF08/0039/I138A,IM,43.808306,7.761268,12.0,4851344.786,1400391.27
PF06/0042/I138A,IM,43.813952,7.77114,52.0,4851960.112,1401194.649
PF04/0043/I138A,IM,43.814704,7.781275,52.0,4852031.484,1402011.013
PF05/0043/I138A,IM,43.815204,7.787054,52.0,4852080.208,1402476.59
PF06/0043/I138A,IM,43.814254,7.776733,52.0,4851987.0,1401645.0
PF05/0044/I138A,IM,43.818478,7.781073,52.0,4852450.947,1402000.931
PF06/0044/I138A,IM,43.819171,7.783592,52.0,4852524.906,1402204.626
PF32/0045/I138A,IM,43.820207,7.790339,12.0,4852632.015,1402748.937
PF33/0045/I138A,IM,43.819777,7.786381,12.0,4852588.923,1402429.943
PF34/0045/I138A,IM,43.820239,7.79373,52.0,4852631.62,1403021.672
PF35/0045/I138A,IM,43.817517,7.791837,52.0,4852331.462,1402865.036
PF30/0046/I138A,IM,43.823137,7.803724,12.0,4852941.815,1403830.044
PF32/0046/I138A,IM,43.823046,7.808202,12.0,4852926.5,1404190.0
PF33/0046/I138A,IM,43.822786,7.811695,12.0,4852893.6,1404470.45
PF35/0046/I138A,IM,43.819735,7.796791,12.0,4852572.0,1403267.0
PF38/0046/I138A,IM,43.821738,7.800155,12.0,4852790.585,1403540.728
PF20/0047/I138A,IM,43.820963,7.818739,12.0,4852683.0,1405034.0
PF21/0047/I138A,IM,43.822065,7.815293,12.0,4852809.4,1404758.62
PF22/0047/I138A,IM,43.817109,7.828732,10.0,4852243.5,1405831.5
PF19/0048/I138A,IM,43.819645,7.837339,12.0,4852515.4,1406527.7
PF24/0006/I138B,IM,43.827983,7.845172,12.0,4853432.651,1407170.504
PF25/0006/I138B,IM,43.824645,7.840678,10.0,4853067.0,1406804.0
PF21/0007/I138B,IM,43.82258,7.84037,10.0,4852838.0,1406776.0
PF33/0001/I365,IM,43.838189,7.889605,52.0,4854517.315,1410758.517
PF39/0001/I365,IM,43.838197,7.893479,52.0,4854513.968,1411069.961
PF11/0002/I365,IM,43.837383,7.900618,54.0,4854415.945,1411642.66
PF12/0002/I365,IM,43.836954,7.90391,10.0,4854364.831,1411906.747
PF13/0002/I365,IM,43.837609,7.896923,8.0,4854445.0,1411346.0
PF38/0030/L024,IM,43.831132,7.852637,50.0,4853774.043,1407775.651
PF40/0030/L024,IM,43.830202,7.848829,8.0,4853675.0,1407468.0
PF24/0031/L024,IM,43.831612,7.857278,12.0,4853822.248,1408149.557
PF08/0006/L599,IM,43.783762,7.635496,12.0,4848777.937,1390229.93
PF09/0006/L599,IM,43.783291,7.638506,12.0,4848721.67,1390471.343
PF06/0007/L599,IM,43.782816,7.642288,12.0,4848663.862,1390774.782
PF07/0007/L599,IM,43.78238,7.645595,52.0,4848611.083,1391040.055
PF12/0051/L741,IM,43.784812,7.52995,12.0,4849040.0,1381739.0
PF13/0051/L741,IM,43.783923,7.536799,10.0,4848931.506,1382288.392
PF19/0052/L741,IM,43.783479,7.539574,10.0,4848878.227,1382510.797
PF31/0053/L741,IM,43.781672,7.551295,12.0,4848660.95,1383450.5
PF32/0053/L741,IM,43.788642,7.560268,12.0,4849422.5,1384186.0
PF33/0053/L741,IM,43.785737,7.558039,12.0,4849103.0,1384001.0
PF35/0053/L741,IM,43.781625,7.558249,10.0,4848646.0,1384010.0
PF36/0053/L741,IM,43.783281,7.546851,10.0,4848846.0,1383096.0
