identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A051,IS,41.684275,14.446213,52.0,4880.076,-12082.543
PF01/0002/A051,IS,41.685137,14.447618,52.0,4974.989,-11965.028
PF02/0002/A051,IS,41.682613,14.448439,52.0,4694.31,-11898.498
PF01/0005/A051,IS,41.682085,14.460218,10.0,4629.5,-10918.5
PF02/0005/A051,IS,41.680917,14.464691,10.0,4497.5,-10547.0
PF03/0005/A051,IS,41.678773,14.464636,54.0,4259.462,-10553.033
PF04/0005/A051,IS,41.674501,14.459204,10.0,3788.0,-11008.2
PF05/0005/A051,IS,41.673377,14.457587,10.0,3664.0,-11143.6
PF06/0005/A051,IS,41.672491,14.464641,10.0,3562.0,-10557.0
PF08/0005/A051,IS,41.675618,14.460759,10.0,3911.2,-10878.0
PF09/0005/A051,IS,41.671721,14.462725,10.0,3477.5,-10717.0
PF10/0005/A051,IS,41.67671,14.462325,54.0,4031.62,-10746.84
PF16/0005/A051,IS,41.521935,14.723101,21.0,-13254.688,10904.223
PF01/0006/A051,IS,41.678824,14.466859,10.0,4264.0,-10368.0
PF02/0006/A051,IS,41.677257,14.463172,10.0,4091.9,-10676.0
PF03/0006/A051,IS,41.67743,14.469147,10.0,4108.0,-10178.5
PF04/0006/A051,IS,41.677206,14.472429,10.0,4081.5,-9905.5
PF05/0006/A051,IS,41.675726,14.466028,8.0,3920.5,-10439.32
PF06/0006/A051,IS,41.675979,14.577523,10.0,3897.0,-1158.5
PF07/0006/A051,IS,41.674626,14.47254,10.0,3795.0,-9898.0
PF08/0006/A051,IS,41.673344,14.468079,54.0,3654.903,-10270.235
PF09/0006/A051,IS,41.672708,14.469624,10.0,3583.5,-10142.0
PF10/0006/A051,IS,41.670915,14.465579,10.0,3386.5,-10480.0
PF11/0006/A051,IS,41.671042,14.4678,10.0,3399.5,-10295.0
PF12/0006/A051,IS,41.672114,14.473627,10.0,3515.5,-9809.2
PF13/0006/A051,IS,41.670055,14.471626,10.0,3288.0,-9977.2
PF14/0006/A051,IS,41.668528,14.469533,10.0,3119.5,-10152.5
PF16/0006/A051,IS,41.676305,14.4744,10.0,3980.5,-9742.0
PF01/0007/A051,IS,41.68037,14.48336,10.0,4427.3,-8993.5
PF02/0007/A051,IS,41.678961,14.477046,10.0,4274.0,-9520.0
PF03/0007/A051,IS,41.677793,14.483746,10.0,4141.0,-8963.1
PF05/0007/A051,IS,41.676525,14.478988,10.0,4002.5,-9360.0
PF07/0007/A051,IS,41.675203,14.480632,10.0,3855.0,-9224.0
PF09/0007/A051,IS,41.674087,14.480617,10.0,3731.0,-9226.0
PF10/0007/A051,IS,41.673302,14.474389,10.0,3647.0,-9745.0
PF11/0007/A051,IS,41.673066,14.478031,10.0,3619.0,-9442.0
PF13/0007/A051,IS,41.672111,14.47551,10.0,3514.2,-9652.5
PF01/0008/A051,IS,41.675674,14.484815,10.0,3905.2,-8875.5
PF02/0008/A051,IS,41.673558,14.484784,10.0,3670.2,-8879.5
PF03/0008/A051,IS,41.672306,14.482313,10.0,3532.5,-9086.0
PF04/0008/A051,IS,41.671394,14.480709,8.0,3431.99,-9220.15
PF05/0008/A051,IS,41.670088,14.481827,10.0,3286.5,-9128.0
PF06/0008/A051,IS,41.667868,14.482691,10.0,3039.5,-9057.5
PF07/0008/A051,IS,41.671413,14.480566,52.0,3434.229,-9232.102
PF08/0008/A051,IS,41.671723,14.482335,52.0,3467.695,-9084.614
PF09/0008/A051,IS,41.673275,14.482453,52.0,3640.033,-9073.782
PF11/0008/A051,IS,41.677274,14.482119,52.0,4084.188,-9098.867
PF12/0008/A051,IS,41.675467,14.481899,12.0,3883.672,-9118.37
PF13/0010/A051,IS,41.520325,14.727019,20.0,-13434.447,11230.561
PF01/0012/A051,IS,41.665121,14.478576,52.0,2736.633,-9401.961
PF02/0012/A051,IS,41.669511,14.478905,52.0,3223.899,-9371.651
PF01/0013/A051,IS,41.668447,14.480305,10.0,3105.0,-9255.8
PF02/0013/A051,IS,41.667424,14.479262,10.0,2992.0,-9343.3
PF03/0013/A051,IS,41.666854,14.48139,54.0,2927.662,-9166.517
PF04/0013/A051,IS,41.666146,14.480575,52.0,2849.422,-9234.813
PF05/0013/A051,IS,41.666148,14.482179,52.0,2848.801,-9101.319
PF06/0013/A051,IS,41.665849,14.484537,52.0,2814.498,-8905.196
PF07/0013/A051,IS,41.665408,14.481504,10.0,2767.0,-9158.0
PF09/0013/A051,IS,41.66455,14.473049,10.0,2676.0,-9862.5
PF10/0013/A051,IS,41.664459,14.482111,52.0,2661.406,-9108.09
PF11/0013/A051,IS,41.668224,14.482724,54.0,3079.081,-9054.581
PF15/0013/A051,IS,41.517196,14.71361,21.0,-13778.273,10110.621
PF01/0014/A051,IS,41.665834,14.486593,52.0,2811.729,-8734.012
PF02/0014/A051,IS,41.665393,14.489382,52.0,2761.45,-8502.117
PF03/0014/A051,IS,41.664257,14.483615,52.0,2638.132,-8983.041
PF04/0014/A051,IS,41.664214,14.488114,10.0,2631.2,-8608.5
PF07/0014/A051,IS,41.663038,14.484603,52.0,2502.363,-8901.592
PF08/0014/A051,IS,41.663649,14.490652,52.0,2567.195,-8397.581
PF01/0015/A051,IS,41.663332,14.493769,52.0,2530.501,-8138.289
PF02/0015/A051,IS,41.663884,14.496339,52.0,2590.532,-7923.923
PF01/0016/A051,IS,41.661883,14.474664,52.0,2379.159,-9729.859
PF02/0016/A051,IS,41.661762,14.466531,52.0,2369.835,-10407.036
PF03/0016/A051,IS,41.551089,14.621012,10.0,-9985.6,2400.5
PF01/0017/A051,IS,41.663311,14.478252,10.0,2535.85,-9430.1
PF02/0017/A051,IS,41.662124,14.479965,8.0,2403.18,-9288.31
PF04/0017/A051,IS,41.663192,14.482981,52.0,2520.264,-9036.498
PF05/0017/A051,IS,41.662581,14.477344,10.0,2455.2,-9506.2
PF06/0017/A051,IS,41.662557,14.480211,52.0,2451.099,-9267.575
PF07/0017/A051,IS,41.662782,14.482041,52.0,2475.192,-9115.015
PF08/0017/A051,IS,41.661961,14.478493,52.0,2385.832,-9410.971
PF09/0017/A051,IS,41.6613,14.480186,52.0,2311.643,-9270.506
PF10/0017/A051,IS,41.661713,14.483082,52.0,2356.044,-9029.056
PF04/0018/A051,IS,41.661797,14.491942,52.0,2360.985,-8291.374
PF05/0018/A051,IS,41.661105,14.485851,52.0,2287.072,-8798.92
PF07/0018/A051,IS,41.660852,14.491017,10.0,2256.5,-8369.0
PF08/0018/A051,IS,41.660294,14.493008,10.0,2193.5,-8203.6
PF09/0018/A051,IS,41.660558,14.484104,10.0,2227.2,-8944.8
PF10/0018/A051,IS,41.659125,14.485758,10.0,2067.3,-8808.0
PF11/0018/A051,IS,41.659425,14.490017,10.0,2098.5,-8453.2
PF12/0018/A051,IS,41.656798,14.485222,10.0,1809.2,-8854.2
PF13/0018/A051,IS,41.657575,14.488052,10.0,1894.1,-8618.0
PF14/0018/A051,IS,41.657253,14.490829,10.0,1857.0,-8387.0
PF15/0018/A051,IS,41.653011,14.485014,10.0,1388.9,-8874.0
PF16/0018/A051,IS,41.651648,14.486238,10.0,1237.0,-8773.0
