identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A772,KR,39.056138,16.772443,50.0,10504.447,39372.467
PF02/0001/A772,KR,39.051948,16.773389,50.0,10041.028,39463.368
PF03/0001/A772,KR,39.054194,16.776991,50.0,10296.323,39770.263
PF01/0002/A772,KR,39.057682,16.797054,50.0,10717.649,41498.711
PF02/0002/A772,KR,39.061856,16.798625,50.0,11183.547,41625.519
PF03/0002/A772,KR,39.055067,16.797397,50.0,10427.961,41534.209
PF04/0002/A772,KR,39.05705,16.790938,50.0,10637.063,40970.934
PF05/0002/A772,KR,39.06037,16.792968,50.0,11008.933,41139.333
PF07/0002/A772,KR,39.053719,16.789535,50.0,10264.933,40856.813
PF08/0002/A772,KR,39.062093,16.795302,12.0,11204.12,41337.45
PF09/0002/A772,KR,39.059092,16.786672,12.0,10856.41,40597.28
PF10/0002/A772,KR,39.060976,16.783621,12.0,11060.282,40329.179
PF01/0003/A772,KR,39.058583,16.800121,50.0,10822.843,41762.192
PF02/0003/A772,KR,39.051246,16.798122,50.0,10005.16,41605.28
PF03/0003/A772,KR,39.061298,16.808155,8.0,11138.02,42451.35
PF04/0003/A772,KR,39.057675,16.802722,50.0,10726.519,41989.242
PF05/0003/A772,KR,39.053507,16.800707,50.0,10260.468,41824.052
PF06/0003/A772,KR,39.054829,16.803401,12.0,10411.825,42054.207
PF07/0003/A772,KR,39.061229,16.803061,12.0,11121.611,42010.775
PF01/0004/A772,KR,39.038322,16.769492,50.0,8522.201,39155.587
PF02/0004/A772,KR,39.044422,16.784122,50.0,9223.941,40408.565
PF03/0004/A772,KR,39.041648,16.781837,50.0,8912.1,40216.885
PF04/0004/A772,KR,39.046444,16.770065,12.0,9424.571,39187.601
PF05/0004/A772,KR,39.043775,16.781184,12.0,9147.094,40155.707
PF06/0004/A772,KR,39.053861,16.783196,12.0,10269.97,40307.91
PF01/0005/A772,KR,39.04471,16.79378,50.0,9272.296,41243.814
PF02/0005/A772,KR,39.042906,16.790559,50.0,9066.576,40969.031
PF03/0005/A772,KR,39.046111,16.791304,50.0,9423.621,41026.482
PF04/0005/A772,KR,39.048421,16.793205,50.0,9683.227,41185.964
PF05/0005/A772,KR,39.044636,16.788101,50.0,9254.374,40752.473
PF06/0005/A772,KR,39.047992,16.795639,50.0,9639.789,41397.513
PF07/0005/A772,KR,39.048618,16.788591,50.0,9697.202,40786.245
PF08/0005/A772,KR,39.050213,16.788146,12.0,9873.47,40744.205
PF09/0005/A772,KR,39.051289,16.795478,12.0,10005.334,41376.364
PF01/0006/A772,KR,39.037575,16.781196,50.0,8458.974,40170.202
PF02/0006/A772,KR,39.040432,16.785153,50.0,8782.779,40506.503
PF03/0006/A772,KR,39.037746,16.782533,12.0,8480.3,40285.55
PF04/0006/A772,KR,39.036297,16.770992,12.0,8299.94,39289.74
PF01/0007/A772,KR,39.035127,16.781154,50.0,8187.289,40171.948
PF02/0007/A772,KR,39.033452,16.782106,50.0,8002.998,40257.992
PF03/0007/A772,KR,39.0383,16.785317,50.0,8546.523,40525.347
