identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0902/A005A,LC,45.897245,9.335717,42.0,5082706.519,1526071.823
PF04/0905/A005A,LC,45.904447,9.335845,42.0,5083506.69,1526078.359
PF05/0905/A005A,LC,45.901875,9.339402,42.0,5083222.11,1526355.526
PF06/0905/A005A,LC,45.902138,9.337195,42.0,5083250.602,1526184.211
PF08/0905/A005A,LC,45.900137,9.337732,42.0,5083028.481,1526226.8
PF09/0905/A005A,LC,45.903412,9.340954,52.0,5083393.393,1526475.131
PF10/0905/A005A,LC,45.897032,9.339175,42.0,5082683.987,1526340.168
PF11/0905/A005A,LC,45.898159,9.334493,52.0,5082807.609,1525976.43
PF12/0905/A005A,LC,45.896612,9.331815,42.0,5082634.89,1525769.408
PF14/0905/A005A,LC,45.894235,9.338021,52.0,5082372.808,1526251.985
PF15/0905/A005A,LC,45.895078,9.341436,42.0,5082467.577,1526516.551
PF16/0905/A005A,LC,45.153302,8.999649,11.0,5000000.0,1500000.0
PF19/0905/A005A,LC,45.896778,9.334403,42.0,5082654.114,1525970.081
PF20/0905/A005A,LC,45.896591,9.336962,42.0,5082634.171,1526168.695
PF21/0905/A005A,LC,45.895136,9.334463,42.0,5082471.716,1525975.526
PF22/0905/A005A,LC,45.895239,9.332182,42.0,5082482.503,1525798.508
PF23/0905/A005A,LC,45.899171,9.340834,42.0,5082922.115,1526467.891
PF24/0905/A005A,LC,45.899531,9.336654,42.0,5082960.815,1526143.46
PF25/0905/A005A,LC,45.898432,9.344028,8.0,5082841.11,1526716.03
PF27/0905/A005A,LC,45.901135,9.342781,12.0,5083141.0,1526618.0
PF28/0905/A005A,LC,45.90518,9.336134,42.0,5083588.254,1526100.476
PF29/0905/A005A,LC,45.901601,9.334379,12.0,5083190.0,1525966.0
PF02/0906/A005A,LC,45.898001,9.346268,12.0,5082794.0,1526890.0
PF05/0906/A005A,LC,45.153302,8.999649,12.0,5000000.0,1500000.0
PF06/0906/A005A,LC,45.153302,8.999649,11.0,5000000.0,1500000.0
PF09/0906/A005A,LC,45.153302,8.999649,11.0,5000000.0,1500000.0
PF10/0906/A005A,LC,45.153302,8.999649,11.0,5000000.0,1500000.0
PF11/0906/A005A,LC,45.89473,9.348457,42.0,5082431.323,1527061.391
PF12/0906/A005A,LC,45.894115,9.351998,42.0,5082364.105,1527336.413
PF13/0906/A005A,LC,45.902118,9.352714,42.0,5083253.581,1527388.03
PF14/0906/A005A,LC,45.895259,9.348709,42.0,5082490.105,1527080.671
PF15/0906/A005A,LC,45.897464,9.346562,42.0,5082734.405,1526913.078
PF02/0907/A005A,LC,45.896368,9.365791,42.0,5082619.304,1528405.289
