identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF13/0031/A184,LE,39.864617,18.392827,12.0,4418247.0,2810225.0
PF17/0031/A184,LE,39.861892,18.39209,20.0,4417942.085,2810173.401
PF51/0004/A208,LE,39.931535,18.050659,52.0,4424619.972,2780697.195
PF53/0004/A208,LE,39.935697,18.051593,52.0,4425084.779,2780761.25
PF54/0004/A208,LE,39.931652,18.055248,52.0,4424646.412,2781089.009
PF55/0004/A208,LE,39.931423,18.047346,52.0,4424597.918,2780414.503
PF56/0004/A208,LE,39.936851,18.048814,52.0,4425204.75,2780519.355
PF57/0004/A208,LE,39.934116,18.054288,52.0,4424917.22,2780997.521
PF59/0004/A208,LE,39.939798,18.054362,52.0,4425548.183,2780982.283
PF61/0004/A208,LE,39.937543,18.053689,52.0,4425295.886,2780933.358
PF62/0004/A208,LE,39.943684,18.059012,52.0,4425993.282,2781364.888
PF63/0004/A208,LE,39.928909,18.048204,52.0,4424321.278,2780497.345
PF64/0004/A208,LE,39.94082,18.057094,52.0,4425669.715,2781211.858
PF65/0004/A208,LE,39.936062,18.057187,52.0,4425141.708,2781237.909
PF66/0004/A208,LE,39.933733,18.046912,52.0,4424853.114,2780368.662
PF67/0004/A208,LE,39.933726,18.049982,52.0,4424861.281,2780631.049
PF68/0004/A208,LE,39.938971,18.051119,52.0,4425446.851,2780708.269
PF69/0004/A208,LE,39.942824,18.055313,52.0,4425886.919,2781052.075
PF70/0004/A208,LE,39.938203,18.056692,12.0,4425378.0,2781187.5
PF51/0005/A208,LE,39.941624,18.064905,8.0,4425781.796,2781876.306
PF52/0005/A208,LE,39.936713,18.067701,50.0,4425244.785,2782133.984
PF53/0005/A208,LE,39.936068,18.06526,12.0,4425166.048,2781927.846
PF55/0005/A208,LE,39.942448,18.068757,52.0,4425884.638,2782202.291
PF56/0005/A208,LE,39.93614,18.060702,50.0,4425160.621,2781538.053
PF58/0005/A208,LE,39.933556,18.059822,52.0,4424871.168,2781472.647
PF60/0005/A208,LE,39.942644,18.059557,52.0,4425879.338,2781415.414
PF61/0005/A208,LE,39.940012,18.060807,52.0,4425590.878,2781532.257
PF62/0005/A208,LE,39.943448,18.063288,52.0,4425979.609,2781731.146
PF63/0005/A208,LE,39.945712,18.067194,50.0,4426242.417,2782056.25
PF64/0005/A208,LE,39.945926,18.07122,50.0,4426278.05,2782399.45
PF65/0005/A208,LE,39.943464,18.066213,12.0,4425990.0,2781981.0
PF66/0005/A208,LE,39.943203,18.071666,12.0,4425977.0,2782448.0
PF67/0005/A208,LE,39.941356,18.06455,12.0,4425751.0,2781847.0
PF68/0005/A208,LE,39.934806,18.063228,12.0,4425020.0,2781759.0
PF69/0005/A208,LE,39.937199,18.06268,12.0,4425284.0,2781703.0
PF70/0005/A208,LE,39.940611,18.06784,12.0,4425678.0,2782131.0
PF53/0011/A208,LE,39.928843,18.055978,52.0,4424336.745,2781162.091
PF54/0011/A208,LE,39.92793,18.056494,11.0,4424236.905,2781209.659
PF56/0011/A208,LE,39.92822,18.050974,52.0,4424252.934,2780736.746
PF57/0011/A208,LE,39.929597,18.061109,52.0,4424435.497,2781597.709
PF58/0011/A208,LE,39.926053,18.061909,52.0,4424044.374,2781679.629
PF59/0011/A208,LE,39.927615,18.065667,52.0,4424228.85,2781994.827
PF60/0011/A208,LE,39.929869,18.058349,52.0,4424457.526,2781360.812
PF61/0011/A208,LE,39.924507,18.059966,52.0,4423866.988,2781519.46
PF62/0011/A208,LE,39.92392,18.058493,52.0,4423797.487,2781395.752
PF63/0011/A208,LE,39.929654,18.063875,52.0,4424449.902,2781833.902
PF64/0011/A208,LE,39.930013,18.05293,52.0,4424457.723,2780897.083
PF65/0011/A208,LE,39.926747,18.05921,52.0,4424113.448,2781446.262
PF67/0011/A208,LE,39.933233,18.065826,12.0,4424853.0,2781987.0
PF68/0011/A208,LE,39.925219,18.056699,12.0,4423936.5,2781237.5
PF13/0013/A208,LE,39.921717,18.064319,52.0,4423570.05,2781902.16
PF17/0013/A208,LE,39.920281,18.066186,54.0,4423416.15,2782067.23
PF52/0013/A208,LE,39.918285,18.070677,52.0,4423207.73,2782458.75
PF53/0013/A208,LE,39.922611,18.071577,52.0,4423690.68,2782519.187
PF54/0013/A208,LE,39.921395,18.069009,52.0,4423548.101,2782304.307
PF55/0013/A208,LE,39.919888,18.071705,52.0,4423388.662,2782540.49
PF56/0013/A208,LE,39.922243,18.07461,52.0,4423658.75,2782779.834
PF57/0013/A208,LE,39.924856,18.072271,52.0,4423941.959,2782569.924
PF58/0013/A208,LE,39.92414,18.075524,50.0,4423872.063,2782850.678
PF59/0013/A208,LE,39.925631,18.077183,12.0,4424042.451,2782986.737
PF60/0013/A208,LE,39.926589,18.074424,52.0,4424140.708,2782747.287
PF61/0013/A208,LE,39.924071,18.064471,52.0,4423831.861,2781906.183
PF62/0013/A208,LE,39.92306,18.062101,52.0,4423712.693,2781707.438
PF64/0013/A208,LE,39.922985,18.066503,52.0,4423717.249,2782083.988
PF65/0013/A208,LE,39.926647,18.067403,52.0,4424126.439,2782146.983
PF67/0013/A208,LE,39.920269,18.066213,52.0,4423414.813,2782069.617
PF69/0013/A208,LE,39.921788,18.064405,52.0,4423578.184,2781909.231
PF70/0013/A208,LE,39.924888,18.06939,52.0,4423937.0,2782323.5
PF71/0013/A208,LE,39.921144,18.077688,50.0,4423545.746,2783047.153
PF51/0019/A208,LE,39.919212,18.079323,54.0,4423336.166,2783194.264
PF52/0019/A208,LE,39.918373,18.079157,52.0,4423242.481,2783183.321
PF54/0019/A208,LE,39.915842,18.076101,52.0,4422952.433,2782931.793
PF55/0019/A208,LE,39.913559,18.074205,52.0,4422693.469,2782778.447
PF57/0019/A208,LE,39.918103,18.076093,52.0,4423203.502,2782922.407
PF58/0019/A208,LE,39.91343,18.081697,52.0,4422701.243,2783419.444
PF59/0019/A208,LE,39.914559,18.071626,52.0,4422796.917,2782554.107
PF60/0019/A208,LE,39.911001,18.075735,52.0,4422413.994,2782919.036
PF61/0019/A208,LE,39.915928,18.079997,52.0,4422973.52,2783264.515
PF62/0019/A208,LE,39.914172,18.077437,52.0,4422771.015,2783052.421
PF63/0019/A208,LE,39.91641,18.071684,12.0,4423002.5,2782552.0
PF51/0023/A208,LE,39.906149,18.082778,52.0,4421896.023,2783539.757
PF52/0023/A208,LE,39.902066,18.085808,52.0,4421451.782,2783814.496
PF54/0023/A208,LE,39.910854,18.082575,50.0,4422417.767,2783504.383
PF55/0023/A208,LE,39.909833,18.078996,52.0,4422293.954,2783202.254
PF56/0023/A208,LE,39.912346,18.078388,12.0,4422571.055,2783140.646
PF57/0023/A208,LE,39.9073,18.078469,52.0,4422011.175,2783166.964
PF58/0023/A208,LE,39.909079,18.076857,52.0,4422203.906,2783022.263
PF61/0023/A208,LE,39.913301,18.083727,12.0,4422692.854,2783593.441
PF62/0023/A208,LE,39.907944,18.082068,52.0,4422093.262,2783472.18
PF63/0023/A208,LE,39.904652,18.081602,52.0,4421726.425,2783444.95
PF64/0023/A208,LE,39.90826,18.085683,52.0,4422139.0,2783780.0
PF51/0025/A208,LE,39.904711,18.086591,52.0,4421747.715,2783871.325
PF52/0025/A208,LE,39.902966,18.088021,52.0,4421558.187,2784000.295
PF53/0025/A208,LE,39.904652,18.089261,52.0,4421749.074,2784099.796
PF54/0025/A208,LE,39.911209,18.096538,52.0,4422498.579,2784696.74
PF56/0025/A208,LE,39.908669,18.093282,52.0,4422206.967,2784428.115
PF57/0025/A208,LE,39.908685,18.089236,50.0,4422196.72,2784082.184
PF60/0025/A208,LE,39.906673,18.087933,12.0,4421969.5,2783978.5
PF61/0025/A208,LE,39.906233,18.092506,12.0,4421934.15,2784371.15
PF02/0018/A281,LE,39.970479,18.405399,52.0,4430041.31,2810851.86
PF52/0018/A281,LE,39.970479,18.405399,10.0,4430041.31,2810851.86
PF61/0018/A281,LE,39.972546,18.40752,10.0,4430277.83,2811024.24
PF62/0018/A281,LE,39.968542,18.405008,12.0,4429825.0,2810826.7
PF06/0019/A281,LE,39.960719,18.401692,10.0,4428945.65,2810576.52
PF51/0019/A281,LE,39.962152,18.402681,12.0,4429108.0,2810655.0
PF52/0019/A281,LE,39.96388,18.403657,12.0,4429303.0,2810731.0
PF10/0015/C336,LE,39.809569,18.321276,52.0,4411905.25,2804330.58
PF61/0015/C336,LE,39.807191,18.324005,12.0,4411650.0,2804574.0
PF55/0019/C336,LE,39.801079,18.330624,10.0,4410992.42,2805166.06
PF56/0019/C336,LE,39.7974,18.332663,52.0,4410590.514,2805355.927
PF65/0022/C336,LE,39.797889,18.362306,12.0,4410739.906,2807892.457
PF66/0022/C336,LE,39.797227,18.364827,12.0,4410674.471,2808111.155
PF12/0024/C336,LE,39.793363,18.348535,52.0,4410193.12,2806731.98
PF58/0024/C336,LE,39.794709,18.342181,52.0,4410322.222,2806182.183
PF60/0024/C336,LE,39.796509,18.335126,12.0,4410499.5,2805570.5
PF61/0024/C336,LE,39.796231,18.339316,12.0,4410482.0,2805930.5
PF55/0025/C336,LE,39.793683,18.351485,12.0,4410238.13,2806983.28
PF55/0026/C336,LE,39.79611,18.356955,10.0,4410525.16,2807441.66
