identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF72/0022/A852,LI,43.250805,10.52245,21.0,4789806.974,1623616.466
PF73/0022/A852,LI,43.253807,10.521562,12.0,4790139.123,1623538.273
PF73/0027/A852,LI,43.241659,10.526216,10.0,4788796.89,1623940.72
PF76/0027/A852,LI,43.245925,10.524472,50.0,4789268.038,1623790.439
PF72/0039/A852,LI,43.237881,10.528153,70.0,4788380.15,1624105.65
PF76/0039/A852,LI,43.235583,10.527951,70.0,4788124.66,1624093.891
PF80/0039/A852,LI,43.231931,10.529742,70.0,4787721.678,1624246.737
PF81/0039/A852,LI,43.233633,10.528551,12.0,4787909.0,1624146.55
PF88/0019/B553,LI,42.748857,10.245773,12.0,4733692.8,1601982.5
PF89/0019/B553,LI,42.748658,10.238008,12.0,4733661.36,1601347.325
PF91/0031/B553,LI,42.747618,10.236474,12.0,4733544.0,1601223.5
PF73/0032/B553,LI,42.745989,10.119496,12.0,4733229.55,1591651.96
PF05/0042/B553,LI,42.731095,10.149878,12.0,4731608.97,1594161.1
PF06/0042/B553,LI,42.73311,10.138166,50.0,4731819.82,1593199.27
PF73/0042/B553,LI,42.73154,10.152642,12.0,4731661.46,1594386.73
PF74/0042/B553,LI,42.726751,10.15721,12.0,4731134.85,1594767.97
PF73/0044/B553,LI,42.737522,10.185021,50.0,4732362.51,1597028.123
PF75/0044/B553,LI,42.735668,10.179116,12.0,4732149.82,1596547.59
PF76/0044/B553,LI,42.735341,10.17561,12.0,4732109.54,1596261.11
PF84/0044/B553,LI,42.735776,10.181929,10.0,4732165.045,1596777.693
PF71/0046/B553,LI,42.7361,10.20467,12.0,4732227.275,1598638.722
PF78/0049/B553,LI,42.742851,10.235794,12.0,4733013.81,1601175.61
PF82/0049/B553,LI,42.740008,10.236593,12.0,4732699.09,1601245.62
PF84/0049/B553,LI,42.741881,10.238333,12.0,4732909.11,1601384.97
PF86/0049/B553,LI,42.744331,10.23478,12.0,4733176.94,1601090.2
PF73/0051/B553,LI,42.736115,10.234917,12.0,4732264.79,1601114.7
PF74/0051/B553,LI,42.73493,10.236037,12.0,4732134.48,1601208.35
PF75/0051/B553,LI,42.727264,10.237537,12.0,4731285.05,1601343.6
PF76/0051/B553,LI,42.729431,10.23826,12.0,4731526.508,1601399.25
PF77/0051/B553,LI,42.734279,10.239624,12.0,4732066.553,1601503.077
PF78/0051/B553,LI,42.731929,10.235824,12.0,4731801.005,1601195.805
PF74/0006/B669,LI,42.756429,10.294505,70.0,4734593.648,1605957.959
PF75/0006/B669,LI,42.755021,10.292453,70.0,4734434.712,1605792.49
PF77/0006/B669,LI,42.738659,10.270253,12.0,4732590.2,1604003.04
PF76/0007/B669,LI,42.758396,10.297544,50.0,4734815.837,1606203.289
PF75/0008/B669,LI,42.760686,10.302168,70.0,4735076.04,1606577.8
PF92/0008/B669,LI,42.759224,10.310437,70.0,4734924.083,1607256.945
PF72/0010/B669,LI,42.758108,10.312682,50.0,4734803.045,1607442.54
PF73/0010/B669,LI,42.758927,10.317675,70.0,4734900.407,1607849.72
PF75/0012/B669,LI,42.762077,10.327991,12.0,4735263.365,1608688.4
PF71/0013/B669,LI,42.764944,10.340616,50.0,4735598.066,1609716.359
PF72/0013/B669,LI,42.764381,10.343403,70.0,4735539.242,1609945.395
PF74/0014/B669,LI,42.761163,10.353717,70.0,4735195.322,1610795.007
PF75/0014/B669,LI,42.759709,10.35846,70.0,4735040.133,1611185.724
PF79/0014/B669,LI,42.757425,10.358661,70.0,4734786.703,1611206.245
PF81/0015/B669,LI,42.745707,10.361275,12.0,4733488.99,1611441.21
PF84/0015/B669,LI,42.744265,10.363253,70.0,4733331.471,1611605.681
PF86/0015/B669,LI,42.742191,10.366166,70.0,4733104.98,1611847.769
PF89/0015/B669,LI,42.749841,10.358348,70.0,4733944.158,1611194.222
PF91/0015/B669,LI,42.754916,10.358652,10.0,4734508.068,1611210.026
PF91/0017/B669,LI,42.757402,10.387094,50.0,4734822.054,1613533.05
PF86/0018/B669,LI,42.757984,10.390693,50.0,4734891.494,1613826.522
PF71/0019/B669,LI,42.75651,10.401713,12.0,4734742.81,1614731.02
PF72/0019/B669,LI,42.75486,10.40339,12.0,4734561.81,1614871.29
PF85/0019/B669,LI,42.754396,10.409211,12.0,4734518.21,1615348.47
PF88/0019/B669,LI,42.750632,10.407984,12.0,4734098.545,1615255.072
PF87/0021/B669,LI,42.7352,10.368683,12.0,4732331.97,1612066.39
PF89/0021/B669,LI,42.731852,10.367984,12.0,4731959.2,1612015.2
PF99/0021/B669,LI,42.7378,10.367276,12.0,4732618.841,1611946.58
PF75/0024/B669,LI,42.727951,10.375789,12.0,4731536.446,1612661.254
PF71/0026/B669,LI,42.743069,10.4137,70.0,4733266.534,1615736.911
PF79/0029/B669,LI,42.717283,10.37287,12.0,4730347.93,1612441.47
PF87/0029/B669,LI,42.721895,10.377326,12.0,4730866.0,1612798.0
PF88/0029/B669,LI,42.725863,10.373741,12.0,4731301.799,1612497.291
PF89/0029/B669,LI,42.723577,10.377564,10.0,4731053.13,1612814.5
PF72/0034/B669,LI,42.715517,10.399683,10.0,4730187.8,1614640.31
PF73/0035/B669,LI,42.708027,10.419561,12.0,4729383.22,1616282.07
PF71/0036/B669,LI,42.721456,10.430099,12.0,4730889.09,1617119.8
PF72/0036/B669,LI,42.718403,10.434083,12.0,4730555.5,1617451.8
PF71/0004/B685,LI,43.047631,9.844941,70.0,4766465.277,1568844.596
PF73/0004/B685,LI,43.044875,9.846363,70.0,4766160.396,1568963.504
PF74/0004/B685,LI,43.051043,9.844406,70.0,4766843.767,1568797.183
PF80/0004/B685,LI,43.051531,9.836315,52.0,4766891.305,1568137.742
PF82/0004/B685,LI,43.049298,9.834939,12.0,4766642.263,1568028.129
PF79/0010/C044,LI,43.215281,10.533061,12.0,4785877.569,1624550.158
PF81/0010/C044,LI,43.200181,10.535654,12.0,4784204.413,1624791.535
PF60/0025/C044,LI,43.187851,10.543296,12.0,4782846.55,1625437.7
PF61/0025/C044,LI,43.189875,10.541262,12.0,4783068.299,1625268.272
PF62/0025/C044,LI,43.187232,10.540668,12.0,4782773.858,1625225.383
