identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF03/0001/A004,LO,45.334511,9.596156,10.0,5020303.9,1546740.5
PF07/0001/A004,LO,45.327011,9.597178,10.0,5019471.2,1546826.8
PF03/0002/A004,LO,45.317541,9.575048,10.0,5018406.6,1545100.0
PF08/0002/A004,LO,45.315159,9.576329,10.0,5018142.7,1545202.3
PF09/0002/A004,LO,45.312526,9.575392,10.0,5017849.6,1545131.0
PF10/0002/A004,LO,45.313637,9.579651,10.0,5017975.4,1545463.9
PF11/0002/A004,LO,45.313727,9.582214,52.0,5017986.893,1545664.722
PF12/0002/A004,LO,45.31537,9.592347,52.0,5018175.159,1546457.678
PF14/0002/A004,LO,45.312744,9.592821,52.0,5017883.784,1546496.969
PF15/0002/A004,LO,45.319943,9.580407,52.0,5018676.456,1545518.168
PF16/0002/A004,LO,45.316824,9.583455,52.0,5018331.633,1545759.515
PF17/0002/A004,LO,45.313811,9.584067,10.0,5017997.315,1545809.952
PF03/0003/A004,LO,45.326459,9.59829,10.0,5019410.6,1546914.4
PF04/0003/A004,LO,45.325812,9.603496,52.0,5019341.731,1547322.883
PF07/0003/A004,LO,45.321633,9.598872,52.0,5018874.765,1546964.001
PF10/0003/A004,LO,45.315465,9.593478,10.0,5018186.4,1546546.3
PF12/0003/A004,LO,45.315206,9.597793,52.0,5018160.095,1546884.683
PF13/0003/A004,LO,45.314781,9.603823,52.0,5018116.403,1547357.715
PF98/0003/A004,LO,45.322383,9.615259,12.0,5018967.722,1548247.667
PF06/0004/A004,LO,45.312708,9.591039,52.0,5017878.705,1546357.379
PF10/0004/A004,LO,45.309401,9.576099,52.0,5017502.802,1545188.871
PF13/0004/A004,LO,45.311408,9.580919,52.0,5017728.477,1545565.128
PF18/0004/A004,LO,45.307073,9.579845,10.0,5017246.3,1545484.4
PF23/0004/A004,LO,45.308641,9.589411,12.0,5017426.0,1546233.0
PF01/0005/A004,LO,45.312557,9.593235,52.0,5017863.245,1546529.573
PF02/0005/A004,LO,45.310204,9.59879,12.0,5017605.0,1546967.0
PF08/0005/A004,LO,45.311898,9.595662,7.0,5017791.38,1546720.38
PF17/0005/A004,LO,45.310345,9.593921,52.0,5017617.877,1546585.151
PF05/0006/A004,LO,45.304936,9.582788,10.0,5017010.6,1545716.8
PF06/0006/A004,LO,45.302579,9.578597,52.0,5016746.382,1545390.122
PF09/0006/A004,LO,45.301194,9.580951,52.0,5016593.821,1545575.817
PF10/0006/A004,LO,45.301965,9.589293,52.0,5016684.19,1546229.166
PF02/0007/A004,LO,45.309265,9.59547,52.0,5017498.781,1546707.514
PF03/0007/A004,LO,45.307484,9.597346,12.0,5017302.0,1546856.0
PF09/0008/A004,LO,45.311889,9.606953,10.0,5017797.0,1547605.5
PF10/0008/A004,LO,45.310909,9.604465,52.0,5017686.622,1547411.248
PF11/0008/A004,LO,45.30821,9.606589,12.0,5017388.0,1547580.0
PF07/0001/A811,LO,45.259933,9.6472,21.0,5012049.468,1550806.659
PF03/0002/A811,LO,45.263844,9.661716,21.0,5012493.197,1551942.013
PF03/0007/A811,LO,45.249073,9.651908,12.0,5010846.0,1551185.8
PF06/0007/A811,LO,45.249076,9.654857,21.0,5010848.183,1551417.224
PF02/0010/A811,LO,45.24365,9.660877,20.0,5010249.247,1551894.582
PF03/0012/A811,LO,45.249342,9.687446,20.0,5010899.018,1553974.379
PF04/0013/A811,LO,45.249572,9.690768,21.0,5010926.797,1554234.851
PF02/0015/A811,LO,45.23341,9.653296,20.0,5009106.808,1551308.827
PF04/0016/A811,LO,45.239226,9.663204,52.0,5009759.282,1552081.272
PF05/0016/A811,LO,45.236938,9.666203,52.0,5009506.994,1552318.688
PF08/0016/A811,LO,45.231635,9.665012,52.0,5008917.124,1552230.07
PF12/0016/A811,LO,45.23164,9.668287,12.0,5008919.749,1552487.182
PF13/0016/A811,LO,45.233798,9.665008,20.0,5009157.426,1552227.817
PF04/0017/A811,LO,45.241358,9.675363,21.0,5010004.041,1553033.604
PF01/0018/A811,LO,45.236658,9.670241,52.0,5009478.485,1552635.946
PF10/0018/A811,LO,45.234554,9.667118,52.0,5009242.769,1552392.763
PF18/0018/A811,LO,45.233501,9.669019,21.0,5009127.035,1552542.936
PF03/0019/A811,LO,45.231223,9.671478,20.0,5008875.57,1552738.064
PF03/0020/A811,LO,45.234823,9.68406,21.0,5009283.803,1553722.347
PF06/0021/A811,LO,45.241488,9.694992,21.0,5010031.571,1554574.064
PF10/0023/A811,LO,45.232703,9.650218,21.0,5009026.313,1551067.85
PF05/0024/A811,LO,45.229935,9.651469,20.0,5008719.601,1551168.534
PF03/0025/A811,LO,45.230797,9.664863,21.0,5008823.943,1552219.184
PF01/0001/A919,LO,45.369682,9.467665,52.0,5024144.77,1536649.698
PF02/0001/A919,LO,45.375623,9.467931,52.0,5024804.997,1536666.729
PF03/0001/A919,LO,45.374217,9.471639,10.0,5024650.5,1536958.0
PF01/0002/A919,LO,45.366987,9.484091,52.0,5023853.008,1537937.778
PF04/0002/A919,LO,45.367138,9.485529,4.0,5023870.505,1538050.302
PF05/0002/A919,LO,45.365762,9.477546,12.0,5023713.8,1537426.1
PF06/0002/A919,LO,45.366111,9.48268,12.0,5023754.992,1537827.91
PF02/0003/A919,LO,45.372047,9.48539,52.0,5024415.734,1538036.124
PF03/0003/A919,LO,45.367957,9.490972,4.0,5023964.0,1538476.0
PF11/0003/A919,LO,45.363601,9.49488,12.0,5023482.0,1538785.0
PF01/0004/A919,LO,45.362619,9.495879,52.0,5023373.391,1538863.934
PF02/0004/A919,LO,45.366058,9.508334,52.0,5023761.516,1539836.941
PF04/0004/A919,LO,45.366732,9.504985,4.0,5023834.769,1539574.243
PF03/0005/A919,LO,45.356025,9.476509,52.0,5022631.633,1537351.283
PF02/0006/A919,LO,45.356528,9.485525,52.0,5022691.671,1538057.087
PF04/0006/A919,LO,45.35493,9.492641,52.0,5022517.576,1538615.549
PF05/0006/A919,LO,45.359767,9.487314,52.0,5023052.391,1538195.1
PF06/0006/A919,LO,45.354133,9.482574,52.0,5022424.232,1537827.599
PF07/0006/A919,LO,45.35409,9.487087,52.0,5022421.64,1538181.058
PF08/0006/A919,LO,45.354641,9.486482,12.0,5022482.577,1538133.309
PF02/0007/A919,LO,45.362674,9.493729,52.0,5023378.419,1538695.503
PF07/0007/A919,LO,45.36115,9.496221,52.0,5023210.325,1538891.701
PF11/0007/A919,LO,45.359891,9.495118,52.0,5023069.907,1538806.211
PF12/0007/A919,LO,45.3593,9.492528,52.0,5023003.02,1538603.769
PF13/0007/A919,LO,45.359314,9.495221,52.0,5023005.9,1538814.665
PF16/0007/A919,LO,45.358558,9.496939,52.0,5022922.704,1538949.721
PF20/0007/A919,LO,45.357669,9.492923,52.0,5022821.963,1538635.802
PF21/0007/A919,LO,45.357345,9.49477,52.0,5022786.84,1538780.677
PF23/0007/A919,LO,45.356917,9.496708,52.0,5022740.234,1538932.755
PF25/0007/A919,LO,45.358284,9.494642,52.0,5022891.167,1538770.047
PF26/0007/A919,LO,45.357791,9.495901,12.0,5022837.0,1538869.0
PF27/0007/A919,LO,45.360997,9.493465,12.0,5023192.0,1538676.0
PF01/0008/A919,LO,45.357708,9.497032,52.0,5022828.325,1538957.626
PF04/0008/A919,LO,45.347366,9.496297,52.0,5021679.045,1538907.127
PF05/0008/A919,LO,45.354673,9.496088,12.0,5022490.707,1538885.776
PF06/0008/A919,LO,45.352254,9.493204,12.0,5022220.582,1538661.46
PF07/0008/A919,LO,45.346559,9.493391,12.0,5021588.0,1538680.0
PF09/0008/A919,LO,45.348758,9.4989,12.0,5021834.925,1539110.099
PF14/0008/A919,LO,45.358253,9.502404,12.0,5022891.5,1539378.0
