identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A341,LT,41.657582,12.626902,50.0,-29511.096,14574.768
PF03/0001/A341,LT,41.667036,12.630463,50.0,-28460.529,14869.201
PF04/0001/A341,LT,41.662943,12.624444,50.0,-28916.154,14368.896
PF99/0001/A341,LT,41.669407,12.62856,50.0,-28197.635,14710.155
PF02/0002/A341,LT,41.669072,12.632306,50.0,-28234.18,15022.143
PF03/0002/A341,LT,41.655569,12.635302,12.0,-29733.2,15274.8
PF04/0002/A341,LT,41.661029,12.635314,50.0,-29126.838,15274.546
PF05/0002/A341,LT,41.666575,12.633811,50.0,-28511.19,15148.072
PF07/0002/A341,LT,41.658225,12.635331,50.0,-29438.182,15276.598
PF08/0002/A341,LT,41.661041,12.632054,50.0,-29126.067,15003.062
PF09/0002/A341,LT,41.658227,12.630673,50.0,-29438.85,14888.709
PF10/0002/A341,LT,41.656003,12.635299,50.0,-29684.976,15274.472
PF11/0002/A341,LT,41.663477,12.635314,12.0,-28855.0,15274.0
PF12/0002/A341,LT,41.663979,12.631113,12.0,-28800.0,14924.0
PF13/0002/A341,LT,41.656013,12.62887,12.0,-29685.0,14739.0
PF14/0002/A341,LT,41.66859,12.636403,50.0,-28286.94,15363.402
PF01/0003/A341,LT,41.66572,12.638991,6.0,-28605.24,15579.61
PF02/0003/A341,LT,41.660554,12.640197,50.0,-29178.67,15681.343
PF03/0003/A341,LT,41.656545,12.643152,50.0,-29623.345,15928.381
PF04/0003/A341,LT,41.657988,12.639097,50.0,-29463.814,15590.296
PF05/0003/A341,LT,41.659258,12.646653,50.0,-29321.438,16219.269
PF06/0003/A341,LT,41.658741,12.645716,30.0,-29379.058,16141.389
PF07/0003/A341,LT,41.662888,12.639804,50.0,-28919.521,15648.003
PF09/0003/A341,LT,41.665924,12.647222,40.0,-28580.992,16264.967
PF11/0003/A341,LT,41.692872,12.63954,12.0,-25589.784,15618.817
PF12/0003/A341,LT,41.666862,12.642112,12.0,-28477.842,15839.24
PF01/0004/A341,LT,41.653669,12.621025,30.0,-29946.65,14086.145
PF03/0004/A341,LT,41.651696,12.617461,50.0,-30166.332,13789.718
PF04/0004/A341,LT,41.650637,12.60144,50.0,-30286.335,12455.543
PF05/0004/A341,LT,41.648656,12.604034,12.0,-30506.0,12672.0
PF06/0004/A341,LT,41.653147,12.608876,50.0,-30006.5,13074.4
PF07/0004/A341,LT,41.658499,12.621476,50.0,-29410.154,14122.681
PF08/0004/A341,LT,41.65036,12.615359,10.0,-30315.0,13615.0
PF02/0005/A341,LT,41.643659,12.61768,50.0,-31058.826,13809.7
PF04/0005/A341,LT,41.640273,12.618446,50.0,-31434.698,13874.21
PF07/0005/A341,LT,41.641942,12.614716,50.0,-31249.916,13563.175
PF08/0005/A341,LT,41.644409,12.61448,12.0,-30976.0,13543.0
PF09/0005/A341,LT,41.643956,12.603819,12.0,-31028.0,12655.0
PF10/0005/A341,LT,41.640851,12.609237,12.0,-31372.0,13107.0
PF11/0005/A341,LT,41.647091,12.615471,12.0,-30678.0,13625.0
PF01/0006/A341,LT,41.646044,12.623075,50.0,-30793.068,14258.575
PF02/0006/A341,LT,41.646401,12.625407,50.0,-30753.018,14452.764
PF03/0006/A341,LT,41.644113,12.623634,50.0,-31007.478,14305.588
PF05/0006/A341,LT,41.650083,12.622561,50.0,-30344.553,14214.876
PF06/0006/A341,LT,41.652428,12.627478,50.0,-30083.327,14623.883
PF09/0006/A341,LT,41.645652,12.628116,50.0,-30835.754,14678.613
PF10/0006/A341,LT,41.651532,12.62466,30.0,-30183.393,14389.364
PF12/0006/A341,LT,41.641972,12.624313,50.0,-31245.039,14362.629
PF13/0006/A341,LT,41.654372,12.633301,50.0,-29866.437,15108.426
PF14/0006/A341,LT,41.651401,12.636796,50.0,-30195.843,15400.278
PF15/0006/A341,LT,41.654237,12.625337,50.0,-29882.836,14445.212
PF16/0006/A341,LT,41.642427,12.630826,50.0,-31193.428,14905.093
PF17/0006/A341,LT,41.647499,12.638613,50.0,-30628.768,15552.557
PF18/0006/A341,LT,41.655331,12.623945,50.0,-29761.544,14329.036
PF19/0006/A341,LT,41.649443,12.625391,50.0,-30415.263,14450.781
PF20/0006/A341,LT,41.645216,12.623501,50.0,-30884.958,14294.285
PF21/0006/A341,LT,41.640274,12.621888,4.0,-31434.0,14161.0
PF22/0006/A341,LT,41.635514,12.625705,12.0,-31962.0,14480.0
PF01/0007/A341,LT,41.656212,12.652969,50.0,-29658.465,16746.117
PF02/0007/A341,LT,41.653997,12.65319,50.0,-29904.408,16765.032
PF03/0007/A341,LT,41.655161,12.650145,50.0,-29775.701,16511.159
PF04/0007/A341,LT,41.64757,12.647894,50.0,-30619.178,16325.61
PF05/0007/A341,LT,41.647607,12.644662,50.0,-30615.722,16056.326
PF06/0007/A341,LT,41.655887,12.649357,50.0,-29695.265,16445.309
PF07/0007/A341,LT,41.658883,12.652606,50.0,-29361.93,16715.186
PF08/0007/A341,LT,41.658085,12.649772,50.0,-29451.132,16479.332
PF09/0007/A341,LT,41.65028,12.649231,50.0,-30317.955,16436.224
PF11/0007/A341,LT,41.65398,12.653621,50.0,-29906.293,16800.942
PF12/0007/A341,LT,41.650061,12.645373,50.0,-30343.0,16115.0
PF01/0008/A341,LT,41.639043,12.654352,40.0,-31564.941,16865.745
PF02/0008/A341,LT,41.647727,12.655904,50.0,-30600.229,16992.711
PF03/0008/A341,LT,41.640175,12.651685,50.0,-31439.676,16643.256
PF04/0008/A341,LT,41.646498,12.650874,50.0,-30737.662,16574.057
PF06/0008/A341,LT,41.645765,12.643006,50.0,-30820.598,15918.913
PF09/0008/A341,LT,41.643189,12.648179,40.0,-31105.654,16350.405
PF10/0008/A341,LT,41.641724,12.648832,8.0,-31268.21,16405.18
PF11/0008/A341,LT,41.645247,12.649115,40.0,-30876.942,16427.867
PF12/0008/A341,LT,41.641695,12.651123,50.0,-31270.974,16596.073
PF14/0008/A341,LT,41.646383,12.658176,50.0,-30749.003,17182.349
PF15/0008/A341,LT,41.644316,12.655708,50.0,-30979.094,16977.318
PF16/0008/A341,LT,41.643548,12.652158,50.0,-31065.015,16681.781
PF20/0008/A341,LT,41.641708,12.654518,40.0,-31268.94,16878.911
PF22/0008/A341,LT,41.644078,12.652176,40.0,-31006.217,16683.125
PF23/0008/A341,LT,41.642796,12.644643,12.0,-31150.0,16056.0
PF24/0008/A341,LT,41.645329,12.645824,12.0,-30868.5,16153.7
PF01/0009/A341,LT,41.637958,12.652318,8.0,-31685.75,16696.54
PF02/0009/A341,LT,41.642141,12.644251,50.0,-31222.783,16023.455
PF03/0009/A341,LT,41.63908,12.641482,50.0,-31563.225,15793.588
PF04/0009/A341,LT,41.63946,12.645171,50.0,-31520.388,16100.804
PF05/0009/A341,LT,41.637627,12.650694,40.0,-31722.833,16561.401
PF06/0009/A341,LT,41.636664,12.645915,50.0,-31830.68,16163.492
PF01/0010/A341,LT,41.640282,12.596935,7.0,-31436.96,12082.23
PF02/0010/A341,LT,41.640281,12.597028,50.0,-31437.0,12090.0
PF03/0010/A341,LT,41.641542,12.602942,50.0,-31296.176,12582.448
PF04/0010/A341,LT,41.639588,12.606596,50.0,-31512.633,12887.185
PF05/0010/A341,LT,41.641802,12.606081,50.0,-31266.846,12843.855
PF01/0011/A341,LT,41.635921,12.586012,50.0,-31922.761,11173.092
PF02/0011/A341,LT,41.635797,12.590838,50.0,-31935.872,11575.148
PF03/0011/A341,LT,41.633624,12.588371,50.0,-32177.569,11370.003
PF04/0011/A341,LT,41.633531,12.584628,50.0,-32188.305,11058.186
PF05/0011/A341,LT,41.641652,12.590822,12.0,-31285.662,11572.805
PF06/0011/A341,LT,41.638578,12.592373,50.0,-31626.843,11702.515
PF08/0011/A341,LT,41.636017,12.59381,50.0,-31910.992,11822.714
PF09/0011/A341,LT,41.633225,12.592642,50.0,-32221.294,11725.914
PF10/0011/A341,LT,41.637468,12.581829,50.0,-31751.42,10824.351
PF11/0011/A341,LT,41.635113,12.590683,50.0,-32011.825,11562.338
PF16/0011/A341,LT,41.638507,12.587748,50.0,-31635.3,11317.222
PF02/0012/A341,LT,41.635152,12.598645,50.0,-32006.39,12225.722
PF04/0012/A341,LT,41.637655,12.602382,50.0,-31727.928,12536.528
PF05/0012/A341,LT,41.636661,12.608978,50.0,-31837.288,13086.206
PF14/0012/A341,LT,41.635046,12.606699,50.0,-32017.035,12896.683
PF15/0012/A341,LT,41.633422,12.603751,50.0,-32197.803,12651.439
PF20/0012/A341,LT,41.633159,12.597608,50.0,-32227.95,12139.668
PF21/0012/A341,LT,41.628765,12.599282,50.0,-32715.597,12279.979
PF22/0012/A341,LT,41.630554,12.601838,50.0,-32516.598,12492.596
PF23/0012/A341,LT,41.631292,12.599034,50.0,-32435.022,12258.799
PF24/0012/A341,LT,41.633283,12.608322,50.0,-32212.538,13032.262
PF34/0012/A341,LT,41.633359,12.608233,50.0,-32204.192,13024.834
PF35/0012/A341,LT,41.634814,12.611995,10.0,-32042.0,13338.0
PF01/0013/A341,LT,41.637006,12.613329,8.0,-31798.39,13448.66
PF02/0013/A341,LT,41.633983,12.623597,40.0,-32132.419,14304.775
PF03/0013/A341,LT,41.632835,12.619838,50.0,-32260.468,13991.821
PF05/0013/A341,LT,41.636681,12.613551,50.0,-31834.398,13467.193
PF06/0013/A341,LT,41.638984,12.614096,50.0,-31578.598,13512.128
PF07/0013/A341,LT,41.640338,12.618566,50.0,-31427.524,13884.238
PF08/0013/A341,LT,41.634814,12.611995,10.0,-32042.0,13338.0
PF01/0014/A341,LT,41.62419,12.613978,50.0,-33221.466,13505.398
PF02/0014/A341,LT,41.628294,12.622453,40.0,-32764.344,14210.653
PF03/0014/A341,LT,41.627667,12.615281,50.0,-32835.126,13613.241
PF04/0014/A341,LT,41.629345,12.610565,50.0,-32649.527,13219.944
PF05/0014/A341,LT,41.628896,12.62127,50.0,-32697.768,14111.948
PF07/0014/A341,LT,41.633338,12.615505,50.0,-32205.365,13630.682
PF08/0014/A341,LT,41.627002,12.607311,50.0,-32910.211,12949.337
PF09/0014/A341,LT,41.625358,12.612174,50.0,-33092.068,13354.861
PF10/0014/A341,LT,41.625726,12.612111,50.0,-33051.27,13349.528
PF11/0014/A341,LT,41.629459,12.625633,40.0,-32634.531,14475.4
PF12/0014/A341,LT,41.626134,12.618491,50.0,-33004.952,13881.039
PF14/0014/A341,LT,41.633312,12.615633,50.0,-32208.245,13641.371
PF15/0014/A341,LT,41.631207,12.624298,40.0,-32440.583,14363.769
PF01/0015/A341,LT,41.634128,12.638137,8.0,-32113.75,15516.06
PF02/0015/A341,LT,41.633043,12.635308,50.0,-32234.773,15280.628
PF03/0015/A341,LT,41.634016,12.638232,50.0,-32126.264,15524.001
PF04/0015/A341,LT,41.634614,12.641081,50.0,-32059.276,15761.268
PF05/0015/A341,LT,41.631692,12.639171,50.0,-32384.144,15602.829
PF06/0015/A341,LT,41.631939,12.631418,50.0,-32358.118,14956.854
PF08/0015/A341,LT,41.63081,12.635426,50.0,-32482.715,15291.023
PF09/0015/A341,LT,41.632092,12.627198,20.0,-32341.818,14605.157
PF10/0015/A341,LT,41.626531,12.629683,50.0,-32958.975,14813.538
PF11/0015/A341,LT,41.631331,12.62871,40.0,-32426.041,14731.333
PF12/0015/A341,LT,41.629948,12.632579,12.0,-32579.0,15054.0
PF01/0016/A341,LT,41.622806,12.650207,8.0,-33368.93,16524.54
PF02/0016/A341,LT,41.623995,12.65341,50.0,-33236.242,16791.176
PF03/0016/A341,LT,41.625152,12.650627,50.0,-33108.266,16558.969
PF04/0016/A341,LT,41.626916,12.652434,50.0,-32912.037,16709.083
PF05/0016/A341,LT,41.628298,12.649607,50.0,-32759.105,16473.154
PF06/0016/A341,LT,41.622724,12.650285,50.0,-33377.963,16531.111
PF07/0016/A341,LT,41.62977,12.653531,50.0,-32594.836,16799.767
PF08/0016/A341,LT,41.632593,12.651462,40.0,-32281.776,16626.612
PF09/0016/A341,LT,41.629824,12.647653,12.0,-32590.0,16310.0
PF10/0016/A341,LT,41.622361,12.650043,50.0,-33418.329,16511.063
PF11/0016/A341,LT,41.632392,12.646917,12.0,-32305.0,16248.0
PF12/0016/A341,LT,41.631894,12.642822,12.0,-32361.0,15907.0
PF01/0017/A341,LT,41.630853,12.578467,8.0,-32486.51,10545.32
PF02/0017/A341,LT,41.627028,12.578617,50.0,-32911.269,10558.456
PF03/0017/A341,LT,41.632828,12.579225,50.0,-32267.14,10608.099
PF04/0017/A341,LT,41.632501,12.582553,50.0,-32303.006,10885.46
