identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A241,LU,44.262458,9.750984,52.0,58315.625,-52028.263
PF03/0001/A241,LU,44.263625,9.754495,52.0,58447.798,-51749.212
PF08/0001/A241,LU,44.266112,9.753053,70.0,58722.976,-51866.799
PF09/0001/A241,LU,44.262209,9.756773,52.0,58292.237,-51565.859
PF12/0001/A241,LU,44.258257,9.75667,21.0,57853.129,-51570.097
PF13/0001/A241,LU,44.262955,9.759655,21.0,58377.246,-51336.575
PF15/0001/A241,LU,44.264173,9.757392,21.0,58510.888,-51518.501
PF03/0002/A241,LU,44.262384,9.773286,52.0,58323.955,-50247.995
PF04/0002/A241,LU,44.260009,9.771883,54.0,58059.065,-50357.49
PF07/0002/A241,LU,44.261065,9.769232,54.0,58174.446,-50570.23
PF10/0002/A241,LU,44.26409,9.763307,52.0,58506.033,-51046.272
PF11/0002/A241,LU,44.257597,9.764458,70.0,57785.667,-50947.709
PF13/0002/A241,LU,44.256399,9.771925,70.0,57658.126,-50350.39
PF14/0002/A241,LU,44.257515,9.767409,54.0,57778.744,-50712.03
PF16/0002/A241,LU,44.2634,9.770628,50.0,58434.836,-50461.22
PF18/0002/A241,LU,44.261173,9.764722,21.0,58182.991,-50930.32
PF19/0002/A241,LU,44.258975,9.761763,21.0,57936.661,-51164.248
PF20/0002/A241,LU,44.257438,9.779199,21.0,57779.06,-49770.791
PF21/0002/A241,LU,44.263599,9.766748,21.0,58454.013,-50771.094
PF04/0003/A241,LU,44.256928,9.752819,54.0,57702.746,-51876.165
PF06/0003/A241,LU,44.254162,9.74901,70.0,57392.741,-52177.364
PF10/0003/A241,LU,44.260114,9.748516,52.0,58053.44,-52222.856
PF15/0003/A241,LU,44.256497,9.749161,54.0,57652.241,-52167.692
PF18/0003/A241,LU,44.250626,9.753207,52.0,57003.072,-51838.777
PF20/0003/A241,LU,44.25463,9.763252,54.0,57455.158,-51040.938
PF21/0003/A241,LU,44.253481,9.751785,52.0,57319.098,-51955.153
PF22/0003/A241,LU,44.25469,9.760029,52.0,57459.398,-51298.275
PF23/0003/A241,LU,44.260442,9.752957,21.0,58093.14,-51868.707
PF24/0003/A241,LU,44.251885,9.748515,21.0,57139.446,-52214.648
PF26/0003/A241,LU,44.253967,9.74207,21.0,57365.992,-52731.275
PF27/0003/A241,LU,44.254489,9.756255,21.0,57434.325,-51599.333
PF28/0003/A241,LU,44.251632,9.756569,21.0,57117.195,-51571.393
PF01/0004/A241,LU,44.243643,9.730659,52.0,56211.092,-53632.008
PF02/0004/A241,LU,44.241273,9.731307,52.0,55948.364,-53577.967
PF05/0004/A241,LU,44.241731,9.736503,52.0,56002.96,-53163.5
PF09/0004/A241,LU,44.242953,9.734271,52.0,56137.085,-53342.922
PF12/0004/A241,LU,44.246739,9.731041,54.0,56555.303,-53604.612
PF13/0004/A241,LU,44.238762,9.73969,52.0,55675.385,-52906.067
PF14/0004/A241,LU,44.247551,9.739665,52.0,56651.689,-52916.803
PF15/0004/A241,LU,44.249495,9.732998,21.0,56862.817,-53451.048
PF16/0004/A241,LU,44.237794,9.736869,21.0,55565.92,-53130.327
PF17/0004/A241,LU,44.239921,9.733991,21.0,55800.13,-53362.256
PF02/0005/A241,LU,44.239884,9.751163,52.0,55808.412,-51990.987
PF03/0005/A241,LU,44.242605,9.742922,52.0,56104.56,-52651.818
PF04/0005/A241,LU,44.240526,9.741224,52.0,55872.433,-52785.35
PF05/0005/A241,LU,44.240332,9.744843,52.0,55853.584,-52496.125
PF06/0005/A241,LU,44.238184,9.745756,52.0,55615.555,-52421.043
PF08/0005/A241,LU,44.249478,9.743255,52.0,56868.237,-52632.112
PF12/0005/A241,LU,44.244112,9.750196,52.0,56277.332,-52072.536
PF13/0005/A241,LU,44.247006,9.742202,52.0,56592.898,-52713.735
PF14/0005/A241,LU,44.242612,9.747955,52.0,56108.998,-52249.981
PF16/0005/A241,LU,44.249264,9.749177,21.0,56848.765,-52159.098
PF03/0006/A241,LU,44.242422,9.753376,52.0,56091.847,-51816.86
PF09/0006/A241,LU,44.244036,9.756523,70.0,56273.494,-51567.232
PF10/0006/A241,LU,44.240699,9.755919,21.0,55902.42,-51612.049
PF11/0006/A241,LU,44.246525,9.753609,21.0,56547.839,-51802.434
PF12/0006/A241,LU,44.238797,9.753861,21.0,55689.557,-51774.455
PF04/0007/A241,LU,44.254973,9.766722,54.0,57495.824,-50764.262
PF06/0007/A241,LU,44.243055,9.764994,52.0,56170.734,-50889.864
PF07/0007/A241,LU,44.244514,9.772898,52.0,56338.75,-50260.283
PF08/0007/A241,LU,44.242427,9.76935,52.0,56104.247,-50541.423
PF12/0007/A241,LU,44.252426,9.768604,21.0,57214.371,-50611.34
PF01/0008/A241,LU,44.248844,9.772772,54.0,56819.618,-50274.871
PF02/0008/A241,LU,44.256324,9.775968,52.0,57652.833,-50027.499
PF04/0008/A241,LU,44.252875,9.776063,70.0,57269.775,-50016.312
