identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A329,MC,44.861962,11.964374,52.0,36689.746,16698.7
PF02/0001/A329,MC,44.860437,11.965163,52.0,36520.409,16761.511
PF03/0001/A329,MC,44.863812,11.967336,52.0,36895.885,16932.251
PF05/0001/A329,MC,44.857625,11.958432,52.0,36206.597,16230.321
PF06/0001/A329,MC,44.863788,11.960785,12.0,36891.866,16414.536
PF01/0002/A329,MC,44.857337,11.975865,52.0,36178.295,17608.219
PF02/0002/A329,MC,44.861094,11.971938,52.0,36594.914,17296.691
PF03/0002/A329,MC,44.854599,11.975756,52.0,35873.97,17600.456
PF04/0002/A329,MC,44.858132,11.970352,52.0,36265.465,17172.259
PF05/0002/A329,MC,44.860486,11.978982,52.0,36528.88,17853.531
PF01/0003/A329,MC,44.857275,11.988356,52.0,36174.165,18595.436
PF02/0003/A329,MC,44.856371,11.992411,54.0,36074.673,18916.203
PF03/0003/A329,MC,44.85276,11.979719,52.0,35670.527,17914.17
PF04/0003/A329,MC,44.855805,11.981705,52.0,36009.343,18070.258
PF05/0003/A329,MC,44.858313,11.979769,52.0,36287.586,17916.423
PF02/0004/A329,MC,44.850761,11.950185,52.0,35442.328,15580.408
PF04/0004/A329,MC,44.849903,11.962213,52.0,35349.313,16531.376
PF05/0004/A329,MC,44.845084,11.961005,52.0,34813.682,16437.277
PF06/0004/A329,MC,44.849499,11.94532,52.0,35301.157,15196.236
PF01/0005/A329,MC,44.855552,11.966308,52.0,35977.915,16853.422
PF03/0005/A329,MC,44.850859,11.967816,52.0,35456.759,16973.978
PF04/0005/A329,MC,44.852882,11.974343,52.0,35682.859,17489.291
PF05/0005/A329,MC,44.852093,11.969865,12.0,35594.294,17135.566
PF01/0006/A329,MC,44.841844,11.949503,52.0,34451.344,15528.907
PF03/0006/A329,MC,44.84594,11.947801,52.0,34906.154,15393.229
PF90/0006/A329,MC,44.846733,11.941372,8.0,34993.12,14884.89
PF01/0007/A329,MC,44.846611,11.964046,52.0,34983.882,16677.203
PF02/0007/A329,MC,44.838985,11.961791,52.0,34136.062,16501.133
PF01/0008/A329,MC,44.84563,11.97697,52.0,34877.645,17699.082
PF02/0008/A329,MC,44.841916,11.977862,52.0,34465.125,17770.737
PF04/0008/A329,MC,44.842007,11.974677,52.0,34474.628,17518.94
PF05/0008/A329,MC,44.848324,11.972387,12.0,35176.0,17336.0
PF90/0008/A329,MC,44.844878,11.969872,8.0,34792.62,17138.28
PF01/0009/A329,MC,44.84806,11.982886,52.0,35148.93,18166.015
PF05/0009/A329,MC,44.842942,11.981731,52.0,34580.035,18076.296
PF06/0009/A329,MC,44.844862,11.988361,10.0,34794.915,18599.804
PF08/0009/A329,MC,44.849392,11.978261,12.0,35296.0,17800.0
PF01/0010/A329,MC,44.849014,12.000445,52.0,35259.102,19553.595
PF02/0010/A329,MC,44.851699,11.995474,52.0,35556.211,19159.818
PF03/0010/A329,MC,44.847819,11.993959,52.0,35124.751,19041.349
PF04/0010/A329,MC,44.846024,11.99669,10.0,34925.945,19257.809
PF90/0010/A329,MC,44.854298,11.992584,8.0,35844.31,18930.53
PF01/0011/A329,MC,44.831654,11.964522,52.0,33322.115,16719.198
PF03/0011/A329,MC,44.834512,11.961845,52.0,33639.044,16506.686
PF04/0011/A329,MC,44.834492,11.957311,12.0,33636.0,16148.2
PF02/0012/A329,MC,44.837707,11.981065,52.0,33998.172,18025.257
PF03/0012/A329,MC,44.83565,11.981935,52.0,33769.867,18094.679
PF04/0012/A329,MC,44.834703,11.966457,52.0,33661.253,16871.253
PF01/0013/A329,MC,44.834021,11.985074,52.0,33589.464,18343.404
PF02/0013/A329,MC,44.832422,11.992618,10.0,33413.593,18940.382
PF03/0013/A329,MC,44.83739,11.983829,52.0,33963.634,18243.933
PF01/0014/A329,MC,44.843605,11.997682,52.0,34657.327,19337.038
PF02/0014/A329,MC,44.834191,12.002935,52.0,33612.599,19755.528
PF03/0014/A329,MC,44.835531,11.996627,10.0,33760.011,19256.355
PF01/0015/A329,MC,44.843416,12.002773,52.0,34637.634,19739.521
PF02/0015/A329,MC,44.844612,12.009175,12.0,34772.082,20245.252
PF03/0015/A329,MC,44.847184,12.015764,52.0,35059.494,20765.148
PF01/0016/A329,MC,44.840747,12.004185,52.0,34341.338,19852.095
PF01/0017/A329,MC,44.832379,11.979551,52.0,33405.789,17907.222
PF02/0018/A329,MC,44.8256,11.996037,52.0,32656.294,19212.967
PF03/0018/A329,MC,44.828087,11.99198,52.0,32931.713,18891.388
PF04/0018/A329,MC,44.830008,11.985031,52.0,33143.604,18341.289
PF05/0018/A329,MC,44.826817,11.999785,52.0,32792.478,19508.926
PF06/0018/A329,MC,44.824802,11.999129,52.0,32568.367,19457.768
PF07/0018/A329,MC,44.825551,12.003892,52.0,32652.811,19834.117
PF08/0018/A329,MC,44.827475,11.995039,52.0,32864.432,19133.407
PF09/0018/A329,MC,44.826821,11.989417,52.0,32790.469,18689.139
PF02/0019/A329,MC,44.832812,12.014532,52.0,33462.294,20672.914
PF04/0019/A329,MC,44.834897,12.010013,52.0,33692.796,20314.85
PF05/0019/A329,MC,44.830844,12.003548,52.0,33240.869,19805.127
PF06/0019/A329,MC,44.828473,12.005074,52.0,32977.753,19926.568
PF01/0020/A329,MC,44.830925,12.011964,54.0,33251.869,20470.545
PF01/0022/A329,MC,44.823056,11.953345,54.0,32364.489,15837.753
PF01/0023/A329,MC,44.828208,11.961472,52.0,32938.515,16478.957
PF90/0023/A329,MC,44.822958,11.963332,8.0,32355.53,16627.55
PF01/0024/A329,MC,44.819491,11.972623,52.0,31972.223,17363.315
PF02/0024/A329,MC,44.818038,11.968864,12.0,31810.0,17066.5
PF02/0025/A329,MC,44.826214,11.981483,52.0,32721.278,18061.94
PF04/0025/A329,MC,44.822503,11.993357,52.0,32311.584,19002.092
PF05/0025/A329,MC,44.824449,11.990459,52.0,32527.187,18772.309
PF07/0025/A329,MC,44.821729,11.986288,52.0,32223.945,18443.281
PF08/0025/A329,MC,44.82498,11.986803,12.0,32585.268,18483.028
PF90/0026/A329,MC,44.82308,12.001629,3.0,32377.62,19656.01
PF02/0027/A329,MC,44.824152,12.007237,9.0,32498.1,20099.1
PF03/0027/A329,MC,44.824004,12.004358,52.0,32480.957,19871.553
PF04/0027/A329,MC,44.822093,12.002899,9.0,32268.33,19756.77
PF05/0027/A329,MC,44.822419,12.008732,54.0,32305.997,20217.963
PF06/0027/A329,MC,44.821663,12.002696,9.0,32220.48,19740.9
PF07/0027/A329,MC,44.819619,12.011975,9.0,31995.62,20475.38
PF08/0027/A329,MC,44.817807,12.004374,9.0,31792.37,19874.91
PF09/0027/A329,MC,44.826513,12.008719,52.0,32760.879,20215.493
PF10/0027/A329,MC,44.819532,12.006578,54.0,31984.626,20048.637
PF11/0027/A329,MC,44.824163,12.010456,56.0,32500.179,20353.706
