identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A177,ME,38.038346,14.68544,8.0,30413.86,-26382.55
PF02/0001/A177,ME,38.040972,14.686767,12.0,30705.0,-26265.1
PF03/0001/A177,ME,38.040722,14.689526,10.0,30676.5,-26023.0
PF04/0001/A177,ME,38.037202,14.68708,10.0,30286.5,-26239.0
PF05/0001/A177,ME,38.032297,14.687379,10.0,29741.995,-26214.481
PF06/0001/A177,ME,38.032322,14.690278,10.0,29744.0,-25960.0
PF07/0001/A177,ME,38.03045,14.686987,52.0,29537.173,-26249.529
PF01/0002/A177,ME,38.033432,14.690889,52.0,29867.013,-25905.986
PF02/0002/A177,ME,38.035998,14.690075,10.0,30152.0,-25976.5
PF01/0003/A177,ME,38.023763,14.698615,52.0,28791.719,-25231.091
PF02/0003/A177,ME,38.024377,14.694953,52.0,28860.91,-25552.39
PF03/0003/A177,ME,38.026755,14.692506,52.0,29125.525,-25766.364
PF04/0003/A177,ME,38.02687,14.684239,52.0,29140.529,-26492.098
PF05/0003/A177,ME,38.027486,14.688787,52.0,29207.689,-26092.624
PF06/0003/A177,ME,38.027768,14.695253,52.0,29237.153,-25524.838
PF07/0003/A177,ME,38.025895,14.69804,12.0,29028.571,-25280.815
PF08/0003/A177,ME,38.031503,14.691499,10.0,29652.732,-25853.092
PF09/0003/A177,ME,38.02414,14.697741,10.0,28833.81,-25307.71
PF10/0003/A177,ME,38.025338,14.69837,10.0,28966.66,-25252.06
PF01/0004/A177,ME,38.023524,14.701994,52.0,28764.343,-24934.503
PF02/0004/A177,ME,38.022423,14.703647,52.0,28641.664,-24789.776
PF03/0004/A177,ME,38.02278,14.706462,52.0,28680.577,-24542.531
PF04/0004/A177,ME,38.022154,14.709438,52.0,28610.287,-24281.388
PF05/0004/A177,ME,38.023489,14.712854,52.0,28757.581,-23981.102
PF06/0004/A177,ME,38.021262,14.712449,52.0,28510.544,-24017.346
PF07/0004/A177,ME,38.024032,14.700882,52.0,28820.992,-25031.937
PF08/0004/A177,ME,38.024381,14.71017,12.0,28857.26,-24216.4
PF09/0004/A177,ME,38.028737,14.6955,12.0,29344.593,-25502.854
