identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF00/0029/L682,MI,45.386461,9.346797,135.0,5025961.018,1527176.75
PF00/0032/L682,MI,45.328935,9.209885,207.0,5019533.125,1516475.19
PF00/0028/L682,MI,45.479701,9.068075,105.0,5036263.687,1505348.24
PF00/0011/D869,MI,45.178263,9.30091,145.0,5002816.922,1523670.7
PF00/0006/L682,MI,45.381508,9.170747,210.0,5025366.54,1513395.82
PF00/0013/F205,MI,45.610987,9.173159,87.0,5050861.915,1513529.79
PF00/0038/D869,MI,45.271426,9.291377,126.0,5013163.94,1522884.34
PF00/0035/F205,MI,45.27253,9.075279,209.0,5013248.164,1505932.71
PF00/0039/F704,MI,45.428472,9.398665,243.0,5030647.137,1531214.15
PF00/0037/D869,MI,45.1708,9.408534,132.0,5002024.852,1532131.09
PF00/0020/D869,MI,45.256159,9.424977,161.0,5011514.413,1533373.32
PF00/0024/D869,MI,45.58635,9.284057,208.0,5048149.291,1522186.7
PF00/0037/D869,MI,45.573156,9.081978,312.0,5046647.563,1506424.27
PF00/0037/D869,MI,45.249608,8.968526,195.0,5010699.419,1497557.75
PF00/0003/F704,MI,45.610684,8.959799,104.0,5050814.439,1496893.07
PF00/0006/F704,MI,45.655618,9.397331,145.0,5055882.513,1530984.98
PF00/0019/D869,MI,45.461665,9.321701,145.0,5034307.858,1525178.69
PF00/0009/F704,MI,45.191039,9.140769,119.0,5004201.882,1511085.62
PF00/0010/L682,MI,45.67807,9.090471,112.0,5058304.316,1507073.84
PF00/0018/L682,MI,45.491615,8.956598,196.0,5037586.075,1496636.28
PF00/0023/D869,MI,45.210908,9.027042,249.0,5006399.98,1502151.16
PF00/0039/F205,MI,45.425632,9.30346,157.0,5030299.132,1523767.66
PF00/0036/D869,MI,45.599065,9.079654,286.0,5049525.803,1506240.12
PF00/0006/L682,MI,45.268366,9.012643,262.0,5012782.903,1501019.43
PF00/0029/F704,MI,45.597414,9.105124,194.0,5049344.656,1508226.74
PF00/0035/F205,MI,45.626307,9.104041,141.0,5052554.615,1508138.17
PF00/0016/D869,MI,45.5882,9.400964,95.0,5048393.721,1531305.45
PF00/0024/F704,MI,45.31051,9.342217,109.0,5017521.72,1526853.99
PF00/0017/D869,MI,45.259808,9.310114,316.0,5011878.721,1524359.13
PF00/0031/L682,MI,45.311846,9.300782,75.0,5017657.106,1523605.39
PF00/0012/D869,MI,45.35686,9.098722,181.0,5022618.783,1507760.18
PF00/0025/F205,MI,45.379067,8.997723,81.0,5025081.269,1499849.37
PF00/0005/D869,MI,45.410458,9.273308,318.0,5028604.899,1521414.56
PF00/0006/F205,MI,45.51083,9.042003,180.0,5039720.748,1503308.72
PF00/0001/F704,MI,45.598711,9.36801,297.0,5049549.186,1528729.5
PF00/0021/F704,MI,45.366441,9.37656,251.0,5023747.374,1529517.11
PF00/0020/F205,MI,45.575231,8.954592,134.0,5046875.781,1496484.85
PF00/0030/F704,MI,45.206801,9.414077,317.0,5006026.54,1532546.2
PF00/0015/D869,MI,45.361361,8.931249,239.0,5023116.472,1494643.13
PF00/0003/D869,MI,45.334421,8.9677,231.0,5020121.735,1497496.69
PF00/0032/L682,MI,45.424909,9.36991,110.0,5030240.584,1528966.55
PF00/0023/L682,MI,45.464833,9.372529,171.0,5034677.026,1529150.85
PF00/0019/D869,MI,45.231868,9.041988,98.0,5008728.99,1503323.56
PF00/0019/F704,MI,45.24173,9.083981,161.0,5009827.094,1506618.81
PF00/0015/F205,MI,45.699695,8.942706,84.0,5060704.578,1495567.39
PF00/0016/F205,MI,45.653489,9.25139,94.0,5055600.019,1519615.06
