identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A038,MN,45.17733,10.418723,8.0,5003647.83,1611501.29
PF02/0001/A038,MN,45.182534,10.424017,52.0,5004233.34,1611907.016
PF03/0001/A038,MN,45.184053,10.423231,12.0,5004401.0,1611842.3
PF02/0002/A038,MN,45.178215,10.429417,52.0,5003761.02,1612339.791
PF03/0002/A038,MN,45.177327,10.433678,52.0,5003668.272,1612676.346
PF04/0002/A038,MN,45.178228,10.444025,52.0,5003782.876,1613487.522
PF05/0002/A038,MN,45.181085,10.428733,12.0,5004078.9,1612280.4
PF06/0002/A038,MN,45.180357,10.445447,12.0,5004021.3,1613595.0
PF07/0002/A038,MN,45.180651,10.433028,12.0,5004036.575,1612618.685
PF01/0003/A038,MN,45.17769,10.452506,12.0,5003735.0,1614155.0
PF16/0003/A038,MN,45.327534,10.581855,20.0,5020572.711,1623991.817
PF01/0004/A038,MN,45.174227,10.423733,12.0,5003310.0,1611901.0
PF02/0004/A038,MN,45.17292,10.426644,52.0,5003168.844,1612132.271
PF06/0004/A038,MN,45.171139,10.41896,4.0,5002960.44,1611531.969
PF07/0004/A038,MN,45.174048,10.41917,12.0,5003283.9,1611542.761
PF02/0005/A038,MN,45.173762,10.431163,52.0,5003268.713,1612485.74
PF03/0005/A038,MN,45.169721,10.436847,52.0,5002827.732,1612940.34
PF04/0005/A038,MN,45.171309,10.43165,52.0,5002996.877,1612528.817
PF05/0005/A038,MN,45.173389,10.440398,12.0,5003240.2,1613212.15
PF06/0005/A038,MN,45.173748,10.446916,52.0,5003289.179,1613723.598
PF08/0005/A038,MN,45.170607,10.44346,12.0,5002935.357,1613458.261
PF01/0006/A038,MN,45.171267,10.457842,8.0,5003029.02,1614587.11
PF02/0006/A038,MN,45.168033,10.4517,12.0,5002661.0,1614110.9
PF01/0008/A038,MN,45.167953,10.425896,52.0,5002616.07,1612083.228
