identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF02/0001/A713,MO,44.732659,10.996218,50.0,4955209.084,1658093.142
PF03/0001/A713,MO,44.732918,11.002186,50.0,4955249.53,1658564.97
PF05/0001/A713,MO,44.7304,10.995544,50.0,4954956.854,1658045.939
PF07/0001/A713,MO,44.730099,11.001506,72.0,4954935.038,1658518.875
PF08/0001/A713,MO,44.728949,10.98879,72.0,4954782.616,1657515.078
PF09/0001/A713,MO,44.728786,10.994037,50.0,4954774.625,1657931.002
PF10/0001/A713,MO,44.727964,11.000916,52.0,4954696.777,1658477.997
PF12/0001/A713,MO,44.72919,10.997855,12.0,4954826.908,1658232.195
PF01/0002/A713,MO,44.727406,11.00576,52.0,4954644.16,1658863.063
PF02/0002/A713,MO,44.728003,11.009448,72.0,4954717.739,1659153.524
PF03/0002/A713,MO,44.731383,11.010157,50.0,4955094.546,1659200.412
PF04/0002/A713,MO,44.796767,11.087222,21.0,4962511.399,1665116.345
PF05/0002/A713,MO,44.727271,11.016234,52.0,4954649.704,1659692.942
PF06/0002/A713,MO,44.72841,11.019153,12.0,4954781.941,1659920.927
PF07/0002/A713,MO,44.732424,11.021167,70.0,4955231.838,1660069.308
PF08/0002/A713,MO,44.7306,11.005262,12.0,4954997.969,1658814.943
PF09/0002/A713,MO,44.727297,11.013512,21.0,4954647.181,1659477.24
PF02/0003/A713,MO,44.726245,10.991233,50.0,4954486.927,1657715.834
PF05/0003/A713,MO,44.72767,10.984866,21.0,4954633.0,1657207.743
PF04/0004/A713,MO,44.726033,11.001053,21.0,4954482.434,1658494.062
PF09/0005/A713,MO,44.72256,11.016592,70.0,4954127.064,1659734.217
PF10/0005/A713,MO,44.721465,10.99965,52.0,4953972.28,1658395.432
PF12/0005/A713,MO,44.721213,11.012334,70.0,4953969.046,1659400.689
PF15/0005/A713,MO,44.719993,11.002478,21.0,4953814.334,1658623.486
PF17/0005/A713,MO,44.726127,11.007056,21.0,4954504.582,1658969.194
PF03/0006/A713,MO,44.719484,10.976722,72.0,4953707.925,1656584.945
PF04/0006/A713,MO,44.72022,10.973479,72.0,4953783.462,1656326.134
PF06/0006/A713,MO,44.722342,10.984968,21.0,4954041.337,1657230.259
PF02/0007/A713,MO,44.711286,10.994091,72.0,4952830.838,1657982.903
PF03/0007/A713,MO,44.716705,10.995708,52.0,4953435.903,1658096.2
PF04/0007/A713,MO,44.722825,10.988981,52.0,4954102.648,1657546.767
PF07/0007/A713,MO,44.719747,10.997205,20.0,4953776.669,1658206.471
PF03/0008/A713,MO,44.716728,11.008449,70.0,4953463.231,1659105.278
PF04/0008/A713,MO,44.714412,11.001554,50.0,4953192.6,1658565.501
PF05/0008/A713,MO,44.7183,11.013843,52.0,4953648.409,1659528.246
PF06/0008/A713,MO,44.715779,11.014672,70.0,4953370.01,1659600.764
PF07/0008/A713,MO,44.713493,11.005072,20.0,4953097.263,1658846.659
PF01/0009/A713,MO,44.718534,10.968785,50.0,4953587.136,1655958.839
PF02/0009/A713,MO,44.715908,10.972404,72.0,4953302.329,1656252.559
PF03/0009/A713,MO,44.713979,10.975184,72.0,4953093.436,1656477.972
PF05/0009/A713,MO,44.713353,10.982219,21.0,4953037.489,1657036.871
PF01/0010/A713,MO,44.71795,10.988349,50.0,4953559.927,1657509.955
PF03/0010/A713,MO,44.708829,10.99137,21.0,4952552.633,1657774.011
PF01/0011/A713,MO,44.711696,11.010866,52.0,4952909.018,1659310.578
PF02/0011/A713,MO,44.708662,11.000713,50.0,4952552.174,1658514.574
PF04/0011/A713,MO,44.711658,11.002418,21.0,4952888.247,1658641.454
PF01/0012/A713,MO,44.706641,10.992227,72.0,4952311.207,1657847.853
PF02/0012/A713,MO,44.706077,10.998611,50.0,4952260.97,1658355.153
PF04/0012/A713,MO,44.705369,11.00221,52.0,4952189.309,1658642.146
PF05/0012/A713,MO,44.703837,10.995378,21.0,4952005.872,1658105.101
PF02/0001/A959,MO,44.801846,11.104134,52.0,4963110.064,1666439.472
PF05/0001/A959,MO,44.800372,11.099393,20.0,4962936.67,1666068.668
