identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF07/0001/A496,MS,44.239738,10.016714,21.0,4899020.348,1581214.023
PF04/0002/A496,MS,44.234466,10.027194,21.0,4898445.16,1582058.216
PF02/0003/A496,MS,44.242024,10.039446,50.0,4899296.995,1583025.993
PF05/0003/A496,MS,44.247073,10.045367,70.0,4899863.814,1583491.658
PF08/0003/A496,MS,44.24314,10.044159,70.0,4899425.663,1583400.755
PF11/0003/A496,MS,44.238847,10.04106,21.0,4898945.708,1583159.319
PF11/0004/A496,MS,44.245619,10.057039,21.0,4899714.193,1584425.64
PF05/0005/A496,MS,44.230814,10.003383,50.0,4898016.02,1580161.579
PF14/0005/A496,MS,44.234844,9.997117,21.0,4898457.581,1579655.729
PF05/0006/A496,MS,44.230299,10.020032,50.0,4897975.181,1581491.974
PF12/0006/A496,MS,44.231642,10.011628,21.0,4898116.073,1580818.965
PF07/0007/A496,MS,44.228416,10.028727,20.0,4897774.685,1582189.06
PF08/0007/A496,MS,44.231296,10.025238,20.0,4898091.102,1581906.403
PF07/0008/A496,MS,44.232153,10.050115,21.0,4898211.363,1583891.913
PF02/0009/A496,MS,44.230906,10.054031,70.0,4898076.865,1584206.47
PF03/0009/A496,MS,44.229075,10.055928,70.0,4897875.405,1584360.593
PF04/0009/A496,MS,44.228788,10.051254,70.0,4897838.782,1583987.709
PF05/0009/A496,MS,44.226981,10.054001,70.0,4897640.858,1584209.661
PF12/0009/A496,MS,44.234081,10.060272,50.0,4898435.893,1584700.364
PF14/0009/A496,MS,44.235179,10.050501,20.0,4898547.872,1583918.442
PF07/0010/A496,MS,44.222798,9.983816,21.0,4897106.666,1578609.535
PF03/0011/A496,MS,44.232467,9.999011,50.0,4898195.392,1579810.235
PF09/0011/A496,MS,44.225837,9.996155,70.0,4897456.183,1579591.079
PF12/0011/A496,MS,44.222522,9.996607,20.0,4897088.42,1579631.608
PF03/0012/A496,MS,44.226785,10.000649,50.0,4897565.754,1579948.675
PF05/0012/A496,MS,44.227588,9.997778,50.0,4897652.186,1579718.283
PF08/0012/A496,MS,44.224626,9.998656,70.0,4897324.114,1579792.442
PF13/0012/A496,MS,44.229376,10.006392,21.0,4897859.245,1580403.877
PF03/0013/A496,MS,44.223892,10.014027,50.0,4897257.57,1581021.127
PF04/0013/A496,MS,44.221572,10.016608,70.0,4897002.368,1581230.478
PF09/0013/A496,MS,44.221257,10.012256,21.0,4896963.174,1580883.336
PF01/0014/A496,MS,44.228161,10.023364,50.0,4897740.962,1581761.023
PF04/0014/A496,MS,44.223009,10.023263,50.0,4897168.588,1581760.138
