identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0002/A017,MT,40.970393,16.545383,8.0,37430.13,-7402.13
PF03/0002/A017,MT,40.963455,16.54983,12.0,36659.341,-7028.667
PF04/0002/A017,MT,40.961402,16.548036,12.0,36431.585,-7179.868
PF05/0002/A017,MT,40.958644,16.547813,12.0,36125.37,-7198.935
PF06/0002/A017,MT,40.958008,16.573562,12.0,36052.898,-5031.514
PF09/0002/A017,MT,40.957762,16.990782,20.0,36085.362,30089.43
PF01/0004/A017,MT,40.940197,16.552195,7.0,34076.58,-6831.92
PF03/0004/A017,MT,40.949795,16.542416,7.0,35143.19,-7654.22
PF04/0004/A017,MT,40.951418,16.569094,50.0,35321.382,-5408.118
PF06/0004/A017,MT,40.951164,16.572212,50.0,35293.028,-5145.618
PF07/0004/A017,MT,40.953804,16.572716,50.0,35586.148,-5103.027
PF08/0004/A017,MT,40.956156,16.576427,12.0,35847.102,-4790.454
PF09/0004/A017,MT,40.956154,16.573579,50.0,35847.042,-5030.176
PF10/0004/A017,MT,40.954116,16.560125,50.0,35621.637,-6162.971
PF11/0004/A017,MT,40.956156,16.561337,50.0,35848.033,-6060.699
PF12/0004/A017,MT,40.937322,16.577198,50.0,33755.755,-4726.852
PF13/0004/A017,MT,40.94906,16.569932,12.0,35059.524,-5337.747
PF01/0005/A017,MT,40.938748,16.581679,50.0,33913.813,-4349.511
PF02/0005/A017,MT,40.938367,16.587847,50.0,33871.248,-3830.131
PF03/0005/A017,MT,40.936168,16.588145,50.0,33627.025,-3805.18
PF01/0006/A017,MT,40.926842,16.569954,8.0,32592.39,-5337.71
PF02/0006/A017,MT,40.914122,16.582004,8.0,31179.28,-4323.68
PF01/0007/A017,MT,40.934239,16.590427,8.0,33412.8,-3613.11
PF02/0007/A017,MT,40.925792,16.610115,8.0,32474.14,-1955.46
PF03/0007/A017,MT,40.923897,16.60702,70.0,32263.766,-2216.197
PF04/0007/A017,MT,40.92502,16.612306,50.0,32388.444,-1770.99
PF05/0007/A017,MT,40.926,16.615389,52.0,32497.113,-1511.266
PF06/0007/A017,MT,40.92931,16.620754,52.0,32864.623,-1059.376
PF07/0007/A017,MT,40.934733,16.59055,50.0,33467.546,-3602.766
PF08/0007/A017,MT,40.935483,16.592977,50.0,33550.736,-3398.323
PF09/0007/A017,MT,40.932257,16.598055,50.0,33192.386,-2970.875
PF10/0007/A017,MT,40.930182,16.605384,50.0,32961.733,-2353.706
PF11/0007/A017,MT,40.927765,16.590411,70.0,32693.899,-3614.789
PF12/0007/A017,MT,40.925281,16.603822,12.0,32417.572,-2485.445
PF01/0008/A017,MT,40.920599,16.593702,70.0,31897.987,-3337.99
PF02/0008/A017,MT,40.922104,16.59457,70.0,32065.133,-3264.834
PF03/0008/A017,MT,40.921118,16.58755,70.0,31955.96,-3856.176
PF04/0008/A017,MT,40.921032,16.590463,70.0,31946.275,-3610.821
PF05/0008/A017,MT,40.925962,16.592621,70.0,32493.627,-3428.778
PF01/0009/A017,MT,40.919598,16.598966,70.0,31786.685,-2894.691
PF02/0009/A017,MT,40.923956,16.606937,50.0,32270.342,-2223.178
PF03/0009/A017,MT,40.921575,16.60131,50.0,32006.187,-2697.21
