identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A024,NA,40.840399,15.060297,815.0,2.0,14903.957
PF02/0001/A024,NA,40.840403,15.057825,832.0,2.0,14695.491
PF07/0001/A024,NA,40.840402,15.058447,765.0,2.0,14747.915
PF09/0001/A024,NA,40.840394,15.063916,712.0,2.0,15209.098
PF12/0001/A024,NA,40.970125,14.975154,20.0,14395.73,7708.968
PF13/0001/A024,NA,40.972053,14.971363,20.0,14609.513,7389.685
PF01/0002/A024,NA,40.84041,15.053473,871.0,2.0,14328.5
PF07/0002/A024,NA,40.840394,15.063657,880.0,2.0,15187.304
PF08/0002/A024,NA,40.840403,15.058146,102.0,2.0,14722.5
PF11/0002/A024,NA,40.840394,15.063922,950.0,2.0,15209.6
PF13/0002/A024,NA,40.840398,15.061227,981.0,2.0,14982.35
PF14/0002/A024,NA,40.8404,15.060055,944.0,2.0,14883.539
PF15/0002/A024,NA,40.840405,15.05635,911.0,2.0,14571.08
PF16/0002/A024,NA,40.8404,15.059657,848.0,2.0,14849.942
PF17/0002/A024,NA,40.972166,14.98704,20.0,14623.506,8709.001
PF01/0003/A024,NA,40.840397,15.061599,114.0,2.0,15013.681
PF06/0003/A024,NA,40.840392,15.064804,114.0,2.0,15284.012
PF07/0003/A024,NA,40.8404,15.059713,110.0,2.0,14854.653
PF08/0003/A024,NA,40.840395,15.062841,106.0,2.0,15118.452
PF13/0003/A024,NA,40.840401,15.058966,115.0,2.0,14791.704
PF29/0003/A024,NA,40.977428,15.016444,20.0,15211.101,11182.79
PF30/0003/A024,NA,40.97411,15.011088,20.0,14842.066,10732.614
PF01/0004/A024,NA,40.840405,15.056313,127.0,2.0,14568.0
PF06/0004/A024,NA,40.840402,15.058752,128.0,2.0,14773.674
PF08/0004/A024,NA,40.8404,15.060014,140.0,2.0,14880.081
PF09/0004/A024,NA,40.840401,15.059469,132.0,2.0,14834.126
PF11/0004/A024,NA,40.8404,15.059944,120.0,2.0,14874.112
PF13/0004/A024,NA,40.840398,15.060859,124.0,2.0,14951.3
PF14/0004/A024,NA,40.840392,15.06471,120.0,2.0,15276.1
PF15/0004/A024,NA,40.972101,15.042333,12.0,14623.31,13362.51
PF16/0004/A024,NA,40.969783,15.035897,20.0,14364.881,12821.334
PF01/0005/A024,NA,40.840409,15.054147,846.0,2.0,14385.316
PF02/0005/A024,NA,40.840419,15.047111,850.0,2.0,13792.0
PF07/0005/A024,NA,40.840423,15.044034,809.0,2.0,13532.496
PF10/0005/A024,NA,40.840417,15.04817,879.0,2.0,13881.3
PF11/0005/A024,NA,40.967599,14.981691,12.0,14115.85,8259.45
PF13/0005/A024,NA,40.840415,15.049817,923.0,2.0,14020.13
PF14/0005/A024,NA,40.964636,14.97856,20.0,13786.577,7996.293
PF03/0006/A024,NA,40.840423,15.043918,836.0,2.0,13522.731
PF05/0006/A024,NA,40.840424,15.043402,889.0,2.0,13479.183
PF09/0006/A024,NA,40.958546,14.983677,20.0,13110.744,8427.734
PF03/0007/A024,NA,40.840413,15.051256,973.0,2.0,14141.478
PF06/0007/A024,NA,40.840428,15.04077,935.0,2.0,13257.222
PF07/0007/A024,NA,40.840428,15.040789,958.0,2.0,13258.895
PF08/0007/A024,NA,40.840421,15.045421,959.0,2.0,13649.438
PF09/0007/A024,NA,40.840421,15.045591,990.0,2.0,13663.832
PF10/0007/A024,NA,40.963914,14.991285,20.0,13707.638,9067.457
PF11/0007/A024,NA,40.960464,15.000874,21.0,13325.543,9875.058
PF01/0008/A024,NA,40.840409,15.053559,107.0,2.0,14335.699
PF06/0008/A024,NA,40.840421,15.045229,103.0,2.0,13633.268
