identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A088,NO,45.10274,7.766827,52.0,1122.978,1006.689
PF02/0001/A088,NO,45.102249,7.771445,52.0,1062.966,1369.196
PF03/0001/A088,NO,45.101171,7.766384,52.0,949.247,969.21
PF04/0001/A088,NO,45.103251,7.774879,52.0,1170.103,1641.047
PF05/0001/A088,NO,45.105783,7.774389,52.0,1452.034,1606.746
PF02/0002/A088,NO,45.098754,7.785458,52.0,657.958,2465.844
PF03/0002/A088,NO,45.09886,7.77696,52.0,679.88,1797.377
PF04/0002/A088,NO,45.101118,7.77828,52.0,929.157,1905.041
PF02/0003/A088,NO,45.09149,7.785572,52.0,-149.134,2462.693
PF03/0003/A088,NO,45.092626,7.783084,52.0,-19.974,2268.827
PF05/0003/A088,NO,45.098567,7.781769,52.0,641.54,2175.293
PF06/0003/A088,NO,45.095962,7.783098,52.0,350.652,2275.452
PF07/0003/A088,NO,45.096201,7.786381,52.0,373.287,2534.241
PF08/0003/A088,NO,45.090803,7.79033,52.0,-231.083,2835.947
PF09/0003/A088,NO,45.08963,7.785139,52.0,-355.199,2425.497
PF10/0003/A088,NO,45.094731,7.789757,52.0,205.99,2797.436
PF02/0004/A088,NO,45.098388,7.774791,52.0,629.959,1625.902
PF03/0004/A088,NO,45.091205,7.776265,52.0,-169.72,1729.872
PF04/0004/A088,NO,45.094419,7.775302,52.0,188.493,1659.489
PF05/0004/A088,NO,45.09156,7.780123,52.0,-134.854,2033.997
PF02/0005/A088,NO,45.095547,7.767955,52.0,322.517,1083.242
PF04/0005/A088,NO,45.099133,7.771144,52.0,717.154,1340.231
PF05/0005/A088,NO,45.09369,7.770725,52.0,112.948,1298.077
PF07/0005/A088,NO,45.093435,7.768021,52.0,87.848,1084.878
PF08/0005/A088,NO,45.097416,7.768812,52.0,529.142,1153.839
PF01/0006/A088,NO,45.099264,7.768065,52.0,735.337,1098.174
PF03/0006/A088,NO,45.096885,7.76296,52.0,477.259,692.466
PF07/0006/A088,NO,45.090028,7.765208,52.0,-287.205,857.754
PF10/0006/A088,NO,45.095595,7.763044,52.0,333.788,696.894
PF11/0006/A088,NO,45.098524,7.764697,52.0,657.251,831.917
PF12/0006/A088,NO,45.091808,7.764924,52.0,-89.192,838.421
PF13/0006/A088,NO,45.096898,7.765893,52.0,475.176,923.28
PF01/0007/A088,NO,45.100441,7.754612,52.0,882.366,41.756
PF03/0007/A088,NO,45.097901,7.756123,52.0,598.346,156.309
PF04/0007/A088,NO,45.098032,7.759214,52.0,609.197,399.692
PF05/0007/A088,NO,45.095663,7.755319,52.0,350.663,89.195
PF07/0007/A088,NO,45.094076,7.760365,52.0,168.267,483.519
PF08/0007/A088,NO,45.09322,7.755926,52.0,78.556,132.754
PF11/0007/A088,NO,45.092522,7.761875,52.0,-6.151,599.724
PF12/0007/A088,NO,45.099779,7.763133,52.0,798.466,711.053
PF13/0007/A088,NO,45.09565,7.758306,52.0,345.604,324.192
PF14/0007/A088,NO,45.094742,7.764741,12.0,237.0,829.0
PF01/0008/A088,NO,45.092495,7.754254,8.0,0.0,0.0
PF02/0008/A088,NO,45.094145,7.753926,52.0,183.727,-22.989
PF01/0009/A088,NO,45.098504,7.751934,52.0,670.445,-172.27
PF02/0009/A088,NO,45.092624,7.752282,52.0,16.755,-154.994
PF03/0009/A088,NO,45.100339,7.748604,52.0,878.321,-431.172
PF06/0009/A088,NO,45.098968,7.746061,12.0,729.074,-633.603
PF07/0009/A088,NO,45.093264,7.747261,10.0,94.0,-549.0
PF08/0009/A088,NO,45.097357,7.748438,12.0,547.24,-449.32
PF09/0009/A088,NO,45.096247,7.751833,52.0,419.768,-184.109
PF03/0010/A088,NO,45.088813,7.744236,10.0,-396.8,-794.7
PF05/0010/A088,NO,45.088838,7.751802,52.0,-403.244,-199.218
PF07/0010/A088,NO,45.08492,7.747002,10.0,-832.7,-583.7
PF08/0010/A088,NO,45.084309,7.748889,10.0,-902.8,-436.3
PF09/0010/A088,NO,45.091192,7.753907,52.0,-144.282,-29.537
PF12/0010/A088,NO,45.085895,7.750736,52.0,-728.87,-288.168
PF13/0010/A088,NO,45.090029,7.749315,52.0,-267.915,-392.925
PF14/0010/A088,NO,45.088574,7.748702,12.0,-428.788,-443.644
PF02/0011/A088,NO,45.091872,7.759879,52.0,-75.968,441.503
PF03/0011/A088,NO,45.090455,7.763259,52.0,-237.52,705.106
PF04/0011/A088,NO,45.089074,7.764946,52.0,-392.874,835.485
PF05/0011/A088,NO,45.088043,7.753608,62.0,-493.735,-58.479
PF06/0011/A088,NO,45.088641,7.757304,52.0,-431.771,233.405
PF07/0011/A088,NO,45.087625,7.760734,52.0,-548.816,501.562
PF10/0011/A088,NO,45.085647,7.762755,52.0,-771.028,657.234
PF11/0011/A088,NO,45.087,7.764685,52.0,-622.982,811.421
PF01/0012/A088,NO,45.090794,7.768612,52.0,-206.246,1126.894
PF02/0012/A088,NO,45.089177,7.766808,52.0,-383.706,982.204
PF03/0012/A088,NO,45.087106,7.768449,52.0,-615.795,1107.875
PF06/0012/A088,NO,45.083267,7.767115,52.0,-1040.668,996.336
PF08/0012/A088,NO,45.081923,7.770121,52.0,-1193.541,1230.679
PF09/0012/A088,NO,45.082361,7.765085,52.0,-1138.827,835.074
PF10/0012/A088,NO,45.080398,7.763724,52.0,-1355.227,724.616
PF11/0012/A088,NO,45.085763,7.767686,52.0,-764.059,1045.515
PF01/0013/A088,NO,45.084646,7.771779,52.0,-893.04,1365.753
PF03/0013/A088,NO,45.087956,7.772026,52.0,-525.652,1390.753
PF04/0013/A088,NO,45.085557,7.7749,52.0,-795.547,1612.885
PF05/0013/A088,NO,45.083332,7.775483,12.0,-1043.446,1655.029
PF02/0014/A088,NO,45.085372,7.777192,52.0,-818.819,1792.957
PF03/0014/A088,NO,45.087734,7.776794,52.0,-555.984,1765.647
PF04/0014/A088,NO,45.0803,7.777047,52.0,-1382.052,1773.063
PF05/0014/A088,NO,45.08362,7.783395,52.0,-1020.802,2278.193
PF01/0015/A088,NO,45.088318,7.788217,52.0,-504.571,2665.575
PF03/0015/A088,NO,45.089718,7.79396,52.0,-355.84,3119.847
PF05/0015/A088,NO,45.080873,7.79001,52.0,-1333.843,2794.31
PF06/0015/A088,NO,45.086525,7.784325,52.0,-699.183,2356.235
PF07/0015/A088,NO,45.082943,7.790325,52.0,-1104.176,2822.473
