identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A355,NU,39.137732,9.646448,8.0,-6788.92,43980.18
PF02/0001/A355,NU,39.14044,9.642543,52.0,-6490.249,43640.978
PF03/0001/A355,NU,39.137582,9.646632,12.0,-6805.426,43996.262
PF04/0001/A355,NU,39.139034,9.649839,8.0,-6642.75,44272.503
PF04/0002/A355,NU,39.135065,9.65895,52.0,-7078.829,45062.649
PF07/0002/A355,NU,39.137379,9.654032,12.0,-6824.377,44636.023
PF09/0002/A355,NU,39.136003,9.652491,12.0,-6977.9,44503.7
PF10/0002/A355,NU,39.131462,9.653034,12.0,-7481.69,44553.55
PF11/0002/A355,NU,39.130693,9.660023,12.0,-7563.588,45158.256
PF12/0002/A355,NU,39.131542,9.65018,12.0,-7474.247,44306.693
PF13/0002/A355,NU,39.133846,9.652684,12.0,-7217.284,44521.788
PF14/0002/A355,NU,39.135033,9.647728,12.0,-7087.899,44092.592
PF01/0003/A355,NU,39.138804,9.677426,52.0,-6654.472,46657.425
PF03/0003/A355,NU,39.136708,9.672067,52.0,-6889.908,46195.563
PF09/0003/A355,NU,39.128459,9.67253,52.0,-7805.298,46240.977
PF10/0003/A355,NU,39.130569,9.67105,52.0,-7571.904,46111.646
PF11/0003/A355,NU,39.130259,9.666912,52.0,-7608.319,45754.087
PF13/0003/A355,NU,39.133535,9.662303,12.0,-7247.0,45353.5
PF14/0003/A355,NU,39.135843,9.660932,12.0,-6991.5,45233.5
PF15/0003/A355,NU,39.13644,9.664331,12.0,-6923.5,45527.0
PF17/0003/A355,NU,39.136697,9.66637,52.0,-6893.941,45703.116
PF21/0003/A355,NU,39.129136,9.676339,52.0,-7728.235,46569.854
PF23/0003/A355,NU,39.138846,9.669328,52.0,-6653.975,45957.374
PF24/0003/A355,NU,39.133389,9.67603,52.0,-7256.223,46540.358
PF25/0003/A355,NU,39.130079,9.674226,12.0,-7624.667,46386.542
PF26/0003/A355,NU,39.135381,9.675146,52.0,-7035.632,46462.608
PF28/0003/A355,NU,39.137742,9.674942,12.0,-6773.657,46443.448
PF29/0003/A355,NU,39.134616,9.679642,4.0,-7118.191,46851.785
PF31/0003/A355,NU,39.136219,9.6686,10.0,-6945.9,45896.19
PF32/0003/A355,NU,39.137846,9.669085,12.0,-6765.0,45937.04
PF33/0003/A355,NU,39.13393,9.668932,12.0,-7199.876,45926.333
PF34/0003/A355,NU,39.131405,9.674417,12.0,-7477.29,46402.231
PF35/0003/A355,NU,39.13046,9.677845,12.0,-7580.45,46699.15
PF36/0003/A355,NU,39.13305,9.669956,12.0,-7296.951,46015.412
PF03/0004/A355,NU,39.138736,9.698402,52.0,-6650.974,48470.752
PF04/0004/A355,NU,39.139591,9.692818,52.0,-6559.041,47987.442
PF07/0004/A355,NU,39.132201,9.692046,52.0,-7379.853,47925.791
PF11/0004/A355,NU,39.140577,9.700767,52.0,-6445.335,48673.917
PF12/0004/A355,NU,39.130265,9.678915,52.0,-7601.611,46791.83
PF13/0004/A355,NU,39.129904,9.684797,52.0,-7638.614,47300.566
PF17/0004/A355,NU,39.946561,9.686616,12.0,4422058.68,1558686.78
PF18/0004/A355,NU,39.1376,9.69701,12.0,-6777.86,48351.21
PF19/0004/A355,NU,39.139939,9.700965,12.0,-6516.108,48691.52
PF20/0004/A355,NU,39.143305,9.697346,12.0,-6144.435,48376.326
PF21/0004/A355,NU,39.140934,9.694998,12.0,-6408.855,48175.033
PF22/0004/A355,NU,39.129608,9.682397,12.0,-7672.716,47093.278
PF23/0004/A355,NU,39.13581,9.689992,12.0,-6980.278,47745.779
PF25/0004/A355,NU,39.133096,9.687383,12.0,-7282.9,47522.05
PF26/0004/A355,NU,39.945307,9.683132,12.0,4421917.176,1558390.192
PF27/0004/A355,NU,39.130963,9.688098,12.0,-7519.366,47585.251
PF28/0004/A355,NU,39.128021,9.683229,12.0,-7848.4,47166.25
PF29/0004/A355,NU,39.144738,9.694939,12.0,-5986.571,48167.296
PF30/0004/A355,NU,39.12859,9.687616,12.0,-7783.035,47545.193
PF03/0005/A355,NU,39.134037,9.695996,52.0,-7173.899,48265.953
PF06/0005/A355,NU,39.128979,9.694917,52.0,-7735.985,48176.164
PF08/0005/A355,NU,39.130048,9.705147,12.0,-7611.784,49059.867
PF11/0005/A355,NU,39.1229,9.715005,52.0,-8399.971,49917.216
PF15/0005/A355,NU,39.925392,9.708087,52.0,4419723.41,1560539.64
PF16/0005/A355,NU,39.131321,9.707922,52.0,-7469.057,49298.927
PF18/0005/A355,NU,39.127736,9.703885,52.0,-7869.108,48952.39
PF21/0005/A355,NU,39.126463,9.719023,52.0,-8002.159,50262.052
PF22/0005/A355,NU,39.924303,9.704125,52.0,4419599.9,1560202.0
PF23/0005/A355,NU,39.131798,9.702442,52.0,-7419.041,48824.783
PF24/0005/A355,NU,39.130492,9.717424,52.0,-7555.827,50120.939
PF25/0005/A355,NU,39.129734,9.713513,52.0,-7642.171,49783.376
PF26/0005/A355,NU,39.130952,9.696592,52.0,-7516.002,48319.627
PF27/0005/A355,NU,39.129408,9.720681,52.0,-7674.355,50403.362
PF28/0005/A355,NU,39.12722,9.710929,52.0,-7922.595,49561.772
PF29/0005/A355,NU,39.132443,9.720429,52.0,-7337.632,50379.368
PF30/0005/A355,NU,39.129479,9.690859,12.0,-7682.601,47825.008
