identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A007,OR,39.368401,8.768415,52.0,19690.722,-31918.321
PF02/0001/A007,OR,39.367368,8.760376,12.0,19577.908,-32611.189
PF04/0002/A007,OR,39.361325,8.767984,52.0,18905.521,-31957.498
PF05/0002/A007,OR,39.359288,8.761529,12.0,18680.971,-32514.184
PF06/0002/A007,OR,39.362014,8.76156,12.0,18983.402,-32510.7
PF07/0002/A007,OR,39.35878,8.771948,12.0,18622.277,-31616.732
PF08/0002/A007,OR,39.359557,8.776317,12.0,18707.56,-31240.05
PF04/0003/A007,OR,39.357158,8.776655,12.0,18441.208,-31211.6
PF02/0004/A007,OR,39.347701,8.75367,52.0,17396.814,-33194.759
PF06/0004/A007,OR,39.354446,8.744015,52.0,18147.63,-34024.602
PF07/0004/A007,OR,39.340514,8.759042,52.0,16598.0,-32734.046
PF08/0004/A007,OR,39.335821,8.759557,10.0,16077.0,-32691.0
PF09/0004/A007,OR,39.334918,8.754066,52.0,15978.036,-33164.53
PF11/0004/A007,OR,39.35675,8.75693,12.0,18400.3,-32911.2
PF12/0004/A007,OR,39.358645,8.753113,12.0,18611.5,-33239.5
PF13/0004/A007,OR,39.360182,8.757547,12.0,18781.0,-32857.0
PF14/0004/A007,OR,39.351109,8.747484,12.0,17776.508,-33726.803
PF15/0004/A007,OR,39.351453,8.75127,12.0,17813.724,-33400.436
PF16/0004/A007,OR,39.354808,8.760084,12.0,18184.0,-32640.0
PF02/0005/A007,OR,39.356017,8.76283,52.0,18317.65,-32403.06
PF03/0005/A007,OR,39.358506,8.766601,52.0,18593.044,-32077.412
PF06/0005/A007,OR,39.350284,8.767664,52.0,17680.303,-31988.211
PF07/0005/A007,OR,39.346638,8.767609,12.0,17275.713,-31994.027
PF08/0005/A007,OR,39.355493,8.77185,12.0,18257.405,-31626.028
PF09/0005/A007,OR,39.34674,8.763141,12.0,17288.0,-32379.0
PF10/0005/A007,OR,39.353785,8.764008,20.0,18069.659,-32302.258
PF01/0006/A007,OR,39.346731,8.782791,4.0,17282.69,-30685.77
PF03/0006/A007,OR,39.355134,8.772412,52.0,18217.497,-31577.782
PF04/0006/A007,OR,39.349524,8.779844,12.0,17593.288,-30938.921
PF05/0006/A007,OR,39.352774,8.775629,12.0,17954.928,-31301.222
PF06/0006/A007,OR,39.34968,8.77463,12.0,17611.71,-31388.18
PF02/0007/A007,OR,39.351537,8.779983,52.0,17816.734,-30926.388
PF05/0007/A007,OR,39.351712,8.786126,52.0,17834.883,-30397.093
PF08/0007/A007,OR,39.349078,8.78792,12.0,17542.147,-30243.151
PF09/0007/A007,OR,39.352633,8.779754,12.0,17938.416,-30945.805
