identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF04/0002/A195,PA,38.175817,13.103084,20.0,4227021.624,2353843.198
PF04/0001/A229,PA,38.050197,13.552164,72.0,4212372.301,2392964.912
PF12/0001/A229,PA,38.046221,13.55789,52.0,4211923.21,2393460.5
PF14/0001/A229,PA,38.05088,13.549787,72.0,4212451.33,2392757.5
PF18/0001/A229,PA,38.04278,13.561947,12.0,4211535.95,2393810.58
PF04/0007/A229,PA,38.035726,13.572514,52.0,4210738.84,2394725.91
PF05/0007/A229,PA,38.036243,13.569949,52.0,4210799.73,2394501.66
PF07/0007/A229,PA,38.038142,13.5665,52.0,4211015.03,2394202.22
PF08/0007/A229,PA,38.03462,13.575798,52.0,4210611.73,2395012.25
PF10/0007/A229,PA,38.040368,13.56476,52.0,4211264.42,2394053.26
PF09/0009/A229,PA,38.033441,13.578188,52.0,4210477.67,2395219.95
PF13/0009/A229,PA,38.032805,13.580801,52.0,4210403.63,2395448.26
PF01/0014/A229,PA,38.02646,13.598949,3.0,4209675.41,2397030.44
PF04/0001/A546,PA,38.117446,13.510647,52.0,4219892.23,2389441.48
PF05/0001/A546,PA,38.10836,13.50585,52.0,4218890.68,2389004.75
PF09/0001/A546,PA,38.116083,13.513325,52.0,4219737.17,2389673.84
PF12/0001/A546,PA,38.119114,13.508265,12.0,4220080.64,2389235.7
PF13/0001/A546,PA,38.116574,13.508022,12.0,4219799.1,2389209.79
PF11/0009/A546,PA,38.099796,13.482394,52.0,4217973.77,2386932.61
PF02/0007/A592,PA,38.060326,13.023466,52.0,4214350.937,2346595.474
PF20/0008/A592,PA,38.056602,13.01675,52.0,4213950.17,2345997.41
PF24/0008/A592,PA,38.05877,13.02171,52.0,4214181.5,2346437.7
PF02/0009/A592,PA,38.055834,13.013798,52.0,4213870.5,2345736.56
PF18/0009/A592,PA,36.267407,15.282692,12.0,4013710.212,2545393.246
PF01/0011/A592,PA,38.039131,12.977921,52.0,4212084.79,2342548.11
PF19/0011/A592,PA,38.043671,12.987586,52.0,4212570.223,2343407.267
PF21/0011/A592,PA,38.045353,12.991994,52.0,4212748.56,2343798.165
PF01/0001/B532,PA,37.981364,13.828226,52.0,4204393.12,2417092.04
PF05/0001/B532,PA,37.981761,13.82369,52.0,4204442.22,2416694.19
PF17/0001/B532,PA,37.980479,13.837305,52.0,4204284.98,2417888.18
PF23/0001/B532,PA,37.980323,13.834399,12.0,4204270.86,2417632.75
PF24/0001/B532,PA,37.982984,13.836456,12.0,4204563.82,2417817.09
PF25/0001/B532,PA,37.982285,13.832514,12.0,4204490.63,2417469.9
PF04/0002/B532,PA,37.987587,13.854442,52.0,4205055.02,2419403.05
PF08/0002/B532,PA,37.989745,13.866373,52.0,4205281.57,2420453.71
PF15/0002/B532,PA,37.984229,13.841076,52.0,4204696.93,2418224.59
PF16/0002/B532,PA,37.985894,13.846938,52.0,4204875.29,2418741.65
PF21/0002/B532,PA,37.9905,13.86208,52.0,4205369.963,2420077.754
PF45/0002/B532,PA,37.989316,13.85938,52.0,4205241.51,2419839.05
