identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF04/0002/A067,PC,44.144084,8.936852,20.0,-35162.5,-160.5
PF05/0002/A067,PC,44.138749,8.933732,21.0,-35755.191,-410.091
PF02/0003/A067,PC,44.131862,8.949301,21.0,-36520.337,835.67
PF03/0003/A067,PC,44.133029,8.947041,21.0,-36390.629,654.796
PF02/0004/A067,PC,44.136741,8.916863,21.0,-35978.01,-1759.838
PF04/0004/A067,PC,44.136699,8.931417,21.0,-35982.933,-595.344
PF05/0004/A067,PC,44.138523,8.92692,21.0,-35780.246,-955.164
PF02/0005/A067,PC,44.133536,8.924724,21.0,-36334.236,-1130.905
PF03/0005/A067,PC,44.127737,8.910873,21.0,-36978.233,-2239.435
PF04/0005/A067,PC,44.129417,8.922457,21.0,-36791.914,-1312.398
PF06/0005/A067,PC,44.129379,8.925795,21.0,-36796.102,-1045.272
PF07/0005/A067,PC,44.127499,8.913983,21.0,-37004.806,-1990.594
PF08/0005/A067,PC,44.132367,8.926057,21.0,-36464.143,-1024.277
PF02/0006/A067,PC,44.136291,8.935027,21.0,-36028.226,-306.483
PF03/0006/A067,PC,44.138094,8.934788,21.0,-35827.988,-325.638
PF04/0006/A067,PC,44.132652,8.92732,21.0,-36432.487,-923.244
PF01/0007/A067,PC,44.123077,8.945048,21.0,-37496.401,495.432
PF03/0007/A067,PC,44.126465,8.937914,21.0,-37120.0,-75.5
PF05/0007/A067,PC,44.124703,8.945772,21.0,-37315.703,553.295
PF02/0008/A067,PC,44.119801,8.944548,21.0,-37860.399,455.45
PF07/0008/A067,PC,44.122623,8.949852,21.0,-37546.822,879.88
PF08/0008/A067,PC,44.122838,8.945082,21.0,-37522.968,498.096
PF03/0009/A067,PC,44.134839,8.95833,21.0,-36189.404,1558.06
PF05/0009/A067,PC,44.130224,8.958433,21.0,-36702.2,1566.408
PF01/0010/A067,PC,44.128813,8.909501,21.0,-36858.66,-2349.2
PF07/0010/A067,PC,44.122276,8.905764,21.0,-37584.88,-2648.539
PF06/0011/A067,PC,44.119694,8.916997,21.0,-37872.0,-1749.6
PF08/0011/A067,PC,44.123706,8.908779,21.0,-37426.059,-2407.182
PF02/0012/A067,PC,44.124895,8.940025,21.0,-37294.461,93.438
PF03/0012/A067,PC,44.120365,8.939553,21.0,-37797.689,55.645
PF04/0012/A067,PC,44.121202,8.928802,21.0,-37704.622,-804.774
PF06/0012/A067,PC,44.124069,8.933207,21.0,-37386.123,-452.215
PF08/0012/A067,PC,44.12041,8.94436,21.0,-37792.689,440.375
PF01/0013/A067,PC,44.114938,8.902399,21.0,-38400.02,-2918.253
PF05/0013/A067,PC,44.117746,8.903059,21.0,-38088.101,-2865.215
PF06/0013/A067,PC,44.115563,8.893354,21.0,-38330.192,-3642.156
PF03/0014/A067,PC,44.115512,8.909082,21.0,-38336.412,-2383.305
PF04/0014/A067,PC,44.113937,8.904069,21.0,-38511.327,-2784.62
PF05/0014/A067,PC,44.118384,8.917399,21.0,-38017.617,-1717.467
PF03/0015/A067,PC,44.111917,8.90183,21.0,-38735.658,-2963.901
PF09/0015/A067,PC,44.110716,8.904847,21.0,-38869.17,-2722.48
PF10/0015/A067,PC,44.107822,8.901083,21.0,-39190.565,-3023.908
PF11/0015/A067,PC,44.110639,8.913657,21.0,-38878.021,-2017.272
PF12/0015/A067,PC,44.107022,8.910239,21.0,-39279.778,-2291.032
PF01/0016/A067,PC,44.106964,8.918499,21.0,-39286.355,-1629.755
PF02/0016/A067,PC,44.112558,8.922043,21.0,-38664.962,-1345.904
PF03/0016/A067,PC,44.109236,8.918683,21.0,-39034.0,-1615.0
PF04/0016/A067,PC,44.103628,8.919896,21.0,-39657.0,-1518.0
PF07/0016/A067,PC,44.105899,8.923573,21.0,-39404.768,-1223.591
PF01/0017/A067,PC,44.118656,8.933519,21.0,-37987.516,-427.324
PF03/0017/A067,PC,44.115047,8.939367,21.0,-38388.592,40.753
PF02/0018/A067,PC,44.11401,8.949982,21.0,-38503.728,890.397
PF03/0018/A067,PC,44.114007,8.945855,21.0,-38504.055,560.056
PF04/0018/A067,PC,44.109129,8.947415,21.0,-39046.0,685.0
PF05/0018/A067,PC,44.111575,8.948505,20.0,-38774.289,772.196
PF03/0019/A067,PC,44.115589,8.958757,21.0,-38328.157,1592.746
PF04/0019/A067,PC,44.118509,8.960028,21.0,-38003.736,1694.405
PF06/0019/A067,PC,44.112868,8.956007,21.0,-38630.498,1372.72
PF01/0020/A067,PC,44.121052,8.972703,21.0,-37720.851,2708.712
PF02/0020/A067,PC,44.116195,8.967288,21.0,-38260.621,2275.529
PF02/0021/A067,PC,44.115988,8.967191,21.0,-38283.6,2267.822
PF04/0021/A067,PC,44.11112,8.968218,21.0,-38824.477,2350.207
PF02/0022/A067,PC,44.108755,8.975856,21.0,-39086.968,2961.678
PF03/0022/A067,PC,44.1154,8.971499,21.0,-38348.843,2612.659
PF02/0023/A067,PC,44.103192,8.906022,21.0,-39705.094,-2628.74
PF03/0023/A067,PC,44.096566,8.912173,21.0,-40441.496,-2136.578
PF04/0023/A067,PC,44.098129,8.908406,21.0,-40267.772,-2438.115
PF07/0023/A067,PC,44.105273,8.913447,21.0,-39474.125,-2034.268
PF04/0024/A067,PC,44.110248,8.933418,21.0,-38921.674,-435.47
PF08/0025/A067,PC,44.098193,8.930655,21.0,-40261.012,-656.76
PF03/0026/A067,PC,44.103089,8.940391,21.0,-39717.063,122.784
PF05/0026/A067,PC,44.107243,8.937766,21.0,-39255.641,-87.379
PF01/0027/A067,PC,44.102385,8.953294,21.0,-39795.237,1155.718
PF02/0027/A067,PC,44.09633,8.951253,21.0,-40467.937,992.414
PF03/0027/A067,PC,44.09707,8.948271,21.0,-40385.738,753.651
PF06/0027/A067,PC,44.105974,8.947642,21.0,-39396.5,703.2
PF07/0027/A067,PC,44.108978,8.94706,21.0,-39062.799,656.565
PF02/0028/A067,PC,44.103515,8.956544,21.0,-39669.645,1415.93
PF05/0028/A067,PC,44.099807,8.958844,21.0,-40081.554,1600.11
PF08/0028/A067,PC,44.096556,8.958403,21.0,-40442.762,1564.94
PF10/0028/A067,PC,44.103073,8.96074,21.0,-39718.61,1751.865
PF11/0028/A067,PC,44.100441,8.957186,21.0,-40011.179,1467.391
PF12/0028/A067,PC,44.098319,8.957693,21.0,-40246.881,1508.006
PF03/0029/A067,PC,44.088729,8.963429,21.0,-41312.289,1967.611
