identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF04/0001/C812,PD,45.292907,12.087003,52.0,5020144.988,1742091.422
PF06/0001/C812,PD,45.29012,12.084179,52.0,5019826.938,1741881.827
PF07/0001/C812,PD,45.288881,12.077539,12.0,5019669.37,1741366.39
PF08/0001/C812,PD,45.290722,12.075304,12.0,5019867.14,1741183.31
PF11/0001/C812,PD,45.295084,12.084411,12.0,5020379.09,1741878.85
PF12/0001/C812,PD,45.297679,12.074433,12.0,5020637.45,1741085.53
PF13/0001/C812,PD,45.290737,12.070685,2.0,5019855.0,1740821.0
PF01/0002/C812,PD,45.293083,12.103524,50.0,5020214.315,1743386.134
PF08/0002/C812,PD,45.288421,12.092043,9.0,5019661.78,1742505.75
PF11/0002/C812,PD,45.289704,12.100049,4.0,5019828.52,1743128.04
PF14/0002/C812,PD,45.288264,12.103349,12.0,5019678.5,1743393.0
PF15/0002/C812,PD,45.29406,12.107566,12.0,5020335.104,1743698.885
PF18/0002/C812,PD,45.293554,12.092425,54.0,5020233.179,1742513.816
PF19/0002/C812,PD,45.296088,12.105718,50.0,5020554.772,1743545.281
PF01/0003/C812,PD,45.292122,12.110718,12.0,5020129.307,1743954.302
PF03/0003/C812,PD,45.29112,12.11662,54.0,5020035.959,1744421.407
PF04/0003/C812,PD,45.294333,12.116669,9.0,5020393.05,1744411.45
PF05/0003/C812,PD,45.29589,12.109754,50.0,5020545.072,1743862.591
PF06/0003/C812,PD,45.297647,12.120575,12.0,5020773.0,1744703.5
PF07/0003/C812,PD,45.300588,12.112408,12.0,5021075.0,1744050.479
PF08/0003/C812,PD,45.298006,12.115907,12.0,5020798.735,1744335.91
PF09/0003/C812,PD,45.304903,12.113972,12.0,5021559.112,1744154.614
PF10/0003/C812,PD,45.301997,12.118006,12.0,5021248.444,1744483.348
PF01/0004/C812,PD,45.291647,12.120115,9.0,5020105.08,1744693.26
PF02/0004/C812,PD,45.294314,12.120873,12.0,5020403.63,1744741.197
PF03/0004/C812,PD,45.295492,12.124254,50.0,5020544.824,1745001.242
PF04/0004/C812,PD,45.301649,12.123002,12.0,5021225.0,1744876.5
PF05/0004/C812,PD,45.298177,12.125259,50.0,5020846.178,1745068.442
PF06/0004/C812,PD,45.291942,12.124111,12.0,5020150.028,1745005.314
PF07/0004/C812,PD,45.289305,12.120574,12.0,5019846.252,1744739.269
PF08/0004/C812,PD,45.300582,12.1308,50.0,5021130.177,1745492.532
PF09/0004/C812,PD,45.297598,12.13023,50.0,5020796.93,1745460.67
PF10/0004/C812,PD,45.290315,12.128623,12.0,5019982.96,1745366.1
PF11/0004/C812,PD,45.294871,12.129475,50.0,5020491.678,1745413.241
PF02/0005/C812,PD,45.283231,12.084177,54.0,5019061.573,1741910.99
PF03/0005/C812,PD,45.280482,12.081865,12.0,5018749.2,1741741.3
PF04/0005/C812,PD,45.278987,12.091599,52.0,5018612.467,1742511.148
PF08/0005/C812,PD,45.287445,12.083457,7.0,5019527.554,1741836.552
PF09/0005/C812,PD,45.285189,12.085924,54.0,5019284.342,1742039.621
PF11/0005/C812,PD,45.285192,12.082676,54.0,5019274.98,1741784.908
PF12/0005/C812,PD,45.284206,12.089631,52.0,5019186.34,1742334.538
PF13/0005/C812,PD,45.281366,12.093807,50.0,5018883.374,1742674.187
PF15/0005/C812,PD,45.286496,12.072741,12.0,5019390.0,1741000.25
PF17/0005/C812,PD,45.283029,12.075965,50.0,5019014.487,1741267.789
PF01/0006/C812,PD,45.287663,12.096346,50.0,5019590.597,1742846.38
PF02/0006/C812,PD,45.286016,12.093457,52.0,5019398.92,1742626.898
PF03/0006/C812,PD,45.284543,12.099708,52.0,5019254.116,1743123.414
PF05/0006/C812,PD,45.281013,12.100703,50.0,5018864.963,1743216.507
PF07/0006/C812,PD,45.280035,12.104921,12.0,5018769.0,1743551.5
PF08/0006/C812,PD,45.284901,12.104421,12.0,5019308.143,1743491.446
PF09/0006/C812,PD,45.277338,12.101598,50.0,5018459.4,1743302.403
