identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF13/0018/C750,PE,42.530516,14.146826,12.0,4709045.361,2449938.511
PF11/0001/F646,PE,42.52191,14.156973,52.0,4708081.344,2450762.361
PF15/0001/F646,PE,42.520215,14.15885,52.0,4707891.62,2450914.7
PF16/0001/F646,PE,42.525846,14.153071,52.0,4708521.629,2450446.22
PF20/0001/F646,PE,42.523902,14.15513,12.0,4708304.078,2450613.207
PF01/0026/F646,PE,42.511192,14.167604,54.0,4706882.561,2451623.963
PF09/0026/F646,PE,42.509912,14.169279,50.0,4706739.111,2451760.15
PF08/0028/F646,PE,42.506294,14.172951,50.0,4706334.436,2452057.912
PF08/0029/F646,PE,42.503262,14.175778,52.0,4705995.43,2452286.87
PF03/0030/F646,PE,42.517498,14.160788,52.0,4707588.28,2451070.91
PF06/0030/F646,PE,42.515326,14.163422,9.0,4707345.05,2451284.88
PF06/0032/F646,PE,42.513337,14.166006,10.0,4707122.046,2451494.96
PF01/0003/G482,PE,42.491976,14.187271,9.0,4704733.09,2453219.2
PF12/0003/G482,PE,42.492901,14.184693,52.0,4704837.917,2453008.358
PF13/0004/G482,PE,42.490188,14.189823,52.0,4704532.53,2453427.0
PF16/0004/G482,PE,42.488008,14.192124,50.0,4704288.748,2453613.78
PF17/0004/G482,PE,42.487131,14.19175,50.0,4704191.631,2453582.117
PF01/0005/G482,PE,42.485114,14.195909,9.0,4703964.35,2453921.86
PF04/0005/G482,PE,42.486474,14.193829,52.0,4704117.079,2453752.271
PF08/0005/G482,PE,42.484239,14.194779,12.0,4703868.138,2453828.059
PF09/0005/G482,PE,42.48566,14.193099,10.0,4704027.243,2453691.45
PF04/0009/G482,PE,42.48118,14.200411,56.0,4703524.081,2454287.676
PF05/0009/G482,PE,42.482952,14.1978,56.0,4703722.828,2454074.935
PF02/0014/G482,PE,42.479621,14.202916,52.0,4703348.95,2454491.95
PF06/0014/G482,PE,42.477816,14.205237,9.0,4703146.81,2454680.86
PF06/0015/G482,PE,42.475877,14.208116,12.0,4702929.21,2454915.52
PF01/0016/G482,PE,42.474126,14.210922,9.0,4702732.7,2455144.39
PF02/0016/G482,PE,42.472413,14.213103,9.0,4702540.8,2455321.88
PF02/0023/G482,PE,42.469085,14.218635,52.0,4702167.023,2455773.249
PF04/0023/G482,PE,42.470632,14.215964,52.0,4702340.894,2455555.241
PF01/0027/G482,PE,42.466892,14.223184,9.0,4701920.14,2456144.954
PF02/0027/G482,PE,42.469611,14.230048,9.0,4702216.84,2456711.99
PF04/0027/G482,PE,42.460836,14.23143,9.0,4701241.42,2456816.82
PF07/0027/G482,PE,42.465633,14.234609,52.0,4701771.761,2457082.999
PF08/0027/G482,PE,42.463532,14.228654,52.0,4701542.904,2456591.245
PF02/0029/G482,PE,42.45836,14.235054,9.0,4700963.87,2457112.28
