identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/A475,PG,43.135973,12.548728,8.0,3987.95,-27650.24
PF04/0001/A475,PG,43.140202,12.546944,72.0,4458.32,-27793.414
PF06/0001/A475,PG,43.131734,12.548333,74.0,3517.215,-27684.219
PF07/0001/A475,PG,43.133839,12.548564,74.0,3750.964,-27664.464
PF08/0001/A475,PG,43.13189,12.542928,74.0,3536.358,-28123.882
PF09/0001/A475,PG,43.13429,12.544955,74.0,3802.301,-27957.94
PF10/0001/A475,PG,43.136743,12.543339,72.0,4075.288,-28088.207
PF11/0001/A475,PG,43.138385,12.543964,72.0,4257.497,-28036.647
PF12/0001/A475,PG,43.129809,12.540811,72.0,3305.894,-28297.088
PF01/0002/A475,PG,43.139386,12.54821,10.0,4367.3,-27690.8
PF02/0002/A475,PG,43.137393,12.548578,72.0,4145.799,-27661.797
PF03/0002/A475,PG,43.135281,12.550502,74.0,3910.573,-27506.162
PF05/0002/A475,PG,43.137417,12.553613,10.0,4146.8,-27252.2
PF06/0002/A475,PG,43.136788,12.55451,72.0,4076.602,-27179.443
PF07/0002/A475,PG,43.137296,12.560914,72.0,4131.01,-26658.288
PF04/0003/A475,PG,43.128225,12.532518,72.0,3132.757,-28972.555
PF05/0003/A475,PG,43.1344,12.535049,72.0,3817.847,-28763.756
PF06/0003/A475,PG,43.122464,12.527027,72.0,2494.819,-29422.035
PF07/0003/A475,PG,43.124196,12.53467,72.0,2684.511,-28799.312
PF08/0003/A475,PG,43.122819,12.532443,72.0,2532.283,-28981.226
PF09/0003/A475,PG,43.123816,12.537416,72.0,2641.396,-28576.094
PF02/0004/A475,PG,43.118651,12.543628,74.0,2065.534,-28073.042
PF03/0004/A475,PG,43.125412,12.53755,72.0,2818.638,-28564.442
PF04/0004/A475,PG,43.116684,12.545714,74.0,1846.365,-27904.184
PF01/0005/A475,PG,43.127593,12.554802,74.0,3055.103,-27159.804
PF04/0005/A475,PG,43.12786,12.550874,74.0,3086.087,-27479.294
PF07/0005/A475,PG,43.131528,12.563838,72.0,3489.357,-26422.927
PF08/0005/A475,PG,43.132522,12.550654,74.0,3603.996,-27495.034
PF09/0005/A475,PG,43.128663,12.553511,72.0,3174.388,-27264.34
PF10/0005/A475,PG,43.127024,12.559486,74.0,2990.469,-26778.92
PF11/0005/A475,PG,43.130569,12.555412,72.0,3385.548,-27108.84
PF12/0005/A475,PG,43.12778,12.565367,74.0,3072.569,-26300.149
PF33/0005/A475,PG,43.07214,12.560206,21.0,-3106.51,-26744.204
PF01/0006/A475,PG,43.12664,12.54879,74.0,2951.252,-27649.341
PF02/0006/A475,PG,43.125602,12.559145,8.0,2832.6,-26807.27
PF04/0006/A475,PG,43.124286,12.558636,74.0,2686.567,-26849.324
PF06/0006/A475,PG,43.120744,12.559595,74.0,2292.764,-26772.814
PF07/0006/A475,PG,43.124196,12.563256,74.0,2675.07,-26473.451
PF09/0006/A475,PG,43.122252,12.554607,54.0,2461.858,-27177.991
PF10/0006/A475,PG,43.119728,12.545681,74.0,2184.48,-27905.468
PF11/0006/A475,PG,43.120114,12.552498,74.0,2225.098,-27350.55
PF12/0006/A475,PG,43.124955,12.551304,74.0,2763.19,-27445.596
PF13/0006/A475,PG,43.124145,12.548223,74.0,2674.233,-27696.615
PF14/0006/A475,PG,43.123296,12.551262,12.0,2578.949,-27449.751
PF01/0007/A475,PG,43.134671,12.560716,8.0,3839.49,-26675.57
PF02/0007/A475,PG,43.131507,12.561291,52.0,3487.84,-26630.173
PF03/0007/A475,PG,43.134604,12.567625,52.0,3829.874,-26113.464
PF01/0008/A475,PG,43.12818,12.575988,8.0,3113.65,-25435.83
PF02/0008/A475,PG,43.130096,12.581643,72.0,3324.832,-24974.917
PF01/0009/A475,PG,43.119321,12.565704,52.0,2132.782,-26276.35
PF04/0009/A475,PG,43.119796,12.576321,52.0,2182.22,-25412.21
PF05/0009/A475,PG,43.124923,12.569426,52.0,2753.93,-25971.056
PF06/0009/A475,PG,43.122646,12.586014,52.0,2495.924,-24622.307
PF07/0009/A475,PG,43.122844,12.567137,12.0,2523.683,-26158.231
PF01/0010/A475,PG,43.125522,12.594142,4.0,2813.08,-23959.83
PF01/0011/A475,PG,43.124837,12.602592,52.0,2734.582,-23272.546
PF02/0011/A475,PG,43.122631,12.605968,52.0,2488.594,-22998.661
PF02/0012/A475,PG,43.122096,12.613047,72.0,2427.23,-22422.88
PF04/0012/A475,PG,43.123918,12.609092,72.0,2630.727,-22744.016
PF05/0012/A475,PG,43.119439,12.615052,72.0,2131.653,-22260.731
PF06/0012/A475,PG,43.121904,12.615916,72.0,2405.245,-22189.539
PF07/0012/A475,PG,43.126575,12.609611,72.0,2925.79,-22700.815
PF02/0013/A475,PG,43.121475,12.62253,72.0,2355.763,-21651.506
PF05/0013/A475,PG,43.131656,12.623847,72.0,3486.369,-21540.749
PF06/0013/A475,PG,43.127057,12.617899,72.0,2977.076,-22026.321
PF07/0013/A475,PG,43.123295,12.622815,72.0,2557.937,-21627.62
PF08/0013/A475,PG,43.12882,12.618254,52.0,3172.876,-21996.79
PF01/0014/A475,PG,43.12374,12.632908,72.0,2604.793,-20806.257
PF02/0014/A475,PG,43.131226,12.628648,72.0,3437.463,-21150.259
PF03/0014/A475,PG,43.121347,12.630815,72.0,2339.51,-20977.354
PF04/0014/A475,PG,43.122094,12.628601,72.0,2423.007,-21157.242
PF02/0015/A475,PG,43.144164,12.642376,50.0,4871.287,-20029.214
PF03/0015/A475,PG,43.146272,12.641855,12.0,5105.5,-20070.9
PF04/0015/A475,PG,43.142208,12.644744,50.0,4653.408,-19837.261
PF02/0016/A475,PG,43.144014,12.650377,50.0,4852.666,-19378.479
PF05/0016/A475,PG,43.14989,12.648549,74.0,5505.855,-19525.298
PF06/0016/A475,PG,43.147166,12.653597,74.0,5202.079,-19115.575
PF08/0016/A475,PG,43.14364,12.648303,50.0,4811.606,-19547.256
PF09/0016/A475,PG,43.151509,12.64807,74.0,5685.834,-19563.72
PF03/0017/A475,PG,43.150668,12.660117,72.0,5589.629,-18584.15
PF05/0017/A475,PG,43.154921,12.677041,72.0,6058.483,-17206.542
PF06/0017/A475,PG,43.153307,12.669101,72.0,5880.804,-17852.763
PF07/0017/A475,PG,43.149365,12.672103,72.0,5442.34,-17609.718
PF01/0018/A475,PG,43.157244,12.680045,72.0,6315.861,-16961.585
PF02/0018/A475,PG,43.145872,12.687176,52.0,5051.2,-16384.73
PF04/0018/A475,PG,43.146531,12.683153,72.0,5125.22,-16711.771
PF05/0018/A475,PG,43.149608,12.681178,72.0,5467.48,-16871.562
PF02/0019/A475,PG,43.13458,12.643125,72.0,3806.423,-19971.434
PF03/0019/A475,PG,43.13552,12.637779,72.0,3912.109,-20405.99
