identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF04/0001/A562,PI,44.227121,9.471934,21.0,57119.044,-73158.691
PF05/0001/A562,PI,44.223068,9.472533,20.0,56668.179,-73115.871
PF06/0001/A562,PI,44.231857,9.476163,12.0,57641.45,-72815.018
PF04/0002/A562,PI,44.128493,9.466496,54.0,46165.935,-73715.894
PF08/0002/A562,PI,44.20244,9.468938,64.0,54379.474,-73428.739
PF11/0002/A562,PI,44.198971,9.466313,64.0,53996.452,-73642.785
PF13/0002/A562,PI,44.221428,9.478491,21.0,56480.623,-72641.904
PF14/0002/A562,PI,44.220151,9.468102,20.0,56348.081,-73473.47
PF10/0003/A562,PI,44.212775,9.462371,21.0,55533.709,-73940.635
PF11/0003/A562,PI,44.209372,9.460373,21.0,55157.373,-74104.551
PF06/0004/A562,PI,44.20455,9.471613,21.0,54611.525,-73212.302
PF03/0005/A562,PI,44.20476,9.495491,50.0,54613.844,-71303.813
PF05/0005/A562,PI,44.202139,9.501012,50.0,54317.856,-70865.787
PF09/0005/A562,PI,44.205434,9.497807,21.0,54686.799,-71117.965
PF03/0006/A562,PI,44.201064,9.455825,58.0,54238.419,-74478.418
PF04/0006/A562,PI,44.203275,9.454333,58.0,54485.416,-74594.886
PF05/0006/A562,PI,44.203474,9.461367,52.0,54501.201,-74032.508
PF07/0006/A562,PI,44.200758,9.44987,58.0,54209.818,-74954.722
PF09/0006/A562,PI,44.199758,9.459677,56.0,54089.801,-74172.198
PF10/0006/A562,PI,44.198957,9.453415,21.0,54006.476,-74673.676
PF11/0006/A562,PI,44.204609,9.457284,21.0,54631.013,-74357.316
PF03/0007/A562,PI,44.201097,9.463676,60.0,54234.999,-73850.913
PF07/0007/A562,PI,44.19463,9.471891,50.0,53509.117,-73202.405
PF10/0007/A562,PI,44.194592,9.465464,20.0,53510.726,-73716.127
PF11/0007/A562,PI,44.205756,9.466508,21.0,54750.143,-73618.772
PF04/0008/A562,PI,44.202875,9.486327,54.0,54412.398,-72038.457
PF11/0008/A562,PI,44.203264,9.468933,21.0,54471.108,-73428.076
PF12/0008/A562,PI,44.16011,9.505795,21.0,49644.194,-70533.596
PF13/0008/A562,PI,44.199524,9.470524,12.0,54054.147,-73305.603
PF14/0008/A562,PI,44.198924,9.473827,12.0,53984.462,-73042.31
PF01/0009/A562,PI,44.200296,9.498104,56.0,54115.644,-71100.407
PF02/0009/A562,PI,44.199555,9.501019,50.0,54030.774,-70868.341
PF07/0009/A562,PI,44.199557,9.501026,20.0,54031.045,-70867.765
PF04/0010/A562,PI,44.1897,9.465874,70.0,52966.753,-73689.467
PF05/0010/A562,PI,44.195179,9.460574,60.0,53580.284,-74106.217
PF06/0010/A562,PI,44.193288,9.463049,21.0,53367.979,-73910.804
PF07/0010/A562,PI,44.19656,9.457236,12.0,53736.718,-74371.345
PF07/0011/A562,PI,44.195718,9.484057,21.0,53619.305,-72228.663
PF01/0013/A562,PI,44.188058,9.469158,70.0,52781.359,-73428.982
PF05/0013/A562,PI,44.184775,9.471223,70.0,52414.857,-73268.018
PF06/0013/A562,PI,44.182797,9.469349,70.0,52196.728,-73420.214
PF09/0013/A562,PI,44.186957,9.473711,70.0,52655.015,-73066.382
PF10/0013/A562,PI,44.185913,9.468923,21.0,52543.328,-73450.417
PF07/0014/A562,PI,44.178902,9.478029,54.0,51756.23,-72731.1
PF10/0014/A562,PI,44.187586,9.479824,70.0,52719.494,-72576.914
PF11/0014/A562,PI,44.181775,9.481286,21.0,52072.595,-72467.174
PF02/0017/A562,PI,44.136504,9.383253,21.0,47133.939,-80365.978
PF01/0019/A562,PI,44.166473,9.411843,64.0,50436.003,-78039.075
PF09/0019/A562,PI,44.166362,9.40677,21.0,50428.497,-78444.869
PF10/0019/A562,PI,44.170481,9.404175,21.0,50888.613,-78646.947
PF12/0019/A562,PI,44.171052,9.410238,12.0,50946.345,-78161.371
PF13/0019/A562,PI,44.174555,9.410396,12.0,51335.307,-78144.081
PF14/0019/A562,PI,44.172243,9.40699,70.0,51081.741,-78419.488
PF01/0020/A562,PI,44.176899,9.414811,68.0,51591.589,-77787.99
PF04/0020/A562,PI,44.175577,9.431483,60.0,51429.048,-76456.737
PF06/0020/A562,PI,44.171597,9.415971,68.0,51001.444,-77702.211
PF08/0020/A562,PI,44.173239,9.414652,68.0,51185.114,-77805.534
PF10/0020/A562,PI,44.171576,9.418672,68.0,50996.567,-77486.285
PF11/0020/A562,PI,44.175371,9.416811,68.0,51419.958,-77630.15
PF12/0020/A562,PI,44.176154,9.427281,20.0,51497.144,-76791.971
PF13/0020/A562,PI,44.177964,9.419738,20.0,51705.244,-77392.675
PF02/0021/A562,PI,44.172627,9.424415,68.0,51107.875,-77025.736
PF03/0021/A562,PI,44.172133,9.430555,68.0,51047.287,-76535.428
PF07/0021/A562,PI,44.172155,9.421537,70.0,51058.125,-77256.443
PF10/0021/A562,PI,44.168298,9.432898,60.0,50619.032,-76353.05
PF12/0021/A562,PI,44.173861,9.436252,60.0,51234.036,-76077.686
PF13/0021/A562,PI,44.170446,9.425191,21.0,50864.853,-76966.512
PF03/0022/A562,PI,44.174294,9.449882,60.0,51269.605,-74987.283
PF04/0022/A562,PI,44.17143,9.447895,60.0,50953.171,-75149.841
PF05/0022/A562,PI,44.169912,9.440057,60.0,50791.731,-75778.482
PF09/0022/A562,PI,44.171974,9.451672,54.0,51010.226,-74847.109
PF11/0022/A562,PI,44.171876,9.441137,60.0,51008.905,-75689.622
PF13/0022/A562,PI,44.174415,9.440522,21.0,51291.564,-75735.567
PF14/0022/A562,PI,44.167563,9.43926,21.0,50531.49,-75845.197
PF02/0023/A562,PI,44.17607,9.448152,54.0,51468.463,-75123.397
PF05/0023/A562,PI,44.177629,9.448878,68.0,51641.019,-75063.368
PF06/0023/A562,PI,44.17758,9.446912,21.0,51637.435,-75220.626
PF02/0024/A562,PI,44.177024,9.451332,68.0,51571.516,-74867.892
PF03/0024/A562,PI,44.178799,9.450506,70.0,51769.575,-74931.68
PF04/0024/A562,PI,44.180668,9.451747,21.0,51976.076,-74830.123
PF01/0025/A562,PI,44.180388,9.453769,70.0,51943.101,-74668.827
PF03/0025/A562,PI,44.182427,9.455729,60.0,52167.91,-74509.581
PF05/0025/A562,PI,44.182328,9.454029,52.0,52158.414,-74645.601
PF06/0025/A562,PI,44.181263,9.457763,21.0,52036.683,-74348.418
PF07/0025/A562,PI,44.178168,9.455089,21.0,51695.297,-74566.068
PF02/0026/A562,PI,44.180159,9.464461,68.0,51908.009,-73814.289
PF06/0026/A562,PI,44.178738,9.460811,21.0,51753.407,-74107.883
PF01/0027/A562,PI,44.176472,9.456582,64.0,51505.447,-74448.886
PF04/0027/A562,PI,44.175008,9.45264,21.0,51346.382,-74765.871
PF07/0028/A562,PI,44.173658,9.45826,70.0,51191.333,-74318.26
PF09/0028/A562,PI,44.172282,9.456008,21.0,51040.473,-74500.056
PF01/0029/A562,PI,44.176412,9.460556,54.0,51495.242,-74131.234
PF03/0029/A562,PI,44.175065,9.458564,70.0,51347.377,-74292.177
PF04/0029/A562,PI,44.178707,9.457979,21.0,51752.489,-74334.365
PF01/0030/A562,PI,44.178538,9.463346,70.0,51728.921,-73905.444
PF06/0030/A562,PI,44.173872,9.460649,70.0,51212.888,-74126.944
PF08/0030/A562,PI,44.173297,9.464311,58.0,51145.758,-73834.838
PF09/0030/A562,PI,44.177578,9.469965,70.0,51616.329,-73377.471
PF16/0030/A562,PI,44.175385,9.466211,21.0,51376.055,-73680.372
PF01/0031/A562,PI,44.181066,9.473598,60.0,52000.638,-73082.673
PF03/0031/A562,PI,44.177423,9.476463,21.0,51593.361,-72858.122
PF01/0032/A562,PI,44.179384,9.484848,52.0,51803.854,-72185.381
PF07/0032/A562,PI,44.173255,9.493235,21.0,51115.474,-71522.193
PF02/0033/A562,PI,44.129544,9.439987,60.0,46306.751,-75835.776
PF04/0033/A562,PI,44.133383,9.435777,60.0,46737.234,-76167.674
PF05/0033/A562,PI,44.154366,9.397776,21.0,49104.35,-79180.127
PF05/0034/A562,PI,44.16183,9.393003,21.0,49938.232,-79551.852
PF06/0034/A562,PI,44.164157,9.395749,21.0,50194.165,-79329.107
PF06/0035/A562,PI,44.16407,9.409549,64.0,50171.242,-78225.697
PF08/0035/A562,PI,44.160276,9.412568,60.0,49746.862,-77989.274
PF12/0035/A562,PI,44.159553,9.419632,21.0,49659.787,-77425.249
PF13/0035/A562,PI,44.158353,9.415018,21.0,49530.867,-77795.851
PF06/0036/A562,PI,44.163615,9.414467,68.0,50115.968,-77832.961
PF07/0036/A562,PI,44.161373,9.41858,60.0,49863.026,-77507.005
PF10/0036/A562,PI,44.169653,9.414527,60.0,50786.835,-77820.244
PF11/0036/A562,PI,44.167947,9.423035,21.0,50589.293,-77142.183
PF12/0037/A562,PI,44.156386,9.436731,9.0,49291.97,-76061.81
PF13/0037/A562,PI,44.163356,9.427433,21.0,50075.004,-76796.468
PF14/0037/A562,PI,44.161002,9.432447,21.0,49808.833,-76398.484
PF03/0038/A562,PI,44.163093,9.445563,70.0,50029.033,-75346.918
PF05/0038/A562,PI,44.15979,9.443531,70.0,49663.953,-75513.59
PF08/0038/A562,PI,44.164179,9.445587,21.0,50149.743,-75343.584
PF10/0039/A562,PI,44.166657,9.453567,21.0,50417.772,-74702.303
PF11/0039/A562,PI,44.16285,9.458281,21.0,49990.439,-74330.135
PF12/0039/A562,PI,44.169046,9.456307,12.0,50680.649,-74480.171
PF05/0040/A562,PI,44.164131,9.461188,60.0,50130.19,-74096.034
PF08/0040/A562,PI,44.168944,9.463233,60.0,50663.111,-73926.506
PF10/0040/A562,PI,44.166175,9.46377,60.0,50354.978,-73887.015
PF12/0040/A562,PI,44.169017,9.471527,20.0,50663.805,-73263.182
PF03/0041/A562,PI,44.163878,9.474236,60.0,50090.386,-73052.889
PF04/0041/A562,PI,44.164766,9.480888,60.0,50183.18,-72519.887
PF05/0041/A562,PI,44.161586,9.481132,60.0,49829.642,-72504.245
PF06/0041/A562,PI,44.158797,9.472906,70.0,49527.01,-73165.563
PF10/0041/A562,PI,44.166865,9.475611,64.0,50421.092,-72939.285
PF12/0041/A562,PI,44.159351,9.476421,21.0,49585.505,-72883.732
PF07/0042/A562,PI,44.15835,9.491118,54.0,49461.36,-71709.515
PF08/0042/A562,PI,44.158662,9.478396,68.0,49507.183,-72726.633
PF11/0042/A562,PI,44.158397,9.48727,52.0,49469.964,-72017.232
PF12/0042/A562,PI,44.157956,9.483676,60.0,49424.104,-72305.184
PF13/0042/A562,PI,44.159363,9.486608,70.0,49577.82,-72068.994
PF14/0042/A562,PI,44.16343,9.486467,21.0,50029.867,-72075.341
PF02/0043/A562,PI,44.17517,9.479255,58.0,51340.489,-72637.654
PF05/0043/A562,PI,44.167308,9.487388,60.0,50459.875,-71996.979
PF10/0043/A562,PI,44.170628,9.483136,21.0,50832.426,-72332.929
PF06/0044/A562,PI,44.166186,9.489487,60.0,50333.398,-71830.464
PF07/0044/A562,PI,44.165041,9.488944,20.0,50206.614,-71875.249
PF04/0045/A562,PI,44.162083,9.490847,60.0,49876.39,-71726.722
PF06/0045/A562,PI,44.160082,9.492979,21.0,49652.136,-71558.617
PF05/0046/A562,PI,44.154334,9.497203,20.0,49009.846,-71227.728
PF03/0047/A562,PI,44.163782,9.508902,12.0,50049.573,-70280.771
PF04/0047/A562,PI,44.16011,9.505795,21.0,49644.194,-70533.596
PF02/0048/A562,PI,44.138557,9.424877,60.0,47322.136,-77033.054
PF04/0048/A562,PI,44.149833,9.398819,21.0,48599.692,-79102.762
PF02/0049/A562,PI,44.156983,9.401059,60.0,49391.928,-78914.084
PF04/0049/A562,PI,44.150145,9.404161,58.0,48629.259,-78675.062
PF06/0049/A562,PI,44.154972,9.402266,21.0,49167.421,-78820.24
PF03/0050/A562,PI,44.151124,9.416674,70.0,48726.11,-77672.865
PF06/0050/A562,PI,44.145848,9.41493,70.0,48141.595,-77819.322
PF12/0050/A562,PI,44.148775,9.409957,21.0,48471.502,-78213.238
PF13/0050/A562,PI,44.149263,9.41486,21.0,48521.129,-77820.459
PF14/0050/A562,PI,44.153233,9.415241,12.0,48961.771,-77784.701
PF15/0050/A562,PI,44.157488,9.411019,12.0,49438.502,-78116.828
PF16/0050/A562,PI,44.152641,9.4084,12.0,48902.52,-78332.696
PF01/0051/A562,PI,44.157065,9.423189,58.0,49380.064,-77144.062
