identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0002/A283,PN,46.342597,13.195953,3.0,29714.23,-819.11
PF01/0005/A283,PN,46.326846,13.155723,50.0,28035.478,-3955.685
PF01/0006/A283,PN,46.325696,13.174748,12.0,27873.75,-2494.2
PF01/0007/A283,PN,46.332099,13.206191,8.0,28529.88,-57.72
PF01/0008/A283,PN,46.313416,13.142748,50.0,26566.611,-4989.464
PF02/0008/A283,PN,46.316347,13.143581,50.0,26890.716,-4917.674
PF03/0008/A283,PN,46.322033,13.146696,12.0,27516.891,-4663.039
PF01/0009/A283,PN,46.318451,13.150162,50.0,27112.716,-4405.519
PF02/0009/A283,PN,46.316255,13.148665,50.0,26871.41,-4526.475
PF03/0009/A283,PN,46.317415,13.152046,12.0,26994.189,-4263.175
PF04/0009/A283,PN,46.323554,13.153314,50.0,27673.973,-4149.628
PF05/0009/A283,PN,46.323191,13.149984,12.0,27639.694,-4406.96
PF06/0009/A283,PN,46.320536,13.151976,50.0,27341.136,-4260.517
PF01/0010/A283,PN,46.323201,13.158151,50.0,27626.102,-3778.209
PF02/0010/A283,PN,46.323354,13.159833,50.0,27640.129,-3648.378
PF03/0010/A283,PN,46.323475,13.163036,50.0,27647.83,-3401.496
PF04/0010/A283,PN,46.323275,13.166415,50.0,27619.616,-3141.849
PF05/0010/A283,PN,46.327409,13.162761,50.0,28085.464,-3412.516
PF02/0011/A283,PN,46.321458,13.159415,50.0,27430.188,-3685.425
PF03/0011/A283,PN,46.319771,13.157583,50.0,27246.059,-3830.784
PF04/0011/A283,PN,46.318553,13.167942,50.0,27092.162,-3036.433
PF05/0011/A283,PN,46.321317,13.164033,50.0,27406.321,-3330.281
PF06/0011/A283,PN,46.320569,13.160238,50.0,27329.952,-3624.335
PF07/0011/A283,PN,46.32085,13.167421,50.0,27348.307,-3070.7
PF08/0011/A283,PN,46.318927,13.163029,50.0,27142.551,-3413.761
