identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0001/B626,PO,44.084952,11.054473,8.0,85292.92,-22214.55
PF01/0002/B626,PO,44.08535,11.063698,52.0,85334.7,-21475.601
PF01/0003/B626,PO,44.091573,11.074691,8.0,86023.32,-20593.17
PF01/0005/B626,PO,44.083641,11.095205,8.0,85137.16,-18953.03
PF01/0006/B626,PO,44.076696,11.060915,8.0,84374.01,-21701.67
PF02/0006/B626,PO,44.077616,11.062435,52.0,84475.819,-21579.548
PF03/0006/B626,PO,44.078854,11.057726,52.0,84614.606,-21956.271
PF04/0006/B626,PO,44.078892,11.060863,10.0,84618.0,-21705.0
PF05/0006/B626,PO,44.077201,11.053394,12.0,84432.125,-22303.85
PF02/0007/B626,PO,44.080315,11.065417,12.0,84774.9,-21339.8
PF03/0007/B626,PO,44.077842,11.071024,12.0,84498.751,-20891.615
PF01/0008/B626,PO,44.073551,11.051993,10.0,84027.0,-22417.46
PF01/0009/B626,PO,44.076668,11.062421,52.0,84370.455,-21581.018
PF02/0009/B626,PO,44.075581,11.061516,52.0,84249.908,-21653.939
PF03/0009/B626,PO,44.072788,11.060451,52.0,83939.966,-21740.261
PF01/0010/B626,PO,44.076332,11.064136,10.0,84332.7,-21443.8
PF01/0011/B626,PO,44.075256,11.07141,52.0,84211.286,-20861.596
PF02/0012/B626,PO,44.070748,11.089552,10.0,83706.0,-19410.0
PF01/0013/B626,PO,44.069332,11.092964,8.0,83547.85,-19137.13
PF02/0013/B626,PO,44.070992,11.091115,52.0,83732.765,-19284.677
PF03/0013/B626,PO,44.070836,11.092622,52.0,83715.017,-19164.084
PF04/0013/B626,PO,44.068738,11.096907,52.0,83480.999,-18821.494
PF05/0013/B626,PO,44.068278,11.095344,52.0,83430.195,-18946.808
PF07/0013/B626,PO,44.067904,11.107593,12.0,83386.0,-17965.75
PF08/0013/B626,PO,44.067877,11.104107,10.0,83383.75,-18245.0
PF09/0013/B626,PO,44.068491,11.106118,12.0,83451.45,-18083.7
PF10/0013/B626,PO,44.073003,11.092794,10.0,83955.784,-19149.535
PF01/0014/B626,PO,44.070638,11.059177,8.0,83701.39,-21843.12
PF01/0015/B626,PO,44.0718,11.075869,6.0,83826.16,-20505.64
PF02/0016/B626,PO,44.060491,11.049325,12.0,82576.663,-22636.127
PF03/0016/B626,PO,44.059814,11.048915,12.0,82501.622,-22669.201
PF01/0017/B626,PO,44.057135,11.077922,8.0,82196.38,-20346.19
PF01/0018/B626,PO,44.058961,11.097536,8.0,82394.62,-18774.2
PF02/0018/B626,PO,44.061544,11.09305,52.0,82682.652,-19132.727
PF03/0018/B626,PO,44.059343,11.093729,52.0,82437.913,-19079.066
