identificativo,provincia,lat_wgs84,lon_wgs84,quota,coord_nord,coord_est
PF01/0002/A138,PR,43.649774,9.147398,8.0,-90058.17,16822.22
PF02/0002/A138,PR,43.639223,9.137573,50.0,-91232.258,16032.499
PF03/0002/A138,PR,43.65068,9.139929,12.0,-89959.0,16219.5
PF01/0003/A138,PR,43.637423,9.154714,50.0,-91428.746,17415.927
PF01/0004/A138,PR,43.634394,9.103119,10.0,-91774.8,13253.8
PF01/0005/A138,PR,43.626629,9.11747,50.0,-92635.032,14413.578
PF02/0005/A138,PR,43.628964,9.117625,50.0,-92375.576,14425.509
PF03/0005/A138,PR,43.629196,9.117048,50.0,-92349.899,14378.946
PF04/0005/A138,PR,43.628933,9.113133,50.0,-92379.852,14063.063
PF05/0005/A138,PR,43.626077,9.114636,12.0,-92696.82,14185.0
PF06/0005/A138,PR,43.624722,9.116227,10.0,-92847.16,14313.7
PF07/0005/A138,PR,43.63335,9.108742,50.0,-91889.848,13707.723
PF01/0006/A138,PR,43.628101,9.127627,8.0,-92469.75,15232.83
PF03/0006/A138,PR,43.624628,9.123184,50.0,-92856.347,14875.225
PF04/0006/A138,PR,43.627557,9.125777,50.0,-92530.459,15083.699
PF05/0006/A138,PR,43.626547,9.125432,54.0,-92642.762,15056.143
PF06/0006/A138,PR,43.628462,9.128061,12.0,-92429.5,15267.8
PF02/0007/A138,PR,43.62817,9.135984,50.0,-92460.514,15907.249
PF03/0007/A138,PR,43.630643,9.135979,50.0,-92185.735,15906.152
PF04/0007/A138,PR,43.636452,9.138074,50.0,-91540.034,16073.64
PF05/0007/A138,PR,43.627299,9.141531,50.0,-92556.189,16355.047
PF06/0007/A138,PR,43.636088,9.141448,50.0,-91579.782,16345.968
PF29/0007/A138,PR,43.860538,9.650798,21.0,-66418.034,57227.947
PF02/0008/A138,PR,43.629987,9.143987,50.0,-92257.076,16552.504
PF03/0008/A138,PR,43.627268,9.143918,50.0,-92559.118,16547.687
PF04/0008/A138,PR,43.626983,9.14789,50.0,-92589.935,16868.312
PF05/0008/A138,PR,43.626192,9.14868,50.0,-92677.72,16932.293
PF06/0008/A138,PR,43.626363,9.145859,54.0,-92659.272,16704.546
PF07/0008/A138,PR,43.623349,9.151685,54.0,-92992.934,17175.605
PF08/0008/A138,PR,43.632769,9.150988,50.0,-91946.533,17116.68
PF01/0009/A138,PR,43.628669,9.156673,50.0,-92400.855,17576.592
PF02/0010/A138,PR,43.621181,9.106958,52.0,-93242.038,13566.483
PF03/0010/A138,PR,43.619339,9.10389,52.0,-93447.147,13319.344
PF04/0010/A138,PR,43.617867,9.099521,10.0,-93611.43,12967.03
PF02/0011/A138,PR,43.616425,9.12149,52.0,-93767.894,14740.456
PF03/0011/A138,PR,43.622532,9.121049,50.0,-93089.539,14703.376
PF04/0011/A138,PR,43.619724,9.120286,12.0,-93401.631,14642.532
PF01/0012/A138,PR,43.623589,9.126056,50.0,-92971.247,15107.217
PF02/0012/A138,PR,43.627021,9.130052,50.0,-92589.233,15428.832
PF01/0013/A138,PR,43.620259,9.139605,8.0,-93338.6,16201.56
PF02/0013/A138,PR,43.618431,9.149414,50.0,-93539.69,16993.735
PF05/0013/A138,PR,43.619608,9.150501,52.0,-93408.759,17081.12
PF06/0013/A138,PR,43.619347,9.139954,52.0,-93439.912,16229.985
PF07/0013/A138,PR,43.620889,9.14492,52.0,-93267.552,16630.276
PF08/0013/A138,PR,43.618218,9.142886,52.0,-93564.739,16466.876
PF09/0013/A138,PR,43.620692,9.139756,50.0,-93290.455,16213.568
PF10/0013/A138,PR,43.62405,9.143061,50.0,-92916.823,16479.393
PF11/0013/A138,PR,43.619359,9.137387,52.0,-93439.004,16022.801
PF12/0013/A138,PR,43.617896,9.137241,50.0,-93601.549,16011.389
PF03/0014/A138,PR,43.622917,9.161798,50.0,-93038.826,17991.815
PF04/0014/A138,PR,43.623491,9.162632,52.0,-92974.812,18059.011
PF05/0014/A138,PR,43.621119,9.162952,52.0,-93238.234,18085.492
PF06/0014/A138,PR,43.620967,9.163441,10.0,-93255.0,18125.0
PF07/0014/A138,PR,43.622724,9.159871,50.0,-93060.583,17836.398
PF08/0014/A138,PR,43.622888,9.153566,10.0,-93043.705,17327.507
PF09/0014/A138,PR,43.624177,9.156372,50.0,-92899.918,17553.624
PF01/0015/A138,PR,43.624205,9.177821,50.0,-92892.057,19284.513
PF04/0015/A138,PR,43.617339,9.191536,50.0,-93651.631,20393.683
PF05/0015/A138,PR,43.62412,9.180735,70.0,-92900.818,19519.723
PF06/0015/A138,PR,43.623454,9.176603,70.0,-92975.805,19186.487
PF07/0015/A138,PR,43.619485,9.185952,52.0,-93414.478,19942.307
PF08/0015/A138,PR,43.6211,9.184729,50.0,-93235.42,19843.038
PF09/0015/A138,PR,43.620956,9.179723,50.0,-93252.558,19439.048
PF01/0016/A138,PR,43.60348,9.097841,50.0,-95209.981,12834.52
PF01/0017/A138,PR,43.617411,9.108399,52.0,-93660.66,13683.67
PF02/0017/A138,PR,43.606445,9.115121,50.0,-94877.791,14228.786
PF05/0017/A138,PR,43.83393,9.71226,20.0,-69329.745,62195.966
PF01/0018/A138,PR,43.609084,9.127078,50.0,-94582.425,15193.365
PF02/0018/A138,PR,43.608602,9.125922,50.0,-94636.201,15100.157
PF02/0019/A138,PR,43.610316,9.136174,52.0,-94443.858,15927.266
PF03/0019/A138,PR,43.608243,9.134806,50.0,-94674.441,15817.35
PF04/0019/A138,PR,43.60961,9.132834,12.0,-94523.0,15657.8
PF01/0020/A138,PR,43.612415,9.136721,52.0,-94210.603,15970.869
